trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,AG,1,申万期货,6089,-1886
2013-11-05,AG,2,永安期货,6000,31
2013-11-05,AG,3,银河期货,5814,-218
2013-11-05,AG,4,国泰君安,5546,-264
2013-11-05,AG,5,万达期货,5389,4
2013-11-05,AG,6,上海中期,4990,1376
2013-11-05,AG,7,南华期货,4498,-388
2013-11-05,AG,8,鲁证期货,4198,-267
2013-11-05,AG,9,海通期货,4145,-826
2013-11-05,AG,10,中证期货,4067,-478
2013-11-05,AG,11,徽商期货,4036,88
2013-11-05,AG,12,北京中期,3832,-994
2013-11-05,AG,13,中国国际,3666,-44
2013-11-05,AG,14,光大期货,3357,-399
2013-11-05,AG,15,华泰长城,3345,-144
2013-11-05,AG,16,方正期货,3162,-145
2013-11-05,AG,17,中粮期货,3123,-69
2013-11-05,AG,18,瑞达期货,2873,-178
2013-11-05,AG,19,大有期货,2729,-381
2013-11-05,AG,20,广发期货,2706,-597
2013-11-06,AG,1,申万期货,8359,2270
2013-11-06,AG,2,永安期货,6453,453
2013-11-06,AG,3,中证期货,5907,1840
2013-11-06,AG,4,银河期货,5831,17
2013-11-06,AG,5,万达期货,5596,207
2013-11-06,AG,6,海通期货,5202,1057
2013-11-06,AG,7,南华期货,4917,419
2013-11-06,AG,8,国泰君安,4758,-974
2013-11-06,AG,9,徽商期货,4716,680
2013-11-06,AG,10,浙商期货,4212,2074
2013-11-06,AG,11,鲁证期货,4012,-186
2013-11-06,AG,12,方正期货,3823,661
2013-11-06,AG,13,宝城期货,3696,1703
2013-11-06,AG,14,上海中期,3657,-1333
2013-11-06,AG,15,国海良时,3112,1555
2013-11-06,AG,16,中国国际,3092,-41
2013-11-06,AG,17,中粮期货,3036,-87
2013-11-06,AG,18,广发期货,2871,165
2013-11-06,AG,19,瑞达期货,2639,-234
2013-11-06,AG,20,五矿期货,2591,-102
2013-11-07,AG,1,申万期货,7971,95
2013-11-07,AG,2,永安期货,6508,55
2013-11-07,AG,3,万达期货,6252,656
2013-11-07,AG,4,海通期货,6105,903
2013-11-07,AG,5,银河期货,5972,-107
2013-11-07,AG,6,国泰君安,5745,987
2013-11-07,AG,7,中证期货,5679,-228
2013-11-07,AG,8,浙商期货,4980,320
2013-11-07,AG,9,广发期货,4782,1911
2013-11-07,AG,10,国海良时,4607,1134
2013-11-07,AG,11,中国国际,4513,1247
2013-11-07,AG,12,徽商期货,4360,-356
2013-11-07,AG,13,南华期货,4281,-636
2013-11-07,AG,14,光大期货,3771,1075
2013-11-07,AG,15,鲁证期货,3755,-257
2013-11-07,AG,16,上海中期,3580,-77
2013-11-07,AG,17,宝城期货,3270,-426
2013-11-07,AG,18,新湖期货,3232,708
2013-11-07,AG,19,弘业期货,3056,630
2013-11-07,AG,20,中粮期货,2875,-161
2013-11-08,AG,1,永安期货,9039,2141
2013-11-08,AG,2,申万期货,8127,156
2013-11-08,AG,3,国海良时,6193,1586
2013-11-08,AG,4,银河期货,5927,-45
2013-11-08,AG,5,万达期货,5898,-354
2013-11-08,AG,6,中证期货,5425,-254
2013-11-08,AG,7,国泰君安,5075,-670
2013-11-08,AG,8,海通期货,4814,-1291
2013-11-08,AG,9,北京中期,4811,965
2013-11-08,AG,10,宝城期货,4325,1055
2013-11-08,AG,11,浙商期货,4267,-106
2013-11-08,AG,12,中国国际,4114,-399
2013-11-08,AG,13,上海中期,3893,313
2013-11-08,AG,14,徽商期货,3796,-564
2013-11-08,AG,15,南华期货,3705,18
2013-11-08,AG,16,鲁证期货,3415,-340
2013-11-08,AG,17,方正期货,3045,181
2013-11-08,AG,18,新湖期货,3016,-216
2013-11-08,AG,19,广发期货,2922,-1860
2013-11-08,AG,20,中粮期货,2836,-39
2013-11-11,AG,1,海通期货,8811,3997
2013-11-11,AG,2,永安期货,7024,-397
2013-11-11,AG,3,中证期货,6936,1090
2013-11-11,AG,4,申万期货,6860,-1688
2013-11-11,AG,5,银河期货,6617,690
2013-11-11,AG,6,国海良时,6467,274
2013-11-11,AG,7,国泰君安,6399,1324
2013-11-11,AG,8,万达期货,5754,-144
2013-11-11,AG,9,徽商期货,5502,1706
2013-11-11,AG,10,中国国际,5213,1003
2013-11-11,AG,11,广发期货,5197,2275
2013-11-11,AG,12,浙商期货,4696,429
2013-11-11,AG,13,南华期货,4683,978
2013-11-11,AG,14,北京中期,4488,231
2013-11-11,AG,15,宝城期货,4372,47
2013-11-11,AG,16,上海中期,3637,-256
2013-11-11,AG,17,长江期货,3628,3187
2013-11-11,AG,18,中粮期货,3497,346
2013-11-11,AG,19,方正期货,3267,222
2013-11-11,AG,20,新湖期货,2928,-88
2013-11-12,AG,1,银河期货,8013,1396
2013-11-12,AG,2,海通期货,7919,-892
2013-11-12,AG,3,申万期货,7342,1557
2013-11-12,AG,4,中证期货,6919,337
2013-11-12,AG,5,国泰君安,6360,-39
2013-11-12,AG,6,南华期货,6359,1130
2013-11-12,AG,7,长江期货,6327,2699
2013-11-12,AG,8,北京中期,6301,1260
2013-11-12,AG,9,永安期货,6297,-727
2013-11-12,AG,10,万达期货,5957,203
2013-11-12,AG,11,徽商期货,5606,104
2013-11-12,AG,12,广发期货,5527,334
2013-11-12,AG,13,中国国际,5497,284
2013-11-12,AG,14,方正期货,4220,983
2013-11-12,AG,15,信达期货,4217,727
2013-11-12,AG,16,浙商期货,4012,-1287
2013-11-12,AG,17,中粮期货,3367,-130
2013-11-12,AG,18,新湖期货,3018,90
2013-11-12,AG,19,五矿期货,2807,342
2013-11-12,AG,20,广永期货,2792,575
2013-11-13,AG,1,国泰君安,9142,2782
2013-11-13,AG,2,银河期货,8797,784
2013-11-13,AG,3,海通期货,8301,382
2013-11-13,AG,4,中国国际,8253,2373
2013-11-13,AG,5,申万期货,8217,388
2013-11-13,AG,6,永安期货,8046,1146
2013-11-13,AG,7,中证期货,7638,719
2013-11-13,AG,8,长江期货,6913,586
2013-11-13,AG,9,徽商期货,6138,532
2013-11-13,AG,10,万达期货,5849,-108
2013-11-13,AG,11,广发期货,5574,455
2013-11-13,AG,12,方正期货,4667,447
2013-11-13,AG,13,南华期货,4653,-647
2013-11-13,AG,14,浙商期货,4312,300
2013-11-13,AG,15,北京中期,4204,-1298
2013-11-13,AG,16,中粮期货,3791,424
2013-11-13,AG,17,鲁证期货,3458,627
2013-11-13,AG,18,新湖期货,3041,23
2013-11-13,AG,19,光大期货,3033,254
2013-11-13,AG,20,广永期货,3013,221
2013-11-14,AG,1,永安期货,10029,1983
2013-11-14,AG,2,银河期货,9210,531
2013-11-14,AG,3,长江期货,8130,785
2013-11-14,AG,4,申万期货,7964,-253
2013-11-14,AG,5,中证期货,7815,177
2013-11-14,AG,6,广发期货,7761,1820
2013-11-14,AG,7,海通期货,7705,-596
2013-11-14,AG,8,国泰君安,6922,-353
2013-11-14,AG,9,中国国际,6358,-1895
2013-11-14,AG,10,国海良时,6144,2342
2013-11-14,AG,11,万达期货,5961,112
2013-11-14,AG,12,徽商期货,5820,-318
2013-11-14,AG,13,北京中期,4963,22
2013-11-14,AG,14,方正期货,4946,279
2013-11-14,AG,15,宝城期货,4389,1404
2013-11-14,AG,16,南华期货,4275,-378
2013-11-14,AG,17,上海大陆,4253,2421
2013-11-14,AG,18,浙商期货,4243,780
2013-11-14,AG,19,中粮期货,3534,-257
2013-11-14,AG,20,新湖期货,3032,-9
2013-11-15,AG,1,永安期货,12597,4746
2013-11-15,AG,2,长江期货,8719,589
2013-11-15,AG,3,中证期货,8684,869
2013-11-15,AG,4,国泰君安,8249,455
