trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,AG,1,海通期货,10199,-336
2013-11-05,AG,2,金瑞期货,9718,219
2013-11-05,AG,3,一德期货,7584,4280
2013-11-05,AG,4,南华期货,7405,458
2013-11-05,AG,5,五矿期货,6536,1047
2013-11-05,AG,6,中钢期货,6421,-660
2013-11-05,AG,7,上海金源,6050,-3
2013-11-05,AG,8,申万期货,5813,-1926
2013-11-05,AG,9,国泰君安,5798,-1242
2013-11-05,AG,10,光大期货,5115,297
2013-11-05,AG,11,银河期货,4920,502
2013-11-05,AG,12,上海中期,4506,-15
2013-11-05,AG,13,国贸期货,4495,-2
2013-11-05,AG,14,广发期货,4460,921
2013-11-05,AG,15,永安期货,4455,-2104
2013-11-05,AG,16,北京中期,3962,-328
2013-11-05,AG,17,云晨期货,3712,52
2013-11-05,AG,18,瑞达期货,3626,1116
2013-11-05,AG,19,宏源期货,3053,233
2013-11-05,AG,20,格林期货,3000,23
2013-11-06,AG,1,海通期货,10901,702
2013-11-06,AG,2,金瑞期货,9722,4
2013-11-06,AG,3,一德期货,8693,1109
2013-11-06,AG,4,南华期货,6768,-637
2013-11-06,AG,5,五矿期货,6650,114
2013-11-06,AG,6,中钢期货,6339,-82
2013-11-06,AG,7,申万期货,6323,510
2013-11-06,AG,8,上海金源,6158,108
2013-11-06,AG,9,光大期货,5832,702
2013-11-06,AG,10,永安期货,5289,834
2013-11-06,AG,11,国泰君安,5202,-596
2013-11-06,AG,12,银河期货,4523,-397
2013-11-06,AG,13,上海中期,4389,-117
2013-11-06,AG,14,国贸期货,4369,-126
2013-11-06,AG,15,云晨期货,4046,334
2013-11-06,AG,16,瑞达期货,3909,283
2013-11-06,AG,17,北京中期,3851,-111
2013-11-06,AG,18,经易期货,3499,915
2013-11-06,AG,19,广发期货,3484,-976
2013-11-06,AG,20,宏源期货,3070,17
2013-11-07,AG,1,金瑞期货,9862,140
2013-11-07,AG,2,海通期货,9137,-1764
2013-11-07,AG,3,五矿期货,6832,182
2013-11-07,AG,4,申万期货,6703,380
2013-11-07,AG,5,南华期货,6519,-527
2013-11-07,AG,6,中钢期货,6371,32
2013-11-07,AG,7,上海金源,6172,14
2013-11-07,AG,8,银河期货,6143,1620
2013-11-07,AG,9,永安期货,5585,296
2013-11-07,AG,10,光大期货,5511,-321
2013-11-07,AG,11,国泰君安,5473,271
2013-11-07,AG,12,一德期货,5352,-3341
2013-11-07,AG,13,上海中期,4562,173
2013-11-07,AG,14,国贸期货,4415,46
2013-11-07,AG,15,瑞达期货,4282,373
2013-11-07,AG,16,云晨期货,4043,-3
2013-11-07,AG,17,北京中期,4015,164
2013-11-07,AG,18,经易期货,3466,-33
2013-11-07,AG,19,宏源期货,3460,390
2013-11-07,AG,20,广发期货,3136,44
2013-11-08,AG,1,金瑞期货,9735,-127
2013-11-08,AG,2,海通期货,9336,199
2013-11-08,AG,3,光大期货,6768,1149
2013-11-08,AG,4,五矿期货,6687,-145
2013-11-08,AG,5,申万期货,6634,-69
2013-11-08,AG,6,南华期货,6328,-191
2013-11-08,AG,7,中钢期货,6137,-234
2013-11-08,AG,8,银河期货,6101,-42
2013-11-08,AG,9,上海金源,6069,-103
2013-11-08,AG,10,永安期货,5237,-348
2013-11-08,AG,11,国泰君安,5042,-431
2013-11-08,AG,12,上海中期,4897,335
2013-11-08,AG,13,一德期货,4490,-862
2013-11-08,AG,14,国贸期货,4296,-119
2013-11-08,AG,15,瑞达期货,4033,-249
2013-11-08,AG,16,北京中期,3817,-198
2013-11-08,AG,17,经易期货,3595,129
2013-11-08,AG,18,云晨期货,3439,-604
2013-11-08,AG,19,宏源期货,3262,-198
2013-11-08,AG,20,招金期货,3211,50
2013-11-11,AG,1,海通期货,12876,3540
2013-11-11,AG,2,金瑞期货,11432,1697
2013-11-11,AG,3,中证期货,7947,3670
2013-11-11,AG,4,南华期货,7677,1349
2013-11-11,AG,5,五矿期货,7391,704
2013-11-11,AG,6,一德期货,7214,2490
2013-11-11,AG,7,申万期货,7010,376
2013-11-11,AG,8,光大期货,6897,129
2013-11-11,AG,9,永安期货,5954,717
2013-11-11,AG,10,中钢期货,5927,-206
2013-11-11,AG,11,经易期货,5568,1973
2013-11-11,AG,12,国泰君安,5430,388
2013-11-11,AG,13,瑞达期货,5201,1168
2013-11-11,AG,14,上海中期,5165,268
2013-11-11,AG,15,国贸期货,4280,-16
2013-11-11,AG,16,银河期货,4235,-1026
2013-11-11,AG,17,中国国际,4014,1388
2013-11-11,AG,18,北京中期,3905,88
2013-11-11,AG,19,宏源期货,3656,394
2013-11-11,AG,20,中信新际,3533,368
2013-11-12,AG,1,海通期货,13826,950
2013-11-12,AG,2,金瑞期货,12027,595
2013-11-12,AG,3,中证期货,10934,2987
2013-11-12,AG,4,南华期货,8003,326
2013-11-12,AG,5,一德期货,7458,244
2013-11-12,AG,6,光大期货,7208,728
2013-11-12,AG,7,永安期货,6564,4156
2013-11-12,AG,8,申万期货,6502,-508
2013-11-12,AG,9,五矿期货,6414,-977
2013-11-12,AG,10,国泰君安,6321,891
2013-11-12,AG,11,中钢期货,5853,-74
2013-11-12,AG,12,上海中期,5789,624
2013-11-12,AG,13,经易期货,5173,-395
2013-11-12,AG,14,瑞达期货,4459,-742
2013-11-12,AG,15,国贸期货,4247,-33
2013-11-12,AG,16,北京中期,4061,156
2013-11-12,AG,17,广发期货,4043,275
2013-11-12,AG,18,银河期货,3824,-411
2013-11-12,AG,19,中信新际,3580,47
2013-11-12,AG,20,宏源期货,3500,-156
2013-11-13,AG,1,海通期货,16594,2768
2013-11-13,AG,2,金瑞期货,12615,588
2013-11-13,AG,3,永安期货,11611,1919
2013-11-13,AG,4,中证期货,10823,-111
2013-11-13,AG,5,南华期货,9023,1020
2013-11-13,AG,6,上海中期,8398,2609
2013-11-13,AG,7,光大期货,7432,-109
2013-11-13,AG,8,一德期货,7195,703
2013-11-13,AG,9,申万期货,7068,566
2013-11-13,AG,10,国泰君安,6601,280
2013-11-13,AG,11,经易期货,6596,1423
2013-11-13,AG,12,五矿期货,6182,-396
2013-11-13,AG,13,瑞达期货,5267,808
2013-11-13,AG,14,渤海期货,4592,3875
2013-11-13,AG,15,中信新际,4311,700
2013-11-13,AG,16,国贸期货,4153,-94
2013-11-13,AG,17,银河期货,4077,253
2013-11-13,AG,18,北京中期,3881,-180
2013-11-13,AG,19,宏源期货,3801,301
2013-11-13,AG,20,中国国际,3603,492
2013-11-14,AG,1,金瑞期货,13864,1249
2013-11-14,AG,2,海通期货,12223,-4371
2013-11-14,AG,3,中证期货,10793,-30
2013-11-14,AG,4,上海中期,9453,278
2013-11-14,AG,5,永安期货,8497,-210
2013-11-14,AG,6,南华期货,7812,-1211
2013-11-14,AG,7,一德期货,7285,-135
2013-11-14,AG,8,五矿期货,6746,564
2013-11-14,AG,9,申万期货,6361,-80
2013-11-14,AG,10,经易期货,6346,-250
2013-11-14,AG,11,国贸期货,5393,777
2013-11-14,AG,12,光大期货,4902,-1945
2013-11-14,AG,13,中信新际,4789,478
2013-11-14,AG,14,银河期货,4414,183
2013-11-14,AG,15,瑞达期货,4208,-1059
2013-11-14,AG,16,渤海期货,4049,434
2013-11-14,AG,17,云晨期货,3973,531
2013-11-14,AG,18,宏源期货,3970,169
2013-11-14,AG,19,北京中期,3964,83
2013-11-14,AG,20,大地期货,3775,2451
2013-11-15,AG,1,永安期货,15597,6770
2013-11-15,AG,2,金瑞期货,14221,357
2013-11-15,AG,3,中证期货,12540,1747
2013-11-15,AG,4,海通期货,9321,1462
2013-11-15,AG,5,上海中期,8899,84
2013-11-15,AG,6,经易期货,6939,593
2013-11-15,AG,7,一德期货,6327,759
2013-11-15,AG,8,五矿期货,6245,-501
2013-11-15,AG,9,国贸期货,6174,557
2013-11-15,AG,10,南华期货,6154,-292
2013-11-15,AG,11,申万期货,6034,-327
2013-11-15,AG,12,广发期货,5971,672
2013-11-15,AG,13,瑞达期货,5350,1142
2013-11-15,AG,14,中钢期货,5276,1904
2013-11-15,AG,15,银河期货,5003,589
2013-11-15,AG,16,中信新际,4737,-52
2013-11-15,AG,17,中国国际,4535,-171
2013-11-15,AG,18,渤海期货,4268,219
2013-11-15,AG,19,北京中期,4167,203
2013-11-15,AG,20,大地期货,3748,-27
2013-11-18,AG,1,永安期货,15768,171
2013-11-18,AG,2,金瑞期货,14219,-2
2013-11-18,AG,3,海通期货,13000,917
2013-11-18,AG,4,中证期货,12490,-36
2013-11-18,AG,5,上海中期,8896,-3
2013-11-18,AG,6,中钢期货,6442,1166
2013-11-18,AG,7,经易期货,6372,-567
2013-11-18,AG,8,五矿期货,6135,-110
2013-11-18,AG,9,一德期货,5442,-885
2013-11-18,AG,10,申万期货,5393,521
2013-11-18,AG,11,广发期货,5187,-784
2013-11-18,AG,12,渤海期货,4951,-109
2013-11-18,AG,13,银河期货,4895,-949
2013-11-18,AG,14,瑞达期货,4719,-631
2013-11-18,AG,15,南华期货,4704,1852
2013-11-18,AG,16,光大期货,4645,-368
2013-11-18,AG,17,中信新际,4631,-106
2013-11-18,AG,18,北京中期,4428,261
2013-11-18,AG,19,国贸期货,4411,2387
2013-11-18,AG,20,中国国际,4032,-503
2013-11-19,AG,1,永安期货,19390,3622
2013-11-19,AG,2,海通期货,16323,3323
2013-11-19,AG,3,金瑞期货,14773,554
2013-11-19,AG,4,中证期货,13236,746
2013-11-19,AG,5,上海中期,8046,-850
2013-11-19,AG,6,中国国际,6927,2249
2013-11-19,AG,7,一德期货,6491,1691
2013-11-19,AG,8,中钢期货,6238,-204
2013-11-19,AG,9,银河期货,6049,1154
2013-11-19,AG,10,经易期货,5837,-535
2013-11-19,AG,11,南华期货,5806,1102
2013-11-19,AG,12,国贸期货,5789,3844
2013-11-19,AG,13,国泰君安,5624,886
2013-11-19,AG,14,五矿期货,5461,64
2013-11-19,AG,15,瑞达期货,5207,488
2013-11-19,AG,16,光大期货,5027,382
2013-11-19,AG,17,申万期货,5012,-381
2013-11-19,AG,18,中信新际,4753,122
2013-11-19,AG,19,北京中期,4451,23
2013-11-19,AG,20,渤海期货,4249,195
2013-11-20,AG,1,海通期货,17288,965
2013-11-20,AG,2,永安期货,15922,-3468
2013-11-20,AG,3,金瑞期货,15345,572
2013-11-20,AG,4,中证期货,12155,-1081
2013-11-20,AG,5,国泰君安,9393,3769
2013-11-20,AG,6,申万期货,7549,1838
2013-11-20,AG,7,五矿期货,7213,930
2013-11-20,AG,8,一德期货,7009,518
2013-11-20,AG,9,上海中期,6830,102
2013-11-20,AG,10,中国国际,6536,619
2013-11-20,AG,11,广发期货,6485,1229
2013-11-20,AG,12,南华期货,6363,557
2013-11-20,AG,13,中钢期货,6174,-64
2013-11-20,AG,14,国贸期货,6101,312
2013-11-20,AG,15,银河期货,5918,881
2013-11-20,AG,16,经易期货,5911,-187
2013-11-20,AG,17,光大期货,4645,-382
2013-11-20,AG,18,瑞达期货,4582,-1318
2013-11-20,AG,19,东兴期货,4028,1047
2013-11-20,AG,20,渤海期货,4012,-237
2013-11-21,AG,1,海通期货,16745,-543
2013-11-21,AG,2,金瑞期货,15783,438
2013-11-21,AG,3,永安期货,14250,-1672
2013-11-21,AG,4,中证期货,11674,-481
2013-11-21,AG,5,银河期货,7946,1159
2013-11-21,AG,6,五矿期货,7548,335
2013-11-21,AG,7,上海中期,7486,-201
2013-11-21,AG,8,广发期货,7357,872
2013-11-21,AG,9,中信新际,6672,1484
2013-11-21,AG,10,国贸期货,6506,405
2013-11-21,AG,11,一德期货,6351,2813
2013-11-21,AG,12,中钢期货,5953,-221
2013-11-21,AG,13,经易期货,5952,-491
2013-11-21,AG,14,国泰君安,5898,-3495
2013-11-21,AG,15,中国国际,5896,-640
2013-11-21,AG,16,南华期货,5772,-591
2013-11-21,AG,17,申万期货,5771,-1778
2013-11-21,AG,18,光大期货,5137,492
2013-11-21,AG,19,万达期货,4982,2189
2013-11-21,AG,20,瑞达期货,4506,-76
2013-11-22,AG,1,金瑞期货,15211,-572
2013-11-22,AG,2,海通期货,14852,-1893
2013-11-22,AG,3,永安期货,13854,-396
2013-11-22,AG,4,中证期货,10435,-1239
2013-11-22,AG,5,五矿期货,7395,-153
2013-11-22,AG,6,银河期货,7265,-681
2013-11-22,AG,7,中国国际,7216,111
2013-11-22,AG,8,一德期货,6974,-203
2013-11-22,AG,9,国贸期货,6502,-4
2013-11-22,AG,10,南华期货,6302,530
2013-11-22,AG,11,上海中期,6247,-1239
2013-11-22,AG,12,经易期货,6033,81
2013-11-22,AG,13,东兴期货,5838,-310
2013-11-22,AG,14,中钢期货,5785,-168
2013-11-22,AG,15,广发期货,5033,211
2013-11-22,AG,16,万达期货,5002,20
2013-11-22,AG,17,国泰君安,4974,-924
2013-11-22,AG,18,中信新际,4964,-35
2013-11-22,AG,19,瑞达期货,4551,45
2013-11-22,AG,20,申万期货,4501,-10
