trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,AL,1,先融期货,10954,-140
2013-11-05,AL,2,上海中期,5367,278
2013-11-05,AL,3,国信期货,3874,100
2013-11-05,AL,4,中证期货,3416,-225
2013-11-05,AL,5,金瑞期货,3175,-676
2013-11-05,AL,6,中粮期货,3009,231
2013-11-05,AL,7,海通期货,3006,0
2013-11-05,AL,8,五矿期货,2934,-481
2013-11-05,AL,9,广发期货,2118,-131
2013-11-05,AL,10,大有期货,2063,28
2013-11-05,AL,11,光大期货,1629,51
2013-11-05,AL,12,成都倍特,1517,189
2013-11-05,AL,13,银河期货,1379,-197
2013-11-05,AL,14,英大期货,1010,0
2013-11-05,AL,15,北京首创,1000,0
2013-11-05,AL,16,中信新际,965,92
2013-11-05,AL,17,新晟期货,911,19
2013-11-05,AL,18,江海汇鑫,773,0
2013-11-05,AL,19,国联期货,732,3
2013-11-05,AL,20,方正期货,717,0
2013-11-06,AL,1,先融期货,10450,-504
2013-11-06,AL,2,上海中期,5386,19
2013-11-06,AL,3,国信期货,3983,109
2013-11-06,AL,4,中粮期货,3379,370
2013-11-06,AL,5,中证期货,3317,-99
2013-11-06,AL,6,海通期货,2956,-50
2013-11-06,AL,7,大有期货,2441,60
2013-11-06,AL,8,金瑞期货,2437,-738
2013-11-06,AL,9,五矿期货,2254,-300
2013-11-06,AL,10,广发期货,2130,12
2013-11-06,AL,11,光大期货,1684,55
2013-11-06,AL,12,成都倍特,1105,99
2013-11-06,AL,13,英大期货,1010,0
2013-11-06,AL,14,北京首创,1000,0
2013-11-06,AL,15,新晟期货,902,-9
2013-11-06,AL,16,中信新际,865,-100
2013-11-06,AL,17,江海汇鑫,774,1
2013-11-06,AL,18,申万期货,749,95
2013-11-06,AL,19,国联期货,734,2
2013-11-06,AL,20,方正期货,721,4
2013-11-07,AL,1,先融期货,10075,-375
2013-11-07,AL,2,上海中期,5430,44
2013-11-07,AL,3,国信期货,3992,9
2013-11-07,AL,4,中粮期货,3323,-56
2013-11-07,AL,5,中证期货,3304,-13
2013-11-07,AL,6,海通期货,2906,-50
2013-11-07,AL,7,大有期货,2431,-10
2013-11-07,AL,8,金瑞期货,2342,-95
2013-11-07,AL,9,广发期货,2158,28
2013-11-07,AL,10,五矿期货,2054,-200
2013-11-07,AL,11,光大期货,1688,4
2013-11-07,AL,12,英大期货,1010,0
2013-11-07,AL,13,北京首创,1000,0
2013-11-07,AL,14,新晟期货,903,1
2013-11-07,AL,15,中信新际,880,15
2013-11-07,AL,16,江海汇鑫,774,0
2013-11-07,AL,17,国联期货,735,1
2013-11-07,AL,18,方正期货,721,0
2013-11-07,AL,19,成都倍特,662,-443
2013-11-07,AL,20,申万期货,640,-109
2013-11-08,AL,1,先融期货,9931,-144
2013-11-08,AL,2,上海中期,5605,175
2013-11-08,AL,3,国信期货,3986,-6
2013-11-08,AL,4,中粮期货,3348,25
2013-11-08,AL,5,中证期货,3250,-54
2013-11-08,AL,6,海通期货,2916,10
2013-11-08,AL,7,大有期货,2431,0
2013-11-08,AL,8,金瑞期货,2262,-80
2013-11-08,AL,9,广发期货,2158,0
2013-11-08,AL,10,五矿期货,2054,0
2013-11-08,AL,11,光大期货,1703,15
2013-11-08,AL,12,英大期货,1010,0
2013-11-08,AL,13,北京首创,1000,0
2013-11-08,AL,14,中信新际,954,74
2013-11-08,AL,15,新晟期货,919,16
2013-11-08,AL,16,江海汇鑫,774,0
2013-11-08,AL,17,方正期货,721,0
2013-11-08,AL,18,申万期货,640,0
2013-11-08,AL,19,成都倍特,561,-101
2013-11-08,AL,20,银河期货,496,1
2013-11-11,AL,1,先融期货,8901,-1030
2013-11-11,AL,2,上海中期,5614,9
2013-11-11,AL,3,国信期货,4085,99
2013-11-11,AL,4,中粮期货,3534,186
2013-11-11,AL,5,中证期货,3365,115
2013-11-11,AL,6,海通期货,2911,-5
2013-11-11,AL,7,大有期货,2445,14
