trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,AL,1,中国国际,14671,31
2013-11-05,AL,2,中粮期货,11395,-645
2013-11-05,AL,3,中信新际,5430,-17
2013-11-05,AL,4,上海中期,4903,929
2013-11-05,AL,5,万达期货,3093,-132
2013-11-05,AL,6,华泰长城,2562,-1
2013-11-05,AL,7,光大期货,2500,159
2013-11-05,AL,8,五矿期货,1916,125
2013-11-05,AL,9,成都倍特,1530,-359
2013-11-05,AL,10,一德期货,1489,-12
2013-11-05,AL,11,国联期货,1431,-296
2013-11-05,AL,12,海通期货,1362,-35
2013-11-05,AL,13,国海良时,1053,-499
2013-11-05,AL,14,中证期货,761,-195
2013-11-05,AL,15,招商期货,743,-141
2013-11-05,AL,16,国投期货,680,0
2013-11-05,AL,17,北京中期,647,-2
2013-11-05,AL,18,渤海期货,565,148
2013-11-05,AL,19,财富期货,519,177
2013-11-05,AL,20,广发期货,458,0
2013-11-06,AL,1,中国国际,13739,-932
2013-11-06,AL,2,中粮期货,10883,-512
2013-11-06,AL,3,中信新际,5352,-78
2013-11-06,AL,4,上海中期,4811,-92
2013-11-06,AL,5,万达期货,3094,1
2013-11-06,AL,6,华泰长城,2569,7
2013-11-06,AL,7,五矿期货,2308,392
2013-11-06,AL,8,光大期货,1923,-577
2013-11-06,AL,9,一德期货,1504,15
2013-11-06,AL,10,国联期货,1447,21
2013-11-06,AL,11,海通期货,1366,4
2013-11-06,AL,12,国海良时,1053,0
2013-11-06,AL,13,成都倍特,808,-731
2013-11-06,AL,14,中证期货,711,-50
2013-11-06,AL,15,国投期货,680,0
2013-11-06,AL,16,北京中期,626,-21
2013-11-06,AL,17,渤海期货,609,-1
2013-11-06,AL,18,广发期货,604,26
2013-11-06,AL,19,招商期货,603,-140
2013-11-06,AL,20,东兴期货,545,128
2013-11-07,AL,1,中国国际,13670,-69
2013-11-07,AL,2,中粮期货,10674,-209
2013-11-07,AL,3,中信新际,5068,-127
2013-11-07,AL,4,上海中期,4884,73
2013-11-07,AL,5,万达期货,2942,-152
2013-11-07,AL,6,光大期货,2323,400
2013-11-07,AL,7,五矿期货,2308,0
2013-11-07,AL,8,华泰长城,2121,-448
2013-11-07,AL,9,一德期货,1504,0
2013-11-07,AL,10,海通期货,1361,-5
2013-11-07,AL,11,国联期货,1206,-261
2013-11-07,AL,12,国海良时,773,0
2013-11-07,AL,13,中证期货,695,-16
2013-11-07,AL,14,国投期货,680,0
2013-11-07,AL,15,广发期货,671,67
2013-11-07,AL,16,北京中期,616,0
2013-11-07,AL,17,招商期货,609,6
2013-11-07,AL,18,渤海期货,605,146
2013-11-07,AL,19,财富期货,604,172
2013-11-07,AL,20,东兴期货,545,0
2013-11-08,AL,1,中国国际,13590,-80
2013-11-08,AL,2,中粮期货,10936,262
2013-11-08,AL,3,中信新际,5048,-20
2013-11-08,AL,4,上海中期,4541,-343
2013-11-08,AL,5,万达期货,2853,-89
2013-11-08,AL,6,光大期货,2731,408
2013-11-08,AL,7,五矿期货,2304,-4
2013-11-08,AL,8,华泰长城,1924,-197
2013-11-08,AL,9,一德期货,1504,0
2013-11-08,AL,10,海通期货,1361,0
2013-11-08,AL,11,国联期货,1209,3
2013-11-08,AL,12,财富期货,726,122
2013-11-08,AL,13,中证期货,706,11
2013-11-08,AL,14,国投期货,680,0
2013-11-08,AL,15,北京中期,615,-1
2013-11-08,AL,16,渤海期货,605,0
2013-11-08,AL,17,广发期货,584,-87
2013-11-08,AL,18,东兴期货,545,0
2013-11-08,AL,19,招商期货,529,-80
2013-11-08,AL,20,国海良时,510,-263
2013-11-11,AL,1,中国国际,13593,3
2013-11-11,AL,2,中粮期货,11008,72
2013-11-11,AL,3,中信新际,5196,148
2013-11-11,AL,4,上海中期,4413,-128
2013-11-11,AL,5,万达期货,2853,0
2013-11-11,AL,6,光大期货,2728,-3
2013-11-11,AL,7,五矿期货,2724,420
2013-11-11,AL,8,华泰长城,1591,-333
2013-11-11,AL,9,一德期货,1449,-55
2013-11-11,AL,10,海通期货,1361,0
2013-11-11,AL,11,国联期货,1209,0
2013-11-11,AL,12,中证期货,780,74
2013-11-11,AL,13,国投期货,680,0
2013-11-11,AL,14,财富期货,667,-59
2013-11-11,AL,15,广发期货,650,61
2013-11-11,AL,16,北京中期,615,0
2013-11-11,AL,17,渤海期货,605,0
2013-11-11,AL,18,成都倍特,584,127
2013-11-11,AL,19,东兴期货,545,0
2013-11-11,AL,20,国海良时,510,0
2013-11-12,AL,1,中国国际,13327,-266
2013-11-12,AL,2,中粮期货,10469,-539
2013-11-12,AL,3,中信新际,5457,261
2013-11-12,AL,4,上海中期,4461,48
2013-11-12,AL,5,光大期货,3317,589
2013-11-12,AL,6,五矿期货,2703,-21
2013-11-12,AL,7,万达期货,2681,-172
2013-11-12,AL,8,一德期货,1509,60
2013-11-12,AL,9,海通期货,1368,7
2013-11-12,AL,10,华泰长城,1323,-268
2013-11-12,AL,11,国联期货,1086,-123
2013-11-12,AL,12,财富期货,1034,367
2013-11-12,AL,13,国投期货,680,0
2013-11-12,AL,14,中证期货,654,-126
2013-11-12,AL,15,北京中期,621,6
2013-11-12,AL,16,渤海期货,605,0
2013-11-12,AL,17,东兴期货,545,0
2013-11-12,AL,18,成都倍特,533,61
2013-11-12,AL,19,国海良时,510,0
2013-11-12,AL,20,天鸿期货,357,0
2013-11-13,AL,1,中国国际,13510,183
2013-11-13,AL,2,中粮期货,9617,-852
2013-11-13,AL,3,中信新际,6097,640
2013-11-13,AL,4,上海中期,4060,-401
2013-11-13,AL,5,光大期货,3766,449
2013-11-13,AL,6,五矿期货,2677,-26
2013-11-13,AL,7,万达期货,2562,-119
2013-11-13,AL,8,一德期货,1509,0
2013-11-13,AL,9,海通期货,1395,24
2013-11-13,AL,10,财富期货,1071,37
2013-11-13,AL,11,国联期货,1067,1
2013-11-13,AL,12,华泰长城,687,-636
2013-11-13,AL,13,国投期货,680,0
2013-11-13,AL,14,国信期货,673,423
2013-11-13,AL,15,东兴期货,625,80
2013-11-13,AL,16,北京中期,618,-3
2013-11-13,AL,17,渤海期货,605,0
2013-11-13,AL,18,国海良时,510,0
2013-11-13,AL,19,中证期货,480,-132
2013-11-13,AL,20,安信期货,418,160
2013-11-14,AL,1,中国国际,13088,-422
2013-11-14,AL,2,中粮期货,9514,-103
2013-11-14,AL,3,中信新际,6518,421
2013-11-14,AL,4,光大期货,4455,689
2013-11-14,AL,5,上海中期,4174,114
2013-11-14,AL,6,五矿期货,2672,-5
2013-11-14,AL,7,万达期货,2559,-3
2013-11-14,AL,8,一德期货,1509,0
2013-11-14,AL,9,海通期货,1394,-1
2013-11-14,AL,10,财富期货,1116,45
2013-11-14,AL,11,国信期货,818,140
2013-11-14,AL,12,国投期货,680,0
2013-11-14,AL,13,金瑞期货,660,277
2013-11-14,AL,14,华泰长城,632,-55
2013-11-14,AL,15,东兴期货,625,0
2013-11-14,AL,16,北京中期,622,4
2013-11-14,AL,17,渤海期货,605,0
2013-11-14,AL,18,国海良时,510,0
2013-11-14,AL,19,安信期货,505,87
2013-11-14,AL,20,中证期货,504,24
2013-11-15,AL,1,中国国际,13751,683
2013-11-15,AL,2,中粮期货,9290,-224
2013-11-15,AL,3,中信新际,6505,-3
2013-11-15,AL,4,光大期货,4525,165
2013-11-15,AL,5,上海中期,3693,-481
2013-11-15,AL,6,五矿期货,2691,19
2013-11-15,AL,7,万达期货,2109,-450
2013-11-15,AL,8,海通期货,1878,484
2013-11-15,AL,9,财富期货,1325,209
2013-11-15,AL,10,一德期货,1271,-238
2013-11-15,AL,11,成都倍特,983,599
2013-11-15,AL,12,金瑞期货,845,185
2013-11-15,AL,13,晟鑫期货,754,754
2013-11-15,AL,14,国投期货,680,0
2013-11-15,AL,15,国信期货,673,0
2013-11-15,AL,16,华泰长城,667,35
2013-11-15,AL,17,东兴期货,665,40
2013-11-15,AL,18,渤海期货,632,23
2013-11-15,AL,19,北京中期,622,0
2013-11-15,AL,20,国海良时,510,0
2013-11-18,AL,1,中国国际,13762,11
2013-11-18,AL,2,中粮期货,8448,-652
2013-11-18,AL,3,中信新际,7699,1002
2013-11-18,AL,4,光大期货,4413,-112
2013-11-18,AL,5,上海中期,3380,-303
2013-11-18,AL,6,五矿期货,2594,3
2013-11-18,AL,7,海通期货,1881,3
2013-11-18,AL,8,万达期货,1390,-204
2013-11-18,AL,9,财富期货,1350,25
2013-11-18,AL,10,一德期货,1271,0
2013-11-18,AL,11,晟鑫期货,1071,317
2013-11-18,AL,12,成都倍特,1001,18
2013-11-18,AL,13,金瑞期货,844,-1
2013-11-18,AL,14,国信期货,781,6
2013-11-18,AL,15,国投期货,680,0
2013-11-18,AL,16,东兴期货,665,0
2013-11-18,AL,17,华泰长城,649,-18
2013-11-18,AL,18,渤海期货,629,-3
2013-11-18,AL,19,北京中期,619,-3
2013-11-18,AL,20,安信期货,480,0
2013-11-19,AL,1,中国国际,16868,381
2013-11-19,AL,2,中粮期货,10913,43
2013-11-19,AL,3,中信新际,8095,396
2013-11-19,AL,4,光大期货,6832,2
2013-11-19,AL,5,上海中期,3285,-95
2013-11-19,AL,6,五矿期货,3109,-580
2013-11-19,AL,7,晟鑫期货,2149,119
2013-11-19,AL,8,海通期货,1972,91
2013-11-19,AL,9,万达期货,1916,-218
2013-11-19,AL,10,华泰长城,1518,39
2013-11-19,AL,11,财富期货,1378,28
2013-11-19,AL,12,一德期货,1288,17
2013-11-19,AL,13,成都倍特,1116,62
2013-11-19,AL,14,国泰君安,976,30
2013-11-19,AL,15,金瑞期货,917,0
2013-11-19,AL,16,国海良时,811,0
2013-11-19,AL,17,国信期货,788,7
2013-11-19,AL,18,东兴期货,733,-12
2013-11-19,AL,19,天鸿期货,697,170
2013-11-19,AL,20,国投期货,680,0
2013-11-20,AL,1,中国国际,15370,-1498
2013-11-20,AL,2,中粮期货,9362,-1551
2013-11-20,AL,3,中信新际,9210,1083
2013-11-20,AL,4,光大期货,7268,436
2013-11-20,AL,5,上海中期,3801,516
2013-11-20,AL,6,五矿期货,3028,-81
2013-11-20,AL,7,晟鑫期货,2649,500
2013-11-20,AL,8,海通期货,1863,-109
2013-11-20,AL,9,万达期货,1809,-302
2013-11-20,AL,10,财富期货,1556,25
2013-11-20,AL,11,一德期货,1339,0
2013-11-20,AL,12,华泰长城,1153,-11
2013-11-20,AL,13,东兴期货,1039,306
2013-11-20,AL,14,成都倍特,1032,-2
2013-11-20,AL,15,金瑞期货,901,-16
2013-11-20,AL,16,国泰君安,895,-61
2013-11-20,AL,17,国信期货,801,13
2013-11-20,AL,18,天鸿期货,697,0
2013-11-20,AL,19,国投期货,680,0
2013-11-20,AL,20,渤海期货,649,20
2013-11-21,AL,1,中国国际,15898,528
2013-11-21,AL,2,中粮期货,9265,-97
2013-11-21,AL,3,中信新际,8383,-827
2013-11-21,AL,4,光大期货,8059,791
2013-11-21,AL,5,上海中期,4075,274
2013-11-21,AL,6,五矿期货,3121,93
2013-11-21,AL,7,晟鑫期货,2649,0
2013-11-21,AL,8,财富期货,2434,878
2013-11-21,AL,9,海通期货,2198,335
2013-11-21,AL,10,万达期货,1849,40
2013-11-21,AL,11,金瑞期货,1523,622
