trading_date,commodity_id,rank,member_name,volume,volume_change
2017-12-22,AP,1,永安期货,758,758
2017-12-22,AP,2,徽商期货,459,459
2017-12-22,AP,3,方正中期,446,446
2017-12-22,AP,4,中信期货,420,420
2017-12-22,AP,5,浙商期货,376,376
2017-12-22,AP,6,金瑞期货,364,364
2017-12-22,AP,7,东航期货,324,324
2017-12-22,AP,8,中信建投,315,315
2017-12-22,AP,9,华安期货,307,307
2017-12-22,AP,10,申银万国,300,300
2017-12-22,AP,11,海通期货,278,278
2017-12-22,AP,12,光大期货,270,270
2017-12-22,AP,13,平安期货,266,266
2017-12-22,AP,14,鲁证期货,262,262
2017-12-22,AP,15,弘业期货,257,257
2017-12-22,AP,16,国泰君安,256,256
2017-12-22,AP,17,金元期货,255,255
2017-12-22,AP,18,恒泰期货,254,254
2017-12-22,AP,19,国信期货,234,234
2017-12-22,AP,20,迈科期货,234,234
2017-12-25,AP,1,东海期货,1063,1010
2017-12-25,AP,2,永安期货,845,87
2017-12-25,AP,3,方正中期,736,290
2017-12-25,AP,4,徽商期货,674,215
2017-12-25,AP,5,冠通期货,574,547
2017-12-25,AP,6,东航期货,532,208
2017-12-25,AP,7,浙商期货,479,103
2017-12-25,AP,8,国泰君安,469,213
2017-12-25,AP,9,英大期货,442,272
2017-12-25,AP,10,金瑞期货,435,71
2017-12-25,AP,11,安粮期货,433,276
2017-12-25,AP,12,光大期货,427,157
2017-12-25,AP,13,中信期货,389,-31
2017-12-25,AP,14,华安期货,389,82
2017-12-25,AP,15,银河期货,350,120
2017-12-25,AP,16,国投安信期货,339,222
2017-12-25,AP,17,南华期货,330,139
2017-12-25,AP,18,华泰期货,324,104
2017-12-25,AP,19,国信期货,313,79
2017-12-25,AP,20,中信建投,304,-11
2017-12-26,AP,1,永安期货,924,79
2017-12-26,AP,2,冠通期货,501,-73
2017-12-26,AP,3,徽商期货,479,-195
2017-12-26,AP,4,上海大陆,471,299
2017-12-26,AP,5,海通期货,459,191
2017-12-26,AP,6,方正中期,457,-279
2017-12-26,AP,7,东航期货,384,-148
2017-12-26,AP,8,国泰君安,384,-85
2017-12-26,AP,9,中信期货,378,-11
2017-12-26,AP,10,银河期货,367,17
2017-12-26,AP,11,浙商期货,356,-123
2017-12-26,AP,12,光大期货,350,-77
2017-12-26,AP,13,南华期货,339,9
2017-12-26,AP,14,英大期货,336,-106
2017-12-26,AP,15,金瑞期货,333,-102
2017-12-26,AP,16,申银万国,323,45
2017-12-26,AP,17,东海期货,323,-740
2017-12-26,AP,18,美尔雅,307,118
2017-12-26,AP,19,华安期货,303,-86
2017-12-26,AP,20,中信建投,300,-4
2017-12-27,AP,1,永安期货,973,49
2017-12-27,AP,2,国信期货,391,98
2017-12-27,AP,3,东航期货,371,-13
2017-12-27,AP,4,南华期货,368,29
2017-12-27,AP,5,光大期货,354,4
2017-12-27,AP,6,银河期货,348,-19
2017-12-27,AP,7,华泰期货,337,42
2017-12-27,AP,8,方正中期,333,-124
2017-12-27,AP,9,中信期货,327,-51
2017-12-27,AP,10,冠通期货,321,-180
2017-12-27,AP,11,英大期货,305,-31
2017-12-27,AP,12,申银万国,303,-20
2017-12-27,AP,13,浙商期货,302,-54
2017-12-27,AP,14,华安期货,300,-3
2017-12-27,AP,15,金瑞期货,299,-34
2017-12-27,AP,16,美尔雅,297,-10
2017-12-27,AP,17,国泰君安,295,-89
2017-12-27,AP,18,徽商期货,284,-195
2017-12-27,AP,19,东海期货,274,-49
2017-12-27,AP,20,华信期货,253,44
2017-12-28,AP,1,永安期货,974,1
2017-12-28,AP,2,光大期货,449,95
2017-12-28,AP,3,中信期货,377,50
2017-12-28,AP,4,东航期货,353,-18
2017-12-28,AP,5,国信期货,347,-44
2017-12-28,AP,6,申银万国,311,8
2017-12-28,AP,7,南华期货,311,-57
2017-12-28,AP,8,英大期货,300,-5
2017-12-28,AP,9,方正中期,293,-40
2017-12-28,AP,10,美尔雅,293,-4
2017-12-28,AP,11,华泰期货,279,-58
2017-12-28,AP,12,银河期货,265,-83
2017-12-28,AP,13,徽商期货,263,-21
2017-12-28,AP,14,华安期货,247,-53
2017-12-28,AP,15,海通期货,235,47
2017-12-28,AP,16,华信期货,232,-21
2017-12-28,AP,17,国泰君安,224,-71
2017-12-28,AP,18,浙商期货,221,-81
2017-12-28,AP,19,广发期货,205,-24
2017-12-28,AP,20,金元期货,191,-7
2017-12-29,AP,1,永安期货,921,-53
2017-12-29,AP,2,国信期货,345,-2
2017-12-29,AP,3,光大期货,336,-113
2017-12-29,AP,4,申银万国,331,20
2017-12-29,AP,5,东航期货,323,-30
2017-12-29,AP,6,方正中期,318,25
2017-12-29,AP,7,南华期货,306,-5
2017-12-29,AP,8,英大期货,303,3
2017-12-29,AP,9,中信期货,272,-105
2017-12-29,AP,10,华泰期货,240,-39
2017-12-29,AP,11,国泰君安,234,10
2017-12-29,AP,12,华安期货,222,-25
2017-12-29,AP,13,徽商期货,218,-45
2017-12-29,AP,14,华信期货,218,-14
2017-12-29,AP,15,美尔雅,216,-77
2017-12-29,AP,16,银河期货,214,-51
2017-12-29,AP,17,鲁证期货,209,26
2017-12-29,AP,18,浙商期货,191,-30
2017-12-29,AP,19,中信建投,167,7
2017-12-29,AP,20,广发期货,157,-48
2018-01-02,AP,1,永安期货,851,-70
2018-01-02,AP,2,国信期货,341,-4
2018-01-02,AP,3,申银万国,327,-4
2018-01-02,AP,4,光大期货,327,-9
2018-01-02,AP,5,英大期货,311,8
2018-01-02,AP,6,东航期货,299,-24
2018-01-02,AP,7,方正中期,290,-28
2018-01-02,AP,8,南华期货,283,-23
2018-01-02,AP,9,中信期货,257,-15
2018-01-02,AP,10,国泰君安,222,-12
2018-01-02,AP,11,华泰期货,214,-26
2018-01-02,AP,12,华安期货,211,-11
2018-01-02,AP,13,中信建投,181,14
2018-01-02,AP,14,银河期货,177,-37
2018-01-02,AP,15,浙商期货,173,-18
2018-01-02,AP,16,徽商期货,169,-49
2018-01-02,AP,17,海通期货,153,2
2018-01-02,AP,18,长江期货,146,-3
2018-01-02,AP,19,国海良时,135,-9
2018-01-02,AP,20,东海期货,132,7
2018-01-03,AP,1,永安期货,880,29
2018-01-03,AP,2,国信期货,330,-11
2018-01-03,AP,3,方正中期,303,13
2018-01-03,AP,4,英大期货,300,-11
2018-01-03,AP,5,东航期货,285,-14
2018-01-03,AP,6,中信期货,282,25
2018-01-03,AP,7,光大期货,277,-50
2018-01-03,AP,8,南华期货,277,-6
2018-01-03,AP,9,申银万国,260,-67
2018-01-03,AP,10,华泰期货,210,-4
2018-01-03,AP,11,华安期货,209,-2
2018-01-03,AP,12,国泰君安,206,-16
2018-01-03,AP,13,中信建投,196,15
2018-01-03,AP,14,徽商期货,174,5
2018-01-03,AP,15,银河期货,167,-10
2018-01-03,AP,16,海通期货,153,0
2018-01-03,AP,17,长江期货,147,1
2018-01-03,AP,18,浙商期货,139,-34
2018-01-03,AP,19,国海良时,137,2
2018-01-03,AP,20,首创期货,131,-1
2018-01-04,AP,1,永安期货,837,-43
2018-01-04,AP,2,国信期货,322,-8
2018-01-04,AP,3,方正中期,310,7
2018-01-04,AP,4,东航期货,304,19
2018-01-04,AP,5,英大期货,299,-1
2018-01-04,AP,6,光大期货,279,2
2018-01-04,AP,7,中信期货,267,-15
2018-01-04,AP,8,南华期货,261,-16
2018-01-04,AP,9,申银万国,248,-12
2018-01-04,AP,10,中信建投,199,3
2018-01-04,AP,11,徽商期货,191,17
2018-01-04,AP,12,冠通期货,191,82
2018-01-04,AP,13,华安期货,190,-19
2018-01-04,AP,14,国泰君安,187,-19
2018-01-04,AP,15,华泰期货,180,-30
2018-01-04,AP,16,海通期货,156,3
2018-01-04,AP,17,银河期货,149,-18
2018-01-04,AP,18,长江期货,138,-9
2018-01-04,AP,19,国海良时,137,0
2018-01-04,AP,20,首创期货,131,0
2018-01-05,AP,1,永安期货,730,-107
2018-01-05,AP,2,国信期货,312,-10
2018-01-05,AP,3,中信期货,300,33
2018-01-05,AP,4,英大期货,294,-5
2018-01-05,AP,5,东航期货,275,-29
2018-01-05,AP,6,南华期货,259,-2
2018-01-05,AP,7,光大期货,248,-31
2018-01-05,AP,8,方正中期,241,-69
2018-01-05,AP,9,申银万国,239,-9
2018-01-05,AP,10,中信建投,211,12
2018-01-05,AP,11,华泰期货,177,-3
2018-01-05,AP,12,华安期货,175,-15
2018-01-05,AP,13,国泰君安,163,-24
2018-01-05,AP,14,海通期货,157,1
2018-01-05,AP,15,徽商期货,150,-41
2018-01-05,AP,16,国海良时,138,1
2018-01-05,AP,17,银河期货,133,-16
2018-01-05,AP,18,长江期货,129,-9
2018-01-05,AP,19,华信期货,120,-5
2018-01-05,AP,20,大地期货,112,-6
2018-01-08,AP,1,永安期货,724,-6
2018-01-08,AP,2,英大期货,295,1
2018-01-08,AP,3,国信期货,290,-22
2018-01-08,AP,4,中信期货,282,-18
2018-01-08,AP,5,南华期货,265,6
2018-01-08,AP,6,方正中期,251,10
2018-01-08,AP,7,东航期货,233,-42
2018-01-08,AP,8,申银万国,218,-21
2018-01-08,AP,9,中信建投,207,-4
2018-01-08,AP,10,光大期货,190,-58
2018-01-08,AP,11,银河期货,185,52
2018-01-08,AP,12,华泰期货,184,7
2018-01-08,AP,13,国泰君安,155,-8
2018-01-08,AP,14,徽商期货,138,-12
2018-01-08,AP,15,国海良时,132,-6
2018-01-08,AP,16,海通期货,131,-26
2018-01-08,AP,17,长江期货,122,-7
2018-01-08,AP,18,华安期货,120,-55
2018-01-08,AP,19,浙商期货,115,14
2018-01-08,AP,20,东海期货,110,-1
2018-01-09,AP,1,永安期货,679,-45
2018-01-09,AP,2,中信期货,574,292
2018-01-09,AP,3,冠通期货,464,363
2018-01-09,AP,4,国信期货,364,74
2018-01-09,AP,5,英大期货,331,36
2018-01-09,AP,6,南华期货,312,47
2018-01-09,AP,7,安粮期货,301,223
2018-01-09,AP,8,东航期货,292,59
2018-01-09,AP,9,招商期货,266,228
2018-01-09,AP,10,银河期货,247,62
2018-01-09,AP,11,方正中期,238,-13
2018-01-09,AP,12,申银万国,221,3
2018-01-09,AP,13,华泰期货,217,33
2018-01-09,AP,14,中信建投,212,5
2018-01-09,AP,15,国泰君安,207,52
2018-01-09,AP,16,华安期货,176,56
2018-01-09,AP,17,格林大华期货,166,63
2018-01-09,AP,18,徽商期货,159,21
2018-01-09,AP,19,国海良时,153,21
2018-01-09,AP,20,海通期货,145,14
2018-01-10,AP,1,永安期货,670,-9
2018-01-10,AP,2,中信期货,644,70
2018-01-10,AP,3,冠通期货,465,1
2018-01-10,AP,4,国信期货,375,11
2018-01-10,AP,5,英大期货,327,-4
2018-01-10,AP,6,南华期货,316,4
2018-01-10,AP,7,东航期货,308,16
2018-01-10,AP,8,招商期货,292,26
2018-01-10,AP,9,安粮期货,275,-26
2018-01-10,AP,10,国泰君安,267,60
2018-01-10,AP,11,方正中期,257,19
2018-01-10,AP,12,申银万国,201,-20
2018-01-10,AP,13,银河期货,196,-51
2018-01-10,AP,14,华泰期货,195,-22
2018-01-10,AP,15,徽商期货,175,16
2018-01-10,AP,16,中信建投,168,-44
2018-01-10,AP,17,光大期货,165,22
2018-01-10,AP,18,格林大华期货,164,-2
2018-01-10,AP,19,长江期货,148,33
2018-01-10,AP,20,国海良时,148,-5
2018-01-11,AP,1,永安期货,691,21
2018-01-11,AP,2,中信期货,652,8
2018-01-11,AP,3,冠通期货,526,61
2018-01-11,AP,4,国信期货,418,43
2018-01-11,AP,5,南华期货,365,49
2018-01-11,AP,6,东航期货,358,50
2018-01-11,AP,7,招商期货,346,54
2018-01-11,AP,8,国泰君安,328,61
2018-01-11,AP,9,方正中期,315,58
2018-01-11,AP,10,英大期货,297,-30
2018-01-11,AP,11,中信建投,280,112
2018-01-11,AP,12,安粮期货,257,-18
2018-01-11,AP,13,银河期货,256,60
2018-01-11,AP,14,申银万国,253,52
2018-01-11,AP,15,徽商期货,248,73
2018-01-11,AP,16,鲁证期货,217,94
2018-01-11,AP,17,国海良时,208,60
2018-01-11,AP,18,华泰期货,200,5
2018-01-11,AP,19,长江期货,184,36
2018-01-11,AP,20,浙商期货,183,71
2018-01-12,AP,1,永安期货,721,30
2018-01-12,AP,2,中信期货,675,23
2018-01-12,AP,3,冠通期货,508,-18
2018-01-12,AP,4,国信期货,465,47
2018-01-12,AP,5,方正中期,425,110
2018-01-12,AP,6,南华期货,423,58
2018-01-12,AP,7,银河期货,372,116
2018-01-12,AP,8,东航期货,365,7
