trading_date,commodity_id,rank,member_name,volume,volume_change
2017-12-22,AP,1,徽商期货,1134,1134
2017-12-22,AP,2,中信期货,870,870
2017-12-22,AP,3,海通期货,740,740
2017-12-22,AP,4,国泰君安,465,465
2017-12-22,AP,5,东航期货,448,448
2017-12-22,AP,6,永安期货,425,425
2017-12-22,AP,7,方正中期,373,373
2017-12-22,AP,8,弘业期货,346,346
2017-12-22,AP,9,中信建投,304,304
2017-12-22,AP,10,申银万国,296,296
2017-12-22,AP,11,倍特期货,282,282
2017-12-22,AP,12,鲁证期货,281,281
2017-12-22,AP,13,华安期货,281,281
2017-12-22,AP,14,东证期货,276,276
2017-12-22,AP,15,国投安信期货,258,258
2017-12-22,AP,16,银河期货,249,249
2017-12-22,AP,17,西南期货,227,227
2017-12-22,AP,18,格林大华期货,226,226
2017-12-22,AP,19,国信期货,214,214
2017-12-22,AP,20,上海中财,208,208
2017-12-25,AP,1,徽商期货,1269,135
2017-12-25,AP,2,东海期货,1258,1151
2017-12-25,AP,3,中信期货,937,67
2017-12-25,AP,4,海通期货,730,-10
2017-12-25,AP,5,永安期货,562,137
2017-12-25,AP,6,华安期货,493,212
2017-12-25,AP,7,东航期货,466,18
2017-12-25,AP,8,英大期货,444,336
2017-12-25,AP,9,方正中期,443,70
2017-12-25,AP,10,美尔雅,414,256
2017-12-25,AP,11,国泰君安,394,-71
2017-12-25,AP,12,国投安信期货,391,133
2017-12-25,AP,13,华泰期货,382,220
2017-12-25,AP,14,银河期货,376,127
2017-12-25,AP,15,西南期货,369,142
2017-12-25,AP,16,格林大华期货,359,133
2017-12-25,AP,17,倍特期货,355,73
2017-12-25,AP,18,深圳瑞龙,355,252
2017-12-25,AP,19,中信建投,336,32
2017-12-25,AP,20,鲁证期货,322,41
2017-12-26,AP,1,徽商期货,960,-309
2017-12-26,AP,2,海通期货,898,168
2017-12-26,AP,3,中信期货,689,-248
2017-12-26,AP,4,永安期货,583,21
2017-12-26,AP,5,倍特期货,526,171
2017-12-26,AP,6,方正中期,519,76
2017-12-26,AP,7,银河期货,464,88
2017-12-26,AP,8,国泰君安,454,60
2017-12-26,AP,9,鲁证期货,426,104
2017-12-26,AP,10,上海大陆,401,210
2017-12-26,AP,11,美尔雅,400,-14
2017-12-26,AP,12,西南期货,368,-1
2017-12-26,AP,13,广州期货,347,117
2017-12-26,AP,14,东海期货,341,-917
2017-12-26,AP,15,申银万国,336,57
2017-12-26,AP,16,东航期货,325,-141
2017-12-26,AP,17,国投安信期货,310,-81
2017-12-26,AP,18,中信建投,300,-36
2017-12-26,AP,19,东证期货,298,23
2017-12-26,AP,20,英大期货,292,-152
2017-12-27,AP,1,徽商期货,1150,190
2017-12-27,AP,2,海通期货,606,-292
2017-12-27,AP,3,永安期货,564,-19
2017-12-27,AP,4,银河期货,496,32
2017-12-27,AP,5,倍特期货,491,-35
2017-12-27,AP,6,国泰君安,421,-33
2017-12-27,AP,7,东航期货,418,93
2017-12-27,AP,8,鲁证期货,401,-25
2017-12-27,AP,9,美尔雅,363,-37
2017-12-27,AP,10,方正中期,343,-176
2017-12-27,AP,11,西南期货,340,-28
