trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,AU,1,银河期货,7256,298
2013-11-05,AU,2,金瑞期货,4933,-36
2013-11-05,AU,3,冠通期货,4774,0
2013-11-05,AU,4,北京中期,3356,8
2013-11-05,AU,5,招金期货,2651,46
2013-11-05,AU,6,云晨期货,2606,0
2013-11-05,AU,7,光大期货,2565,-4
2013-11-05,AU,8,中原期货,1620,-15
2013-11-05,AU,9,格林期货,1563,113
2013-11-05,AU,10,迈科期货,1532,273
2013-11-05,AU,11,浙商期货,1370,-10
2013-11-05,AU,12,海通期货,1327,-98
2013-11-05,AU,13,鲁证期货,1310,-2
2013-11-05,AU,14,招商期货,1235,-96
2013-11-05,AU,15,中证期货,1217,4
2013-11-05,AU,16,申万期货,1163,-60
2013-11-05,AU,17,新湖期货,877,67
2013-11-05,AU,18,华泰长城,596,-11
2013-11-05,AU,19,南华期货,536,-179
2013-11-05,AU,20,长江期货,478,19
2013-11-06,AU,1,银河期货,7259,3
2013-11-06,AU,2,冠通期货,4774,0
2013-11-06,AU,3,金瑞期货,4014,2
2013-11-06,AU,4,北京中期,3279,-77
2013-11-06,AU,5,招金期货,2760,109
2013-11-06,AU,6,光大期货,2636,71
2013-11-06,AU,7,云晨期货,2606,0
2013-11-06,AU,8,浙商期货,1889,519
2013-11-06,AU,9,中原期货,1634,14
2013-11-06,AU,10,迈科期货,1535,3
2013-11-06,AU,11,海通期货,1433,106
2013-11-06,AU,12,格林期货,1358,-205
2013-11-06,AU,13,鲁证期货,1323,13
2013-11-06,AU,14,中证期货,1221,4
2013-11-06,AU,15,申万期货,1188,25
2013-11-06,AU,16,新湖期货,999,122
2013-11-06,AU,17,招商期货,968,-267
2013-11-06,AU,18,南华期货,849,55
2013-11-06,AU,19,国海良时,651,496
2013-11-06,AU,20,华泰长城,608,12
2013-11-07,AU,1,银河期货,7161,-98
2013-11-07,AU,2,冠通期货,4774,0
2013-11-07,AU,3,金瑞期货,4012,-2
2013-11-07,AU,4,北京中期,3262,-17
2013-11-07,AU,5,招金期货,3234,474
