trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,AU,1,招金期货,3736,61
2013-11-05,AU,2,国贸期货,2316,297
2013-11-05,AU,3,上海金源,2096,0
2013-11-05,AU,4,海通期货,2051,-254
2013-11-05,AU,5,广发期货,1454,174
2013-11-05,AU,6,银河期货,1378,88
2013-11-05,AU,7,中投期货,1215,214
2013-11-05,AU,8,金瑞期货,1174,279
2013-11-05,AU,9,国泰君安,1085,178
2013-11-05,AU,10,新湖期货,895,-16
2013-11-05,AU,11,北京首创,763,-2
2013-11-05,AU,12,中证期货,713,-91
2013-11-05,AU,13,安信期货,560,-17
2013-11-05,AU,14,中原期货,556,8
2013-11-05,AU,15,永安期货,535,-306
2013-11-05,AU,16,经易期货,411,4
2013-11-05,AU,17,中国国际,392,20
2013-11-05,AU,18,南华期货,374,6
2013-11-05,AU,19,国海良时,365,36
2013-11-05,AU,20,中信建投,310,-23
2013-11-06,AU,1,招金期货,3739,3
2013-11-06,AU,2,国贸期货,2315,-1
2013-11-06,AU,3,海通期货,2210,159
2013-11-06,AU,4,上海金源,2051,-45
2013-11-06,AU,5,广发期货,1648,-67
2013-11-06,AU,6,中投期货,1398,183
2013-11-06,AU,7,中证期货,1311,598
2013-11-06,AU,8,金瑞期货,1206,32
2013-11-06,AU,9,银河期货,1125,-253
2013-11-06,AU,10,新湖期货,898,3
2013-11-06,AU,11,北京首创,738,-25
2013-11-06,AU,12,浙商期货,574,416
2013-11-06,AU,13,中国国际,567,175
2013-11-06,AU,14,中原期货,560,4
2013-11-06,AU,15,安信期货,552,-8
2013-11-06,AU,16,国泰君安,528,-557
2013-11-06,AU,17,南华期货,389,15
2013-11-06,AU,18,经易期货,388,-23
2013-11-06,AU,19,中信建投,357,47
2013-11-06,AU,20,国海良时,315,-50
2013-11-07,AU,1,招金期货,3683,-56
2013-11-07,AU,2,国贸期货,2624,309
2013-11-07,AU,3,海通期货,2195,-15
2013-11-07,AU,4,上海金源,2044,-7
2013-11-07,AU,5,金瑞期货,1719,513
2013-11-07,AU,6,银河期货,1383,258
2013-11-07,AU,7,中投期货,1184,-214
2013-11-07,AU,8,新湖期货,897,-1
2013-11-07,AU,9,浙商期货,705,131
2013-11-07,AU,10,中证期货,699,-612
2013-11-07,AU,11,安信期货,552,0
2013-11-07,AU,12,国泰君安,536,8
2013-11-07,AU,13,中原期货,534,-26
2013-11-07,AU,14,南华期货,397,8
2013-11-07,AU,15,国海良时,389,74
2013-11-07,AU,16,北京首创,385,0
2013-11-07,AU,17,广发期货,382,-1005
2013-11-07,AU,18,经易期货,380,-8
2013-11-07,AU,19,中信建投,342,-15
2013-11-07,AU,20,中国国际,336,-231
2013-11-08,AU,1,招金期货,3557,-126
2013-11-08,AU,2,国贸期货,2622,-2
2013-11-08,AU,3,中投期货,2043,675
2013-11-08,AU,4,上海金源,1994,-50
2013-11-08,AU,5,海通期货,1891,-304
2013-11-08,AU,6,金瑞期货,1606,175
2013-11-08,AU,7,银河期货,1458,75
2013-11-08,AU,8,新湖期货,920,23
2013-11-08,AU,9,广发期货,910,528
2013-11-08,AU,10,中证期货,748,49
2013-11-08,AU,11,北京首创,677,30
2013-11-08,AU,12,申万期货,662,513
2013-11-08,AU,13,浙商期货,595,-110
2013-11-08,AU,14,安信期货,544,-8
2013-11-08,AU,15,中原期货,519,-15
2013-11-08,AU,16,国泰君安,479,-57
2013-11-08,AU,17,一德期货,431,228
2013-11-08,AU,18,经易期货,398,18
2013-11-08,AU,19,南华期货,397,0
2013-11-08,AU,20,上海中期,370,95
2013-11-11,AU,1,金瑞期货,3319,1654
2013-11-11,AU,2,招金期货,3082,-475
2013-11-11,AU,3,海通期货,2651,760
2013-11-11,AU,4,国贸期货,2620,-2
2013-11-11,AU,5,中投期货,2535,492
2013-11-11,AU,6,上海金源,1994,0
2013-11-11,AU,7,广发期货,1856,702
2013-11-11,AU,8,新湖期货,988,68
2013-11-11,AU,9,安信期货,956,321
2013-11-11,AU,10,永安期货,750,268
2013-11-11,AU,11,银河期货,734,22
2013-11-11,AU,12,中证期货,701,-47
2013-11-11,AU,13,申万期货,577,-85
2013-11-11,AU,14,中原期货,534,15
2013-11-11,AU,15,中国国际,520,31
2013-11-11,AU,16,经易期货,408,10
2013-11-11,AU,17,五矿期货,396,371
2013-11-11,AU,18,财富期货,386,53
2013-11-11,AU,19,东兴期货,368,101
2013-11-11,AU,20,北京首创,343,-36
2013-11-12,AU,1,招金期货,2927,-155
2013-11-12,AU,2,国贸期货,2921,301
2013-11-12,AU,3,金瑞期货,2876,-443
2013-11-12,AU,4,海通期货,2769,118
2013-11-12,AU,5,中投期货,2579,44
2013-11-12,AU,6,上海金源,1990,-4
2013-11-12,AU,7,中证期货,1644,943
2013-11-12,AU,8,广发期货,1433,-11
2013-11-12,AU,9,银河期货,964,-79
2013-11-12,AU,10,新湖期货,930,-58
2013-11-12,AU,11,安信期货,743,6
2013-11-12,AU,12,中国国际,609,293
2013-11-12,AU,13,江西瑞奇,579,261
2013-11-12,AU,14,永安期货,576,-174
2013-11-12,AU,15,中原期货,536,2
2013-11-12,AU,16,申万期货,533,-44
2013-11-12,AU,17,财富期货,440,54
2013-11-12,AU,18,经易期货,396,-12
2013-11-12,AU,19,中信新际,356,356
2013-11-12,AU,20,招商期货,307,120
2013-11-13,AU,1,金瑞期货,3506,630
2013-11-13,AU,2,海通期货,2948,179
2013-11-13,AU,3,招金期货,2929,2
2013-11-13,AU,4,国贸期货,2873,-48
2013-11-13,AU,5,中投期货,2771,192
2013-11-13,AU,6,上海金源,1967,-23
2013-11-13,AU,7,银河期货,1273,309
2013-11-13,AU,8,广发期货,1133,-300
2013-11-13,AU,9,中证期货,1050,-594
2013-11-13,AU,10,安信期货,1037,153
