trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,A,1,南证期货,19794,535
2013-11-05,A,2,国投期货,8141,-14
2013-11-05,A,3,北京首创,6546,-15
2013-11-05,A,4,海通期货,4768,-359
2013-11-05,A,5,光大期货,3733,0
2013-11-05,A,6,格林期货,3408,-5
2013-11-05,A,7,永安期货,3203,-848
2013-11-05,A,8,中国国际,1889,53
2013-11-05,A,9,华泰长城,1439,-3
2013-11-05,A,10,北京中期,1419,-6
2013-11-05,A,11,中粮期货,1347,-19
2013-11-05,A,12,兴证期货,1290,-248
2013-11-05,A,13,大越期货,1259,0
2013-11-05,A,14,天风期货,1230,1
2013-11-05,A,15,大连良运,1211,-18
2013-11-05,A,16,东航期货,1114,-109
2013-11-05,A,17,华安期货,1029,-49
2013-11-05,A,18,新湖期货,778,7
2013-11-05,A,19,中证期货,777,-28
2013-11-05,A,20,迈科期货,673,9
2013-11-06,A,1,南证期货,18961,-833
2013-11-06,A,2,国投期货,9028,872
2013-11-06,A,3,北京首创,6935,389
2013-11-06,A,4,海通期货,4799,31
2013-11-06,A,5,光大期货,3821,88
2013-11-06,A,6,格林期货,3409,1
2013-11-06,A,7,永安期货,2979,-224
2013-11-06,A,8,中国国际,1711,27
2013-11-06,A,9,华泰长城,1484,45
2013-11-06,A,10,北京中期,1435,16
2013-11-06,A,11,中粮期货,1347,0
2013-11-06,A,12,大越期货,1262,3
2013-11-06,A,13,天风期货,1253,23
2013-11-06,A,14,大连良运,1220,9
2013-11-06,A,15,东航期货,1071,-43
2013-11-06,A,16,兴证期货,1036,-254
2013-11-06,A,17,华安期货,1009,-20
2013-11-06,A,18,中证期货,854,77
2013-11-06,A,19,新湖期货,830,52
2013-11-06,A,20,迈科期货,653,-20
2013-11-07,A,1,南证期货,21582,2621
2013-11-07,A,2,国投期货,9031,3
2013-11-07,A,3,北京首创,6947,12
2013-11-07,A,4,海通期货,4398,-401
2013-11-07,A,5,格林期货,3407,-2
2013-11-07,A,6,光大期货,3245,-576
2013-11-07,A,7,永安期货,2860,-119
2013-11-07,A,8,中国国际,2005,294
2013-11-07,A,9,华泰长城,1514,30
2013-11-07,A,10,北京中期,1437,4
2013-11-07,A,11,中粮期货,1366,19
2013-11-07,A,12,大越期货,1289,27
2013-11-07,A,13,天风期货,1245,-8
2013-11-07,A,14,大连良运,1208,-12
2013-11-07,A,15,华安期货,1027,18
2013-11-07,A,16,兴证期货,1015,-21
2013-11-07,A,17,东航期货,920,-19
2013-11-07,A,18,新湖期货,828,-2
2013-11-07,A,19,中证期货,678,-31
2013-11-07,A,20,东证期货,671,35
2013-11-08,A,1,南证期货,22608,1026
2013-11-08,A,2,国投期货,9038,7
2013-11-08,A,3,北京首创,6947,0
2013-11-08,A,4,海通期货,3686,-712
2013-11-08,A,5,格林期货,3237,-170
2013-11-08,A,6,光大期货,3234,-11
2013-11-08,A,7,中国国际,2441,436
2013-11-08,A,8,永安期货,2173,-687
2013-11-08,A,9,华泰长城,1480,-34
2013-11-08,A,10,北京中期,1447,13
2013-11-08,A,11,中粮期货,1375,9
2013-11-08,A,12,大越期货,1323,34
2013-11-08,A,13,天风期货,1242,-3
2013-11-08,A,14,大连良运,1217,9
2013-11-08,A,15,华安期货,1034,7
2013-11-08,A,16,兴证期货,943,-72
2013-11-08,A,17,东航期货,891,-29
2013-11-08,A,18,新湖期货,811,-14
2013-11-08,A,19,东证期货,671,0
2013-11-08,A,20,中证期货,622,-56
2013-11-11,A,1,南证期货,23064,456
2013-11-11,A,2,国投期货,9557,519
2013-11-11,A,3,北京首创,6931,-16
2013-11-11,A,4,光大期货,5392,2158
2013-11-11,A,5,海通期货,3284,10
2013-11-11,A,6,格林期货,3259,22
2013-11-11,A,7,中国国际,2274,-167
2013-11-11,A,8,永安期货,2211,38
2013-11-11,A,9,华泰长城,1436,-44
2013-11-11,A,10,北京中期,1393,-54
2013-11-11,A,11,大越期货,1323,0
2013-11-11,A,12,中粮期货,1213,-162
2013-11-11,A,13,华安期货,1098,14
2013-11-11,A,14,兴证期货,934,-9
2013-11-11,A,15,东航期货,841,-51
2013-11-11,A,16,新湖期货,804,-7
2013-11-11,A,17,中证期货,714,92
2013-11-11,A,18,东证期货,656,-15
2013-11-11,A,19,迈科期货,623,5
2013-11-11,A,20,经易期货,606,0
2013-11-12,A,1,南证期货,24727,1663
2013-11-12,A,2,国投期货,10942,1385
2013-11-12,A,3,北京首创,6892,-39
2013-11-12,A,4,光大期货,4612,-780
2013-11-12,A,5,海通期货,3266,-18
2013-11-12,A,6,格林期货,3238,-21
2013-11-12,A,7,永安期货,2284,73
2013-11-12,A,8,中国国际,1540,-734
2013-11-12,A,9,北京中期,1389,-4
2013-11-12,A,10,大越期货,1266,-57
2013-11-12,A,11,华泰长城,1238,-198
2013-11-12,A,12,中粮期货,1214,1
2013-11-12,A,13,华安期货,1092,-6
