trading_date,commodity_id,rank,member_name,volume,volume_change
2015-09-17,BU,1,国泰君安,2824,430
2015-09-17,BU,2,方正中期,2340,175
2015-09-17,BU,3,徽商期货,1798,663
2015-09-17,BU,4,华泰期货,1607,-475
2015-09-17,BU,5,中国国际,1515,508
2015-09-17,BU,6,广发期货,1475,-375
2015-09-17,BU,7,海通期货,1329,285
2015-09-17,BU,8,中信期货,1299,-29
2015-09-17,BU,9,鲁证期货,1295,327
2015-09-17,BU,10,申万期货,1277,-578
2015-09-17,BU,11,兴证期货,1214,837
2015-09-17,BU,12,银河期货,1150,-482
2015-09-17,BU,13,东航期货,1113,-357
2015-09-17,BU,14,永安期货,1097,-443
2015-09-17,BU,15,南华期货,1040,383
2015-09-17,BU,16,华联期货,1007,223
2015-09-17,BU,17,五矿经易,1000,389
2015-09-17,BU,18,国海良时,998,143
2015-09-17,BU,19,招商期货,991,-362
2015-09-17,BU,20,长江期货,869,377
2015-09-18,BU,1,徽商期货,2851,1053
2015-09-18,BU,2,国泰君安,2560,-264
2015-09-18,BU,3,方正中期,2423,83
2015-09-18,BU,4,华泰期货,2000,393
2015-09-18,BU,5,广发期货,1627,152
2015-09-18,BU,6,英大期货,1466,756
2015-09-18,BU,7,鲁证期货,1261,-34
2015-09-18,BU,8,中信期货,1254,-45
2015-09-18,BU,9,华联期货,1205,198
2015-09-18,BU,10,上海中期,1135,790
2015-09-18,BU,11,申万期货,1086,-191
2015-09-18,BU,12,银河期货,1083,-67
2015-09-18,BU,13,永安期货,1079,-18
2015-09-18,BU,14,中国国际,1030,-485
2015-09-18,BU,15,东航期货,1014,-99
2015-09-18,BU,16,国海良时,950,-48
2015-09-18,BU,17,海通期货,884,-445
2015-09-18,BU,18,长江期货,819,-50
2015-09-18,BU,19,格林大华,818,76
2015-09-18,BU,20,弘业期货,778,207
2015-09-21,BU,1,方正中期,4043,1620
2015-09-21,BU,2,华泰期货,1813,-187
2015-09-21,BU,3,中信期货,1474,220
2015-09-21,BU,4,国泰君安,1469,-1091
2015-09-21,BU,5,广发期货,1455,-172
2015-09-21,BU,6,英大期货,1410,-56
2015-09-21,BU,7,国都期货,1395,668
2015-09-21,BU,8,银河期货,1383,300
2015-09-21,BU,9,永安期货,1162,83
2015-09-21,BU,10,东航期货,1153,139
2015-09-21,BU,11,上海中期,1118,-17
2015-09-21,BU,12,华联期货,1106,-99
2015-09-21,BU,13,一德期货,1013,702
2015-09-21,BU,14,徽商期货,993,-1858
2015-09-21,BU,15,五矿经易,985,485
2015-09-21,BU,16,中国国际,912,-118
2015-09-21,BU,17,上海东亚,862,619
2015-09-21,BU,18,海通期货,829,-55
2015-09-21,BU,19,鲁证期货,784,-477
2015-09-21,BU,20,招商期货,755,-4
2015-09-22,BU,1,方正中期,3960,-83
2015-09-22,BU,2,英大期货,2630,1220
2015-09-22,BU,3,华泰期货,1934,121
2015-09-22,BU,4,广发期货,1828,373
2015-09-22,BU,5,永安期货,1756,594
2015-09-22,BU,6,徽商期货,1519,526
2015-09-22,BU,7,东航期货,1514,361
2015-09-22,BU,8,申万期货,1463,784
2015-09-22,BU,9,中信期货,1411,-63
2015-09-22,BU,10,华联期货,1406,300
2015-09-22,BU,11,银河期货,1346,-37
2015-09-22,BU,12,国泰君安,1313,-156
2015-09-22,BU,13,国都期货,1209,-186
2015-09-22,BU,14,一德期货,1083,70
2015-09-22,BU,15,鲁证期货,1037,253
2015-09-22,BU,16,中国国际,977,65
2015-09-22,BU,17,国海良时,920,287
2015-09-22,BU,18,海通期货,898,69
2015-09-22,BU,19,长江期货,835,263
2015-09-22,BU,20,招商期货,823,68
2015-09-23,BU,1,方正中期,3060,-900
2015-09-23,BU,2,英大期货,2318,-312
2015-09-23,BU,3,恒泰期货,2044,1993
2015-09-23,BU,4,华泰期货,1764,-170
2015-09-23,BU,5,国泰君安,1710,397
2015-09-23,BU,6,中信期货,1605,194
2015-09-23,BU,7,永安期货,1601,-155
2015-09-23,BU,8,东航期货,1313,-201
2015-09-23,BU,9,中国国际,1275,298
2015-09-23,BU,10,申万期货,1275,-188
2015-09-23,BU,11,国都期货,1210,1
2015-09-23,BU,12,银河期货,1204,-142
2015-09-23,BU,13,华联期货,1179,-227
2015-09-23,BU,14,广发期货,1085,-743
2015-09-23,BU,15,倍特期货,968,188
2015-09-23,BU,16,徽商期货,944,-575
2015-09-23,BU,17,鲁证期货,869,-168
2015-09-23,BU,18,海通期货,867,-31
2015-09-23,BU,19,国海良时,803,-117
2015-09-23,BU,20,瑞达期货,752,131
2015-09-24,BU,1,英大期货,2402,84
2015-09-24,BU,2,方正中期,2150,-910
2015-09-24,BU,3,华泰期货,2103,339
2015-09-24,BU,4,恒泰期货,2057,13
2015-09-24,BU,5,中信期货,1589,-16
2015-09-24,BU,6,永安期货,1575,-26
2015-09-24,BU,7,东航期货,1515,202
2015-09-24,BU,8,银河期货,1469,265
2015-09-24,BU,9,徽商期货,1237,293
2015-09-24,BU,10,华安期货,1193,505
2015-09-24,BU,11,申万期货,1189,-86
2015-09-24,BU,12,国泰君安,1188,-522
2015-09-24,BU,13,国都期货,1173,-37
2015-09-24,BU,14,华联期货,1054,-125
2015-09-24,BU,15,中国国际,1038,-237
2015-09-24,BU,16,中粮期货,906,694
2015-09-24,BU,17,国海良时,887,84
2015-09-24,BU,18,广发期货,879,-206
2015-09-24,BU,19,海通期货,831,-36
2015-09-24,BU,20,倍特期货,814,-154
2015-09-25,BU,1,方正中期,1992,-158
2015-09-25,BU,2,华泰期货,1836,-267
2015-09-25,BU,3,广发期货,1634,755
2015-09-25,BU,4,恒泰期货,1538,-519
2015-09-25,BU,5,永安期货,1525,-50
2015-09-25,BU,6,银河期货,1384,-85
2015-09-25,BU,7,国泰君安,1374,186
2015-09-25,BU,8,中信期货,1332,-257
2015-09-25,BU,9,东航期货,1251,-264
