trading_date,commodity_id,rank,member_name,volume,volume_change
2015-09-17,BU,1,银河期货,8085,200
2015-09-17,BU,2,方正中期,7795,3090
2015-09-17,BU,3,大连良运,6010,3000
2015-09-17,BU,4,南华期货,3179,-3097
2015-09-17,BU,5,国金期货,1943,814
2015-09-17,BU,6,中信期货,1576,308
2015-09-17,BU,7,国泰君安,1284,394
2015-09-17,BU,8,中粮期货,1112,130
2015-09-17,BU,9,东航期货,1006,172
2015-09-17,BU,10,徽商期货,968,367
2015-09-17,BU,11,上海东亚,759,-210
2015-09-17,BU,12,中国国际,712,-586
2015-09-17,BU,13,光大期货,688,95
2015-09-17,BU,14,永安期货,679,276
2015-09-17,BU,15,民生期货,573,552
2015-09-17,BU,16,恒泰期货,571,468
2015-09-17,BU,17,国都期货,566,2
2015-09-17,BU,18,中衍期货,527,226
2015-09-17,BU,19,同信久恒,513,160
2015-09-17,BU,20,华泰期货,469,172
2015-09-18,BU,1,银河期货,7978,-107
2015-09-18,BU,2,方正中期,7521,-274
2015-09-18,BU,3,大连良运,6012,2
2015-09-18,BU,4,国金期货,2079,136
2015-09-18,BU,5,中信期货,1525,-51
2015-09-18,BU,6,东航期货,1190,184
2015-09-18,BU,7,国都期货,1169,603
2015-09-18,BU,8,中国国际,1148,436
2015-09-18,BU,9,中粮期货,1110,-2
2015-09-18,BU,10,徽商期货,945,-23
2015-09-18,BU,11,国联期货,793,639
2015-09-18,BU,12,南华期货,772,-2407
2015-09-18,BU,13,海通期货,766,386
2015-09-18,BU,14,华泰期货,672,203
2015-09-18,BU,15,中大期货,670,637
2015-09-18,BU,16,广发期货,655,361
2015-09-18,BU,17,恒泰期货,654,83
2015-09-18,BU,18,上海东亚,559,-200
2015-09-18,BU,19,同信久恒,535,22
2015-09-18,BU,20,永安期货,516,-163
2015-09-21,BU,1,银河期货,7624,-354
2015-09-21,BU,2,方正中期,7500,-21
2015-09-21,BU,3,大连良运,6213,201
2015-09-21,BU,4,国金期货,1617,-462
2015-09-21,BU,5,中信期货,1443,-82
2015-09-21,BU,6,华泰期货,1434,762
2015-09-21,BU,7,华联期货,1283,945
2015-09-21,BU,8,东航期货,1167,-23
2015-09-21,BU,9,中粮期货,1019,-91
2015-09-21,BU,10,中国国际,992,-156
2015-09-21,BU,11,国联期货,888,95
2015-09-21,BU,12,国泰君安,838,325
2015-09-21,BU,13,徽商期货,707,-238
2015-09-21,BU,14,同信久恒,704,169
2015-09-21,BU,15,万达期货,624,192
2015-09-21,BU,16,广发期货,602,-53
2015-09-21,BU,17,海通期货,597,-169
2015-09-21,BU,18,中衍期货,577,70
2015-09-21,BU,19,申万期货,552,285
2015-09-21,BU,20,长江期货,549,226
2015-09-22,BU,1,方正中期,8204,704
2015-09-22,BU,2,银河期货,8066,442
