trading_date,commodity_id,rank,member_name,volume,volume_change
2016-07-26,B,1,鲁证期货,7,0
2016-07-26,B,2,宏源期货,4,0
2016-07-26,B,3,东航期货,3,0
2016-07-26,B,4,东海期货,1,0
2016-07-26,B,5,中衍期货,1,0
2016-07-26,B,6,恒泰期货,1,0
2016-07-26,B,7,申银万国,1,0
2016-07-26,B,8,集成期货,1,0
2016-07-27,B,1,鲁证期货,7,0
2016-07-27,B,2,东航期货,4,1
2016-07-27,B,3,宏源期货,4,0
2016-07-27,B,4,东海期货,1,0
2016-07-27,B,5,中衍期货,1,0
2016-07-27,B,6,恒泰期货,1,0
2016-07-27,B,7,申银万国,1,0
2016-07-27,B,8,集成期货,1,0
2016-07-28,B,1,鲁证期货,7,0
2016-07-28,B,2,东航期货,4,0
2016-07-28,B,3,宏源期货,4,0
2016-07-28,B,4,东海期货,1,0
2016-07-28,B,5,中衍期货,1,0
2016-07-28,B,6,恒泰期货,1,0
2016-07-28,B,7,申银万国,1,0
2016-07-28,B,8,集成期货,1,0
2016-07-29,B,1,鲁证期货,7,0
2016-07-29,B,2,宏源期货,3,-1
2016-07-29,B,3,东航期货,2,-2
2016-07-29,B,4,东海期货,1,0
2016-07-29,B,5,中衍期货,1,0
2016-07-29,B,6,恒泰期货,1,0
2016-07-29,B,7,申银万国,1,0
2016-07-29,B,8,集成期货,1,0
2016-08-01,B,1,鲁证期货,7,0
2016-08-01,B,2,宏源期货,3,0
2016-08-01,B,3,恒泰期货,2,1
2016-08-01,B,4,东航期货,2,0
2016-08-01,B,5,东海期货,1,0
2016-08-01,B,6,中衍期货,1,0
2016-08-01,B,7,申银万国,1,0
2016-08-01,B,8,集成期货,1,0
2016-08-02,B,1,鲁证期货,7,0
2016-08-02,B,2,宏源期货,3,0
2016-08-02,B,3,恒泰期货,2,0
2016-08-02,B,4,东海期货,1,0
2016-08-02,B,5,中衍期货,1,0
2016-08-02,B,6,申银万国,1,0
2016-08-02,B,7,集成期货,1,0
2016-08-02,B,8,东航期货,1,-1
2016-08-03,B,1,鲁证期货,7,0
2016-08-03,B,2,宏源期货,3,0
2016-08-03,B,3,恒泰期货,2,0
2016-08-03,B,4,东海期货,1,0
2016-08-03,B,5,东航期货,1,0
2016-08-03,B,6,中衍期货,1,0
2016-08-03,B,7,申银万国,1,0
2016-08-03,B,8,集成期货,1,0
2016-08-04,B,1,鲁证期货,7,0
2016-08-04,B,2,宏源期货,3,0
2016-08-04,B,3,恒泰期货,2,0
2016-08-04,B,4,东海期货,1,0
2016-08-04,B,5,东航期货,1,0
2016-08-04,B,6,中衍期货,1,0
2016-08-04,B,7,申银万国,1,0
2016-08-04,B,8,集成期货,1,0
2016-08-05,B,1,鲁证期货,7,0
2016-08-05,B,2,宏源期货,3,0
2016-08-05,B,3,恒泰期货,2,0
2016-08-05,B,4,东海期货,1,0
2016-08-05,B,5,东航期货,1,0
2016-08-05,B,6,中衍期货,1,0
2016-08-05,B,7,申银万国,1,0
2016-08-05,B,8,集成期货,1,0
2016-08-08,B,1,鲁证期货,7,0
2016-08-08,B,2,宏源期货,3,0
2016-08-08,B,3,恒泰期货,2,0
2016-08-08,B,4,东海期货,1,0
2016-08-08,B,5,东航期货,1,0
2016-08-08,B,6,中衍期货,1,0
2016-08-08,B,7,申银万国,1,0
2016-08-08,B,8,集成期货,1,0
2016-08-09,B,1,鲁证期货,11,4
2016-08-09,B,2,恒泰期货,2,0
2016-08-09,B,3,东海期货,1,0
2016-08-09,B,4,东航期货,1,0
2016-08-09,B,5,中衍期货,1,0
2016-08-09,B,6,申银万国,1,0
2016-08-09,B,7,集成期货,1,0
2016-08-09,B,8,宏源期货,1,-2
2016-08-10,B,1,鲁证期货,12,1
2016-08-10,B,2,海通期货,2,2
2016-08-10,B,3,申银万国,2,1
2016-08-10,B,4,恒泰期货,2,0
2016-08-10,B,5,东海期货,1,0
2016-08-10,B,6,中衍期货,1,0
2016-08-10,B,7,宏源期货,1,0
2016-08-10,B,8,集成期货,1,0
2016-08-10,B,9,东航期货,0,-1
2016-08-11,B,1,鲁证期货,10,-2
2016-08-11,B,2,宏源期货,3,2
2016-08-11,B,3,恒泰期货,2,0
2016-08-11,B,4,海通期货,2,0
2016-08-11,B,5,申银万国,2,0
2016-08-11,B,6,东海期货,1,0
2016-08-11,B,7,中衍期货,1,0
2016-08-11,B,8,集成期货,1,0
2016-08-12,B,1,鲁证期货,7,-3
2016-08-12,B,2,海通期货,3,1
2016-08-12,B,3,申银万国,3,1
2016-08-12,B,4,宏源期货,3,0
2016-08-12,B,5,东航期货,2,2
2016-08-12,B,6,恒泰期货,2,0
2016-08-12,B,7,江苏东华,1,1
2016-08-12,B,8,红塔期货,1,1
2016-08-12,B,9,东海期货,1,0
2016-08-12,B,10,中衍期货,1,0
2016-08-12,B,11,集成期货,1,0
2016-08-15,B,1,鲁证期货,9,2
2016-08-15,B,2,宏源期货,4,1
2016-08-15,B,3,中银国际,3,3
2016-08-15,B,4,海通期货,3,0
2016-08-15,B,5,东航期货,2,0
2016-08-15,B,6,申银万国,2,-1
2016-08-15,B,7,中辉期货,1,1
2016-08-15,B,8,东海期货,1,0
2016-08-15,B,9,中衍期货,1,0
2016-08-15,B,10,集成期货,1,0
2016-08-15,B,11,恒泰期货,1,-1
2016-08-15,B,12,江苏东华,0,-1
2016-08-15,B,13,红塔期货,0,-1
2016-08-16,B,1,鲁证期货,9,0
2016-08-16,B,2,宏源期货,4,0
2016-08-16,B,3,中银国际,3,0
2016-08-16,B,4,海通期货,3,0
2016-08-16,B,5,东航期货,2,0
2016-08-16,B,6,申银万国,2,0
2016-08-16,B,7,东海期货,1,0
2016-08-16,B,8,中衍期货,1,0
2016-08-16,B,9,中辉期货,1,0
2016-08-16,B,10,恒泰期货,1,0
2016-08-16,B,11,集成期货,1,0
2016-08-17,B,1,鲁证期货,10,1
2016-08-17,B,2,宏源期货,5,1
2016-08-17,B,3,海通期货,3,0
2016-08-17,B,4,东航期货,2,0
2016-08-17,B,5,申银万国,2,0
2016-08-17,B,6,东海期货,1,0
2016-08-17,B,7,中衍期货,1,0
2016-08-17,B,8,中辉期货,1,0
2016-08-17,B,9,恒泰期货,1,0
2016-08-17,B,10,集成期货,1,0
2016-08-17,B,11,中银国际,0,-3
2016-08-18,B,1,鲁证期货,9,-1
2016-08-18,B,2,宏源期货,5,0
2016-08-18,B,3,申银万国,3,1
2016-08-18,B,4,海通期货,3,0
2016-08-18,B,5,东航期货,2,0
2016-08-18,B,6,东海期货,1,0
2016-08-18,B,7,中衍期货,1,0
2016-08-18,B,8,中辉期货,1,0
2016-08-18,B,9,恒泰期货,1,0
2016-08-18,B,10,集成期货,1,0
2016-08-19,B,1,鲁证期货,9,0
2016-08-19,B,2,海通期货,3,0
2016-08-19,B,3,申银万国,3,0
2016-08-19,B,4,宏源期货,3,-2
2016-08-19,B,5,东航期货,2,0
2016-08-19,B,6,东海期货,1,0
2016-08-19,B,7,中衍期货,1,0
2016-08-19,B,8,中辉期货,1,0
2016-08-19,B,9,恒泰期货,1,0
2016-08-19,B,10,集成期货,1,0
2016-08-22,B,1,鲁证期货,9,0
2016-08-22,B,2,宏源期货,3,0
2016-08-22,B,3,海通期货,3,0
2016-08-22,B,4,申银万国,3,0
2016-08-22,B,5,红塔期货,1,1
2016-08-22,B,6,东海期货,1,0
2016-08-22,B,7,中衍期货,1,0
2016-08-22,B,8,中辉期货,1,0
2016-08-22,B,9,恒泰期货,1,0
2016-08-22,B,10,集成期货,1,0
2016-08-22,B,11,东航期货,0,-2
2016-08-23,B,1,鲁证期货,10,1
2016-08-23,B,2,海通期货,3,0
2016-08-23,B,3,申银万国,3,0
2016-08-23,B,4,东航期货,1,1
2016-08-23,B,5,东海期货,1,0
2016-08-23,B,6,中衍期货,1,0
2016-08-23,B,7,中辉期货,1,0
2016-08-23,B,8,恒泰期货,1,0
2016-08-23,B,9,红塔期货,1,0
2016-08-23,B,10,集成期货,1,0
2016-08-23,B,11,宏源期货,1,-2
2016-08-24,B,1,鲁证期货,12,2
2016-08-24,B,2,海通期货,3,0
2016-08-24,B,3,申银万国,3,0
2016-08-24,B,4,东海期货,1,0
2016-08-24,B,5,东航期货,1,0
2016-08-24,B,6,中衍期货,1,0
2016-08-24,B,7,中辉期货,1,0
2016-08-24,B,8,宏源期货,1,0
2016-08-24,B,9,恒泰期货,1,0
2016-08-24,B,10,红塔期货,1,0
2016-08-24,B,11,集成期货,1,0
2016-08-25,B,1,鲁证期货,12,0
2016-08-25,B,2,海通期货,3,0
2016-08-25,B,3,申银万国,3,0
2016-08-25,B,4,东海期货,1,0
2016-08-25,B,5,东航期货,1,0
2016-08-25,B,6,中衍期货,1,0
2016-08-25,B,7,中辉期货,1,0
2016-08-25,B,8,宏源期货,1,0
2016-08-25,B,9,恒泰期货,1,0
2016-08-25,B,10,红塔期货,1,0
2016-08-25,B,11,集成期货,1,0
2016-08-26,B,1,鲁证期货,11,-1
2016-08-26,B,2,海通期货,3,0
2016-08-26,B,3,申银万国,3,0
2016-08-26,B,4,东海期货,1,0
2016-08-26,B,5,东航期货,1,0
2016-08-26,B,6,中衍期货,1,0
2016-08-26,B,7,中辉期货,1,0
2016-08-26,B,8,宏源期货,1,0
2016-08-26,B,9,恒泰期货,1,0
2016-08-26,B,10,红塔期货,1,0
2016-08-26,B,11,集成期货,1,0
2016-08-29,B,1,鲁证期货,11,0
2016-08-29,B,2,宏源期货,3,2
2016-08-29,B,3,海通期货,3,0
2016-08-29,B,4,申银万国,3,0
2016-08-29,B,5,广州期货,1,1
2016-08-29,B,6,东海期货,1,0
2016-08-29,B,7,东航期货,1,0
2016-08-29,B,8,中衍期货,1,0
2016-08-29,B,9,中辉期货,1,0
2016-08-29,B,10,恒泰期货,1,0
2016-08-29,B,11,红塔期货,1,0
2016-08-29,B,12,集成期货,1,0
2016-08-30,B,1,鲁证期货,12,1
2016-08-30,B,2,宏源期货,3,0
2016-08-30,B,3,申银万国,3,0
2016-08-30,B,4,海通期货,2,-1
2016-08-30,B,5,东海期货,1,0
2016-08-30,B,6,东航期货,1,0
2016-08-30,B,7,中衍期货,1,0
2016-08-30,B,8,中辉期货,1,0
2016-08-30,B,9,广州期货,1,0
2016-08-30,B,10,恒泰期货,1,0
2016-08-30,B,11,红塔期货,1,0
2016-08-30,B,12,集成期货,0,-1
2016-08-31,B,1,鲁证期货,14,2
2016-08-31,B,2,申银万国,3,0
2016-08-31,B,3,海通期货,2,0
2016-08-31,B,4,东海期货,1,0
2016-08-31,B,5,东航期货,1,0
2016-08-31,B,6,中衍期货,1,0
2016-08-31,B,7,中辉期货,1,0
2016-08-31,B,8,恒泰期货,1,0
2016-08-31,B,9,红塔期货,1,0
2016-08-31,B,10,宏源期货,1,-2
2016-08-31,B,11,广州期货,0,-1
2016-09-01,B,1,鲁证期货,16,2
2016-09-01,B,2,申银万国,3,0
2016-09-01,B,3,海通期货,2,0
2016-09-01,B,4,东海期货,1,0
2016-09-01,B,5,中衍期货,1,0
2016-09-01,B,6,中辉期货,1,0
2016-09-01,B,7,恒泰期货,1,0
2016-09-01,B,8,红塔期货,1,0
2016-09-01,B,9,东航期货,0,-1
2016-09-01,B,10,宏源期货,0,-1
2016-09-02,B,1,鲁证期货,16,0
2016-09-02,B,2,申银万国,3,0
2016-09-02,B,3,海通期货,2,0
2016-09-02,B,4,东海期货,1,0
2016-09-02,B,5,中衍期货,1,0
2016-09-02,B,6,中辉期货,1,0
2016-09-02,B,7,恒泰期货,1,0
2016-09-02,B,8,红塔期货,1,0
2016-09-05,B,1,鲁证期货,16,0
2016-09-05,B,2,申银万国,3,0
2016-09-05,B,3,海通期货,2,0
2016-09-05,B,4,东海期货,1,0
2016-09-05,B,5,中衍期货,1,0
2016-09-05,B,6,中辉期货,1,0
2016-09-05,B,7,恒泰期货,1,0
2016-09-05,B,8,红塔期货,1,0
2016-09-06,B,1,鲁证期货,16,0
2016-09-06,B,2,申银万国,3,0
2016-09-06,B,3,海通期货,2,0
2016-09-06,B,4,东海期货,1,0
2016-09-06,B,5,中衍期货,1,0
2016-09-06,B,6,中辉期货,1,0
2016-09-06,B,7,恒泰期货,1,0
2016-09-06,B,8,红塔期货,1,0
2016-09-07,B,1,鲁证期货,16,0
2016-09-07,B,2,申银万国,3,0
2016-09-07,B,3,东海期货,1,0
2016-09-07,B,4,中衍期货,1,0
2016-09-07,B,5,中辉期货,1,0
2016-09-07,B,6,恒泰期货,1,0
