trading_date,commodity_id,rank,member_name,volume,volume_change
2016-07-26,B,1,鲁证期货,6,0
2016-07-26,B,2,海通期货,4,0
2016-07-26,B,3,申银万国,2,0
2016-07-26,B,4,东航期货,1,0
2016-07-26,B,5,中信建投,1,0
2016-07-26,B,6,中粮期货,1,0
2016-07-26,B,7,国联期货,1,0
2016-07-26,B,8,宏源期货,1,0
2016-07-26,B,9,红塔期货,1,0
2016-07-26,B,10,集成期货,1,0
2016-07-27,B,1,鲁证期货,6,0
2016-07-27,B,2,海通期货,5,1
2016-07-27,B,3,申银万国,2,0
2016-07-27,B,4,东航期货,1,0
2016-07-27,B,5,中信建投,1,0
2016-07-27,B,6,中粮期货,1,0
2016-07-27,B,7,国联期货,1,0
2016-07-27,B,8,宏源期货,1,0
2016-07-27,B,9,红塔期货,1,0
2016-07-27,B,10,集成期货,1,0
2016-07-28,B,1,鲁证期货,6,0
2016-07-28,B,2,海通期货,5,0
2016-07-28,B,3,申银万国,2,0
2016-07-28,B,4,东航期货,1,0
2016-07-28,B,5,中信建投,1,0
2016-07-28,B,6,中粮期货,1,0
2016-07-28,B,7,国联期货,1,0
2016-07-28,B,8,宏源期货,1,0
2016-07-28,B,9,红塔期货,1,0
2016-07-28,B,10,集成期货,1,0
2016-07-29,B,1,鲁证期货,6,0
2016-07-29,B,2,海通期货,3,-2
2016-07-29,B,3,申银万国,2,0
2016-07-29,B,4,中信建投,1,0
2016-07-29,B,5,中粮期货,1,0
2016-07-29,B,6,国联期货,1,0
2016-07-29,B,7,宏源期货,1,0
2016-07-29,B,8,红塔期货,1,0
2016-07-29,B,9,集成期货,1,0
2016-07-29,B,10,东航期货,0,-1
2016-08-01,B,1,鲁证期货,6,0
2016-08-01,B,2,申银万国,3,1
2016-08-01,B,3,海通期货,3,0
2016-08-01,B,4,中信建投,1,0
2016-08-01,B,5,中粮期货,1,0
2016-08-01,B,6,国联期货,1,0
2016-08-01,B,7,宏源期货,1,0
2016-08-01,B,8,红塔期货,1,0
2016-08-01,B,9,集成期货,1,0
2016-08-02,B,1,鲁证期货,6,0
2016-08-02,B,2,海通期货,3,0
2016-08-02,B,3,申银万国,3,0
2016-08-02,B,4,中信建投,1,0
2016-08-02,B,5,中粮期货,1,0
2016-08-02,B,6,国联期货,1,0
2016-08-02,B,7,红塔期货,1,0
2016-08-02,B,8,集成期货,1,0
2016-08-02,B,9,宏源期货,0,-1
2016-08-03,B,1,鲁证期货,6,0
2016-08-03,B,2,海通期货,3,0
2016-08-03,B,3,申银万国,3,0
2016-08-03,B,4,中信建投,1,0
2016-08-03,B,5,中粮期货,1,0
2016-08-03,B,6,国联期货,1,0
2016-08-03,B,7,红塔期货,1,0
2016-08-03,B,8,集成期货,1,0
2016-08-04,B,1,鲁证期货,6,0
2016-08-04,B,2,海通期货,3,0
2016-08-04,B,3,申银万国,3,0
2016-08-04,B,4,中信建投,1,0
2016-08-04,B,5,中粮期货,1,0
2016-08-04,B,6,国联期货,1,0
2016-08-04,B,7,红塔期货,1,0
2016-08-04,B,8,集成期货,1,0
2016-08-05,B,1,鲁证期货,6,0
2016-08-05,B,2,海通期货,3,0
2016-08-05,B,3,申银万国,3,0
2016-08-05,B,4,中信建投,1,0
2016-08-05,B,5,中粮期货,1,0
2016-08-05,B,6,国联期货,1,0
2016-08-05,B,7,红塔期货,1,0
2016-08-05,B,8,集成期货,1,0
2016-08-08,B,1,鲁证期货,6,0
2016-08-08,B,2,海通期货,3,0
2016-08-08,B,3,申银万国,3,0
2016-08-08,B,4,中信建投,1,0
2016-08-08,B,5,中粮期货,1,0
2016-08-08,B,6,国联期货,1,0
2016-08-08,B,7,红塔期货,1,0
2016-08-08,B,8,集成期货,1,0
2016-08-09,B,1,鲁证期货,6,0
2016-08-09,B,2,海通期货,3,0
2016-08-09,B,3,申银万国,3,0
2016-08-09,B,4,宏源期货,2,2
2016-08-09,B,5,中信建投,1,0
2016-08-09,B,6,中粮期货,1,0
2016-08-09,B,7,国联期货,1,0
2016-08-09,B,8,红塔期货,1,0
2016-08-09,B,9,集成期货,1,0
2016-08-10,B,1,中粮期货,5,4
2016-08-10,B,2,鲁证期货,4,-2
2016-08-10,B,3,海通期货,3,0
2016-08-10,B,4,申银万国,3,0
2016-08-10,B,5,宏源期货,2,0
2016-08-10,B,6,东航期货,1,1
2016-08-10,B,7,中信建投,1,0
2016-08-10,B,8,国联期货,1,0
2016-08-10,B,9,红塔期货,1,0
2016-08-10,B,10,集成期货,1,0
2016-08-11,B,1,中粮期货,5,0
2016-08-11,B,2,鲁证期货,4,0
2016-08-11,B,3,海通期货,3,0
2016-08-11,B,4,申银万国,3,0
2016-08-11,B,5,宏源期货,2,0
2016-08-11,B,6,东航期货,1,0
2016-08-11,B,7,中信建投,1,0
2016-08-11,B,8,国联期货,1,0
2016-08-11,B,9,红塔期货,1,0
2016-08-11,B,10,集成期货,1,0
2016-08-12,B,1,鲁证期货,9,5
2016-08-12,B,2,中粮期货,4,-1
2016-08-12,B,3,海通期货,3,0
2016-08-12,B,4,申银万国,3,0
2016-08-12,B,5,宏源期货,2,0
2016-08-12,B,6,中信建投,1,0
2016-08-12,B,7,国联期货,1,0
