trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,CF,1,格林期货,5607,5
2013-11-05,CF,2,新湖期货,3292,131
2013-11-05,CF,3,国投期货,2355,1
2013-11-05,CF,4,南华期货,2208,164
2013-11-05,CF,5,华泰长城,2089,0
2013-11-05,CF,6,弘业期货,1794,74
2013-11-05,CF,7,万达期货,1700,13
2013-11-05,CF,8,金瑞期货,1670,-2
2013-11-05,CF,9,银河期货,1607,6
2013-11-05,CF,10,宁波杉立,1521,0
2013-11-05,CF,11,长江期货,1499,12
2013-11-05,CF,12,方正期货,1178,-29
2013-11-05,CF,13,申银万国,993,-69
2013-11-05,CF,14,中国国际,972,-325
2013-11-05,CF,15,首创期货,846,48
2013-11-05,CF,16,金友期货,701,1
2013-11-05,CF,17,上海良茂,687,28
2013-11-05,CF,18,永安期货,674,-13
2013-11-05,CF,19,金石期货,641,1
2013-11-05,CF,20,宝城期货,544,4
2013-11-06,CF,1,格林期货,5496,-111
2013-11-06,CF,2,新湖期货,3344,52
2013-11-06,CF,3,国投期货,2356,1
2013-11-06,CF,4,南华期货,2201,-7
2013-11-06,CF,5,华泰长城,2103,14
2013-11-06,CF,6,弘业期货,1926,132
2013-11-06,CF,7,万达期货,1833,133
2013-11-06,CF,8,银河期货,1628,21
2013-11-06,CF,9,宁波杉立,1524,3
2013-11-06,CF,10,长江期货,1465,-34
2013-11-06,CF,11,金瑞期货,1383,-287
2013-11-06,CF,12,方正期货,1189,11
2013-11-06,CF,13,中国国际,1078,106
2013-11-06,CF,14,申银万国,959,-34
2013-11-06,CF,15,首创期货,901,55
2013-11-06,CF,16,上海良茂,728,41
2013-11-06,CF,17,金友期货,714,13
2013-11-06,CF,18,永安期货,677,3
2013-11-06,CF,19,金石期货,653,12
2013-11-06,CF,20,光大期货,641,249
2013-11-07,CF,1,格林期货,5510,14
2013-11-07,CF,2,新湖期货,3334,-10
2013-11-07,CF,3,国投期货,2353,-3
2013-11-07,CF,4,南华期货,2214,13
2013-11-07,CF,5,华泰长城,2108,5
2013-11-07,CF,6,弘业期货,1872,-54
2013-11-07,CF,7,万达期货,1833,0
2013-11-07,CF,8,银河期货,1663,35
2013-11-07,CF,9,长江期货,1525,60
2013-11-07,CF,10,宁波杉立,1525,1
2013-11-07,CF,11,金瑞期货,1365,-18
2013-11-07,CF,12,方正期货,1196,7
2013-11-07,CF,13,中国国际,1075,-3
2013-11-07,CF,14,首创期货,950,49
2013-11-07,CF,15,申银万国,895,-64
