trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,CF,1,万达期货,5437,-51
2013-11-05,CF,2,长江期货,4596,-1
2013-11-05,CF,3,永安期货,3016,-76
2013-11-05,CF,4,国投期货,2845,0
2013-11-05,CF,5,新湖期货,2763,273
2013-11-05,CF,6,光大期货,2563,55
2013-11-05,CF,7,格林期货,2110,-15
2013-11-05,CF,8,华泰长城,1818,-6
2013-11-05,CF,9,大越期货,1714,-4
2013-11-05,CF,10,浙商期货,1676,243
2013-11-05,CF,11,宏源期货,1580,-289
2013-11-05,CF,12,中国国际,1179,-370
2013-11-05,CF,13,银河期货,1051,29
2013-11-05,CF,14,冠通期货,1002,0
2013-11-05,CF,15,美尔雅,969,26
2013-11-05,CF,16,国联期货,771,31
2013-11-05,CF,17,华安期货,761,0
2013-11-05,CF,18,大连良运,710,5
2013-11-05,CF,19,海通期货,568,28
2013-11-05,CF,20,国金期货,518,-100
2013-11-06,CF,1,万达期货,5476,39
2013-11-06,CF,2,长江期货,4574,-22
2013-11-06,CF,3,永安期货,3024,8
2013-11-06,CF,4,国投期货,2657,-188
2013-11-06,CF,5,新湖期货,2616,-147
2013-11-06,CF,6,大连良运,2200,1490
2013-11-06,CF,7,光大期货,2111,-452
2013-11-06,CF,8,格林期货,2110,0
2013-11-06,CF,9,华泰长城,1895,77
2013-11-06,CF,10,大越期货,1715,1
2013-11-06,CF,11,浙商期货,1684,8
2013-11-06,CF,12,宏源期货,1274,-306
2013-11-06,CF,13,美尔雅,1260,291
2013-11-06,CF,14,华安期货,1033,272
2013-11-06,CF,15,冠通期货,1006,4
2013-11-06,CF,16,中国国际,826,-353
2013-11-06,CF,17,银河期货,821,-230
2013-11-06,CF,18,国联期货,733,-38
2013-11-06,CF,19,海通期货,569,1
2013-11-06,CF,20,申银万国,551,59
2013-11-07,CF,1,万达期货,5424,-52
2013-11-07,CF,2,长江期货,4572,-2
2013-11-07,CF,3,永安期货,3087,63
2013-11-07,CF,4,新湖期货,2775,159
2013-11-07,CF,5,国投期货,2657,0
2013-11-07,CF,6,大连良运,2206,6
2013-11-07,CF,7,格林期货,2108,-2
2013-11-07,CF,8,光大期货,1980,-131
2013-11-07,CF,9,华泰长城,1944,49
2013-11-07,CF,10,浙商期货,1855,171
2013-11-07,CF,11,大越期货,1728,13
2013-11-07,CF,12,宏源期货,1274,0
2013-11-07,CF,13,美尔雅,1248,-12
2013-11-07,CF,14,华安期货,1032,-1
2013-11-07,CF,15,中国国际,1022,196
2013-11-07,CF,16,冠通期货,1004,-2
2013-11-07,CF,17,银河期货,860,39
2013-11-07,CF,18,国联期货,770,37
2013-11-07,CF,19,申银万国,644,93
2013-11-07,CF,20,海通期货,567,-2
2013-11-08,CF,1,万达期货,5457,33
2013-11-08,CF,2,长江期货,4606,34
2013-11-08,CF,3,新湖期货,3381,606
2013-11-08,CF,4,永安期货,3034,-53
2013-11-08,CF,5,国投期货,2885,228
2013-11-08,CF,6,大连良运,2216,10
2013-11-08,CF,7,格林期货,2114,6
2013-11-08,CF,8,光大期货,1993,13
2013-11-08,CF,9,浙商期货,1808,-47
2013-11-08,CF,10,华泰长城,1488,-456
2013-11-08,CF,11,中国国际,1463,441
2013-11-08,CF,12,宏源期货,1282,8
2013-11-08,CF,13,美尔雅,1270,22
2013-11-08,CF,14,冠通期货,1001,-3
2013-11-08,CF,15,华安期货,994,-38
2013-11-08,CF,16,国联期货,878,108
2013-11-08,CF,17,银河期货,855,-5
2013-11-08,CF,18,申银万国,687,43
2013-11-08,CF,19,海通期货,524,-43
2013-11-08,CF,20,国金期货,414,0
2013-11-11,CF,1,万达期货,5516,59
2013-11-11,CF,2,长江期货,4911,305
2013-11-11,CF,3,新湖期货,3470,89
2013-11-11,CF,4,永安期货,3259,225
2013-11-11,CF,5,国投期货,3004,119
2013-11-11,CF,6,格林期货,2126,12
2013-11-11,CF,7,光大期货,1905,-88
2013-11-11,CF,8,浙商期货,1817,9
2013-11-11,CF,9,中国国际,1519,56
2013-11-11,CF,10,华泰长城,1429,-59
2013-11-11,CF,11,宏源期货,1338,56
2013-11-11,CF,12,美尔雅,1331,61
2013-11-11,CF,13,冠通期货,999,-2
2013-11-11,CF,14,国联期货,973,95
2013-11-11,CF,15,银河期货,868,13
2013-11-11,CF,16,海通期货,710,186
2013-11-11,CF,17,申银万国,682,-5
2013-11-11,CF,18,大连良运,575,-1641
2013-11-11,CF,19,首创期货,466,78
2013-11-11,CF,20,华安期货,445,-549
2013-11-12,CF,1,万达期货,5520,4
2013-11-12,CF,2,长江期货,4612,-299
2013-11-12,CF,3,新湖期货,3450,-20
2013-11-12,CF,4,永安期货,3162,-97
2013-11-12,CF,5,国投期货,2705,-299
2013-11-12,CF,6,格林期货,2122,-4
2013-11-12,CF,7,光大期货,1888,-17
2013-11-12,CF,8,浙商期货,1811,-6
2013-11-12,CF,9,华泰长城,1417,-12
2013-11-12,CF,10,宏源期货,1356,18
2013-11-12,CF,11,大连良运,1312,737
2013-11-12,CF,12,美尔雅,1250,-81
2013-11-12,CF,13,北方期货,1076,760
2013-11-12,CF,14,冠通期货,999,0
2013-11-12,CF,15,国联期货,972,-1
2013-11-12,CF,16,银河期货,828,-40
2013-11-12,CF,17,海通期货,700,-10
2013-11-12,CF,18,申银万国,692,10
2013-11-12,CF,19,中国国际,595,-924
2013-11-12,CF,20,金瑞期货,441,425
2013-11-13,CF,1,万达期货,5356,-164
2013-11-13,CF,2,长江期货,4363,-249
2013-11-13,CF,3,新湖期货,3392,-58
2013-11-13,CF,4,永安期货,3002,-160
2013-11-13,CF,5,国投期货,2695,-10
2013-11-13,CF,6,格林期货,2149,27
2013-11-13,CF,7,光大期货,1898,10
2013-11-13,CF,8,浙商期货,1830,19
2013-11-13,CF,9,华泰长城,1428,11
2013-11-13,CF,10,大连良运,1314,2
2013-11-13,CF,11,宏源期货,1303,-53
2013-11-13,CF,12,北方期货,1176,100
2013-11-13,CF,13,美尔雅,1148,-102
2013-11-13,CF,14,国联期货,1008,36
2013-11-13,CF,15,冠通期货,853,-146
2013-11-13,CF,16,银河期货,768,-60
2013-11-13,CF,17,申银万国,687,-5
2013-11-13,CF,18,中粮期货,681,425
2013-11-13,CF,19,海通期货,672,-28
2013-11-13,CF,20,金瑞期货,666,225
2013-11-14,CF,1,万达期货,5089,-267
2013-11-14,CF,2,长江期货,4360,-3
2013-11-14,CF,3,新湖期货,3396,4
2013-11-14,CF,4,永安期货,2957,-45
2013-11-14,CF,5,国投期货,2458,-237
2013-11-14,CF,6,格林期货,2023,-126
2013-11-14,CF,7,光大期货,1933,35
2013-11-14,CF,8,浙商期货,1826,-4
2013-11-14,CF,9,华泰长城,1445,17
2013-11-14,CF,10,宏源期货,1320,17
2013-11-14,CF,11,美尔雅,1189,41
2013-11-14,CF,12,中国国际,1096,495
2013-11-14,CF,13,国联期货,1095,87
2013-11-14,CF,14,中粮期货,920,239
2013-11-14,CF,15,银河期货,898,130
2013-11-14,CF,16,冠通期货,864,11
2013-11-14,CF,17,申银万国,690,3
2013-11-14,CF,18,金瑞期货,663,-3
2013-11-14,CF,19,华安期货,580,61
2013-11-14,CF,20,东吴期货,419,4
2013-11-15,CF,1,万达期货,6139,1050
2013-11-15,CF,2,长江期货,3507,-853
2013-11-15,CF,3,新湖期货,3367,-29
2013-11-15,CF,4,永安期货,2313,-644
2013-11-15,CF,5,国投期货,2305,-153
2013-11-15,CF,6,光大期货,1994,61
2013-11-15,CF,7,格林期货,1703,-320
2013-11-15,CF,8,浙商期货,1631,-195
2013-11-15,CF,9,华泰长城,1452,7
2013-11-15,CF,10,冠通期货,1278,414
2013-11-15,CF,11,美尔雅,1187,-2
2013-11-15,CF,12,宏源期货,1128,-192
2013-11-15,CF,13,国联期货,1084,-11
2013-11-15,CF,14,中粮期货,1035,115
2013-11-15,CF,15,银河期货,982,84
2013-11-15,CF,16,申银万国,703,13
2013-11-15,CF,17,金瑞期货,662,-1
2013-11-15,CF,18,华安期货,611,31
2013-11-15,CF,19,大越期货,572,234
2013-11-15,CF,20,中国国际,550,-546
2013-11-18,CF,1,万达期货,6839,700
2013-11-18,CF,2,永安期货,5510,3197
2013-11-18,CF,3,新湖期货,3162,-205
2013-11-18,CF,4,光大期货,2416,422
2013-11-18,CF,5,海通期货,2400,2121
2013-11-18,CF,6,华泰长城,2070,618
2013-11-18,CF,7,长江期货,1918,-1589
2013-11-18,CF,8,国投期货,1906,-399
2013-11-18,CF,9,浙商期货,1658,27
2013-11-18,CF,10,格林期货,1601,-102
2013-11-18,CF,11,冠通期货,1568,290
2013-11-18,CF,12,宏源期货,1255,127
2013-11-18,CF,13,银河期货,1211,229
2013-11-18,CF,14,美尔雅,1195,8
2013-11-18,CF,15,中粮期货,1194,159
2013-11-18,CF,16,国联期货,817,-267
2013-11-18,CF,17,申银万国,755,52
2013-11-18,CF,18,大连良运,671,616
2013-11-18,CF,19,华安期货,644,33
2013-11-18,CF,20,大越期货,601,29
2013-11-19,CF,1,万达期货,7324,485
2013-11-19,CF,2,永安期货,5200,-310
2013-11-19,CF,3,新湖期货,2773,-389
2013-11-19,CF,4,海通期货,2734,334
2013-11-19,CF,5,光大期货,2293,-123
2013-11-19,CF,6,大连良运,2203,1532
2013-11-19,CF,7,华泰长城,2186,116
2013-11-19,CF,8,浙商期货,2153,495
2013-11-19,CF,9,国投期货,1913,7
2013-11-19,CF,10,冠通期货,1534,-34
2013-11-19,CF,11,银河期货,1328,117
2013-11-19,CF,12,中粮期货,1324,130
2013-11-19,CF,13,宏源期货,1256,1
2013-11-19,CF,14,格林期货,1166,-435
2013-11-19,CF,15,国联期货,952,135
2013-11-19,CF,16,长江期货,947,-971
2013-11-19,CF,17,华安期货,866,222
2013-11-19,CF,18,美尔雅,844,-351
2013-11-19,CF,19,金瑞期货,774,396
2013-11-19,CF,20,浙江中大,757,399
2013-11-20,CF,1,万达期货,7324,0
2013-11-20,CF,2,永安期货,5128,-72
2013-11-20,CF,3,海通期货,2805,71
2013-11-20,CF,4,大连良运,2229,26
2013-11-20,CF,5,新湖期货,2191,-582
2013-11-20,CF,6,华泰长城,2183,-3
2013-11-20,CF,7,国投期货,2005,92
2013-11-20,CF,8,浙商期货,1965,-188
2013-11-20,CF,9,冠通期货,1848,314
2013-11-20,CF,10,中粮期货,1505,181
2013-11-20,CF,11,银河期货,1349,21
2013-11-20,CF,12,宏源期货,1323,67
2013-11-20,CF,13,光大期货,1273,-1020
2013-11-20,CF,14,金瑞期货,937,163
2013-11-20,CF,15,格林期货,925,-241
2013-11-20,CF,16,美尔雅,869,25
2013-11-20,CF,17,华安期货,793,-73
2013-11-20,CF,18,浙江中大,763,6
2013-11-20,CF,19,国联期货,755,-197
2013-11-20,CF,20,北方期货,718,0
2013-11-21,CF,1,万达期货,8739,1415
2013-11-21,CF,2,永安期货,5370,242
2013-11-21,CF,3,海通期货,2703,-102
2013-11-21,CF,4,新湖期货,2285,94
2013-11-21,CF,5,国投期货,2157,152
2013-11-21,CF,6,浙商期货,2062,97
2013-11-21,CF,7,冠通期货,1989,141
2013-11-21,CF,8,华泰长城,1935,-248
2013-11-21,CF,9,光大期货,1905,632
2013-11-21,CF,10,中粮期货,1568,63
2013-11-21,CF,11,银河期货,1319,-30
2013-11-21,CF,12,宏源期货,1303,-20
2013-11-21,CF,13,金瑞期货,1074,137
2013-11-21,CF,14,浙江中大,769,6
2013-11-21,CF,15,国联期货,761,6
2013-11-21,CF,16,华安期货,732,-61
2013-11-21,CF,17,格林期货,731,-194
2013-11-21,CF,18,申银万国,678,-17
2013-11-21,CF,19,美尔雅,654,-215
2013-11-21,CF,20,大越期货,587,-4
2013-11-22,CF,1,万达期货,8714,-25
2013-11-22,CF,2,永安期货,5396,26
2013-11-22,CF,3,海通期货,2920,217
2013-11-22,CF,4,新湖期货,2320,35
2013-11-22,CF,5,国投期货,2149,-8
2013-11-22,CF,6,光大期货,2064,159
2013-11-22,CF,7,冠通期货,1988,-1
2013-11-22,CF,8,华泰长城,1916,-19
2013-11-22,CF,9,浙商期货,1772,-290
