trading_date,commodity_id,rank,member_name,volume,volume_change
2014-12-22,CS,1,永安期货,751,150
2014-12-22,CS,2,华泰长城,426,-11
2014-12-22,CS,3,东航期货,411,118
2014-12-22,CS,4,瑞达期货,168,161
2014-12-22,CS,5,中粮期货,168,157
2014-12-22,CS,6,国泰君安,157,113
2014-12-22,CS,7,中信期货,148,50
2014-12-22,CS,8,万达期货,143,98
2014-12-22,CS,9,徽商期货,135,125
2014-12-22,CS,10,鲁证期货,130,-3
2014-12-22,CS,11,银河期货,128,82
2014-12-22,CS,12,金瑞期货,124,123
2014-12-22,CS,13,招金期货,123,101
2014-12-22,CS,14,国投期货,114,112
2014-12-22,CS,15,中国国际,112,52
2014-12-22,CS,16,海通期货,109,47
2014-12-22,CS,17,广发期货,97,53
2014-12-22,CS,18,中衍期货,88,85
2014-12-22,CS,19,浙商期货,77,-115
2014-12-22,CS,20,方正中期,77,-159
2014-12-23,CS,1,永安期货,846,95
2014-12-23,CS,2,华泰长城,436,10
2014-12-23,CS,3,东航期货,240,-171
2014-12-23,CS,4,光大期货,236,157
2014-12-23,CS,5,中信期货,189,41
2014-12-23,CS,6,徽商期货,186,2
2014-12-23,CS,7,国海良时,175,165
2014-12-23,CS,8,金瑞期货,173,49
2014-12-23,CS,9,中粮期货,161,-7
2014-12-23,CS,10,中衍期货,132,36
2014-12-23,CS,11,国投期货,128,14
2014-12-23,CS,12,鲁证期货,128,-2
2014-12-23,CS,13,万达期货,108,-35
2014-12-23,CS,14,银河期货,104,-12
2014-12-23,CS,15,中国国际,98,-14
2014-12-23,CS,16,南华期货,96,80
2014-12-23,CS,17,瑞达期货,93,-75
2014-12-23,CS,18,上海通联,90,90
2014-12-23,CS,19,浙商期货,87,10
2014-12-23,CS,20,广发期货,85,-12
2014-12-24,CS,1,永安期货,997,151
2014-12-24,CS,2,华泰长城,427,-9
2014-12-24,CS,3,中信期货,297,101
2014-12-24,CS,4,中粮期货,242,81
2014-12-24,CS,5,东航期货,213,-27
2014-12-24,CS,6,光大期货,201,-35
2014-12-24,CS,7,徽商期货,146,-40
2014-12-24,CS,8,鲁证期货,144,16
2014-12-24,CS,9,国投期货,128,0
2014-12-24,CS,10,国海良时,115,-60
2014-12-24,CS,11,中国国际,109,11
2014-12-24,CS,12,广发期货,96,11
2014-12-24,CS,13,上海通联,90,0
2014-12-24,CS,14,新湖期货,75,31
2014-12-24,CS,15,长安期货,75,2
2014-12-24,CS,16,瑞达期货,73,-20
2014-12-24,CS,17,银河期货,72,-32
2014-12-24,CS,18,招金期货,70,6
2014-12-24,CS,19,南华期货,68,-28
2014-12-24,CS,20,中信建投,64,0
2014-12-25,CS,1,永安期货,1081,84
2014-12-25,CS,2,华泰长城,430,3
2014-12-25,CS,3,中信期货,304,7
2014-12-25,CS,4,中国国际,284,175
2014-12-25,CS,5,东航期货,253,40
2014-12-25,CS,6,中粮期货,205,-37
2014-12-25,CS,7,瑞达期货,165,92
2014-12-25,CS,8,徽商期货,142,-4
