trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,CU,1,金瑞期货,29188,679
2013-11-05,CU,2,迈科期货,11391,-102
2013-11-05,CU,3,永安期货,8501,-680
2013-11-05,CU,4,南华期货,6623,-282
2013-11-05,CU,5,华安期货,6538,231
2013-11-05,CU,6,国泰君安,5789,-16
2013-11-05,CU,7,一德期货,5682,-84
2013-11-05,CU,8,安信期货,5488,-23
2013-11-05,CU,9,上海金源,4851,328
2013-11-05,CU,10,中粮期货,4663,765
2013-11-05,CU,11,中银国际,4424,12
2013-11-05,CU,12,广发期货,4413,414
2013-11-05,CU,13,中钢期货,4407,62
2013-11-05,CU,14,北京首创,4393,-71
2013-11-05,CU,15,海通期货,4329,-910
2013-11-05,CU,16,宏源期货,4222,-108
2013-11-05,CU,17,中信新际,4161,-107
2013-11-05,CU,18,中证期货,3974,333
2013-11-05,CU,19,北京中期,3872,20
2013-11-05,CU,20,银河期货,3687,79
2013-11-06,CU,1,金瑞期货,30235,1047
2013-11-06,CU,2,迈科期货,10972,-419
2013-11-06,CU,3,永安期货,8789,288
2013-11-06,CU,4,华安期货,8229,1436
2013-11-06,CU,5,南华期货,7021,398
2013-11-06,CU,6,北京首创,6985,499
2013-11-06,CU,7,一德期货,5705,23
2013-11-06,CU,8,国泰君安,5635,-154
2013-11-06,CU,9,安信期货,5488,0
2013-11-06,CU,10,上海金源,4916,65
2013-11-06,CU,11,中信新际,4769,-170
2013-11-06,CU,12,中粮期货,4758,95
2013-11-06,CU,13,中钢期货,4435,28
2013-11-06,CU,14,中银国际,4424,0
2013-11-06,CU,15,宏源期货,4130,-92
2013-11-06,CU,16,北京中期,4004,132
2013-11-06,CU,17,中证期货,3894,-80
2013-11-06,CU,18,银河期货,3888,201
2013-11-06,CU,19,深圳金汇,3630,-49
2013-11-06,CU,20,鲁证期货,3491,190
2013-11-07,CU,1,金瑞期货,30837,602
2013-11-07,CU,2,迈科期货,9522,-1450
2013-11-07,CU,3,永安期货,9120,331
2013-11-07,CU,4,华安期货,8427,198
2013-11-07,CU,5,北京首创,7401,416
2013-11-07,CU,6,南华期货,6408,-613
2013-11-07,CU,7,一德期货,5684,-21
2013-11-07,CU,8,安信期货,5551,63
2013-11-07,CU,9,国泰君安,5412,12
2013-11-07,CU,10,中钢期货,5328,17
2013-11-07,CU,11,中粮期货,4983,-337
2013-11-07,CU,12,上海金源,4980,64
2013-11-07,CU,13,五矿期货,4466,399
2013-11-07,CU,14,中银国际,4415,-9
2013-11-07,CU,15,北京中期,4413,409
2013-11-07,CU,16,宏源期货,4097,-33
2013-11-07,CU,17,银河期货,3954,66
2013-11-07,CU,18,深圳金汇,3902,117
2013-11-07,CU,19,中证期货,3698,-196
2013-11-07,CU,20,美尔雅,3673,281
2013-11-08,CU,1,金瑞期货,30769,-68
2013-11-08,CU,2,迈科期货,10192,670
2013-11-08,CU,3,永安期货,9139,19
2013-11-08,CU,4,华安期货,8778,351
2013-11-08,CU,5,北京首创,7408,7
2013-11-08,CU,6,南华期货,6616,208
2013-11-08,CU,7,安信期货,5705,154
2013-11-08,CU,8,一德期货,5662,-22
2013-11-08,CU,9,五矿期货,5596,627
2013-11-08,CU,10,国泰君安,5406,-6
2013-11-08,CU,11,中钢期货,5305,-23
2013-11-08,CU,12,上海金源,4965,-15
2013-11-08,CU,13,中信新际,4534,-14
2013-11-08,CU,14,中银国际,4357,-58
2013-11-08,CU,15,北京中期,4319,-94
2013-11-08,CU,16,中粮期货,4299,-175
2013-11-08,CU,17,宏源期货,3951,-146
2013-11-08,CU,18,银河期货,3931,-23
2013-11-08,CU,19,深圳金汇,3842,-60
2013-11-08,CU,20,美尔雅,3793,120
2013-11-11,CU,1,金瑞期货,32784,2015
2013-11-11,CU,2,迈科期货,9330,-862
2013-11-11,CU,3,永安期货,9123,-16
2013-11-11,CU,4,华安期货,8968,190
2013-11-11,CU,5,北京首创,7401,-7
2013-11-11,CU,6,南华期货,6687,71
2013-11-11,CU,7,五矿期货,5807,211
2013-11-11,CU,8,安信期货,5700,-5
2013-11-11,CU,9,一德期货,5649,-13
2013-11-11,CU,10,中钢期货,5290,-15
2013-11-11,CU,11,国泰君安,5285,-121
2013-11-11,CU,12,中粮期货,5148,312
