trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,CU,1,金瑞期货,16410,-475
2013-11-05,CU,2,经易期货,10863,-51
2013-11-05,CU,3,银河期货,8428,-751
2013-11-05,CU,4,华泰长城,8061,195
2013-11-05,CU,5,海通期货,7848,-231
2013-11-05,CU,6,中证期货,7676,-397
2013-11-05,CU,7,永安期货,7198,545
2013-11-05,CU,8,南华期货,6057,-129
2013-11-05,CU,9,中国国际,5517,-480
2013-11-05,CU,10,云晨期货,4971,-136
2013-11-05,CU,11,中钢期货,4742,346
2013-11-05,CU,12,迈科期货,4671,-24
2013-11-05,CU,13,国泰君安,4589,96
2013-11-05,CU,14,五矿期货,4162,814
2013-11-05,CU,15,格林期货,4005,-121
2013-11-05,CU,16,中原期货,3993,40
2013-11-05,CU,17,广发期货,3681,406
2013-11-05,CU,18,集成期货,3678,305
2013-11-05,CU,19,中粮期货,3459,6
2013-11-05,CU,20,北京中期,3325,595
2013-11-06,CU,1,金瑞期货,16280,-130
2013-11-06,CU,2,经易期货,10851,-12
2013-11-06,CU,3,银河期货,9600,1172
2013-11-06,CU,4,永安期货,8394,699
2013-11-06,CU,5,华泰长城,8127,171
2013-11-06,CU,6,海通期货,7921,73
2013-11-06,CU,7,中证期货,7512,-164
2013-11-06,CU,8,迈科期货,6563,332
2013-11-06,CU,9,中国国际,5486,-31
2013-11-06,CU,10,南华期货,5255,-682
2013-11-06,CU,11,中钢期货,4935,193
2013-11-06,CU,12,云晨期货,4842,-129
2013-11-06,CU,13,国泰君安,4803,214
2013-11-06,CU,14,五矿期货,4634,472
2013-11-06,CU,15,格林期货,4196,191
2013-11-06,CU,16,集成期货,3792,114
2013-11-06,CU,17,中原期货,3725,-268
2013-11-06,CU,18,广发期货,3672,-9
2013-11-06,CU,19,中粮期货,3358,-101
2013-11-06,CU,20,北京中期,3327,2
2013-11-07,CU,1,金瑞期货,15714,-566
2013-11-07,CU,2,经易期货,10779,-72
2013-11-07,CU,3,中证期货,8874,1362
2013-11-07,CU,4,银河期货,8527,-1073
2013-11-07,CU,5,华泰长城,8299,172
2013-11-07,CU,6,海通期货,7919,-2
2013-11-07,CU,7,永安期货,7690,-774
2013-11-07,CU,8,中国国际,6010,464
2013-11-07,CU,9,五矿期货,5634,1000
2013-11-07,CU,10,中钢期货,5196,261
2013-11-07,CU,11,国泰君安,5113,240
2013-11-07,CU,12,云晨期货,4751,-91
2013-11-07,CU,13,南华期货,4684,-571
2013-11-07,CU,14,迈科期货,4595,0
2013-11-07,CU,15,北京中期,4125,322
2013-11-07,CU,16,集成期货,4062,270
2013-11-07,CU,17,格林期货,4028,-168
