trading_date,commodity_id,rank,member_name,volume,volume_change
2017-08-18,CY,1,永安期货,246,246
2017-08-18,CY,2,宝城期货,203,203
2017-08-18,CY,3,中原期货,170,170
2017-08-18,CY,4,华泰期货,164,164
2017-08-18,CY,5,东兴期货,161,161
2017-08-18,CY,6,广发期货,137,137
2017-08-18,CY,7,恒泰期货,128,128
2017-08-18,CY,8,东航期货,119,119
2017-08-18,CY,9,华信期货,117,117
2017-08-18,CY,10,长江期货,115,115
2017-08-18,CY,11,海通期货,94,94
2017-08-18,CY,12,国泰君安,91,91
2017-08-18,CY,13,弘业期货,86,86
2017-08-18,CY,14,宏源期货,81,81
2017-08-18,CY,15,国信期货,80,80
2017-08-18,CY,16,徽商期货,80,80
2017-08-18,CY,17,银河期货,80,80
2017-08-18,CY,18,广州金控,79,79
2017-08-18,CY,19,中信期货,76,76
2017-08-18,CY,20,海证期货,75,75
2017-08-21,CY,1,永安期货,400,154
2017-08-21,CY,2,华信期货,272,155
2017-08-21,CY,3,东航期货,227,108
2017-08-21,CY,4,华泰期货,198,34
2017-08-21,CY,5,东兴期货,168,7
2017-08-21,CY,6,弘业期货,159,73
2017-08-21,CY,7,徽商期货,131,51
2017-08-21,CY,8,长江期货,130,15
2017-08-21,CY,9,信达期货,115,48
2017-08-21,CY,10,宝城期货,103,-100
2017-08-21,CY,11,中信期货,98,22
2017-08-21,CY,12,国泰君安,98,7
2017-08-21,CY,13,国投安信期货,89,28
2017-08-21,CY,14,宏源期货,84,3
2017-08-21,CY,15,广发期货,83,-54
2017-08-21,CY,16,招商期货,81,28
2017-08-21,CY,17,方正中期,79,29
2017-08-21,CY,18,同信久恒,74,16
2017-08-21,CY,19,银河期货,73,-7
2017-08-21,CY,20,倍特期货,71,21
2017-08-22,CY,1,永安期货,318,-82
2017-08-22,CY,2,华信期货,265,-7
2017-08-22,CY,3,东航期货,244,17
2017-08-22,CY,4,华泰期货,173,-25
2017-08-22,CY,5,海通期货,167,97
2017-08-22,CY,6,东兴期货,152,-16
2017-08-22,CY,7,信达期货,112,-3
2017-08-22,CY,8,徽商期货,110,-21
2017-08-22,CY,9,宝城期货,107,4
2017-08-22,CY,10,方正中期,107,28
2017-08-22,CY,11,长江期货,103,-27
2017-08-22,CY,12,华闻期货,92,49
2017-08-22,CY,13,中国国际,85,48
2017-08-22,CY,14,宏源期货,75,-9
2017-08-22,CY,15,广州金控,72,7
2017-08-22,CY,16,华安期货,71,18
2017-08-22,CY,17,广发期货,69,-14
2017-08-22,CY,18,倍特期货,64,-7
2017-08-22,CY,19,新晟期货,64,11
2017-08-22,CY,20,国泰君安,63,-35
2017-08-23,CY,1,永安期货,449,131
2017-08-23,CY,2,东航期货,239,-5
2017-08-23,CY,3,华信期货,235,-30
2017-08-23,CY,4,华泰期货,176,3
2017-08-23,CY,5,东兴期货,154,2
2017-08-23,CY,6,光大期货,128,94
2017-08-23,CY,7,宝城期货,105,-2
2017-08-23,CY,8,方正中期,103,-4
2017-08-23,CY,9,信达期货,99,-13
2017-08-23,CY,10,华闻期货,98,6
2017-08-23,CY,11,国泰君安,97,34
2017-08-23,CY,12,广州金控,83,11
2017-08-23,CY,13,徽商期货,81,-29
2017-08-23,CY,14,金石期货,63,2
2017-08-23,CY,15,中国国际,60,-25
2017-08-23,CY,16,广发期货,60,-9
2017-08-23,CY,17,中粮期货,58,23
2017-08-23,CY,18,长江期货,56,-47
2017-08-23,CY,19,中信建投,56,2
2017-08-23,CY,20,东证期货,55,11
2017-08-24,CY,1,永安期货,435,-14
2017-08-24,CY,2,华信期货,255,20
2017-08-24,CY,3,东航期货,240,1
2017-08-24,CY,4,华泰期货,166,-10
2017-08-24,CY,5,东兴期货,154,0
2017-08-24,CY,6,光大期货,127,-1
2017-08-24,CY,7,华闻期货,107,9
2017-08-24,CY,8,宝城期货,102,-3
2017-08-24,CY,9,信达期货,97,-2
2017-08-24,CY,10,国泰君安,90,-7
2017-08-24,CY,11,广州金控,79,-4
2017-08-24,CY,12,徽商期货,77,-4
2017-08-24,CY,13,广发期货,68,8
2017-08-24,CY,14,金石期货,64,1
2017-08-24,CY,15,中信建投,53,-3
2017-08-24,CY,16,华安期货,53,6
2017-08-24,CY,17,国联期货,52,4
2017-08-24,CY,18,同信久恒,52,0
2017-08-24,CY,19,海通期货,51,4
2017-08-24,CY,20,浙江新世纪,50,48
2017-08-25,CY,1,永安期货,420,-15
2017-08-25,CY,2,华信期货,246,-9
2017-08-25,CY,3,东航期货,183,-57
2017-08-25,CY,4,东兴期货,159,5
2017-08-25,CY,5,华泰期货,156,-10
2017-08-25,CY,6,光大期货,110,-17
2017-08-25,CY,7,华闻期货,107,0
2017-08-25,CY,8,宝城期货,101,-1
2017-08-25,CY,9,信达期货,97,0
2017-08-25,CY,10,海通期货,85,34
2017-08-25,CY,11,国泰君安,70,-20
2017-08-25,CY,12,广州金控,67,-12
