trading_date,commodity_id,rank,member_name,volume,volume_change
2017-08-18,CY,1,永安期货,984,984
2017-08-18,CY,2,华泰期货,240,240
2017-08-18,CY,3,华信期货,161,161
2017-08-18,CY,4,银河期货,159,159
2017-08-18,CY,5,国投安信期货,156,156
2017-08-18,CY,6,国富期货,151,151
2017-08-18,CY,7,东兴期货,150,150
2017-08-18,CY,8,倍特期货,139,139
2017-08-18,CY,9,东航期货,122,122
2017-08-18,CY,10,南华期货,112,112
2017-08-18,CY,11,海证期货,85,85
2017-08-18,CY,12,方正中期,84,84
2017-08-18,CY,13,上海东亚,77,77
2017-08-18,CY,14,格林大华期货,73,73
2017-08-18,CY,15,海通期货,70,70
2017-08-18,CY,16,中大期货,59,59
2017-08-18,CY,17,国泰君安,58,58
2017-08-18,CY,18,浙商期货,55,55
2017-08-18,CY,19,徽商期货,53,53
2017-08-18,CY,20,美尔雅,53,53
2017-08-21,CY,1,永安期货,1170,186
2017-08-21,CY,2,格林大华期货,305,232
2017-08-21,CY,3,华信期货,169,8
2017-08-21,CY,4,华泰期货,160,-80
2017-08-21,CY,5,国富期货,158,7
2017-08-21,CY,6,东兴期货,150,0
2017-08-21,CY,7,倍特期货,149,10
2017-08-21,CY,8,国投安信期货,142,-14
2017-08-21,CY,9,海通期货,142,72
2017-08-21,CY,10,东证期货,117,81
2017-08-21,CY,11,南华期货,117,5
2017-08-21,CY,12,东航期货,102,-20
2017-08-21,CY,13,国联期货,82,74
2017-08-21,CY,14,方正中期,74,-10
2017-08-21,CY,15,徽商期货,73,20
2017-08-21,CY,16,首创期货,67,37
2017-08-21,CY,17,上海东亚,62,-15
2017-08-21,CY,18,大地期货,60,16
2017-08-21,CY,19,华安期货,60,30
2017-08-21,CY,20,一德期货,60,20
2017-08-22,CY,1,永安期货,1013,-157
2017-08-22,CY,2,格林大华期货,384,79
2017-08-22,CY,3,华泰期货,151,-9
2017-08-22,CY,4,东兴期货,151,1
2017-08-22,CY,5,国投安信期货,146,4
2017-08-22,CY,6,华信期货,142,-27
2017-08-22,CY,7,南华期货,125,8
2017-08-22,CY,8,华闻期货,115,95
2017-08-22,CY,9,中信建投,95,60
2017-08-22,CY,10,东证期货,94,-23
2017-08-22,CY,11,东航期货,90,-12
2017-08-22,CY,12,海通期货,82,-60
2017-08-22,CY,13,国联期货,78,-4
2017-08-22,CY,14,中信期货,75,20
2017-08-22,CY,15,新湖期货,62,21
2017-08-22,CY,16,大地期货,60,0
2017-08-22,CY,17,上海中财,54,7
2017-08-22,CY,18,浙商期货,54,18
2017-08-22,CY,19,中航期货,50,-1
2017-08-22,CY,20,首创期货,50,-17
2017-08-23,CY,1,永安期货,1009,-4
2017-08-23,CY,2,格林大华期货,383,-1
2017-08-23,CY,3,华泰期货,154,3
2017-08-23,CY,4,国投安信期货,150,4
2017-08-23,CY,5,东兴期货,150,-1
2017-08-23,CY,6,华信期货,141,-1
2017-08-23,CY,7,华闻期货,115,0
2017-08-23,CY,8,中信建投,86,-9
2017-08-23,CY,9,东航期货,85,-5
2017-08-23,CY,10,国联期货,78,0
2017-08-23,CY,11,南华期货,73,-52
2017-08-23,CY,12,大地期货,72,12
2017-08-23,CY,13,新湖期货,64,2
2017-08-23,CY,14,中辉期货,63,21
2017-08-23,CY,15,中信期货,62,-13
2017-08-23,CY,16,招商期货,59,14
2017-08-23,CY,17,首创期货,54,4
2017-08-23,CY,18,上海中财,52,-2
2017-08-23,CY,19,中航期货,50,0
2017-08-23,CY,20,浙商期货,48,-6
2017-08-24,CY,1,永安期货,995,-14
2017-08-24,CY,2,格林大华期货,379,-4
2017-08-24,CY,3,华泰期货,156,2
2017-08-24,CY,4,东兴期货,150,0
2017-08-24,CY,5,华信期货,137,-4
2017-08-24,CY,6,国投安信期货,124,-26
2017-08-24,CY,7,华闻期货,116,1
2017-08-24,CY,8,东航期货,87,2
2017-08-24,CY,9,国联期货,78,0
2017-08-24,CY,10,新湖期货,74,10
2017-08-24,CY,11,浙商期货,71,23
2017-08-24,CY,12,大地期货,67,-5
2017-08-24,CY,13,中信建投,65,-21
2017-08-24,CY,14,中信期货,56,-6
2017-08-24,CY,15,同信久恒,56,34
2017-08-24,CY,16,上海中财,52,0
2017-08-24,CY,17,首创期货,52,-2
2017-08-24,CY,18,中航期货,50,0
2017-08-24,CY,19,东证期货,44,0
2017-08-24,CY,20,徽商期货,41,-3
2017-08-25,CY,1,永安期货,994,-1
2017-08-25,CY,2,格林大华期货,381,2
2017-08-25,CY,3,东兴期货,155,5
2017-08-25,CY,4,华泰期货,147,-9
2017-08-25,CY,5,华信期货,122,-15
2017-08-25,CY,6,华闻期货,115,-1
2017-08-25,CY,7,中信建投,80,15
2017-08-25,CY,8,国联期货,78,0
2017-08-25,CY,9,浙商期货,64,-7
2017-08-25,CY,10,新湖期货,64,-10
2017-08-25,CY,11,大地期货,62,-5
2017-08-25,CY,12,中信期货,55,-1
2017-08-25,CY,13,上海中财,52,0
2017-08-25,CY,14,中航期货,50,0
2017-08-25,CY,15,东航期货,44,-43
2017-08-25,CY,16,中大期货,40,10
2017-08-25,CY,17,东证期货,39,-5
2017-08-25,CY,18,首创期货,39,-13
2017-08-25,CY,19,国投安信期货,38,-86
2017-08-25,CY,20,上海东亚,35,0
2017-08-28,CY,1,永安期货,1016,22
2017-08-28,CY,2,格林大华期货,377,-4
2017-08-28,CY,3,华泰期货,155,8
2017-08-28,CY,4,东兴期货,150,-5
2017-08-28,CY,5,华信期货,131,9
2017-08-28,CY,6,华闻期货,115,0
2017-08-28,CY,7,国联期货,77,-1
2017-08-28,CY,8,中信建投,71,-9
2017-08-28,CY,9,大地期货,64,2
2017-08-28,CY,10,新湖期货,64,0
2017-08-28,CY,11,中信期货,55,0
2017-08-28,CY,12,上海中财,52,0
2017-08-28,CY,13,中航期货,50,0
2017-08-28,CY,14,国投安信期货,49,11
2017-08-28,CY,15,东航期货,41,-3
2017-08-28,CY,16,东证期货,40,1
2017-08-28,CY,17,中国国际,40,20
2017-08-28,CY,18,广发期货,35,2
2017-08-28,CY,19,上海东亚,35,0
2017-08-28,CY,20,首创期货,34,-5
2017-08-29,CY,1,永安期货,986,-30
2017-08-29,CY,2,格林大华期货,375,-2
2017-08-29,CY,3,华泰期货,153,-2
2017-08-29,CY,4,东兴期货,131,-19
2017-08-29,CY,5,华闻期货,115,0
2017-08-29,CY,6,华信期货,85,-46
2017-08-29,CY,7,国联期货,73,-4
2017-08-29,CY,8,中信建投,69,-2
2017-08-29,CY,9,新湖期货,64,0
2017-08-29,CY,10,中信期货,55,0
2017-08-29,CY,11,大地期货,54,-10
2017-08-29,CY,12,中航期货,50,0
2017-08-29,CY,13,上海中财,43,-9
2017-08-29,CY,14,东证期货,40,0
2017-08-29,CY,15,东航期货,40,-1
2017-08-29,CY,16,国投安信期货,38,-11
2017-08-29,CY,17,上海东亚,35,0
2017-08-29,CY,18,首创期货,34,0
2017-08-29,CY,19,徽商期货,33,2
2017-08-29,CY,20,海通期货,33,22
2017-08-30,CY,1,永安期货,976,-10
2017-08-30,CY,2,格林大华期货,375,0
2017-08-30,CY,3,华泰期货,154,1
2017-08-30,CY,4,东兴期货,127,-4
2017-08-30,CY,5,华闻期货,115,0
2017-08-30,CY,6,国联期货,73,0
2017-08-30,CY,7,中信建投,71,2
2017-08-30,CY,8,新湖期货,61,-3
2017-08-30,CY,9,浙商期货,60,42
2017-08-30,CY,10,中信期货,54,-1
2017-08-30,CY,11,大地期货,54,0
2017-08-30,CY,12,东证期货,52,12
2017-08-30,CY,13,中航期货,50,0
2017-08-30,CY,14,东航期货,49,9
2017-08-30,CY,15,广发期货,45,12
2017-08-30,CY,16,上海中财,42,-1
2017-08-30,CY,17,五矿经易期货,40,26
2017-08-30,CY,18,国投安信期货,37,-1
2017-08-30,CY,19,上海东亚,35,0
2017-08-30,CY,20,首创期货,31,-3
2017-08-31,CY,1,永安期货,977,1
2017-08-31,CY,2,格林大华期货,387,12
2017-08-31,CY,3,华泰期货,142,-12
2017-08-31,CY,4,东兴期货,98,-29
2017-08-31,CY,5,国联期货,73,0
2017-08-31,CY,6,中信建投,69,-2
2017-08-31,CY,7,新湖期货,61,0
2017-08-31,CY,8,中信期货,54,0
2017-08-31,CY,9,大地期货,54,0
2017-08-31,CY,10,中航期货,50,0
2017-08-31,CY,11,东证期货,50,-2
2017-08-31,CY,12,广发期货,45,0
2017-08-31,CY,13,东航期货,41,-8
2017-08-31,CY,14,五矿经易期货,39,-1
2017-08-31,CY,15,国投安信期货,37,0
2017-08-31,CY,16,上海东亚,35,0
2017-08-31,CY,17,上海中财,34,-8
2017-08-31,CY,18,中大期货,30,0
2017-08-31,CY,19,首创期货,30,-1
2017-08-31,CY,20,创元期货,28,2
2017-09-01,CY,1,永安期货,970,-7
2017-09-01,CY,2,格林大华期货,375,-12
2017-09-01,CY,3,华泰期货,160,18
2017-09-01,CY,4,东兴期货,88,-10
2017-09-01,CY,5,国联期货,73,0
2017-09-01,CY,6,中信建投,71,2
2017-09-01,CY,7,新湖期货,60,-1
2017-09-01,CY,8,中信期货,54,0
2017-09-01,CY,9,东证期货,54,4
2017-09-01,CY,10,中航期货,50,0
2017-09-01,CY,11,创元期货,48,20
2017-09-01,CY,12,广发期货,45,0
2017-09-01,CY,13,大地期货,40,-14
2017-09-01,CY,14,国投安信期货,37,0
2017-09-01,CY,15,东航期货,35,-6
2017-09-01,CY,16,上海东亚,35,0
2017-09-01,CY,17,上海中财,34,0
2017-09-01,CY,18,中大期货,30,0
2017-09-01,CY,19,首创期货,26,-4
2017-09-01,CY,20,恒泰期货,24,10
2017-09-04,CY,1,永安期货,999,29
2017-09-04,CY,2,格林大华期货,376,1
2017-09-04,CY,3,中国国际,272,270
2017-09-04,CY,4,中信建投,137,66
2017-09-04,CY,5,华泰期货,129,-31
2017-09-04,CY,6,华信期货,111,101
2017-09-04,CY,7,国投安信期货,82,45
2017-09-04,CY,8,宝城期货,73,72
2017-09-04,CY,9,中原期货,72,72
2017-09-04,CY,10,中航期货,70,20
2017-09-04,CY,11,新湖期货,68,8
2017-09-04,CY,12,东兴期货,60,-28
2017-09-04,CY,13,建信期货,60,60
2017-09-04,CY,14,创元期货,53,5
2017-09-04,CY,15,红塔期货,50,39
2017-09-04,CY,16,中信期货,50,-4
2017-09-04,CY,17,国联期货,50,-23
2017-09-04,CY,18,大地期货,49,9
2017-09-04,CY,19,海通期货,41,27
2017-09-04,CY,20,东证期货,40,-14
2017-09-05,CY,1,永安期货,986,-13
2017-09-05,CY,2,格林大华期货,375,-1
2017-09-05,CY,3,中国国际,331,59
2017-09-05,CY,4,中信建投,146,9
2017-09-05,CY,5,华泰期货,137,8
2017-09-05,CY,6,国投安信期货,85,3
2017-09-05,CY,7,中原期货,72,0
2017-09-05,CY,8,中航期货,70,0
2017-09-05,CY,9,新湖期货,67,-1
2017-09-05,CY,10,东兴期货,59,-1
2017-09-05,CY,11,创元期货,52,-1
2017-09-05,CY,12,红塔期货,50,0
2017-09-05,CY,13,国联期货,49,-1
2017-09-05,CY,14,东证期货,41,1
2017-09-05,CY,15,中信期货,40,-10
2017-09-05,CY,16,南华期货,39,3
2017-09-05,CY,17,徽商期货,37,14
2017-09-05,CY,18,浙商期货,30,19
2017-09-05,CY,19,建信期货,29,-31
2017-09-05,CY,20,广发期货,25,8
2017-09-06,CY,1,永安期货,984,-2
2017-09-06,CY,2,中国国际,425,94
2017-09-06,CY,3,格林大华期货,374,-1
2017-09-06,CY,4,中信建投,142,-4
2017-09-06,CY,5,国投安信期货,82,-3
2017-09-06,CY,6,中信期货,79,39
2017-09-06,CY,7,中原期货,72,0
2017-09-06,CY,8,华泰期货,71,-66
2017-09-06,CY,9,中航期货,70,0
2017-09-06,CY,10,新湖期货,69,2
2017-09-06,CY,11,创元期货,59,7
2017-09-06,CY,12,红塔期货,51,1
2017-09-06,CY,13,国联期货,49,0
2017-09-06,CY,14,徽商期货,48,11
2017-09-06,CY,15,东证期货,43,2
2017-09-06,CY,16,南华期货,35,-4
2017-09-06,CY,17,东兴期货,30,-29
2017-09-06,CY,18,海通期货,27,7
2017-09-06,CY,19,国金期货,21,0
2017-09-06,CY,20,大地期货,20,0
2017-09-07,CY,1,永安期货,986,2
2017-09-07,CY,2,格林大华期货,374,0
2017-09-07,CY,3,中国国际,310,-115
2017-09-07,CY,4,中信建投,153,11
2017-09-07,CY,5,中航期货,70,0
2017-09-07,CY,6,新湖期货,64,-5
2017-09-07,CY,7,创元期货,62,3
2017-09-07,CY,8,华泰期货,60,-11
2017-09-07,CY,9,中原期货,50,-22
2017-09-07,CY,10,国联期货,49,0
2017-09-07,CY,11,红塔期货,44,-7
2017-09-07,CY,12,东证期货,41,-2
2017-09-07,CY,13,徽商期货,39,-9
2017-09-07,CY,14,国投安信期货,38,-44
2017-09-07,CY,15,大地期货,35,15
2017-09-07,CY,16,南华期货,32,-3
2017-09-07,CY,17,华信期货,31,18
2017-09-07,CY,18,东兴期货,30,0
2017-09-07,CY,19,海证期货,30,13
2017-09-07,CY,20,中信期货,28,-51
2017-09-08,CY,1,永安期货,960,-26
2017-09-08,CY,2,格林大华期货,371,-3
2017-09-08,CY,3,中信建投,149,-4
2017-09-08,CY,4,东证期货,67,26
2017-09-08,CY,5,创元期货,62,0
2017-09-08,CY,6,华泰期货,58,-2
2017-09-08,CY,7,中航期货,55,-15
2017-09-08,CY,8,国联期货,49,0
2017-09-08,CY,9,新湖期货,48,-16
2017-09-08,CY,10,国投安信期货,37,-1
2017-09-08,CY,11,申银万国,36,34
2017-09-08,CY,12,徽商期货,32,-7
2017-09-08,CY,13,华信期货,31,0
2017-09-08,CY,14,东兴期货,30,0
2017-09-08,CY,15,大地期货,29,-6
2017-09-08,CY,16,五矿经易期货,27,13
2017-09-08,CY,17,广发期货,22,4
2017-09-08,CY,18,海通期货,21,21
2017-09-08,CY,19,中信期货,20,-8
2017-09-08,CY,20,中大期货,20,0
2017-09-11,CY,1,永安期货,959,-1
2017-09-11,CY,2,鲁证期货,267,259
2017-09-11,CY,3,中信建投,175,26
2017-09-11,CY,4,东证期货,64,-3
2017-09-11,CY,5,创元期货,62,0
2017-09-11,CY,6,中航期货,60,5
2017-09-11,CY,7,华泰期货,57,-1
2017-09-11,CY,8,国联期货,49,0
2017-09-11,CY,9,东海期货,40,34
2017-09-11,CY,10,国投安信期货,39,2
2017-09-11,CY,11,浙商期货,36,33
