trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,C,1,宝城期货,34562,-1100
2013-11-05,C,2,新湖期货,29915,-125
2013-11-05,C,3,永安期货,17307,-1648
2013-11-05,C,4,国投期货,16417,-4065
2013-11-05,C,5,天琪期货,15205,-2386
2013-11-05,C,6,光大期货,12088,1509
2013-11-05,C,7,中粮期货,11584,-620
2013-11-05,C,8,天富期货,8817,199
2013-11-05,C,9,浙商期货,7958,-1166
2013-11-05,C,10,东证期货,7610,-91
2013-11-05,C,11,中国国际,7589,-298
2013-11-05,C,12,海通期货,7428,6212
2013-11-05,C,13,安粮期货,6278,-53
2013-11-05,C,14,汇鑫期货,5808,-27
2013-11-05,C,15,摩根大通,4800,0
2013-11-05,C,16,华泰长城,4677,-5
2013-11-05,C,17,万达期货,3479,-1250
2013-11-05,C,18,中州期货,2939,1
2013-11-05,C,19,鲁证期货,2869,17
2013-11-05,C,20,南华期货,2028,-12
2013-11-06,C,1,宝城期货,33091,-1391
2013-11-06,C,2,新湖期货,29609,-306
2013-11-06,C,3,永安期货,17795,488
2013-11-06,C,4,国投期货,14062,-2355
2013-11-06,C,5,天琪期货,13904,-1301
2013-11-06,C,6,光大期货,12358,270
2013-11-06,C,7,中粮期货,11290,-294
2013-11-06,C,8,海通期货,10481,3052
2013-11-06,C,9,天富期货,9048,231
2013-11-06,C,10,东证期货,7616,6
2013-11-06,C,11,浙商期货,6458,-3
2013-11-06,C,12,安粮期货,6284,6
2013-11-06,C,13,汇鑫期货,5874,66
2013-11-06,C,14,摩根大通,5135,335
2013-11-06,C,15,华泰长城,4806,79
2013-11-06,C,16,中州期货,2940,1
2013-11-06,C,17,鲁证期货,2889,-39
2013-11-06,C,18,万达期货,2591,-888
2013-11-06,C,19,中国国际,2522,-5067
2013-11-06,C,20,兴证期货,2035,39
2013-11-07,C,1,宝城期货,30830,-2261
2013-11-07,C,2,新湖期货,30428,819
2013-11-07,C,3,永安期货,17832,37
2013-11-07,C,4,天琪期货,13920,16
2013-11-07,C,5,国投期货,13632,-430
2013-11-07,C,6,光大期货,12350,-8
2013-11-07,C,7,中粮期货,11966,676
2013-11-07,C,8,海通期货,11513,1033
2013-11-07,C,9,天富期货,9213,165
2013-11-07,C,10,浙商期货,8719,763
2013-11-07,C,11,汇鑫期货,7018,1143
2013-11-07,C,12,东证期货,6455,-1161
2013-11-07,C,13,安粮期货,6267,-17
2013-11-07,C,14,摩根大通,5300,165
2013-11-07,C,15,华泰长城,4707,-49
2013-11-07,C,16,中州期货,2937,-3
2013-11-07,C,17,中国国际,2362,-160
2013-11-07,C,18,南华期货,2032,4
2013-11-07,C,19,兴证期货,1972,0
2013-11-07,C,20,上海中期,1580,-32
2013-11-08,C,1,新湖期货,30507,79
2013-11-08,C,2,宝城期货,29500,-1362
2013-11-08,C,3,永安期货,17174,-658
2013-11-08,C,4,天琪期货,14553,618
2013-11-08,C,5,国投期货,13552,-80
2013-11-08,C,6,海通期货,11722,209
2013-11-08,C,7,天富期货,11645,2432
2013-11-08,C,8,中粮期货,11564,-402
