trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,C,1,中粮期货,32080,-152
2013-11-05,C,2,国投期货,20562,846
2013-11-05,C,3,光大期货,17224,-319
2013-11-05,C,4,大连良运,13243,5
2013-11-05,C,5,永安期货,12794,-301
2013-11-05,C,6,五矿期货,10586,-416
2013-11-05,C,7,中国国际,7285,-409
2013-11-05,C,8,银河期货,5843,1521
2013-11-05,C,9,金瑞期货,5776,4
2013-11-05,C,10,北京中期,5607,485
2013-11-05,C,11,格林期货,5317,-98
2013-11-05,C,12,华泰长城,5086,-35
2013-11-05,C,13,东兴期货,4750,7
2013-11-05,C,14,中信新际,4426,-1
2013-11-05,C,15,万达期货,4358,-65
2013-11-05,C,16,财富期货,4289,-22
2013-11-05,C,17,弘业期货,4235,-90
2013-11-05,C,18,鲁证期货,4213,-21
2013-11-05,C,19,中钢期货,3008,-2
2013-11-05,C,20,天风期货,2528,-90
2013-11-06,C,1,中粮期货,33135,1055
2013-11-06,C,2,国投期货,22431,1869
2013-11-06,C,3,光大期货,17419,195
2013-11-06,C,4,大连良运,13722,479
2013-11-06,C,5,永安期货,12452,-342
2013-11-06,C,6,五矿期货,8779,-1807
2013-11-06,C,7,中国国际,6531,-754
2013-11-06,C,8,金瑞期货,5775,-1
2013-11-06,C,9,北京中期,5473,-134
2013-11-06,C,10,银河期货,5293,-621
2013-11-06,C,11,华泰长城,4947,-139
2013-11-06,C,12,东兴期货,4782,32
2013-11-06,C,13,中信新际,4441,15
2013-11-06,C,14,万达期货,4344,-14
2013-11-06,C,15,弘业期货,4241,6
2013-11-06,C,16,鲁证期货,3998,-215
2013-11-06,C,17,财富期货,3813,-476
2013-11-06,C,18,中钢期货,3001,-7
2013-11-06,C,19,天风期货,2522,-6
2013-11-06,C,20,美尔雅期货,2273,9
2013-11-07,C,1,中粮期货,34429,1294
2013-11-07,C,2,国投期货,21628,-803
2013-11-07,C,3,光大期货,17715,296
2013-11-07,C,4,大连良运,14067,345
2013-11-07,C,5,永安期货,12317,-135
2013-11-07,C,6,中国国际,6307,-224
2013-11-07,C,7,金瑞期货,5779,4
2013-11-07,C,8,北京中期,5472,-1
2013-11-07,C,9,北京首创,5381,2207
2013-11-07,C,10,银河期货,5288,-5
2013-11-07,C,11,华泰长城,4864,-83
2013-11-07,C,12,五矿期货,4796,-3983
2013-11-07,C,13,中信新际,4441,0
2013-11-07,C,14,万达期货,4360,16
2013-11-07,C,15,弘业期货,4288,47
2013-11-07,C,16,财富期货,3696,-117
2013-11-07,C,17,中钢期货,3000,-1
2013-11-07,C,18,汇鑫期货,2859,657
2013-11-07,C,19,鲁证期货,2543,-6
2013-11-07,C,20,天风期货,2521,-1
2013-11-08,C,1,中粮期货,35874,1445
2013-11-08,C,2,国投期货,22641,1013
2013-11-08,C,3,光大期货,17587,-128
2013-11-08,C,4,大连良运,12566,-1501
2013-11-08,C,5,永安期货,11044,-1273
2013-11-08,C,6,华鑫期货,6356,5756
2013-11-08,C,7,中国国际,6127,-180
2013-11-08,C,8,金瑞期货,5774,-5
2013-11-08,C,9,银河期货,5552,264
2013-11-08,C,10,北京中期,5498,26
2013-11-08,C,11,华泰长城,5360,398
2013-11-08,C,12,北京首创,5083,-84
2013-11-08,C,13,五矿期货,4802,6
2013-11-08,C,14,中信新际,4441,0
2013-11-08,C,15,万达期货,4381,21
2013-11-08,C,16,弘业期货,4236,-52
2013-11-08,C,17,财富期货,3507,-189
2013-11-08,C,18,中钢期货,3002,2
