trading_date,commodity_id,rank,member_name,volume,volume_change
2018-12-10,EG,1,新湖期货,4410,4410
2018-12-10,EG,2,方正中期,3936,3936
2018-12-10,EG,3,中信期货,2346,2346
2018-12-10,EG,4,国泰君安,2205,2205
2018-12-10,EG,5,华泰期货,1970,1970
2018-12-10,EG,6,永安期货,1132,1132
2018-12-10,EG,7,中大期货,1032,1032
2018-12-10,EG,8,信达期货,903,903
2018-12-10,EG,9,东海期货,814,814
2018-12-10,EG,10,南华期货,737,737
2018-12-10,EG,11,徽商期货,726,726
2018-12-10,EG,12,国贸期货,712,712
2018-12-10,EG,13,中州期货,659,659
2018-12-10,EG,14,东吴期货,594,594
2018-12-10,EG,15,华安期货,481,481
2018-12-10,EG,16,宝城期货,473,473
2018-12-10,EG,17,渤海期货,466,466
2018-12-10,EG,18,弘业期货,462,462
2018-12-10,EG,19,安粮期货,459,459
2018-12-10,EG,20,银河期货,453,453
2018-12-11,EG,1,方正中期,6821,2885
2018-12-11,EG,2,新湖期货,4675,265
2018-12-11,EG,3,华泰期货,3604,1634
2018-12-11,EG,4,国泰君安,2813,608
2018-12-11,EG,5,中信期货,2236,-110
2018-12-11,EG,6,永安期货,1159,27
2018-12-11,EG,7,南华期货,1081,344
2018-12-11,EG,8,信达期货,998,95
2018-12-11,EG,9,渤海期货,933,467
2018-12-11,EG,10,安粮期货,919,460
2018-12-11,EG,11,东海期货,801,-13
2018-12-11,EG,12,国贸期货,750,38
2018-12-11,EG,13,东吴期货,704,110
2018-12-11,EG,14,申银万国,666,472
2018-12-11,EG,15,华安期货,644,163
2018-12-11,EG,16,银河期货,634,181
2018-12-11,EG,17,浙商期货,574,145
2018-12-11,EG,18,宝城期货,510,37
2018-12-11,EG,19,天风期货,397,96
2018-12-11,EG,20,中财期货,372,268
2018-12-12,EG,1,方正中期,6983,162
2018-12-12,EG,2,新湖期货,4783,108
2018-12-12,EG,3,华泰期货,3717,113
2018-12-12,EG,4,国泰君安,3008,195
2018-12-12,EG,5,国贸期货,2488,1738
2018-12-12,EG,6,中信期货,2413,177
2018-12-12,EG,7,永安期货,1358,199
2018-12-12,EG,8,渤海期货,948,15
2018-12-12,EG,9,信达期货,939,-59
2018-12-12,EG,10,安粮期货,879,-40
2018-12-12,EG,11,银河期货,858,224
2018-12-12,EG,12,南华期货,832,-249
2018-12-12,EG,13,东海期货,773,-28
2018-12-12,EG,14,东吴期货,766,62
2018-12-12,EG,15,华安期货,682,38
2018-12-12,EG,16,宝城期货,527,17
2018-12-12,EG,17,浙商期货,474,-100
2018-12-12,EG,18,天风期货,418,21
2018-12-12,EG,19,先融期货,405,393
2018-12-12,EG,20,徽商期货,400,46
2018-12-13,EG,1,方正中期,6490,-493
2018-12-13,EG,2,新湖期货,4727,-56
2018-12-13,EG,3,国泰君安,3778,770
2018-12-13,EG,4,华泰期货,3301,-416
2018-12-13,EG,5,银河期货,2503,1645
2018-12-13,EG,6,国贸期货,2486,-2
2018-12-13,EG,7,中信期货,2041,-372
2018-12-13,EG,8,永安期货,1448,90
2018-12-13,EG,9,南华期货,1319,487
2018-12-13,EG,10,渤海期货,1001,53
2018-12-13,EG,11,信达期货,848,-91
2018-12-13,EG,12,东吴期货,703,-63
2018-12-13,EG,13,东海期货,659,-114
2018-12-13,EG,14,天风期货,573,155
2018-12-13,EG,15,安粮期货,565,-314
2018-12-13,EG,16,先融期货,525,120
2018-12-13,EG,17,五矿经易,517,371
2018-12-13,EG,18,国联期货,506,280
2018-12-13,EG,19,华安期货,506,-176
2018-12-13,EG,20,宝城期货,500,-27
2018-12-14,EG,1,方正中期,6142,-348
2018-12-14,EG,2,新湖期货,4725,-2
2018-12-14,EG,3,国泰君安,4666,888
2018-12-14,EG,4,华泰期货,3350,49
2018-12-14,EG,5,银河期货,2690,187
2018-12-14,EG,6,国贸期货,2511,25
2018-12-14,EG,7,中信期货,1996,-45
2018-12-14,EG,8,永安期货,1565,117
2018-12-14,EG,9,南华期货,1206,-113
2018-12-14,EG,10,国联期货,1016,510
2018-12-14,EG,11,渤海期货,1008,7
2018-12-14,EG,12,信达期货,951,103
2018-12-14,EG,13,天风期货,872,299
2018-12-14,EG,14,东吴期货,767,64
2018-12-14,EG,15,东海期货,717,58
2018-12-14,EG,16,先融期货,707,182
2018-12-14,EG,17,五矿经易,538,21
2018-12-14,EG,18,华安期货,464,-42
2018-12-14,EG,19,大越期货,455,123
2018-12-14,EG,20,通惠期货,400,0
2018-12-17,EG,1,方正中期,5783,-359
2018-12-17,EG,2,新湖期货,4718,-7
2018-12-17,EG,3,国泰君安,4605,-61
2018-12-17,EG,4,华泰期货,4215,865
2018-12-17,EG,5,银河期货,2831,141
2018-12-17,EG,6,国贸期货,2493,-18
2018-12-17,EG,7,永安期货,2294,729
2018-12-17,EG,8,中信期货,1972,-24
2018-12-17,EG,9,国联期货,1333,317
2018-12-17,EG,10,南华期货,1171,-35
2018-12-17,EG,11,渤海期货,1087,79
2018-12-17,EG,12,信达期货,937,-14
2018-12-17,EG,13,天风期货,884,12
2018-12-17,EG,14,东海期货,842,125
2018-12-17,EG,15,先融期货,801,94
2018-12-17,EG,16,东吴期货,735,-32
2018-12-17,EG,17,东证期货,678,292
2018-12-17,EG,18,五矿经易,548,10
2018-12-17,EG,19,大越期货,460,5
2018-12-17,EG,20,徽商期货,437,51
2018-12-18,EG,1,方正中期,5684,-99
2018-12-18,EG,2,新湖期货,4700,-18
2018-12-18,EG,3,国泰君安,4604,-1
2018-12-18,EG,4,华泰期货,4459,244
2018-12-18,EG,5,银河期货,2612,-219
2018-12-18,EG,6,国贸期货,2498,5
2018-12-18,EG,7,永安期货,2325,31
2018-12-18,EG,8,中信期货,2010,38
2018-12-18,EG,9,国联期货,1302,-31
2018-12-18,EG,10,南华期货,1143,-28
2018-12-18,EG,11,渤海期货,1072,-15
2018-12-18,EG,12,东证期货,992,314
2018-12-18,EG,13,信达期货,904,-33
2018-12-18,EG,14,天风期货,870,-14
2018-12-18,EG,15,先融期货,865,64
2018-12-18,EG,16,东海期货,694,-148
2018-12-18,EG,17,东吴期货,563,-172
2018-12-18,EG,18,五矿经易,539,-9
2018-12-18,EG,19,大越期货,438,-22
2018-12-18,EG,20,中信建投,434,10
2018-12-19,EG,1,方正中期,5360,-324
2018-12-19,EG,2,新湖期货,4656,-44
2018-12-19,EG,3,华泰期货,4232,-227
2018-12-19,EG,4,国泰君安,3964,-640
2018-12-19,EG,5,国贸期货,2499,1
2018-12-19,EG,6,中信期货,2198,188
2018-12-19,EG,7,永安期货,2041,-284
2018-12-19,EG,8,国联期货,1395,93
2018-12-19,EG,9,南华期货,1216,73
2018-12-19,EG,10,渤海期货,1126,54
2018-12-19,EG,11,东证期货,990,-2
2018-12-19,EG,12,信达期货,904,0
2018-12-19,EG,13,天风期货,878,8
2018-12-19,EG,14,海通期货,766,446
2018-12-19,EG,15,先融期货,740,-125
