trading_date,commodity_id,rank,member_name,volume,volume_change
2018-12-10,EG,1,银河期货,5946,5946
2018-12-10,EG,2,浙商期货,3364,3364
2018-12-10,EG,3,东吴期货,2208,2208
2018-12-10,EG,4,永安期货,1602,1602
2018-12-10,EG,5,五矿经易,1589,1589
2018-12-10,EG,6,海通期货,1246,1246
2018-12-10,EG,7,中信期货,1103,1103
2018-12-10,EG,8,信达期货,1068,1068
2018-12-10,EG,9,国泰君安,1011,1011
2018-12-10,EG,10,国投安信,1001,1001
2018-12-10,EG,11,长江期货,781,781
2018-12-10,EG,12,国信期货,776,776
2018-12-10,EG,13,国海良时,771,771
2018-12-10,EG,14,建信期货,740,740
2018-12-10,EG,15,华泰期货,643,643
2018-12-10,EG,16,中信建投,634,634
2018-12-10,EG,17,广州期货,624,624
2018-12-10,EG,18,金瑞期货,530,530
2018-12-10,EG,19,方正中期,472,472
2018-12-10,EG,20,大地期货,365,365
2018-12-11,EG,1,银河期货,5143,-803
2018-12-11,EG,2,永安期货,4299,2697
2018-12-11,EG,3,华泰期货,3563,2920
2018-12-11,EG,4,东吴期货,2283,75
2018-12-11,EG,5,方正中期,2190,1718
2018-12-11,EG,6,浙商期货,1439,-1925
2018-12-11,EG,7,一德期货,1367,1214
2018-12-11,EG,8,信达期货,1118,50
2018-12-11,EG,9,国投安信,1051,50
2018-12-11,EG,10,海通期货,1015,-231
2018-12-11,EG,11,中信期货,991,-112
2018-12-11,EG,12,天风期货,859,616
2018-12-11,EG,13,建信期货,683,-57
2018-12-11,EG,14,东海期货,669,402
2018-12-11,EG,15,金瑞期货,661,131
2018-12-11,EG,16,南华期货,657,348
2018-12-11,EG,17,申银万国,626,317
2018-12-11,EG,18,国泰君安,618,-393
2018-12-11,EG,19,宝城期货,603,437
2018-12-11,EG,20,弘业期货,532,407
2018-12-12,EG,1,银河期货,5396,253
2018-12-12,EG,2,永安期货,5203,904
2018-12-12,EG,3,方正中期,3912,1722
2018-12-12,EG,4,华泰期货,2990,-573
2018-12-12,EG,5,东吴期货,2307,24
2018-12-12,EG,6,浙商期货,2016,577
2018-12-12,EG,7,信达期货,1196,78
2018-12-12,EG,8,天风期货,1154,295
2018-12-12,EG,9,东证期货,1031,852
2018-12-12,EG,10,中信期货,875,-116
2018-12-12,EG,11,南华期货,873,216
2018-12-12,EG,12,宝城期货,782,179
2018-12-12,EG,13,金瑞期货,763,102
2018-12-12,EG,14,中粮期货,757,618
2018-12-12,EG,15,一德期货,756,-611
2018-12-12,EG,16,美尔雅期货,749,571
2018-12-12,EG,17,海通期货,684,-331
2018-12-12,EG,18,建信期货,678,-5
2018-12-12,EG,19,东海期货,652,-17
2018-12-12,EG,20,国泰君安,561,-57
2018-12-13,EG,1,永安期货,6399,1196
2018-12-13,EG,2,方正中期,4943,1031
2018-12-13,EG,3,华泰期货,2688,-302
2018-12-13,EG,4,浙商期货,2126,110
2018-12-13,EG,5,天风期货,2116,962
2018-12-13,EG,6,信达期货,1541,345
2018-12-13,EG,7,银河期货,1378,-4018
2018-12-13,EG,8,南华期货,1249,376
