trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,FG,1,永安期货,28874,1062
2013-11-05,FG,2,银河期货,22798,2956
2013-11-05,FG,3,中证期货,19897,-480
2013-11-05,FG,4,南华期货,18343,1734
2013-11-05,FG,5,东证期货,17602,-99
2013-11-05,FG,6,申银万国,16047,250
2013-11-05,FG,7,中国国际,14041,119
2013-11-05,FG,8,上海中期,12874,32
2013-11-05,FG,9,华泰长城,11171,591
2013-11-05,FG,10,中粮期货,10560,-11
2013-11-05,FG,11,信达期货,9976,511
2013-11-05,FG,12,浙商期货,9545,1417
2013-11-05,FG,13,万达期货,8139,-702
2013-11-05,FG,14,光大期货,7685,58
2013-11-05,FG,15,国海良时,7650,-1691
2013-11-05,FG,16,海通期货,7615,-647
2013-11-05,FG,17,华安期货,6710,19
2013-11-05,FG,18,徽商期货,6613,60
2013-11-05,FG,19,国都期货,6421,-82
2013-11-05,FG,20,国泰君安,5986,58
2013-11-06,FG,1,永安期货,26978,-1896
2013-11-06,FG,2,银河期货,21434,-1364
2013-11-06,FG,3,中证期货,20439,542
2013-11-06,FG,4,南华期货,18169,-174
2013-11-06,FG,5,东证期货,17013,-589
2013-11-06,FG,6,申银万国,15164,-883
2013-11-06,FG,7,中国国际,14001,-40
2013-11-06,FG,8,上海中期,12716,-158
2013-11-06,FG,9,广发期货,11561,6179
2013-11-06,FG,10,华泰长城,11064,-107
2013-11-06,FG,11,信达期货,9399,-577
2013-11-06,FG,12,浙商期货,8536,-1009
2013-11-06,FG,13,万达期货,8251,112
2013-11-06,FG,14,国海良时,8066,416
2013-11-06,FG,15,中粮期货,7842,-2718
2013-11-06,FG,16,首创期货,7595,2022
2013-11-06,FG,17,光大期货,7576,-109
2013-11-06,FG,18,海通期货,7116,-499
2013-11-06,FG,19,华安期货,6709,-1
2013-11-06,FG,20,徽商期货,6698,85
2013-11-07,FG,1,永安期货,26384,-594
2013-11-07,FG,2,银河期货,20075,-1359
2013-11-07,FG,3,中证期货,19949,-490
2013-11-07,FG,4,南华期货,18296,127
2013-11-07,FG,5,东证期货,17101,88
2013-11-07,FG,6,申银万国,13660,-1504
2013-11-07,FG,7,中国国际,13615,-386
2013-11-07,FG,8,上海中期,12644,-72
2013-11-07,FG,9,广发期货,11445,-116
2013-11-07,FG,10,华泰长城,11007,-57
2013-11-07,FG,11,信达期货,9360,-39
2013-11-07,FG,12,浙商期货,8331,-205
2013-11-07,FG,13,万达期货,8143,-108
2013-11-07,FG,14,国海良时,7917,-149
2013-11-07,FG,15,首创期货,7565,-30
2013-11-07,FG,16,中粮期货,7547,-295
2013-11-07,FG,17,光大期货,7288,-288
2013-11-07,FG,18,海通期货,7237,121
