trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,FG,1,永安期货,48301,1394
2013-11-05,FG,2,浙商期货,30608,1311
2013-11-05,FG,3,中证期货,26215,-624
2013-11-05,FG,4,浙江新世纪,24969,-304
2013-11-05,FG,5,东证期货,21784,-5
2013-11-05,FG,6,申银万国,18981,33
2013-11-05,FG,7,万达期货,16203,313
2013-11-05,FG,8,银河期货,15563,-341
2013-11-05,FG,9,华泰长城,13695,6
2013-11-05,FG,10,光大期货,13189,589
2013-11-05,FG,11,国海良时,13014,1158
2013-11-05,FG,12,鲁证期货,12474,66
2013-11-05,FG,13,浙江中大,12402,13
2013-11-05,FG,14,中国国际,10849,168
2013-11-05,FG,15,中粮期货,10577,32
2013-11-05,FG,16,华安期货,9618,-215
2013-11-05,FG,17,广发期货,8793,847
2013-11-05,FG,18,信达期货,8219,-194
2013-11-05,FG,19,上海中期,8192,-52
2013-11-05,FG,20,格林期货,7167,-163
2013-11-06,FG,1,永安期货,55225,6924
2013-11-06,FG,2,浙商期货,35465,4857
2013-11-06,FG,3,浙江新世纪,26003,1034
2013-11-06,FG,4,中证期货,25624,-591
2013-11-06,FG,5,东证期货,21024,-760
2013-11-06,FG,6,申银万国,19522,541
2013-11-06,FG,7,万达期货,16472,269
2013-11-06,FG,8,国海良时,15744,2730
2013-11-06,FG,9,银河期货,13292,-2271
2013-11-06,FG,10,光大期货,12733,-456
2013-11-06,FG,11,浙江中大,12674,272
2013-11-06,FG,12,鲁证期货,12212,-262
2013-11-06,FG,13,中粮期货,11154,577
2013-11-06,FG,14,中国国际,10924,75
2013-11-06,FG,15,华安期货,9788,170
2013-11-06,FG,16,华泰长城,8883,-4812
2013-11-06,FG,17,信达期货,8149,-70
2013-11-06,FG,18,上海中期,7676,-516
2013-11-06,FG,19,格林期货,7455,288
2013-11-06,FG,20,上海中财,6791,-49
2013-11-07,FG,1,永安期货,53281,-1944
2013-11-07,FG,2,浙商期货,35021,-444
2013-11-07,FG,3,浙江新世纪,26298,295
2013-11-07,FG,4,中证期货,25112,-512
2013-11-07,FG,5,东证期货,20473,-551
2013-11-07,FG,6,申银万国,19148,-374
2013-11-07,FG,7,万达期货,16401,-71
2013-11-07,FG,8,国海良时,15654,-90
2013-11-07,FG,9,银河期货,12993,-299
2013-11-07,FG,10,光大期货,12859,126
2013-11-07,FG,11,浙江中大,12780,106
2013-11-07,FG,12,鲁证期货,12238,26
