trading_date,commodity_id,rank,member_name,volume,volume_change
2018-07-25,FU,1,南华期货,5461,3776
2018-07-25,FU,2,永安期货,2726,521
2018-07-25,FU,3,徽商期货,2582,1359
2018-07-25,FU,4,中信期货,2412,1572
2018-07-25,FU,5,海通期货,2249,-1422
2018-07-25,FU,6,银河期货,1922,1530
2018-07-25,FU,7,申万期货,1866,1271
2018-07-25,FU,8,中信建投,1840,1559
2018-07-25,FU,9,安粮期货,1511,315
2018-07-25,FU,10,华泰期货,1387,917
2018-07-25,FU,11,东航期货,1348,129
2018-07-25,FU,12,兴业期货,1223,1187
2018-07-25,FU,13,中国国际,1179,345
2018-07-25,FU,14,光大期货,1175,727
2018-07-25,FU,15,上海中期,1172,255
2018-07-25,FU,16,东证期货,1137,449
2018-07-25,FU,17,华安期货,1102,680
2018-07-25,FU,18,浙商期货,1089,320
2018-07-25,FU,19,方正中期,1070,282
2018-07-25,FU,20,国泰君安,1069,425
2018-07-26,FU,1,南华期货,5393,-68
2018-07-26,FU,2,永安期货,4548,1822
2018-07-26,FU,3,海通期货,2453,204
2018-07-26,FU,4,中国国际,2052,873
2018-07-26,FU,5,申万期货,1784,-82
2018-07-26,FU,6,华泰期货,1698,311
2018-07-26,FU,7,徽商期货,1694,-888
2018-07-26,FU,8,安粮期货,1657,146
2018-07-26,FU,9,银河期货,1654,-268
2018-07-26,FU,10,方正中期,1638,568
2018-07-26,FU,11,中信建投,1636,-204
2018-07-26,FU,12,东吴期货,1609,999
2018-07-26,FU,13,中信期货,1534,-878
2018-07-26,FU,14,美尔雅,1456,445
2018-07-26,FU,15,东航期货,1385,37
2018-07-26,FU,16,上海中期,1233,61
2018-07-26,FU,17,华安期货,1121,19
2018-07-26,FU,18,光大期货,1096,-79
2018-07-26,FU,19,华金期货,1076,14
2018-07-26,FU,20,国泰君安,992,-77
2018-07-27,FU,1,南华期货,5178,-215
2018-07-27,FU,2,永安期货,4297,-251
2018-07-27,FU,3,银河期货,1745,91
2018-07-27,FU,4,中信建投,1676,40
2018-07-27,FU,5,徽商期货,1564,-130
2018-07-27,FU,6,安粮期货,1531,-126
2018-07-27,FU,7,中信期货,1446,-88
2018-07-27,FU,8,方正中期,1380,-258
2018-07-27,FU,9,东航期货,1374,-11
2018-07-27,FU,10,上海中期,1281,48
2018-07-27,FU,11,中国国际,1220,-832
2018-07-27,FU,12,华安期货,1186,65
2018-07-27,FU,13,海通期货,1179,-1274
2018-07-27,FU,14,申万期货,1152,-632
2018-07-27,FU,15,华泰期货,1088,-610
2018-07-27,FU,16,五矿经易,1076,972
2018-07-27,FU,17,浙商期货,1019,251
2018-07-27,FU,18,光大期货,971,-125
2018-07-27,FU,19,东证期货,933,70
2018-07-27,FU,20,国泰君安,894,-98
2018-07-30,FU,1,南华期货,5497,319
2018-07-30,FU,2,永安期货,4692,395
2018-07-30,FU,3,银河期货,2207,462
2018-07-30,FU,4,申万期货,1942,790
2018-07-30,FU,5,方正中期,1662,282
2018-07-30,FU,6,安粮期货,1552,21
2018-07-30,FU,7,徽商期货,1526,-38
2018-07-30,FU,8,中国国际,1406,186
2018-07-30,FU,9,中信期货,1355,-91
2018-07-30,FU,10,上海大陆,1319,1066
2018-07-30,FU,11,东航期货,1280,-94
2018-07-30,FU,12,华泰期货,1120,32
2018-07-30,FU,13,上海中期,1042,-239
2018-07-30,FU,14,东吴期货,1018,708
2018-07-30,FU,15,浙商期货,1001,-18
2018-07-30,FU,16,华安期货,952,-234
2018-07-30,FU,17,海通期货,925,-254
2018-07-30,FU,18,五矿经易,865,-211
2018-07-30,FU,19,东证期货,859,-74
2018-07-30,FU,20,国泰君安,817,-77
2018-07-31,FU,1,南华期货,5088,-409
2018-07-31,FU,2,永安期货,4604,-88
2018-07-31,FU,3,银河期货,2758,551
2018-07-31,FU,4,徽商期货,2115,589
2018-07-31,FU,5,中国国际,1728,322
2018-07-31,FU,6,申万期货,1669,-273
2018-07-31,FU,7,安粮期货,1484,-68
2018-07-31,FU,8,东航期货,1343,63
2018-07-31,FU,9,方正中期,1342,-320
2018-07-31,FU,10,上海大陆,1242,-77
2018-07-31,FU,11,海通期货,1147,222
2018-07-31,FU,12,东证期货,1144,285
2018-07-31,FU,13,中信期货,1135,-220
2018-07-31,FU,14,福能期货,1128,339
2018-07-31,FU,15,华安期货,1029,77
2018-07-31,FU,16,国泰君安,1000,183
2018-07-31,FU,17,国投安信,845,355
2018-07-31,FU,18,东吴期货,840,-178
2018-07-31,FU,19,华泰期货,838,-282
2018-07-31,FU,20,浙商期货,789,-212
2018-08-01,FU,1,南华期货,5154,66
2018-08-01,FU,2,永安期货,4619,15
2018-08-01,FU,3,银河期货,3565,807
2018-08-01,FU,4,申万期货,2361,692
2018-08-01,FU,5,海通期货,2261,1114
2018-08-01,FU,6,徽商期货,1827,-288
2018-08-01,FU,7,安粮期货,1801,317
2018-08-01,FU,8,上海大陆,1282,40
2018-08-01,FU,9,国泰君安,1276,276
2018-08-01,FU,10,国联期货,1225,629
2018-08-01,FU,11,方正中期,1219,-123
2018-08-01,FU,12,中信期货,1202,67
2018-08-01,FU,13,福能期货,1136,8
2018-08-01,FU,14,华安期货,1106,77
2018-08-01,FU,15,华泰期货,978,140
2018-08-01,FU,16,大地期货,950,781
2018-08-01,FU,17,新湖期货,928,256
2018-08-01,FU,18,国投安信,914,69
2018-08-01,FU,19,东证期货,895,-249
2018-08-01,FU,20,中国国际,797,-931
2018-08-02,FU,1,南华期货,5702,548
2018-08-02,FU,2,永安期货,4574,-45
2018-08-02,FU,3,银河期货,3201,-364
2018-08-02,FU,4,申万期货,2059,-302
2018-08-02,FU,5,徽商期货,2007,180
2018-08-02,FU,6,方正中期,1964,745
2018-08-02,FU,7,东吴期货,1673,1136
2018-08-02,FU,8,中信期货,1456,254
2018-08-02,FU,9,国泰君安,1418,142
2018-08-02,FU,10,上海大陆,1354,72
2018-08-02,FU,11,安粮期货,1305,-496
2018-08-02,FU,12,海航期货,1259,1181
2018-08-02,FU,13,福能期货,1124,-12
2018-08-02,FU,14,国联期货,1104,-121
2018-08-02,FU,15,华安期货,1048,-58
2018-08-02,FU,16,中国国际,1038,241
2018-08-02,FU,17,华泰期货,994,16
2018-08-02,FU,18,新湖期货,938,10
2018-08-02,FU,19,国投安信,931,17
2018-08-02,FU,20,大地期货,913,-37
2018-08-03,FU,1,南华期货,5984,282
2018-08-03,FU,2,永安期货,5624,1050
2018-08-03,FU,3,海通期货,3959,3113
2018-08-03,FU,4,徽商期货,2016,9
2018-08-03,FU,5,申万期货,1948,-111
2018-08-03,FU,6,方正中期,1940,-24
2018-08-03,FU,7,中信建投,1749,1182
2018-08-03,FU,8,银河期货,1668,-1533
2018-08-03,FU,9,中信期货,1438,-18
2018-08-03,FU,10,安粮期货,1437,132
2018-08-03,FU,11,东吴期货,1383,-290
2018-08-03,FU,12,上海大陆,1283,-71
2018-08-03,FU,13,国泰君安,1258,-160
2018-08-03,FU,14,华安期货,1247,199
2018-08-03,FU,15,海航期货,1233,-26
2018-08-03,FU,16,华泰期货,1109,115
