trading_date,commodity_id,rank,member_name,volume,volume_change
2018-07-25,FU,1,银河期货,24002,10626
2018-07-25,FU,2,中银国际,7518,5508
2018-07-25,FU,3,永安期货,5622,1665
2018-07-25,FU,4,渤海期货,4546,4444
2018-07-25,FU,5,天风期货,3129,2453
2018-07-25,FU,6,申万期货,2309,2039
2018-07-25,FU,7,中信期货,1854,696
2018-07-25,FU,8,浙商期货,1364,1210
2018-07-25,FU,9,中粮期货,1165,1126
2018-07-25,FU,10,国富期货,1022,2
2018-07-25,FU,11,徽商期货,1003,470
2018-07-25,FU,12,东证期货,821,-183
2018-07-25,FU,13,招商期货,615,521
2018-07-25,FU,14,东海期货,606,-20
2018-07-25,FU,15,华安期货,548,-22
2018-07-25,FU,16,广发期货,547,119
2018-07-25,FU,17,国泰君安,470,143
2018-07-25,FU,18,国联期货,364,291
2018-07-25,FU,19,方正中期,356,-25
2018-07-25,FU,20,东吴期货,259,5
2018-07-26,FU,1,银河期货,16489,-7513
2018-07-26,FU,2,中银国际,15025,7507
2018-07-26,FU,3,永安期货,6737,1115
2018-07-26,FU,4,渤海期货,4545,-1
2018-07-26,FU,5,申万期货,3095,786
2018-07-26,FU,6,东海期货,2227,1621
2018-07-26,FU,7,浙商期货,2170,806
2018-07-26,FU,8,天风期货,1661,-1468
2018-07-26,FU,9,中信期货,1218,-636
2018-07-26,FU,10,徽商期货,1202,199
2018-07-26,FU,11,国富期货,1067,45
2018-07-26,FU,12,国泰君安,875,405
2018-07-26,FU,13,招商期货,650,35
2018-07-26,FU,14,广发期货,553,6
2018-07-26,FU,15,国联期货,479,115
2018-07-26,FU,16,华安期货,464,-84
2018-07-26,FU,17,宏源期货,451,347
2018-07-26,FU,18,方正中期,445,89
2018-07-26,FU,19,东吴期货,333,74
2018-07-26,FU,20,安粮期货,271,110
2018-07-27,FU,1,中银国际,15029,4
2018-07-27,FU,2,银河期货,10322,-6167
2018-07-27,FU,3,永安期货,5221,-1516
2018-07-27,FU,4,渤海期货,4520,-25
2018-07-27,FU,5,申万期货,3774,679
2018-07-27,FU,6,东海期货,2404,177
2018-07-27,FU,7,浙商期货,2001,-169
2018-07-27,FU,8,国泰君安,1151,276
2018-07-27,FU,9,天风期货,1061,-600
2018-07-27,FU,10,国富期货,1003,-64
2018-07-27,FU,11,徽商期货,958,-244
2018-07-27,FU,12,中信期货,919,-299
2018-07-27,FU,13,招商期货,618,-32
2018-07-27,FU,14,方正中期,587,142
2018-07-27,FU,15,宏源期货,527,76
2018-07-27,FU,16,广发期货,459,-94
2018-07-27,FU,17,安粮期货,433,162
2018-07-27,FU,18,华安期货,381,-83
2018-07-27,FU,19,新世纪,334,223
2018-07-27,FU,20,海通期货,327,131
2018-07-30,FU,1,中银国际,15119,90
2018-07-30,FU,2,银河期货,9170,-1152
2018-07-30,FU,3,永安期货,5440,219
2018-07-30,FU,4,渤海期货,4530,10
2018-07-30,FU,5,申万期货,4263,489
2018-07-30,FU,6,东海期货,3006,602
2018-07-30,FU,7,浙商期货,2001,0
2018-07-30,FU,8,天风期货,1061,0
2018-07-30,FU,9,国富期货,1001,-2
2018-07-30,FU,10,中信期货,915,-4
2018-07-30,FU,11,徽商期货,858,-100
2018-07-30,FU,12,国泰君安,813,-338
2018-07-30,FU,13,招商期货,687,69
2018-07-30,FU,14,方正中期,544,-43
2018-07-30,FU,15,广发期货,422,-37
2018-07-30,FU,16,东证期货,407,221
2018-07-30,FU,17,中辉期货,378,248
2018-07-30,FU,18,华安期货,374,-7
2018-07-30,FU,19,海通期货,329,2
2018-07-30,FU,20,东吴期货,313,-5
2018-07-31,FU,1,中银国际,15130,11
2018-07-31,FU,2,银河期货,5540,-3630
2018-07-31,FU,3,永安期货,5377,-63
2018-07-31,FU,4,渤海期货,4553,23
2018-07-31,FU,5,申万期货,4332,69
2018-07-31,FU,6,东海期货,3005,-1
2018-07-31,FU,7,浙商期货,2310,309
2018-07-31,FU,8,天风期货,1378,317
2018-07-31,FU,9,国富期货,1013,12
2018-07-31,FU,10,中信期货,873,-42
2018-07-31,FU,11,国泰君安,808,-5
2018-07-31,FU,12,徽商期货,794,-64
2018-07-31,FU,13,方正中期,658,114
2018-07-31,FU,14,招商期货,572,-115
2018-07-31,FU,15,广金期货,462,404
2018-07-31,FU,16,金瑞期货,435,212
2018-07-31,FU,17,同信久恒,406,367
2018-07-31,FU,18,广发期货,371,-51
2018-07-31,FU,19,东吴期货,370,57
2018-07-31,FU,20,中辉期货,364,-14
2018-08-01,FU,1,中银国际,16521,1391
2018-08-01,FU,2,银河期货,8514,2974
2018-08-01,FU,3,永安期货,5717,340
2018-08-01,FU,4,渤海期货,4514,-39
2018-08-01,FU,5,申万期货,2392,-1940
2018-08-01,FU,6,中信期货,1677,804
2018-08-01,FU,7,天风期货,1384,6
2018-08-01,FU,8,浙商期货,1332,-978
2018-08-01,FU,9,国富期货,1001,-12
2018-08-01,FU,10,招商期货,907,335
2018-08-01,FU,11,国泰君安,651,-157
2018-08-01,FU,12,徽商期货,638,-156
2018-08-01,FU,13,方正中期,631,-27
2018-08-01,FU,14,东海期货,627,-2378
2018-08-01,FU,15,大越期货,469,158
2018-08-01,FU,16,金瑞期货,425,-10
2018-08-01,FU,17,广金期货,421,-41
2018-08-01,FU,18,南华期货,409,128
2018-08-01,FU,19,中辉期货,378,14
2018-08-01,FU,20,东吴期货,378,8
2018-08-02,FU,1,中银国际,18137,1616
2018-08-02,FU,2,银河期货,8805,291
2018-08-02,FU,3,永安期货,5602,-115
