trading_date,commodity_id,rank,member_name,volume,volume_change
2016-02-15,HC,1,海通期货,10630,523
2016-02-15,HC,2,瑞达期货,10411,-163
2016-02-15,HC,3,兴证期货,10324,42
2016-02-15,HC,4,同信久恒,9104,142
2016-02-15,HC,5,东证期货,7099,-12
2016-02-15,HC,6,国贸期货,6606,-675
2016-02-15,HC,7,锦泰期货,6341,168
2016-02-15,HC,8,东兴期货,4695,37
2016-02-15,HC,9,永安期货,4147,530
2016-02-15,HC,10,广发期货,3858,10
2016-02-15,HC,11,浙商期货,3786,-76
2016-02-15,HC,12,一德期货,3291,735
2016-02-15,HC,13,五矿经易,2117,-7
2016-02-15,HC,14,银河期货,1773,56
2016-02-15,HC,15,东航期货,1735,117
2016-02-15,HC,16,中信期货,1340,14
2016-02-15,HC,17,国泰君安,1065,217
2016-02-15,HC,18,国投期货,911,100
2016-02-15,HC,19,方正中期,897,-140
2016-02-15,HC,20,国信期货,798,46
2016-02-16,HC,1,兴证期货,11489,1165
2016-02-16,HC,2,海通期货,10776,146
2016-02-16,HC,3,瑞达期货,10186,-225
2016-02-16,HC,4,同信久恒,9059,-45
2016-02-16,HC,5,东证期货,7208,109
2016-02-16,HC,6,锦泰期货,6300,-41
2016-02-16,HC,7,国贸期货,5755,-851
2016-02-16,HC,8,东兴期货,4942,247
2016-02-16,HC,9,永安期货,4113,-34
2016-02-16,HC,10,广发期货,3922,64
2016-02-16,HC,11,浙商期货,3790,4
2016-02-16,HC,12,一德期货,3529,238
2016-02-16,HC,13,中信期货,2437,1097
2016-02-16,HC,14,五矿经易,2115,-2
2016-02-16,HC,15,东航期货,1829,94
2016-02-16,HC,16,银河期货,1820,47
2016-02-16,HC,17,国泰君安,1346,281
2016-02-16,HC,18,国信期货,971,173
2016-02-16,HC,19,方正中期,921,24
2016-02-16,HC,20,华泰期货,917,232
2016-02-17,HC,1,兴证期货,11929,440
2016-02-17,HC,2,海通期货,11005,229
2016-02-17,HC,3,瑞达期货,10075,-111
2016-02-17,HC,4,同信久恒,9077,18
