trading_date,commodity_id,rank,member_name,volume,volume_change
2016-02-15,HC,1,华鑫期货,17196,388
2016-02-15,HC,2,鲁证期货,8671,-71
2016-02-15,HC,3,国泰君安,8381,28
2016-02-15,HC,4,永安期货,8100,807
2016-02-15,HC,5,中信期货,5882,1163
2016-02-15,HC,6,国投期货,5077,4
2016-02-15,HC,7,东海期货,4911,-1
2016-02-15,HC,8,道通期货,4114,0
2016-02-15,HC,9,东吴期货,3064,0
2016-02-15,HC,10,南华期货,2956,-89
2016-02-15,HC,11,银河期货,2754,89
2016-02-15,HC,12,江苏东华,2467,165
2016-02-15,HC,13,宝城期货,2305,-4
2016-02-15,HC,14,兴证期货,2005,-83
2016-02-15,HC,15,混沌天成,1956,181
2016-02-15,HC,16,弘业期货,1937,1635
2016-02-15,HC,17,中钢期货,1575,7
2016-02-15,HC,18,华泰期货,1437,-10
2016-02-15,HC,19,国贸期货,1380,-5
2016-02-15,HC,20,海通期货,1299,126
2016-02-16,HC,1,华鑫期货,17570,374
2016-02-16,HC,2,国泰君安,9232,851
2016-02-16,HC,3,鲁证期货,8322,-349
2016-02-16,HC,4,永安期货,8215,115
2016-02-16,HC,5,中信期货,5842,-40
2016-02-16,HC,6,国投期货,5087,10
2016-02-16,HC,7,东海期货,4911,0
2016-02-16,HC,8,道通期货,4264,150
2016-02-16,HC,9,江苏东华,3387,920
2016-02-16,HC,10,银河期货,3099,345
2016-02-16,HC,11,南华期货,3093,137
2016-02-16,HC,12,东吴期货,3064,0
2016-02-16,HC,13,宝城期货,2306,1
2016-02-16,HC,14,混沌天成,2057,101
2016-02-16,HC,15,中钢期货,2043,468
2016-02-16,HC,16,弘业期货,2028,91
2016-02-16,HC,17,兴证期货,1840,-165
2016-02-16,HC,18,国贸期货,1571,191
2016-02-16,HC,19,华泰期货,1472,35
2016-02-16,HC,20,光大期货,1405,577
2016-02-17,HC,1,华鑫期货,16828,-742
2016-02-17,HC,2,国泰君安,8938,-294
2016-02-17,HC,3,鲁证期货,8139,-183
2016-02-17,HC,4,永安期货,7912,-303
2016-02-17,HC,5,中信期货,5829,-13
2016-02-17,HC,6,国投期货,5174,87
2016-02-17,HC,7,东海期货,5121,210
2016-02-17,HC,8,道通期货,4264,0
2016-02-17,HC,9,江苏东华,3387,0
2016-02-17,HC,10,银河期货,3274,175
2016-02-17,HC,11,东吴期货,3265,201
2016-02-17,HC,12,南华期货,3019,-74
2016-02-17,HC,13,弘业期货,2114,86
2016-02-17,HC,14,混沌天成,2079,22
2016-02-17,HC,15,中钢期货,2033,-10
2016-02-17,HC,16,宝城期货,2005,-301
2016-02-17,HC,17,兴证期货,1804,-36
2016-02-17,HC,18,华泰期货,1642,170
