trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,I,1,中证期货,11088,-720
2013-11-05,I,2,永安期货,5679,-1139
2013-11-05,I,3,华泰长城,5300,1082
2013-11-05,I,4,申银万国,4968,-26
2013-11-05,I,5,浙商期货,3847,26
2013-11-05,I,6,中粮期货,3824,-265
2013-11-05,I,7,上海中期,2987,580
2013-11-05,I,8,华安期货,2628,-8
2013-11-05,I,9,鲁证期货,1733,-464
2013-11-05,I,10,中钢期货,1598,206
2013-11-05,I,11,银河期货,1137,-267
2013-11-05,I,12,长江期货,911,-79
2013-11-05,I,13,兴证期货,899,8
2013-11-05,I,14,一德期货,882,83
2013-11-05,I,15,新湖期货,850,-2
2013-11-05,I,16,东海期货,850,-21
2013-11-05,I,17,国泰君安,687,175
2013-11-05,I,18,方正期货,557,-53
2013-11-05,I,19,万达期货,519,-48
2013-11-05,I,20,瑞达期货,517,105
2013-11-06,I,1,中证期货,10039,-1049
2013-11-06,I,2,永安期货,5729,50
2013-11-06,I,3,中粮期货,5679,1855
2013-11-06,I,4,申银万国,4924,-44
2013-11-06,I,5,华泰长城,4080,-1220
2013-11-06,I,6,浙商期货,3818,-29
2013-11-06,I,7,华安期货,2616,-12
2013-11-06,I,8,上海中期,2390,-597
2013-11-06,I,9,海通期货,1737,1240
2013-11-06,I,10,鲁证期货,1690,-43
2013-11-06,I,11,中钢期货,1606,8
2013-11-06,I,12,方正期货,1355,798
2013-11-06,I,13,银河期货,939,-198
2013-11-06,I,14,东海期货,920,53
2013-11-06,I,15,长江期货,905,-10
2013-11-06,I,16,一德期货,877,-5
2013-11-06,I,17,新湖期货,850,0
2013-11-06,I,18,国泰君安,729,42
2013-11-06,I,19,光大期货,696,33
2013-11-06,I,20,经易期货,674,607
2013-11-07,I,1,中证期货,9798,-241
2013-11-07,I,2,永安期货,6425,696
2013-11-07,I,3,申银万国,4903,-21
2013-11-07,I,4,华泰长城,4472,392
2013-11-07,I,5,中粮期货,4274,-1405
2013-11-07,I,6,浙商期货,3784,-34
2013-11-07,I,7,华安期货,2174,-442
2013-11-07,I,8,中钢期货,2020,414
2013-11-07,I,9,上海中期,1979,-411
2013-11-07,I,10,鲁证期货,1875,185
2013-11-07,I,11,美尔雅期货,1756,1033
2013-11-07,I,12,方正期货,1424,69
2013-11-07,I,13,兴证期货,1272,399
2013-11-07,I,14,银河期货,1073,134
2013-11-07,I,15,经易期货,1004,330
2013-11-07,I,16,新湖期货,997,147
2013-11-07,I,17,长江期货,941,36
2013-11-07,I,18,东海期货,885,-35
2013-11-07,I,19,国泰君安,814,85
2013-11-07,I,20,东证期货,749,428
2013-11-08,I,1,中证期货,8061,-1736
2013-11-08,I,2,永安期货,6184,-241
2013-11-08,I,3,中粮期货,5659,1385
2013-11-08,I,4,申银万国,4874,-29
2013-11-08,I,5,华泰长城,4447,-25
2013-11-08,I,6,浙商期货,3953,169
2013-11-08,I,7,中钢期货,2820,822
2013-11-08,I,8,华安期货,2182,8
2013-11-08,I,9,鲁证期货,2061,186
2013-11-08,I,10,上海中期,1919,-60
2013-11-08,I,11,安信期货,1368,1103
2013-11-08,I,12,兴证期货,1256,-16
2013-11-08,I,13,银河期货,1144,71
2013-11-08,I,14,经易期货,1018,14
2013-11-08,I,15,新湖期货,997,0
2013-11-08,I,16,摩根大通,950,750
