trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,I,1,永安期货,11222,-16
2013-11-05,I,2,东海期货,6031,56
2013-11-05,I,3,道通期货,4420,568
2013-11-05,I,4,银河期货,4247,303
2013-11-05,I,5,鲁证期货,3552,-27
2013-11-05,I,6,中信新际,2806,206
2013-11-05,I,7,中国国际,2798,54
2013-11-05,I,8,上海中期,2402,113
2013-11-05,I,9,国泰君安,2359,161
2013-11-05,I,10,中证期货,2232,43
2013-11-05,I,11,中钢期货,2059,-166
2013-11-05,I,12,北京首创,1545,48
2013-11-05,I,13,成都倍特,1278,139
2013-11-05,I,14,海通期货,1157,-887
2013-11-05,I,15,安信期货,1109,-14
2013-11-05,I,16,渤海期货,1003,1
2013-11-05,I,17,大连良运,861,117
2013-11-05,I,18,光大期货,854,49
2013-11-05,I,19,格林期货,710,414
2013-11-05,I,20,长江期货,685,128
2013-11-06,I,1,永安期货,11338,116
2013-11-06,I,2,东海期货,6152,119
2013-11-06,I,3,道通期货,3896,-524
2013-11-06,I,4,银河期货,3805,-442
2013-11-06,I,5,鲁证期货,3555,3
2013-11-06,I,6,中信新际,2805,-1
2013-11-06,I,7,中国国际,2749,-49
2013-11-06,I,8,上海中期,2447,45
2013-11-06,I,9,中证期货,2350,118
2013-11-06,I,10,国泰君安,2052,-307
2013-11-06,I,11,中钢期货,1878,-181
2013-11-06,I,12,海通期货,1481,324
2013-11-06,I,13,北京首创,1445,-100
2013-11-06,I,14,兴证期货,1318,451
2013-11-06,I,15,成都倍特,1237,-41
2013-11-06,I,16,安信期货,1126,17
2013-11-06,I,17,渤海期货,1002,-1
2013-11-06,I,18,大连良运,853,-8
2013-11-06,I,19,摩根大通,846,750
2013-11-06,I,20,光大期货,820,-34
2013-11-07,I,1,永安期货,11027,-310
2013-11-07,I,2,东海期货,5712,-440
2013-11-07,I,3,道通期货,3646,-97
2013-11-07,I,4,鲁证期货,3066,-489
2013-11-07,I,5,中国国际,3047,298
2013-11-07,I,6,银河期货,3019,-786
2013-11-07,I,7,中银国际,2901,2601
2013-11-07,I,8,中信新际,2817,12
2013-11-07,I,9,上海中期,2460,13
2013-11-07,I,10,国泰君安,2425,373
2013-11-07,I,11,中证期货,2372,22
2013-11-07,I,12,中钢期货,1425,-453
2013-11-07,I,13,国贸期货,1298,1021
2013-11-07,I,14,北京首创,1278,-167
2013-11-07,I,15,安信期货,1135,9
2013-11-07,I,16,成都倍特,1034,-204
2013-11-07,I,17,渤海期货,1000,-2
2013-11-07,I,18,海通期货,998,-483
2013-11-07,I,19,格林期货,909,287
2013-11-07,I,20,光大期货,854,34
2013-11-08,I,1,永安期货,13995,2968
2013-11-08,I,2,东海期货,4114,-1598
2013-11-08,I,3,中国国际,4084,1037
2013-11-08,I,4,道通期货,3204,-442
2013-11-08,I,5,中信新际,3025,208
2013-11-08,I,6,中银国际,2916,15
2013-11-08,I,7,银河期货,2620,-399
2013-11-08,I,8,中证期货,2498,126
2013-11-08,I,9,上海中期,2343,-117
2013-11-08,I,10,鲁证期货,1972,-1104
2013-11-08,I,11,国泰君安,1276,252
2013-11-08,I,12,北京首创,1257,-21
2013-11-08,I,13,成都倍特,1171,137
2013-11-08,I,14,国贸期货,1150,-111
2013-11-08,I,15,中钢期货,1088,-337
2013-11-08,I,16,安信期货,1076,-59
2013-11-08,I,17,渤海期货,1026,26
2013-11-08,I,18,格林期货,845,-64
2013-11-08,I,19,方正期货,840,50
2013-11-08,I,20,广州期货,810,500
2013-11-11,I,1,永安期货,14055,60
2013-11-11,I,2,中国国际,3895,-189
2013-11-11,I,3,东海期货,3781,-333
2013-11-11,I,4,道通期货,3204,0
2013-11-11,I,5,中信新际,2924,-101
2013-11-11,I,6,银河期货,2850,230
2013-11-11,I,7,中证期货,2460,-38
2013-11-11,I,8,上海中期,2384,41
2013-11-11,I,9,鲁证期货,2110,138
2013-11-11,I,10,国泰君安,1588,312
2013-11-11,I,11,北京首创,1353,96
2013-11-11,I,12,海通期货,1325,407
2013-11-11,I,13,中钢期货,1193,105
2013-11-11,I,14,安信期货,1070,-6
2013-11-11,I,15,成都倍特,1046,-124
2013-11-11,I,16,渤海期货,1028,2
2013-11-11,I,17,兴证期货,983,49
2013-11-11,I,18,长江期货,796,156
2013-11-11,I,19,大连良运,788,3
2013-11-11,I,20,广州期货,713,-97
