trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-08,JD,1,永安期货,1979,1979
2013-11-08,JD,2,万达期货,1838,1838
2013-11-08,JD,3,银河期货,1677,1677
2013-11-08,JD,4,光大期货,1321,1321
2013-11-08,JD,5,华安期货,1174,1174
2013-11-08,JD,6,南华期货,1144,1144
2013-11-08,JD,7,申银万国,1020,1020
2013-11-08,JD,8,中国国际,965,965
2013-11-08,JD,9,东证期货,932,932
2013-11-08,JD,10,华泰长城,913,913
2013-11-08,JD,11,广东鸿海,905,905
2013-11-08,JD,12,弘业期货,884,884
2013-11-08,JD,13,中粮期货,872,872
2013-11-08,JD,14,徽商期货,690,690
2013-11-08,JD,15,海通期货,518,518
2013-11-08,JD,16,华联期货,513,513
2013-11-08,JD,17,国信期货,502,502
2013-11-08,JD,18,中证期货,472,472
2013-11-08,JD,19,国泰君安,452,452
2013-11-08,JD,20,上海中期,442,442
2013-11-11,JD,1,万达期货,1940,102
2013-11-11,JD,2,永安期货,1710,-228
2013-11-11,JD,3,银河期货,1257,-420
2013-11-11,JD,4,南华期货,1223,79
2013-11-11,JD,5,东证期货,1189,257
2013-11-11,JD,6,华安期货,1175,1
2013-11-11,JD,7,中粮期货,1048,176
2013-11-11,JD,8,申银万国,1003,67
2013-11-11,JD,9,中国国际,949,-16
2013-11-11,JD,10,光大期货,912,-430
2013-11-11,JD,11,广东鸿海,907,2
2013-11-11,JD,12,弘业期货,767,-117
2013-11-11,JD,13,上海中期,754,60
2013-11-11,JD,14,徽商期货,748,58
2013-11-11,JD,15,海通期货,678,161
2013-11-11,JD,16,浙商期货,623,197
2013-11-11,JD,17,华联期货,609,125
2013-11-11,JD,18,国泰君安,594,212
2013-11-11,JD,19,华泰长城,395,-222
2013-11-11,JD,20,美尔雅期货,370,116
2013-11-12,JD,1,万达期货,1950,10
2013-11-12,JD,2,永安期货,1788,60
2013-11-12,JD,3,中粮期货,1224,176
2013-11-12,JD,4,南华期货,1196,-27
2013-11-12,JD,5,东证期货,1064,-125
2013-11-12,JD,6,申银万国,1049,46
2013-11-12,JD,7,银河期货,991,-266
2013-11-12,JD,8,弘业期货,974,207
2013-11-12,JD,9,中国国际,966,17
2013-11-12,JD,10,广东鸿海,909,2
2013-11-12,JD,11,华安期货,888,-287
2013-11-12,JD,12,徽商期货,769,21
