trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,JM,1,中证期货,17040,159
2013-11-05,JM,2,银河期货,16761,853
2013-11-05,JM,3,广发期货,12694,2403
2013-11-05,JM,4,海通期货,12611,78
2013-11-05,JM,5,永安期货,8877,-2537
2013-11-05,JM,6,瑞达期货,8391,5
2013-11-05,JM,7,中州期货,7727,-7
2013-11-05,JM,8,华泰长城,7209,1464
2013-11-05,JM,9,北京中期,7128,-78
2013-11-05,JM,10,中国国际,6619,-221
2013-11-05,JM,11,冠通期货,6600,1071
2013-11-05,JM,12,鲁证期货,6010,-1392
2013-11-05,JM,13,东证期货,5727,292
2013-11-05,JM,14,汇鑫期货,5442,-10
2013-11-05,JM,15,中粮期货,5323,30
2013-11-05,JM,16,安信期货,5127,-269
2013-11-05,JM,17,国泰君安,5112,-1198
2013-11-05,JM,18,国贸期货,4658,790
2013-11-05,JM,19,申银万国,4378,-2835
2013-11-05,JM,20,上海中期,4257,2
2013-11-06,JM,1,中证期货,18840,1800
2013-11-06,JM,2,银河期货,17217,456
2013-11-06,JM,3,海通期货,13793,1182
2013-11-06,JM,4,广发期货,13178,484
2013-11-06,JM,5,永安期货,8565,-312
2013-11-06,JM,6,瑞达期货,8540,134
2013-11-06,JM,7,安信期货,7721,2629
2013-11-06,JM,8,中州期货,7663,-64
2013-11-06,JM,9,北京中期,6916,-212
2013-11-06,JM,10,华泰长城,6309,-879
2013-11-06,JM,11,中国国际,6041,-578
2013-11-06,JM,12,汇鑫期货,5439,-3
2013-11-06,JM,13,中粮期货,5333,10
2013-11-06,JM,14,东证期货,5253,-474
2013-11-06,JM,15,国泰君安,5019,-93
2013-11-06,JM,16,上海中期,4204,-53
2013-11-06,JM,17,申银万国,4196,-182
2013-11-06,JM,18,鲁证期货,4133,-1877
2013-11-06,JM,19,冠通期货,3877,-522
2013-11-06,JM,20,国贸期货,3678,-980
2013-11-07,JM,1,中证期货,19091,251
2013-11-07,JM,2,银河期货,16464,-753
2013-11-07,JM,3,海通期货,14456,663
2013-11-07,JM,4,广发期货,13746,568
2013-11-07,JM,5,瑞达期货,8495,-45
2013-11-07,JM,6,中州期货,7645,-18
2013-11-07,JM,7,安信期货,7622,-99
2013-11-07,JM,8,永安期货,7097,-1468
2013-11-07,JM,9,华泰长城,6891,582
2013-11-07,JM,10,北京中期,6816,-100
2013-11-07,JM,11,中粮期货,5493,160
2013-11-07,JM,12,东证期货,5489,236
2013-11-07,JM,13,汇鑫期货,5437,-2
2013-11-07,JM,14,中国国际,5272,-769
2013-11-07,JM,15,上海中期,4156,-48
2013-11-07,JM,16,申银万国,4119,-77
2013-11-07,JM,17,国泰君安,3994,-1025
2013-11-07,JM,18,鲁证期货,3863,-270
2013-11-07,JM,19,国联期货,3680,-151
2013-11-07,JM,20,天琪期货,3501,-7
2013-11-08,JM,1,中证期货,18606,-485
2013-11-08,JM,2,银河期货,16601,137
2013-11-08,JM,3,广发期货,14634,1344
2013-11-08,JM,4,海通期货,11194,-3262
2013-11-08,JM,5,北京中期,8786,1139
2013-11-08,JM,6,瑞达期货,8478,-17
2013-11-08,JM,7,永安期货,8022,925
2013-11-08,JM,8,安信期货,7800,178
2013-11-08,JM,9,中州期货,7648,3
2013-11-08,JM,10,华泰长城,6380,-511
2013-11-08,JM,11,东证期货,5732,243
2013-11-08,JM,12,汇鑫期货,5445,8
2013-11-08,JM,13,中粮期货,5430,-84
2013-11-08,JM,14,中国国际,5351,79
2013-11-08,JM,15,格林期货,4949,1133
2013-11-08,JM,16,鲁证期货,4644,781
2013-11-08,JM,17,上海中期,4299,143
2013-11-08,JM,18,申银万国,4136,17
2013-11-08,JM,19,国泰君安,3948,6
2013-11-08,JM,20,徽商期货,3785,1107
2013-11-11,JM,1,中证期货,18301,-305
2013-11-11,JM,2,银河期货,16454,-147
2013-11-11,JM,3,广发期货,14708,74
2013-11-11,JM,4,海通期货,10909,-285
2013-11-11,JM,5,瑞达期货,8515,37
2013-11-11,JM,6,永安期货,8159,137
2013-11-11,JM,7,安信期货,7874,74
2013-11-11,JM,8,中州期货,7641,-7
2013-11-11,JM,9,东证期货,6751,1019
2013-11-11,JM,10,北京中期,6704,-3
2013-11-11,JM,11,华泰长城,6502,122
2013-11-11,JM,12,中国国际,5483,132
2013-11-11,JM,13,汇鑫期货,5435,-10
2013-11-11,JM,14,中粮期货,5329,-101
2013-11-11,JM,15,申银万国,4779,643
2013-11-11,JM,16,国贸期货,4466,2753
2013-11-11,JM,17,鲁证期货,4441,-203
2013-11-11,JM,18,上海中期,4333,34
2013-11-11,JM,19,国泰君安,3961,13
2013-11-11,JM,20,徽商期货,3592,-193
2013-11-12,JM,1,中证期货,18931,630
2013-11-12,JM,2,银河期货,16768,314
2013-11-12,JM,3,广发期货,14941,233
2013-11-12,JM,4,海通期货,11451,542
2013-11-12,JM,5,瑞达期货,8524,9
2013-11-12,JM,6,安信期货,7874,0
2013-11-12,JM,7,永安期货,7818,-341
2013-11-12,JM,8,中州期货,7658,17
2013-11-12,JM,9,华泰长城,6723,221
2013-11-12,JM,10,北京中期,6703,-1
2013-11-12,JM,11,东证期货,6568,-166
2013-11-12,JM,12,中国国际,6396,913
2013-11-12,JM,13,汇鑫期货,5431,-4
2013-11-12,JM,14,中粮期货,5296,-11
2013-11-12,JM,15,上海中期,4381,48
2013-11-12,JM,16,申银万国,4320,-459
2013-11-12,JM,17,鲁证期货,4084,-357
2013-11-12,JM,18,国泰君安,4006,27
2013-11-12,JM,19,天琪期货,3471,-3
2013-11-12,JM,20,徽商期货,3433,-159
2013-11-13,JM,1,中证期货,19436,505
2013-11-13,JM,2,银河期货,16736,-32
2013-11-13,JM,3,广发期货,14942,1
2013-11-13,JM,4,海通期货,11971,520
2013-11-13,JM,5,华泰长城,8678,1955
2013-11-13,JM,6,瑞达期货,8528,4
2013-11-13,JM,7,永安期货,7959,141
2013-11-13,JM,8,安信期货,7785,-89
2013-11-13,JM,9,中州期货,7666,8
2013-11-13,JM,10,北京中期,6681,-22
2013-11-13,JM,11,中国国际,6597,201
2013-11-13,JM,12,东证期货,6492,-76
2013-11-13,JM,13,汇鑫期货,5431,0
2013-11-13,JM,14,中粮期货,5292,-26
2013-11-13,JM,15,鲁证期货,4593,510
2013-11-13,JM,16,上海中期,4551,170
2013-11-13,JM,17,申银万国,4276,-44
2013-11-13,JM,18,国泰君安,3992,-14
2013-11-13,JM,19,天琪期货,3471,0
2013-11-13,JM,20,浙商期货,3312,21
2013-11-14,JM,1,中证期货,18960,-476
2013-11-14,JM,2,银河期货,17200,464
2013-11-14,JM,3,广发期货,14532,-425
2013-11-14,JM,4,海通期货,11776,-195
2013-11-14,JM,5,中国国际,9851,3254
2013-11-14,JM,6,瑞达期货,8519,-9
2013-11-14,JM,7,东证期货,8362,1870
