trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,JM,1,中证期货,37075,1754
2013-11-05,JM,2,永安期货,35831,3699
2013-11-05,JM,3,浙商期货,11770,-1233
2013-11-05,JM,4,银河期货,10492,641
2013-11-05,JM,5,申银万国,9183,-5143
2013-11-05,JM,6,光大期货,9001,23
2013-11-05,JM,7,道通期货,8429,-1841
2013-11-05,JM,8,华泰长城,7354,957
2013-11-05,JM,9,海通期货,6861,3639
2013-11-05,JM,10,浙江新世纪,6133,-1123
2013-11-05,JM,11,上海中期,5874,-52
2013-11-05,JM,12,广发期货,5641,1769
2013-11-05,JM,13,国泰君安,5382,2302
2013-11-05,JM,14,北京金鹏,4900,-79
2013-11-05,JM,15,鲁证期货,4318,303
2013-11-05,JM,16,渤海期货,4079,-108
2013-11-05,JM,17,华安期货,3929,1150
2013-11-05,JM,18,南华期货,3805,-304
2013-11-05,JM,19,东证期货,3186,923
2013-11-05,JM,20,一德期货,2995,2852
2013-11-06,JM,1,中证期货,34980,-2095
2013-11-06,JM,2,永安期货,33170,-2661
2013-11-06,JM,3,浙商期货,11522,-206
2013-11-06,JM,4,银河期货,11385,893
2013-11-06,JM,5,申银万国,11170,1987
2013-11-06,JM,6,华泰长城,9340,559
2013-11-06,JM,7,道通期货,8416,-13
2013-11-06,JM,8,光大期货,8106,-895
2013-11-06,JM,9,鲁证期货,7177,2143
2013-11-06,JM,10,浙江新世纪,6431,298
2013-11-06,JM,11,上海中期,6201,327
2013-11-06,JM,12,广发期货,6144,464
2013-11-06,JM,13,海通期货,5940,-921
2013-11-06,JM,14,北京金鹏,4898,-2
2013-11-06,JM,15,安信期货,4261,1226
2013-11-06,JM,16,渤海期货,4067,-12
2013-11-06,JM,17,华安期货,3928,-1
2013-11-06,JM,18,国泰君安,3912,-1470
2013-11-06,JM,19,大连良运,2808,2802
2013-11-06,JM,20,东证期货,2626,-560
2013-11-07,JM,1,中证期货,28287,-6693
2013-11-07,JM,2,永安期货,28167,-5003
2013-11-07,JM,3,银河期货,11782,397
2013-11-07,JM,4,申银万国,11731,561
2013-11-07,JM,5,华泰长城,9547,208
2013-11-07,JM,6,浙商期货,8638,-2924
2013-11-07,JM,7,道通期货,8414,-2
2013-11-07,JM,8,光大期货,6928,-1178
2013-11-07,JM,9,浙江新世纪,6879,448
2013-11-07,JM,10,广发期货,6731,632
2013-11-07,JM,11,上海中期,6200,-1
2013-11-07,JM,12,海通期货,6064,124
2013-11-07,JM,13,鲁证期货,5992,-1185
2013-11-07,JM,14,北京金鹏,4893,-5
2013-11-07,JM,15,安信期货,4610,315
2013-11-07,JM,16,华安期货,4139,211
2013-11-07,JM,17,渤海期货,4055,-12
2013-11-07,JM,18,南华期货,3792,-115
2013-11-07,JM,19,国泰君安,3175,-737
2013-11-07,JM,20,大连良运,2822,14
2013-11-08,JM,1,中证期货,34152,5865
2013-11-08,JM,2,永安期货,22822,-5345
2013-11-08,JM,3,银河期货,11984,202
2013-11-08,JM,4,申银万国,11645,-86
2013-11-08,JM,5,浙商期货,10863,2283
2013-11-08,JM,6,海通期货,9645,3581
2013-11-08,JM,7,道通期货,9587,1173
2013-11-08,JM,8,华安期货,9170,3750
2013-11-08,JM,9,上海中期,9166,2010
2013-11-08,JM,10,华泰长城,7524,-26
2013-11-08,JM,11,光大期货,5905,-1023
2013-11-08,JM,12,鲁证期货,5585,-407
2013-11-08,JM,13,东证期货,5473,1505
2013-11-08,JM,14,北京金鹏,4893,0
2013-11-08,JM,15,安信期货,4695,85
2013-11-08,JM,16,渤海期货,4068,13
2013-11-08,JM,17,广发期货,3655,483
2013-11-08,JM,18,国泰君安,2947,-228
2013-11-08,JM,19,大连良运,2806,-16
2013-11-08,JM,20,大地期货,2540,145
2013-11-11,JM,1,中证期货,34036,-55
2013-11-11,JM,2,永安期货,22914,92
2013-11-11,JM,3,银河期货,12108,124
2013-11-11,JM,4,申银万国,11560,-85
2013-11-11,JM,5,海通期货,11254,1609
2013-11-11,JM,6,道通期货,9525,-62
2013-11-11,JM,7,华泰长城,9489,556
2013-11-11,JM,8,浙商期货,9293,-1626
2013-11-11,JM,9,华安期货,9229,59
2013-11-11,JM,10,上海中期,9219,53
2013-11-11,JM,11,东证期货,6183,710
2013-11-11,JM,12,鲁证期货,5612,84
2013-11-11,JM,13,光大期货,5405,-500
2013-11-11,JM,14,安信期货,5021,326
2013-11-11,JM,15,北京金鹏,4893,0
2013-11-11,JM,16,渤海期货,4096,28
2013-11-11,JM,17,广发期货,3587,-73
2013-11-11,JM,18,国泰君安,2841,-106
2013-11-11,JM,19,大连良运,2807,1
2013-11-11,JM,20,大越期货,2384,2357
2013-11-12,JM,1,中证期货,34632,552
2013-11-12,JM,2,永安期货,22457,-457
2013-11-12,JM,3,银河期货,12861,748
2013-11-12,JM,4,申银万国,11432,-127
2013-11-12,JM,5,海通期货,11354,100
2013-11-12,JM,6,道通期货,10084,559
2013-11-12,JM,7,华泰长城,9601,112
