trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,J,1,永安期货,13049,-652
2013-11-05,J,2,中证期货,11234,-246
2013-11-05,J,3,鲁证期货,9386,483
2013-11-05,J,4,银河期货,9326,789
2013-11-05,J,5,国泰君安,5353,-405
2013-11-05,J,6,格林期货,5302,540
2013-11-05,J,7,华泰长城,4680,-452
2013-11-05,J,8,上海中期,4073,-65
2013-11-05,J,9,浙商期货,3987,-328
2013-11-05,J,10,东证期货,3837,9
2013-11-05,J,11,天琪期货,3583,7
2013-11-05,J,12,光大期货,3534,-31
2013-11-05,J,13,瑞达期货,2909,-1480
2013-11-05,J,14,美尔雅期货,2760,-589
2013-11-05,J,15,长江期货,2606,-245
2013-11-05,J,16,安信期货,2540,72
2013-11-05,J,17,中州期货,2494,-10
2013-11-05,J,18,南华期货,2456,-41
2013-11-05,J,19,大连良运,2148,460
2013-11-05,J,20,华安期货,2146,-124
2013-11-06,J,1,中证期货,13024,1790
2013-11-06,J,2,永安期货,11299,-1750
2013-11-06,J,3,鲁证期货,11206,1820
2013-11-06,J,4,银河期货,10038,712
2013-11-06,J,5,上海中期,5821,1748
2013-11-06,J,6,格林期货,5392,90
2013-11-06,J,7,国泰君安,4724,-629
2013-11-06,J,8,浙商期货,4189,202
2013-11-06,J,9,东证期货,4001,164
2013-11-06,J,10,华泰长城,3870,-810
2013-11-06,J,11,安信期货,3647,1107
2013-11-06,J,12,天琪期货,3584,1
2013-11-06,J,13,光大期货,3493,-41
2013-11-06,J,14,瑞达期货,2826,-83
2013-11-06,J,15,美尔雅期货,2824,64
2013-11-06,J,16,长江期货,2752,146
2013-11-06,J,17,大连良运,2692,544
2013-11-06,J,18,中国国际,2346,250
2013-11-06,J,19,中粮期货,2204,368
2013-11-06,J,20,南证期货,2032,101
2013-11-07,J,1,中证期货,12911,-113
2013-11-07,J,2,银河期货,10593,555
2013-11-07,J,3,鲁证期货,10046,-1160
2013-11-07,J,4,永安期货,10032,-1267
2013-11-07,J,5,上海中期,5678,-143
2013-11-07,J,6,格林期货,5396,4
2013-11-07,J,7,浙商期货,5228,489
2013-11-07,J,8,国泰君安,4767,43
2013-11-07,J,9,华泰长城,4667,797
2013-11-07,J,10,东证期货,4528,527
2013-11-07,J,11,申银万国,4171,1400
2013-11-07,J,12,光大期货,3132,-361
2013-11-07,J,13,大连良运,2760,68
2013-11-07,J,14,华安期货,2750,1381
2013-11-07,J,15,瑞达期货,2748,-78
2013-11-07,J,16,大越期货,2153,1240
2013-11-07,J,17,长江期货,2092,32
2013-11-07,J,18,中粮期货,2062,-143
2013-11-07,J,19,摩根大通,2000,0
2013-11-07,J,20,南证期货,1988,-44
2013-11-08,J,1,银河期货,11840,1247
2013-11-08,J,2,中证期货,10158,-2753
2013-11-08,J,3,鲁证期货,10139,93
2013-11-08,J,4,永安期货,8830,-1202
2013-11-08,J,5,上海中期,6613,331
2013-11-08,J,6,格林期货,6400,1004
2013-11-08,J,7,光大期货,4701,1685
2013-11-08,J,8,国泰君安,4662,-105
2013-11-08,J,9,中国国际,4540,1968
2013-11-08,J,10,华泰长城,4291,-376
2013-11-08,J,11,申银万国,3416,-704
2013-11-08,J,12,东证期货,3263,-1265
2013-11-08,J,13,国贸期货,3076,1485
2013-11-08,J,14,瑞达期货,2733,-15
2013-11-08,J,15,浙商期货,2170,-2348
2013-11-08,J,16,长江期货,2152,60
2013-11-08,J,17,宏源期货,2111,469
2013-11-08,J,18,大越期货,2071,-82
2013-11-08,J,19,大连良运,2017,-743
2013-11-08,J,20,南证期货,2004,16
2013-11-11,J,1,银河期货,11365,-475
2013-11-11,J,2,鲁证期货,9946,-193
2013-11-11,J,3,永安期货,8997,167
2013-11-11,J,4,中证期货,8353,-1805
2013-11-11,J,5,中国国际,4545,5
2013-11-11,J,6,光大期货,4429,-272
2013-11-11,J,7,国泰君安,4417,-120
2013-11-11,J,8,格林期货,4366,-2034
2013-11-11,J,9,上海中期,4311,-1708
2013-11-11,J,10,华泰长城,3305,-997
2013-11-11,J,11,东证期货,3171,-9
2013-11-11,J,12,国贸期货,3098,22
2013-11-11,J,13,申银万国,2959,-457
2013-11-11,J,14,长江期货,2735,53
2013-11-11,J,15,瑞达期货,2732,-1
2013-11-11,J,16,美尔雅期货,2609,446
2013-11-11,J,17,宏源期货,2083,-28
2013-11-11,J,18,大越期货,2036,-34
2013-11-11,J,19,摩根大通,2000,0
2013-11-11,J,20,中粮期货,1952,195
2013-11-12,J,1,银河期货,11948,583
2013-11-12,J,2,中证期货,9766,1413
2013-11-12,J,3,鲁证期货,9293,-653
2013-11-12,J,4,永安期货,9035,38
2013-11-12,J,5,国泰君安,6093,639
2013-11-12,J,6,上海中期,5110,224
2013-11-12,J,7,中国国际,4966,421
2013-11-12,J,8,光大期货,4655,226
2013-11-12,J,9,东证期货,4634,1419
2013-11-12,J,10,格林期货,3660,-706
2013-11-12,J,11,国贸期货,3343,245
2013-11-12,J,12,长江期货,3209,466
2013-11-12,J,13,华泰长城,3168,-137
2013-11-12,J,14,瑞达期货,2716,-16
2013-11-12,J,15,美尔雅期货,2440,-169
2013-11-12,J,16,大越期货,2003,-33
2013-11-12,J,17,摩根大通,2000,0
2013-11-12,J,18,大连良运,1983,162
2013-11-12,J,19,中粮期货,1821,-131
2013-11-12,J,20,宏源期货,1663,-420
2013-11-13,J,1,中证期货,15877,6111
2013-11-13,J,2,永安期货,10822,1787
2013-11-13,J,3,银河期货,9602,-2346
2013-11-13,J,4,鲁证期货,9502,209
2013-11-13,J,5,东证期货,5101,533
2013-11-13,J,6,浙商期货,4928,2942
2013-11-13,J,7,上海中期,4919,-191
2013-11-13,J,8,国泰君安,4399,-17
2013-11-13,J,9,中国国际,4258,-67
2013-11-13,J,10,光大期货,4153,-502
2013-11-13,J,11,华泰长城,3945,777
2013-11-13,J,12,广发期货,3356,634
2013-11-13,J,13,格林期货,3078,-582
2013-11-13,J,14,大越期货,3032,1029
2013-11-13,J,15,南证期货,2908,2667
2013-11-13,J,16,长江期货,2780,197
2013-11-13,J,17,瑞达期货,2643,-6
2013-11-13,J,18,国贸期货,2519,-824
2013-11-13,J,19,摩根大通,2000,0
2013-11-13,J,20,上海大陆,1838,570
2013-11-14,J,1,中证期货,16868,991
2013-11-14,J,2,永安期货,13325,2503
2013-11-14,J,3,银河期货,9037,-565
2013-11-14,J,4,国泰君安,6500,750
2013-11-14,J,5,鲁证期货,6238,-3264
2013-11-14,J,6,浙商期货,5157,229
2013-11-14,J,7,上海中期,4937,18
2013-11-14,J,8,东证期货,4937,-164
2013-11-14,J,9,中国国际,4724,466
2013-11-14,J,10,光大期货,3914,-239
2013-11-14,J,11,华泰长城,3737,-208
2013-11-14,J,12,长江期货,3470,690
2013-11-14,J,13,大越期货,3047,15
2013-11-14,J,14,格林期货,2882,-196
2013-11-14,J,15,瑞达期货,2705,4
2013-11-14,J,16,国贸期货,2418,-101
2013-11-14,J,17,海通期货,2099,890
2013-11-14,J,18,中粮期货,2033,290
2013-11-14,J,19,摩根大通,2000,0
2013-11-14,J,20,上海大陆,1582,-256
2013-11-15,J,1,中证期货,17621,753
2013-11-15,J,2,银河期货,9244,207
2013-11-15,J,3,永安期货,8408,-4917
2013-11-15,J,4,鲁证期货,6846,608
2013-11-15,J,5,浙商期货,5208,-1
2013-11-15,J,6,光大期货,5184,1270
2013-11-15,J,7,上海中期,4802,-135
2013-11-15,J,8,东证期货,4800,-137
2013-11-15,J,9,国泰君安,4399,-5
2013-11-15,J,10,中国国际,4317,-407
2013-11-15,J,11,华泰长城,4027,290
2013-11-15,J,12,长江期货,3579,109
2013-11-15,J,13,格林期货,3337,455
2013-11-15,J,14,大越期货,3035,-12
2013-11-15,J,15,瑞达期货,2641,-5
2013-11-15,J,16,国贸期货,2395,-23
2013-11-15,J,17,中粮期货,2247,368
2013-11-15,J,18,摩根大通,2000,0
2013-11-15,J,19,上海中财,1974,547
2013-11-15,J,20,大连良运,1774,1299
2013-11-18,J,1,中证期货,16867,-754
2013-11-18,J,2,永安期货,10084,1676
2013-11-18,J,3,鲁证期货,8595,1751
2013-11-18,J,4,银河期货,8560,-171
2013-11-18,J,5,东证期货,5696,783
2013-11-18,J,6,浙商期货,5037,-171
2013-11-18,J,7,上海中期,4847,45
2013-11-18,J,8,中国国际,4466,149
2013-11-18,J,9,华泰长城,4099,72
2013-11-18,J,10,光大期货,3721,-1463
2013-11-18,J,11,格林期货,3484,147
2013-11-18,J,12,国泰君安,3449,-950
2013-11-18,J,13,长江期货,3263,-316
2013-11-18,J,14,大越期货,3069,34
2013-11-18,J,15,瑞达期货,2835,194
2013-11-18,J,16,国贸期货,2655,260
2013-11-18,J,17,摩根大通,2000,0
2013-11-18,J,18,中粮期货,1883,-364
2013-11-18,J,19,申银万国,1839,467
2013-11-18,J,20,国海良时,1789,839
2013-11-19,J,1,中证期货,15478,-1389
2013-11-19,J,2,永安期货,12170,2086
2013-11-19,J,3,银河期货,8436,-541
2013-11-19,J,4,鲁证期货,7902,-693
2013-11-19,J,5,国泰君安,5981,1192
2013-11-19,J,6,中国国际,5244,778
2013-11-19,J,7,浙商期货,5161,124
2013-11-19,J,8,上海中期,4747,-100
2013-11-19,J,9,东证期货,4591,-1105
2013-11-19,J,10,华泰长城,4092,-7
2013-11-19,J,11,广发期货,3665,2384
2013-11-19,J,12,格林期货,3633,149
2013-11-19,J,13,光大期货,3500,-222
2013-11-19,J,14,申银万国,3441,1602
2013-11-19,J,15,海通期货,3350,2244
2013-11-19,J,16,大越期货,3063,-6
2013-11-19,J,17,瑞达期货,2833,-2
2013-11-19,J,18,国贸期货,2589,-66
2013-11-19,J,19,上海大陆,2313,753
2013-11-19,J,20,长江期货,2020,-1243
2013-11-20,J,1,中证期货,11091,-4387
2013-11-20,J,2,永安期货,9762,-2408
2013-11-20,J,3,银河期货,8259,258
2013-11-20,J,4,国泰君安,5814,-167
2013-11-20,J,5,鲁证期货,5720,-2182
2013-11-20,J,6,上海中期,4932,185
2013-11-20,J,7,中国国际,4851,-393
2013-11-20,J,8,东证期货,4493,-98
2013-11-20,J,9,华泰长城,4065,-27
2013-11-20,J,10,光大期货,3502,2
2013-11-20,J,11,瑞达期货,2833,0
2013-11-20,J,12,大越期货,2770,-293
2013-11-20,J,13,国贸期货,2572,-17
2013-11-20,J,14,上海大陆,2451,134
2013-11-20,J,15,广发期货,2328,-1337
2013-11-20,J,16,长江期货,2287,267
2013-11-20,J,17,格林期货,2254,-1379
2013-11-20,J,18,海通期货,2081,-1269
2013-11-20,J,19,中粮期货,1997,-285
2013-11-20,J,20,东兴期货,1835,592
2013-11-21,J,1,银河期货,8797,215
2013-11-21,J,2,永安期货,8285,-1477
2013-11-21,J,3,中证期货,7773,-3318
2013-11-21,J,4,鲁证期货,6680,960
2013-11-21,J,5,中国国际,5060,209
2013-11-21,J,6,上海中期,4974,42
2013-11-21,J,7,国泰君安,4972,-785
2013-11-21,J,8,华泰长城,4707,642
2013-11-21,J,9,东证期货,4682,189
