trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,J,1,永安期货,12888,1624
2013-11-05,J,2,中证期货,12114,-156
2013-11-05,J,3,海通期货,8590,-427
2013-11-05,J,4,银河期货,6894,-56
2013-11-05,J,5,光大期货,5033,486
2013-11-05,J,6,上海大陆,4982,241
2013-11-05,J,7,安信期货,4716,82
2013-11-05,J,8,浙商期货,4706,3307
2013-11-05,J,9,大地期货,4399,140
2013-11-05,J,10,北京首创,4156,156
2013-11-05,J,11,国投期货,4019,124
2013-11-05,J,12,中国国际,3760,-5254
2013-11-05,J,13,渤海期货,3687,2330
2013-11-05,J,14,宏源期货,3229,68
2013-11-05,J,15,广发期货,3025,-1855
2013-11-05,J,16,上海中期,2928,-244
2013-11-05,J,17,中银国际,2852,-1603
2013-11-05,J,18,一德期货,2816,118
2013-11-05,J,19,瑞达期货,2782,67
2013-11-05,J,20,宝城期货,2772,142
2013-11-06,J,1,永安期货,11865,-1023
2013-11-06,J,2,海通期货,11310,2720
2013-11-06,J,3,中证期货,10988,-1126
2013-11-06,J,4,银河期货,6538,-356
2013-11-06,J,5,上海大陆,6106,307
2013-11-06,J,6,浙商期货,5920,1214
2013-11-06,J,7,光大期货,5320,287
2013-11-06,J,8,国投期货,4087,68
2013-11-06,J,9,北京首创,4058,-98
2013-11-06,J,10,安信期货,3880,91
2013-11-06,J,11,渤海期货,3815,128
2013-11-06,J,12,大地期货,3391,-1008
2013-11-06,J,13,广发期货,3368,374
2013-11-06,J,14,中银国际,3318,-394
2013-11-06,J,15,宏源期货,3193,-36
2013-11-06,J,16,上海中期,3145,217
2013-11-06,J,17,瑞达期货,2822,40
2013-11-06,J,18,宝城期货,2777,5
2013-11-06,J,19,一德期货,2663,-151
2013-11-06,J,20,中国国际,2616,-237
2013-11-07,J,1,永安期货,9888,-1977
2013-11-07,J,2,中证期货,9549,-1439
2013-11-07,J,3,海通期货,8831,-1353
2013-11-07,J,4,银河期货,7237,699
2013-11-07,J,5,光大期货,6223,903
2013-11-07,J,6,浙商期货,5699,-233
2013-11-07,J,7,上海大陆,5675,-431
2013-11-07,J,8,广发期货,5314,1946
2013-11-07,J,9,华泰长城,5125,1788
2013-11-07,J,10,中银国际,5007,1689
2013-11-07,J,11,北京首创,4042,-16
2013-11-07,J,12,安信期货,3776,-104
2013-11-07,J,13,中国国际,3748,1132
2013-11-07,J,14,南证期货,3716,3605
2013-11-07,J,15,大地期货,3477,86
2013-11-07,J,16,宏源期货,3290,97
2013-11-07,J,17,瑞达期货,3029,207
2013-11-07,J,18,申银万国,2855,675
2013-11-07,J,19,一德期货,2727,65
2013-11-07,J,20,上海中期,2721,-424
2013-11-08,J,1,永安期货,10891,1003
2013-11-08,J,2,中证期货,9412,-137
2013-11-08,J,3,海通期货,8857,26
2013-11-08,J,4,光大期货,8146,1923
2013-11-08,J,5,银河期货,6446,-791
2013-11-08,J,6,广发期货,5949,636
2013-11-08,J,7,上海大陆,5432,-242
2013-11-08,J,8,浙商期货,5154,-545
2013-11-08,J,9,中银国际,4449,-558
2013-11-08,J,10,北京首创,4102,60
2013-11-08,J,11,中国国际,3701,-47
2013-11-08,J,12,安信期货,3677,-99
2013-11-08,J,13,江西瑞奇,3378,1828
2013-11-08,J,14,大地期货,3371,-106
2013-11-08,J,15,宏源期货,3276,-14
2013-11-08,J,16,瑞达期货,3152,123
2013-11-08,J,17,宝城期货,3121,507
2013-11-08,J,18,申银万国,2914,59
2013-11-08,J,19,南证期货,2873,-843
2013-11-08,J,20,东兴期货,2825,1172
2013-11-11,J,1,中证期货,12083,2671
2013-11-11,J,2,永安期货,9439,-1452
2013-11-11,J,3,海通期货,8253,-603
2013-11-11,J,4,银河期货,6773,327
2013-11-11,J,5,光大期货,6341,-1805
2013-11-11,J,6,上海大陆,5454,22
2013-11-11,J,7,浙商期货,5026,-128
2013-11-11,J,8,北京首创,4151,46
2013-11-11,J,9,国投期货,4107,-7
2013-11-11,J,10,广发期货,4017,-1932
2013-11-11,J,11,安信期货,3764,87
2013-11-11,J,12,中银国际,3302,-1147
2013-11-11,J,13,大地期货,3294,-77
2013-11-11,J,14,宏源期货,3220,-56
2013-11-11,J,15,宝城期货,3144,23
2013-11-11,J,16,上海中期,2946,126
2013-11-11,J,17,东兴期货,2833,8
2013-11-11,J,18,瑞达期货,2812,-340
2013-11-11,J,19,一德期货,2762,47
2013-11-11,J,20,江西瑞奇,2723,-3
2013-11-12,J,1,中证期货,10777,-1306
2013-11-12,J,2,光大期货,10306,3965
2013-11-12,J,3,海通期货,6977,-1276
2013-11-12,J,4,永安期货,6961,-2478
2013-11-12,J,5,银河期货,6769,-4
2013-11-12,J,6,浙商期货,5797,771
2013-11-12,J,7,上海大陆,5472,18
2013-11-12,J,8,中银国际,4300,998
2013-11-12,J,9,华泰长城,4118,882
2013-11-12,J,10,北京首创,4082,-69
2013-11-12,J,11,广发期货,3958,-59
2013-11-12,J,12,安信期货,3787,66
2013-11-12,J,13,中国国际,3758,1273
2013-11-12,J,14,大地期货,3416,122
2013-11-12,J,15,宏源期货,3286,66
2013-11-12,J,16,宝城期货,3271,127
2013-11-12,J,17,渤海期货,3030,1550
2013-11-12,J,18,上海中期,2895,-51
2013-11-12,J,19,瑞达期货,2824,12
2013-11-12,J,20,一德期货,2719,-43
2013-11-13,J,1,中证期货,9969,-808
2013-11-13,J,2,永安期货,7874,913
2013-11-13,J,3,海通期货,6895,-82
2013-11-13,J,4,银河期货,6736,-33
2013-11-13,J,5,光大期货,6488,-3818
2013-11-13,J,6,浙商期货,6256,459
2013-11-13,J,7,上海大陆,5458,-14
2013-11-13,J,8,上海中期,5287,498
2013-11-13,J,9,安信期货,4834,1026
2013-11-13,J,10,中银国际,4499,199
2013-11-13,J,11,国投期货,4198,80
2013-11-13,J,12,广发期货,4003,22
2013-11-13,J,13,北京首创,3658,-371
2013-11-13,J,14,大地期货,3439,23
2013-11-13,J,15,宏源期货,3268,-18
2013-11-13,J,16,宝城期货,3192,-79
2013-11-13,J,17,瑞达期货,3177,353
2013-11-13,J,18,中国国际,2878,-879
2013-11-13,J,19,一德期货,2830,111
2013-11-13,J,20,申银万国,2817,232
2013-11-14,J,1,中证期货,9409,-560
2013-11-14,J,2,永安期货,8429,555
2013-11-14,J,3,银河期货,7872,1136
2013-11-14,J,4,海通期货,7064,169
2013-11-14,J,5,浙商期货,6520,264
2013-11-14,J,6,上海中期,5975,688
2013-11-14,J,7,光大期货,5623,-865
2013-11-14,J,8,上海大陆,5334,-124
2013-11-14,J,9,安信期货,5092,280
2013-11-14,J,10,中银国际,4214,-285
2013-11-14,J,11,国投期货,4204,6
2013-11-14,J,12,广发期货,3797,-206
2013-11-14,J,13,北京首创,3546,-112
2013-11-14,J,14,大地期货,3426,-13
2013-11-14,J,15,宝城期货,3364,172
2013-11-14,J,16,宏源期货,3243,-25
2013-11-14,J,17,瑞达期货,3062,-115
2013-11-14,J,18,一德期货,2632,-197
2013-11-14,J,19,申银万国,2631,-206
2013-11-14,J,20,财富期货,2572,-10
2013-11-15,J,1,中证期货,9677,268
2013-11-15,J,2,永安期货,8883,454
2013-11-15,J,3,海通期货,7335,271
2013-11-15,J,4,银河期货,7022,-850
2013-11-15,J,5,浙商期货,6140,-380
2013-11-15,J,6,上海中期,5917,-58
