trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,L,1,永安期货,24813,-2489
2013-11-05,L,2,中国国际,15554,368
2013-11-05,L,3,中证期货,11557,1279
2013-11-05,L,4,浙商期货,11549,-533
2013-11-05,L,5,鲁证期货,8531,807
2013-11-05,L,6,中粮期货,7674,-793
2013-11-05,L,7,海通期货,7428,1712
2013-11-05,L,8,银河期货,7058,131
2013-11-05,L,9,大地期货,6530,-321
2013-11-05,L,10,宏源期货,6306,4831
2013-11-05,L,11,上海中期,5347,-1013
2013-11-05,L,12,南华期货,5336,31
2013-11-05,L,13,万达期货,4968,-340
2013-11-05,L,14,光大期货,4630,214
2013-11-05,L,15,冠通期货,4615,-96
2013-11-05,L,16,东证期货,4162,-316
2013-11-05,L,17,天风期货,3912,467
2013-11-05,L,18,华鑫期货,3764,26
2013-11-05,L,19,徽商期货,3185,3041
2013-11-05,L,20,弘业期货,3155,-77
2013-11-06,L,1,永安期货,22685,-2128
2013-11-06,L,2,中证期货,18433,6876
2013-11-06,L,3,中国国际,15207,-347
2013-11-06,L,4,浙商期货,11171,-378
2013-11-06,L,5,鲁证期货,11039,2508
2013-11-06,L,6,中粮期货,10549,2875
2013-11-06,L,7,大越期货,8888,6732
2013-11-06,L,8,银河期货,7401,-539
2013-11-06,L,9,宏源期货,5953,-353
2013-11-06,L,10,华泰长城,5653,1882
2013-11-06,L,11,上海中期,4978,-369
2013-11-06,L,12,南华期货,4953,-383
2013-11-06,L,13,万达期货,4937,-31
2013-11-06,L,14,冠通期货,4786,171
2013-11-06,L,15,光大期货,4401,-229
2013-11-06,L,16,大地期货,4369,-2161
2013-11-06,L,17,东证期货,4354,192
2013-11-06,L,18,华鑫期货,3554,-210
2013-11-06,L,19,天风期货,3516,-396
2013-11-06,L,20,弘业期货,3296,141
2013-11-07,L,1,中证期货,18382,-51
2013-11-07,L,2,永安期货,16872,-5813
2013-11-07,L,3,中国国际,13287,-1920
2013-11-07,L,4,浙商期货,10469,-702
2013-11-07,L,5,中粮期货,9967,-582
2013-11-07,L,6,大越期货,8932,44
2013-11-07,L,7,鲁证期货,8518,-2521
2013-11-07,L,8,银河期货,6608,-793
2013-11-07,L,9,宏源期货,5912,-41
2013-11-07,L,10,万达期货,5894,957
2013-11-07,L,11,华泰长城,5573,-80
2013-11-07,L,12,上海中期,4831,-147
2013-11-07,L,13,冠通期货,4707,-79
2013-11-07,L,14,南华期货,4621,-332
2013-11-07,L,15,大地期货,4344,-25
