trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,L,1,永安期货,17411,2249
2013-11-05,L,2,南华期货,14229,1083
2013-11-05,L,3,浙商期货,10344,-753
2013-11-05,L,4,中国国际,7365,-595
2013-11-05,L,5,中粮期货,7229,-483
2013-11-05,L,6,银河期货,7069,635
2013-11-05,L,7,东证期货,6600,-259
2013-11-05,L,8,中证期货,6308,1150
2013-11-05,L,9,申银万国,5576,-750
2013-11-05,L,10,上海中期,5509,-510
2013-11-05,L,11,大地期货,4572,-305
2013-11-05,L,12,广州期货,4561,18
2013-11-05,L,13,大连良运,4501,1226
2013-11-05,L,14,大越期货,4393,646
2013-11-05,L,15,广永期货,4023,284
2013-11-05,L,16,兴证期货,3932,1951
2013-11-05,L,17,海航东银,3481,84
2013-11-05,L,18,新湖期货,3316,84
2013-11-05,L,19,海通期货,3142,677
2013-11-05,L,20,华泰长城,2818,201
2013-11-06,L,1,永安期货,11783,-5628
2013-11-06,L,2,南华期货,9300,-4929
2013-11-06,L,3,银河期货,7991,922
2013-11-06,L,4,中粮期货,7428,199
2013-11-06,L,5,东证期货,6357,-243
2013-11-06,L,6,大连良运,6087,625
2013-11-06,L,7,申银万国,5948,372
2013-11-06,L,8,中国国际,5675,-1690
2013-11-06,L,9,上海中期,5445,-67
2013-11-06,L,10,中证期货,5334,-974
2013-11-06,L,11,广州期货,4397,-164
2013-11-06,L,12,海通期货,4351,-118
2013-11-06,L,13,广永期货,4321,308
2013-11-06,L,14,东航期货,4253,2756
2013-11-06,L,15,华泰长城,4165,154
2013-11-06,L,16,大地期货,3967,-605
2013-11-06,L,17,海航东银,3605,124
2013-11-06,L,18,浙商期货,3334,-4480
2013-11-06,L,19,安粮期货,3252,638
2013-11-06,L,20,光大期货,3118,728
2013-11-07,L,1,南华期货,10155,855
2013-11-07,L,2,永安期货,9487,-2296
2013-11-07,L,3,大连良运,8271,2184
2013-11-07,L,4,广州期货,6071,1089
2013-11-07,L,5,申银万国,5852,-96
2013-11-07,L,6,上海中期,5414,-31
2013-11-07,L,7,中国国际,5392,-283
2013-11-07,L,8,中证期货,4746,-588
2013-11-07,L,9,银河期货,4567,-1515
2013-11-07,L,10,华泰长城,4515,350
2013-11-07,L,11,广永期货,4324,3
2013-11-07,L,12,东证期货,4246,71
2013-11-07,L,13,浙商期货,4101,767
2013-11-07,L,14,大地期货,3950,-17
2013-11-07,L,15,海航东银,3629,24
2013-11-07,L,16,中粮期货,3592,-3836
2013-11-07,L,17,安粮期货,3029,-223
2013-11-07,L,18,海通期货,2641,-18
2013-11-07,L,19,格林期货,2529,-52
2013-11-07,L,20,弘业期货,2457,306
2013-11-08,L,1,永安期货,9847,360
2013-11-08,L,2,南华期货,9171,-984
2013-11-08,L,3,大连良运,8936,665
2013-11-08,L,4,中国国际,6454,1062
2013-11-08,L,5,安粮期货,6372,1827
2013-11-08,L,6,申银万国,5491,-359
2013-11-08,L,7,上海中期,5399,-15
2013-11-08,L,8,中证期货,4806,60
2013-11-08,L,9,银河期货,4756,189
2013-11-08,L,10,浙商期货,4670,-848
2013-11-08,L,11,华泰长城,4366,-149
2013-11-08,L,12,东证期货,4276,30
2013-11-08,L,13,广永期货,4217,-107
2013-11-08,L,14,海航东银,3707,78
2013-11-08,L,15,中粮期货,3365,-227
2013-11-08,L,16,兴证期货,3144,1084
2013-11-08,L,17,大地期货,3104,-846
2013-11-08,L,18,格林期货,2612,83
2013-11-08,L,19,海通期货,2532,-109
2013-11-08,L,20,新湖期货,2447,355
2013-11-11,L,1,南华期货,15046,5875
2013-11-11,L,2,永安期货,10757,910
2013-11-11,L,3,中国国际,7551,1097
2013-11-11,L,4,大连良运,6130,-2806
2013-11-11,L,5,申银万国,5472,-19
2013-11-11,L,6,上海中期,5443,44
2013-11-11,L,7,中证期货,5048,242
2013-11-11,L,8,海通期货,4973,1006
2013-11-11,L,9,浙商期货,4760,90
2013-11-11,L,10,银河期货,4685,-71
2013-11-11,L,11,安粮期货,4253,-2119
2013-11-11,L,12,东证期货,4087,-189
2013-11-11,L,13,金友期货,3996,1525
2013-11-11,L,14,中粮期货,3767,402
2013-11-11,L,15,广永期货,3641,-576
2013-11-11,L,16,新湖期货,3440,993
2013-11-11,L,17,大越期货,3402,430
2013-11-11,L,18,大地期货,3163,59
2013-11-11,L,19,格林期货,3006,394
2013-11-11,L,20,兴证期货,2862,-282
2013-11-12,L,1,南华期货,15809,763
2013-11-12,L,2,永安期货,13790,3033
2013-11-12,L,3,中国国际,6798,-762
2013-11-12,L,4,东证期货,6218,860
2013-11-12,L,5,申银万国,5630,158
2013-11-12,L,6,上海中期,5431,1
2013-11-12,L,7,安粮期货,5364,1111
2013-11-12,L,8,大地期货,5338,2175
2013-11-12,L,9,浙商期货,5243,483
2013-11-12,L,10,银河期货,4961,276
2013-11-12,L,11,中证期货,4875,-173
2013-11-12,L,12,弘业期货,4656,473
2013-11-12,L,13,新湖期货,4486,-260
2013-11-12,L,14,广州期货,4332,2250
2013-11-12,L,15,大越期货,3967,565
2013-11-12,L,16,中粮期货,3913,146
2013-11-12,L,17,大连良运,3641,618
2013-11-12,L,18,格林期货,3060,54
2013-11-12,L,19,海通期货,2912,-10
2013-11-12,L,20,兴证期货,2528,-334
2013-11-13,L,1,永安期货,16821,3031
2013-11-13,L,2,南华期货,16373,555
2013-11-13,L,3,中国国际,9082,2284
2013-11-13,L,4,中证期货,6931,2056
2013-11-13,L,5,上海中期,6535,1104
2013-11-13,L,6,申银万国,6484,854
2013-11-13,L,7,浙商期货,6370,1127
2013-11-13,L,8,安粮期货,5378,14
2013-11-13,L,9,弘业期货,5376,720
2013-11-13,L,10,大地期货,5241,-97
2013-11-13,L,11,新湖期货,5095,629
2013-11-13,L,12,银河期货,4603,-358
2013-11-13,L,13,大越期货,4538,571
2013-11-13,L,14,五矿期货,4411,2586
2013-11-13,L,15,广州期货,4245,1928
2013-11-13,L,16,东证期货,4094,-26
2013-11-13,L,17,大连良运,3645,4
2013-11-13,L,18,中粮期货,3170,-743
2013-11-13,L,19,格林期货,2830,-230
2013-11-13,L,20,金友期货,2734,657
2013-11-14,L,1,永安期货,18307,1486
2013-11-14,L,2,南华期货,16088,-285
2013-11-14,L,3,银河期货,8766,2183
2013-11-14,L,4,中国国际,8348,-726
2013-11-14,L,5,上海中期,7595,1060
2013-11-14,L,6,浙商期货,6132,-238
2013-11-14,L,7,申银万国,5777,-707
2013-11-14,L,8,安粮期货,5597,219
2013-11-14,L,9,大地期货,5315,74
2013-11-14,L,10,新湖期货,4733,-362
2013-11-14,L,11,海通期货,4663,531
2013-11-14,L,12,弘业期货,4657,-719
2013-11-14,L,13,东证期货,4492,398
2013-11-14,L,14,广州期货,4414,169
2013-11-14,L,15,五矿期货,4245,-166
2013-11-14,L,16,鲁证期货,3051,534
2013-11-14,L,17,盛达期货,2971,587
2013-11-14,L,18,中证期货,2890,-1312
2013-11-14,L,19,格林期货,2700,-130
2013-11-14,L,20,金友期货,2637,-97
2013-11-15,L,1,南华期货,16491,403
2013-11-15,L,2,永安期货,14947,-3360
2013-11-15,L,3,中国国际,7780,-568
2013-11-15,L,4,上海中期,7663,68
2013-11-15,L,5,银河期货,6736,-2030
2013-11-15,L,6,大地期货,5845,530
2013-11-15,L,7,东证期货,5302,810
2013-11-15,L,8,浙商期货,5208,-924
2013-11-15,L,9,申银万国,5189,-588
2013-11-15,L,10,弘业期货,4412,-245
2013-11-15,L,11,大越期货,4390,-392
2013-11-15,L,12,海通期货,4072,-591
2013-11-15,L,13,五矿期货,4062,-183
2013-11-15,L,14,广州期货,3205,-1209
2013-11-15,L,15,格林期货,3179,479
2013-11-15,L,16,鲁证期货,3068,17
2013-11-15,L,17,盛达期货,2995,24
2013-11-15,L,18,国泰君安,2817,206
2013-11-15,L,19,兴证期货,2595,44
2013-11-15,L,20,安粮期货,2588,-187
2013-11-18,L,1,南华期货,15098,-1393
2013-11-18,L,2,永安期货,14952,5
2013-11-18,L,3,上海中期,7899,236
2013-11-18,L,4,中国国际,7817,37
2013-11-18,L,5,银河期货,6886,150
2013-11-18,L,6,浙商期货,6501,1293
2013-11-18,L,7,大地期货,5963,118
2013-11-18,L,8,申银万国,5434,245
2013-11-18,L,9,东证期货,4705,-597
2013-11-18,L,10,大越期货,4692,302
2013-11-18,L,11,安粮期货,4672,-22
2013-11-18,L,12,五矿期货,4110,48
2013-11-18,L,13,鲁证期货,3798,730
2013-11-18,L,14,广州期货,3250,45
2013-11-18,L,15,盛达期货,2967,-28
