trading_date,commodity_id,rank,member_name,volume,volume_change
2014-06-17,MA,1,永安期货,184,184
2014-06-17,MA,2,华泰长城,161,161
2014-06-17,MA,3,中信新际,70,70
2014-06-17,MA,4,东兴期货,21,21
2014-06-17,MA,5,方正中期,20,20
2014-06-17,MA,6,安粮期货,15,15
2014-06-17,MA,7,上海良茂,12,12
2014-06-17,MA,8,兴证期货,12,12
2014-06-17,MA,9,中信期货,10,10
2014-06-17,MA,10,东航期货,9,9
2014-06-17,MA,11,长江期货,8,8
2014-06-17,MA,12,宏源期货,8,8
2014-06-17,MA,13,中国国际,7,7
2014-06-17,MA,14,徽商期货,6,6
2014-06-17,MA,15,银河期货,6,6
2014-06-17,MA,16,申银万国,5,5
2014-06-17,MA,17,光大期货,5,5
2014-06-17,MA,18,弘业期货,4,4
2014-06-17,MA,19,东证期货,4,4
2014-06-17,MA,20,浙商期货,4,4
2014-06-18,MA,1,华泰长城,201,40
2014-06-18,MA,2,永安期货,190,6
2014-06-18,MA,3,光大期货,110,105
2014-06-18,MA,4,东航期货,59,50
2014-06-18,MA,5,中信新际,50,-20
2014-06-18,MA,6,锦泰期货,48,48
2014-06-18,MA,7,东兴期货,45,24
2014-06-18,MA,8,徽商期货,43,37
2014-06-18,MA,9,安粮期货,40,25
2014-06-18,MA,10,长江期货,32,24
2014-06-18,MA,11,金友期货,30,29
2014-06-18,MA,12,中信期货,21,11
2014-06-18,MA,13,冠通期货,21,21
2014-06-18,MA,14,中投天琪,20,20
2014-06-18,MA,15,上海良茂,20,8
2014-06-18,MA,16,中国国际,13,6
2014-06-18,MA,17,浙江中大,13,13
2014-06-18,MA,18,广发期货,12,11
2014-06-18,MA,19,申银万国,11,6
2014-06-18,MA,20,宏源期货,10,2
2014-06-19,MA,1,华泰长城,212,11
2014-06-19,MA,2,光大期货,182,72
2014-06-19,MA,3,永安期货,163,-27
2014-06-19,MA,4,长江期货,126,94
2014-06-19,MA,5,徽商期货,75,32
2014-06-19,MA,6,锦泰期货,71,23
2014-06-19,MA,7,东航期货,64,5
2014-06-19,MA,8,冠通期货,56,35
2014-06-19,MA,9,东兴期货,53,8
2014-06-19,MA,10,海通期货,52,52
2014-06-19,MA,11,安粮期货,46,6
2014-06-19,MA,12,中信新际,30,-20
2014-06-19,MA,13,创元期货,30,30
2014-06-19,MA,14,中航期货,23,23
2014-06-19,MA,15,招商期货,22,13
2014-06-19,MA,16,中信期货,21,0
2014-06-19,MA,17,兴证期货,21,21
2014-06-19,MA,18,建信期货,15,-5
2014-06-19,MA,19,中国国际,14,1
2014-06-19,MA,20,申银万国,11,0
2014-06-20,MA,1,华泰长城,302,90
2014-06-20,MA,2,光大期货,183,1
2014-06-20,MA,3,永安期货,164,1
2014-06-20,MA,4,长江期货,150,24
2014-06-20,MA,5,东航期货,84,20
2014-06-20,MA,6,锦泰期货,78,7
2014-06-20,MA,7,招商期货,73,51
2014-06-20,MA,8,徽商期货,50,-25
2014-06-20,MA,9,安粮期货,46,0
2014-06-20,MA,10,东兴期货,40,-13
2014-06-20,MA,11,中信期货,31,10
2014-06-20,MA,12,中信新际,30,0
2014-06-20,MA,13,创元期货,30,0
2014-06-20,MA,14,银河期货,17,9
2014-06-20,MA,15,冠通期货,17,-39
2014-06-20,MA,16,中国国际,15,1
2014-06-20,MA,17,宏源期货,12,1
2014-06-20,MA,18,建信期货,11,-4
2014-06-20,MA,19,申银万国,10,-1
2014-06-20,MA,20,方正中期,10,3
2014-06-23,MA,1,华泰长城,472,170
2014-06-23,MA,2,永安期货,157,-7
2014-06-23,MA,3,长江期货,148,-2
2014-06-23,MA,4,创元期货,105,75
2014-06-23,MA,5,招商期货,74,1
2014-06-23,MA,6,徽商期货,63,13
2014-06-23,MA,7,安粮期货,40,-6
2014-06-23,MA,8,中信新际,30,0
2014-06-23,MA,9,东兴期货,28,-12
2014-06-23,MA,10,冠通期货,22,5
2014-06-23,MA,11,中信期货,21,-10
2014-06-23,MA,12,银河期货,16,-1
2014-06-23,MA,13,中国国际,14,-1
2014-06-23,MA,14,宏源期货,13,1
2014-06-23,MA,15,国联期货,12,2
2014-06-23,MA,16,新湖期货,12,12
2014-06-23,MA,17,浙商期货,11,2
2014-06-23,MA,18,申银万国,10,0
2014-06-23,MA,19,广发期货,10,10
2014-06-23,MA,20,汇鑫期货,10,4
2014-06-24,MA,1,华泰长城,474,2
2014-06-24,MA,2,永安期货,174,17
2014-06-24,MA,3,长江期货,137,-11
2014-06-24,MA,4,招商期货,74,0
2014-06-24,MA,5,安粮期货,69,29
2014-06-24,MA,6,东兴期货,52,24
2014-06-24,MA,7,中信新际,45,15
2014-06-24,MA,8,中信期货,30,9
2014-06-24,MA,9,冠通期货,29,7
2014-06-24,MA,10,东航期货,28,21
2014-06-24,MA,11,徽商期货,27,-36
2014-06-24,MA,12,浙商期货,26,15
2014-06-24,MA,13,申银万国,20,10
2014-06-24,MA,14,宏源期货,19,6
