trading_date,commodity_id,rank,member_name,volume,volume_change
2014-06-17,MA,1,国金期货,359,359
2014-06-17,MA,2,光大期货,225,225
2014-06-17,MA,3,鲁证期货,6,6
2014-06-17,MA,4,冠通期货,5,5
2014-06-17,MA,5,中衍期货,2,2
2014-06-17,MA,6,国信期货,1,1
2014-06-17,MA,7,银河期货,1,1
2014-06-17,MA,8,东吴期货,1,1
2014-06-17,MA,9,恒泰期货,1,1
2014-06-17,MA,10,华泰长城,0,0
2014-06-17,MA,11,宝城期货,0,0
2014-06-17,MA,12,格林大华期货,0,0
2014-06-17,MA,13,弘业期货,0,0
2014-06-17,MA,14,徽商期货,0,0
2014-06-17,MA,15,申银万国,0,0
2014-06-17,MA,16,方正中期,0,0
2014-06-17,MA,17,渤海期货,0,0
2014-06-17,MA,18,中信期货,0,0
2014-06-17,MA,19,东兴期货,0,0
2014-06-17,MA,20,中粮期货,0,0
2014-06-18,MA,1,国金期货,449,90
2014-06-18,MA,2,光大期货,228,3
2014-06-18,MA,3,东海期货,96,96
2014-06-18,MA,4,永安期货,57,57
2014-06-18,MA,5,广永期货,41,41
2014-06-18,MA,6,浙商期货,35,35
2014-06-18,MA,7,东航期货,24,24
2014-06-18,MA,8,东吴期货,22,21
2014-06-18,MA,9,先融期货,20,20
2014-06-18,MA,10,弘业期货,15,15
2014-06-18,MA,11,海通期货,15,15
2014-06-18,MA,12,广发期货,12,12
2014-06-18,MA,13,宏源期货,11,11
2014-06-18,MA,14,鲁证期货,7,1
2014-06-18,MA,15,恒泰期货,7,6
2014-06-18,MA,16,渤海期货,6,6
2014-06-18,MA,17,东方汇金期货,5,5
2014-06-18,MA,18,申银万国,4,4
2014-06-18,MA,19,中信建投,4,4
2014-06-18,MA,20,大连良运,4,4
2014-06-19,MA,1,国金期货,499,50
2014-06-19,MA,2,光大期货,320,92
2014-06-19,MA,3,永安期货,120,63
2014-06-19,MA,4,东海期货,109,13
2014-06-19,MA,5,浙商期货,100,65
2014-06-19,MA,6,弘业期货,45,30
2014-06-19,MA,7,东航期货,32,8
2014-06-19,MA,8,宝城期货,25,24
2014-06-19,MA,9,万达期货,22,22
2014-06-19,MA,10,东吴期货,21,-1
2014-06-19,MA,11,东方汇金期货,20,15
2014-06-19,MA,12,渤海期货,18,12
2014-06-19,MA,13,先融期货,15,-5
2014-06-19,MA,14,国泰君安,12,12
2014-06-19,MA,15,海通期货,10,-5
2014-06-19,MA,16,广发期货,10,-2
2014-06-19,MA,17,徽商期货,9,6
2014-06-19,MA,18,中信建投,9,5
2014-06-19,MA,19,宏源期货,9,-2
2014-06-19,MA,20,申银万国,8,4
2014-06-20,MA,1,国金期货,509,10
2014-06-20,MA,2,光大期货,330,10
2014-06-20,MA,3,永安期货,120,0
2014-06-20,MA,4,浙商期货,103,3
2014-06-20,MA,5,东海期货,100,-9
