trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,M,1,中证期货,130527,-1740
2013-11-05,M,2,永安期货,93472,-13277
2013-11-05,M,3,国投期货,80627,-4569
2013-11-05,M,4,北京首创,58199,-103
2013-11-05,M,5,成都倍特,52534,-94
2013-11-05,M,6,深圳年年丰,49470,-1900
2013-11-05,M,7,华泰长城,46467,-911
2013-11-05,M,8,国泰君安,45625,6567
2013-11-05,M,9,南华期货,41756,-267
2013-11-05,M,10,一德期货,40820,171
2013-11-05,M,11,万达期货,40133,993
2013-11-05,M,12,瑞达期货,39779,589
2013-11-05,M,13,光大期货,39023,2536
2013-11-05,M,14,中粮期货,32813,1111
2013-11-05,M,15,天琪期货,31988,220
2013-11-05,M,16,中国国际,31654,-4805
2013-11-05,M,17,海通期货,27041,-6527
2013-11-05,M,18,东证期货,24493,-490
2013-11-05,M,19,经易期货,23981,-74
2013-11-05,M,20,申银万国,22714,-44
2013-11-06,M,1,中证期货,138777,8266
2013-11-06,M,2,永安期货,110330,16858
2013-11-06,M,3,国投期货,71942,-8685
2013-11-06,M,4,成都倍特,53395,861
2013-11-06,M,5,北京首创,51396,-6774
2013-11-06,M,6,国泰君安,48664,3039
2013-11-06,M,7,光大期货,47735,8712
2013-11-06,M,8,深圳年年丰,45570,-3900
2013-11-06,M,9,华泰长城,43518,-2949
2013-11-06,M,10,一德期货,43190,2372
2013-11-06,M,11,南华期货,43025,1269
2013-11-06,M,12,万达期货,37839,-2294
2013-11-06,M,13,天琪期货,33052,1064
2013-11-06,M,14,中国国际,30072,-1582
2013-11-06,M,15,瑞达期货,29415,584
2013-11-06,M,16,海通期货,28179,1138
2013-11-06,M,17,浙商期货,28031,9616
2013-11-06,M,18,东证期货,25376,883
2013-11-06,M,19,申银万国,24187,1473
2013-11-06,M,20,经易期货,23992,11
2013-11-07,M,1,中证期货,137337,-1440
2013-11-07,M,2,永安期货,95275,-15055
2013-11-07,M,3,国投期货,69896,-2046
2013-11-07,M,4,北京首创,57291,5895
2013-11-07,M,5,光大期货,54778,7043
2013-11-07,M,6,成都倍特,53442,47
2013-11-07,M,7,国泰君安,48225,-439
2013-11-07,M,8,深圳年年丰,44970,-600
2013-11-07,M,9,华泰长城,44662,1144
2013-11-07,M,10,一德期货,42592,-594
2013-11-07,M,11,浙商期货,42373,5471
2013-11-07,M,12,南华期货,41010,-2015
2013-11-07,M,13,万达期货,35408,-2453
2013-11-07,M,14,天琪期货,33053,1
2013-11-07,M,15,东证期货,32436,7060
2013-11-07,M,16,中国国际,28101,-1971
2013-11-07,M,17,中粮期货,24111,1288
2013-11-07,M,18,经易期货,23519,-473
2013-11-07,M,19,瑞达期货,21354,479
2013-11-07,M,20,徽商期货,20787,10115
2013-11-08,M,1,中证期货,140582,3245
2013-11-08,M,2,永安期货,95846,567
2013-11-08,M,3,北京首创,68520,11229
2013-11-08,M,4,国投期货,68302,-1594
2013-11-08,M,5,光大期货,56008,1243
2013-11-08,M,6,华泰长城,45049,387
2013-11-08,M,7,深圳年年丰,44970,0
2013-11-08,M,8,成都倍特,43359,-378
2013-11-08,M,9,一德期货,42873,281
2013-11-08,M,10,南华期货,41139,125
2013-11-08,M,11,国泰君安,34227,-932
2013-11-08,M,12,瑞达期货,33215,553
2013-11-08,M,13,天琪期货,32891,-162
2013-11-08,M,14,东证期货,31915,-521
2013-11-08,M,15,浙商期货,30544,-11853
2013-11-08,M,16,万达期货,29737,-5647
2013-11-08,M,17,银河期货,29351,239
2013-11-08,M,18,中国国际,27498,-603
2013-11-08,M,19,经易期货,24159,640
2013-11-08,M,20,中粮期货,23129,-982
2013-11-11,M,1,中证期货,145945,5363
2013-11-11,M,2,国投期货,79896,11594
2013-11-11,M,3,北京首创,64884,-3636
2013-11-11,M,4,光大期货,60069,4061
2013-11-11,M,5,永安期货,54969,-40877
2013-11-11,M,6,成都倍特,52210,438
2013-11-11,M,7,华泰长城,44231,-818
2013-11-11,M,8,一德期货,43607,735
2013-11-11,M,9,深圳年年丰,40870,-4100
2013-11-11,M,10,英大期货,39378,33628
2013-11-11,M,11,中国国际,36366,8868
2013-11-11,M,12,东证期货,35879,3964
2013-11-11,M,13,南华期货,34831,-6304
2013-11-11,M,14,银河期货,34100,4749
2013-11-11,M,15,中粮期货,33209,1959
2013-11-11,M,16,格林期货,31823,3038
2013-11-11,M,17,国泰君安,29340,-4887
2013-11-11,M,18,万达期货,28405,-1356
2013-11-11,M,19,经易期货,25893,1734
2013-11-11,M,20,瑞达期货,22357,1232
2013-11-12,M,1,中证期货,145862,-83
2013-11-12,M,2,国投期货,81329,1433
2013-11-12,M,3,北京首创,61827,-3057
2013-11-12,M,4,成都倍特,56939,4729
2013-11-12,M,5,一德期货,52115,8508
2013-11-12,M,6,永安期货,51857,-3112
2013-11-12,M,7,光大期货,51828,-8241
2013-11-12,M,8,英大期货,40572,1194
2013-11-12,M,9,国泰君安,39674,-1941
2013-11-12,M,10,中国国际,38399,2033
2013-11-12,M,11,深圳年年丰,38170,-2700
2013-11-12,M,12,银河期货,35224,1124
2013-11-12,M,13,东证期货,34798,-1081
2013-11-12,M,14,瑞达期货,33646,2961
2013-11-12,M,15,中粮期货,33407,198
2013-11-12,M,16,南华期货,31899,-2936
2013-11-12,M,17,华泰长城,30865,332
2013-11-12,M,18,格林期货,30563,-1264
2013-11-12,M,19,徽商期货,29114,7802
2013-11-12,M,20,经易期货,28005,2112
2013-11-13,M,1,中证期货,145093,-769
2013-11-13,M,2,国投期货,74071,-7258
2013-11-13,M,3,北京首创,61307,-520
2013-11-13,M,4,永安期货,55552,3695
2013-11-13,M,5,成都倍特,54074,-2865
2013-11-13,M,6,一德期货,48554,-3561
2013-11-13,M,7,光大期货,47273,-334
2013-11-13,M,8,银河期货,44224,623
2013-11-13,M,9,华泰长城,42769,-359
2013-11-13,M,10,国泰君安,41261,1590
2013-11-13,M,11,英大期货,40854,282
2013-11-13,M,12,深圳年年丰,36770,-1400
2013-11-13,M,13,南华期货,32891,992
2013-11-13,M,14,天琪期货,32144,3083
2013-11-13,M,15,东证期货,29788,-5010
2013-11-13,M,16,徽商期货,28535,-579
2013-11-13,M,17,经易期货,27817,-188
2013-11-13,M,18,中国国际,25717,135
2013-11-13,M,19,海通期货,22847,-3135
2013-11-13,M,20,瑞达期货,21646,-2366
2013-11-14,M,1,中证期货,142823,-2270
2013-11-14,M,2,国投期货,73410,-661
2013-11-14,M,3,北京首创,62297,990
2013-11-14,M,4,成都倍特,60163,-3275
2013-11-14,M,5,永安期货,52002,-3550
2013-11-14,M,6,南华期货,42757,1027
2013-11-14,M,7,银河期货,42163,-2061
2013-11-14,M,8,光大期货,42119,-5154
2013-11-14,M,9,英大期货,40755,-99
2013-11-14,M,10,华泰长城,39026,-3743
2013-11-14,M,11,深圳年年丰,36970,200
2013-11-14,M,12,一德期货,36297,-1152
2013-11-14,M,13,格林期货,31686,3508
2013-11-14,M,14,中粮期货,31212,2994
2013-11-14,M,15,东证期货,30429,641
2013-11-14,M,16,徽商期货,28804,280
2013-11-14,M,17,经易期货,27983,166
2013-11-14,M,18,国泰君安,24915,-5498
2013-11-14,M,19,海通期货,22394,-411
2013-11-14,M,20,瑞达期货,20696,-950
2013-11-15,M,1,中证期货,144362,1539
2013-11-15,M,2,国投期货,65892,-7518
2013-11-15,M,3,北京首创,63604,1307
2013-11-15,M,4,光大期货,60178,7575
2013-11-15,M,5,永安期货,50975,-1027
2013-11-15,M,6,银河期货,44552,2393
2013-11-15,M,7,英大期货,40668,-87
2013-11-15,M,8,成都倍特,40033,-388
2013-11-15,M,9,华泰长城,37847,-1179
2013-11-15,M,10,深圳年年丰,36970,0
2013-11-15,M,11,南华期货,36512,3302
2013-11-15,M,12,一德期货,35852,-445
2013-11-15,M,13,国泰君安,34157,-157
2013-11-15,M,14,中投期货,30707,434
2013-11-15,M,15,东证期货,29268,-1161
2013-11-15,M,16,中粮期货,29249,-1963
2013-11-15,M,17,经易期货,27960,-23
2013-11-15,M,18,万达期货,27151,2035
2013-11-15,M,19,海通期货,24706,2312
2013-11-15,M,20,徽商期货,23645,-5159
2013-11-18,M,1,中证期货,143014,-1348
2013-11-18,M,2,国投期货,60414,-5478
2013-11-18,M,3,北京首创,59447,-4157
2013-11-18,M,4,永安期货,53439,2468
2013-11-18,M,5,光大期货,52827,-7351
2013-11-18,M,6,银河期货,44475,-77
2013-11-18,M,7,成都倍特,40377,344
2013-11-18,M,8,华泰长城,36842,-1005
2013-11-18,M,9,深圳年年丰,36570,-400
2013-11-18,M,10,瑞达期货,36529,6151
2013-11-18,M,11,南华期货,36527,19
2013-11-18,M,12,国泰君安,33593,-564
2013-11-18,M,13,一德期货,31157,-4695
2013-11-18,M,14,中投期货,30613,-91
2013-11-18,M,15,中国国际,29456,3414
2013-11-18,M,16,东证期货,29374,106
2013-11-18,M,17,万达期货,28371,1220
2013-11-18,M,18,中粮期货,28176,-1073
2013-11-18,M,19,经易期货,28069,109
2013-11-18,M,20,徽商期货,23313,-332
2013-11-19,M,1,中证期货,158992,15978
2013-11-19,M,2,成都倍特,68619,13726
2013-11-19,M,3,国投期货,63494,3080
2013-11-19,M,4,光大期货,61842,9015
2013-11-19,M,5,北京首创,60336,885
2013-11-19,M,6,永安期货,54457,1069
2013-11-19,M,7,银河期货,48177,3702
2013-11-19,M,8,华泰长城,39371,2529
2013-11-19,M,9,国泰君安,37488,3904
2013-11-19,M,10,瑞达期货,36770,241
2013-11-19,M,11,南华期货,35201,-1326
2013-11-19,M,12,深圳年年丰,32535,-4035
2013-11-19,M,13,一德期货,31546,394
2013-11-19,M,14,中投期货,30662,49
2013-11-19,M,15,万达期货,30046,1675
2013-11-19,M,16,中国国际,29922,466
2013-11-19,M,17,中粮期货,29150,1035
2013-11-19,M,18,经易期货,28590,521
2013-11-19,M,19,格林期货,25902,835
2013-11-19,M,20,徽商期货,23576,263
2013-11-20,M,1,中证期货,143979,-15002
2013-11-20,M,2,成都倍特,68533,3
2013-11-20,M,3,国投期货,66315,2821
2013-11-20,M,4,北京首创,59785,-551
