trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,M,1,国投期货,220488,-2877
2013-11-05,M,2,中粮期货,216205,11410
2013-11-05,M,3,万达期货,189133,3729
2013-11-05,M,4,永安期货,96229,935
2013-11-05,M,5,浙商期货,77162,4883
2013-11-05,M,6,格林期货,65605,316
2013-11-05,M,7,中证期货,59326,-1588
2013-11-05,M,8,中国国际,56124,-2281
2013-11-05,M,9,弘业期货,55407,-1726
2013-11-05,M,10,国都期货,37916,4975
2013-11-05,M,11,南证期货,35025,-2922
2013-11-05,M,12,第一创业,32022,-1608
2013-11-05,M,13,华泰长城,31535,-3104
2013-11-05,M,14,国泰君安,31008,-302
2013-11-05,M,15,银河期货,28834,318
2013-11-05,M,16,成都倍特,26399,-2
2013-11-05,M,17,广发期货,25778,313
2013-11-05,M,18,北京首创,24105,7691
2013-11-05,M,19,新湖期货,23182,-1713
2013-11-05,M,20,一德期货,22732,-438
2013-11-06,M,1,中粮期货,234561,18356
2013-11-06,M,2,国投期货,230138,9650
2013-11-06,M,3,万达期货,188241,-892
2013-11-06,M,4,永安期货,95525,-444
2013-11-06,M,5,浙商期货,77460,298
2013-11-06,M,6,格林期货,71058,5453
2013-11-06,M,7,中国国际,57817,1694
2013-11-06,M,8,弘业期货,55793,386
2013-11-06,M,9,中证期货,43703,-15623
2013-11-06,M,10,国都期货,37999,83
2013-11-06,M,11,南证期货,34930,-95
2013-11-06,M,12,银河期货,34037,5203
2013-11-06,M,13,华泰长城,32526,991
2013-11-06,M,14,第一创业,32042,20
2013-11-06,M,15,光大期货,31450,8882
2013-11-06,M,16,国泰君安,30832,-176
2013-11-06,M,17,成都倍特,26403,4
2013-11-06,M,18,广发期货,25162,-504
2013-11-06,M,19,一德期货,24736,2005
2013-11-06,M,20,新湖期货,23761,579
2013-11-07,M,1,中粮期货,242559,7998
2013-11-07,M,2,国投期货,231684,1546
2013-11-07,M,3,万达期货,186849,-1392
2013-11-07,M,4,永安期货,95916,391
2013-11-07,M,5,浙商期货,83289,5829
2013-11-07,M,6,格林期货,59532,-11526
2013-11-07,M,7,中国国际,56071,-1746
2013-11-07,M,8,弘业期货,53377,-2416
2013-11-07,M,9,中证期货,42926,-777
2013-11-07,M,10,南证期货,38498,3568
2013-11-07,M,11,光大期货,37848,6398
2013-11-07,M,12,银河期货,33494,-543
2013-11-07,M,13,华泰长城,32700,174
2013-11-07,M,14,国泰君安,30669,-163
2013-11-07,M,15,第一创业,30436,-1606
2013-11-07,M,16,国都期货,29919,-8080
2013-11-07,M,17,成都倍特,25755,-648
2013-11-07,M,18,一德期货,25154,418
2013-11-07,M,19,北京首创,24995,2658
2013-11-07,M,20,广发期货,24989,-173
2013-11-08,M,1,中粮期货,248936,6377
2013-11-08,M,2,国投期货,229998,-1686
2013-11-08,M,3,万达期货,182887,-3962
2013-11-08,M,4,永安期货,90741,-5175
2013-11-08,M,5,浙商期货,76278,-7011
2013-11-08,M,6,中国国际,54936,-1135
2013-11-08,M,7,弘业期货,51476,-1901
2013-11-08,M,8,格林期货,46422,-13110
2013-11-08,M,9,中证期货,40166,-2760
2013-11-08,M,10,光大期货,39086,1238
2013-11-08,M,11,南证期货,38565,67
2013-11-08,M,12,银河期货,35063,1569
2013-11-08,M,13,华泰长城,32482,-218
2013-11-08,M,14,第一创业,30635,199
2013-11-08,M,15,国都期货,29889,-30
2013-11-08,M,16,国泰君安,28957,-1712
2013-11-08,M,17,广发期货,26309,1320
2013-11-08,M,18,成都倍特,25761,6
2013-11-08,M,19,申银万国,23303,5897
2013-11-08,M,20,北京首创,23285,-1710
2013-11-11,M,1,中粮期货,253928,4992
2013-11-11,M,2,国投期货,214094,-15904
2013-11-11,M,3,万达期货,180440,-2447
2013-11-11,M,4,永安期货,97009,6268
2013-11-11,M,5,浙商期货,88250,11972
2013-11-11,M,6,中证期货,54165,7709
2013-11-11,M,7,中国国际,53688,-1248
2013-11-11,M,8,银河期货,48666,5813
2013-11-11,M,9,格林期货,47948,1526
2013-11-11,M,10,弘业期货,42305,-9171
2013-11-11,M,11,南证期货,38422,-143
2013-11-11,M,12,光大期货,36886,-2200
2013-11-11,M,13,华泰长城,35397,2915
2013-11-11,M,14,第一创业,30462,-173
2013-11-11,M,15,国都期货,29811,-78
2013-11-11,M,16,国泰君安,29085,128
2013-11-11,M,17,北京首创,29041,5756
2013-11-11,M,18,海通期货,28639,5428
2013-11-11,M,19,广发期货,26840,531
2013-11-11,M,20,成都倍特,25751,-10
2013-11-12,M,1,中粮期货,264655,10727
2013-11-12,M,2,国投期货,202934,-11160
2013-11-12,M,3,万达期货,176354,-4086
2013-11-12,M,4,永安期货,108346,11338
2013-11-12,M,5,浙商期货,90528,2278
2013-11-12,M,6,中国国际,58416,4728
2013-11-12,M,7,中证期货,55784,1619
2013-11-12,M,8,银河期货,50517,1851
2013-11-12,M,9,光大期货,45607,3882
2013-11-12,M,10,弘业期货,43062,757
2013-11-12,M,11,格林期货,43034,-4914
2013-11-12,M,12,南证期货,36740,-1682
2013-11-12,M,13,华泰长城,33972,-1425
2013-11-12,M,14,海通期货,30618,1979
2013-11-12,M,15,第一创业,30470,8
2013-11-12,M,16,北京首创,30420,1379
2013-11-12,M,17,国都期货,29902,91
2013-11-12,M,18,国泰君安,29850,765
2013-11-12,M,19,新湖期货,28885,7806
2013-11-12,M,20,广发期货,26608,-231
2013-11-13,M,1,中粮期货,254947,-9708
2013-11-13,M,2,国投期货,208685,5751
2013-11-13,M,3,万达期货,177675,1321
