trading_date,commodity_id,rank,member_name,volume,volume_change
2015-03-30,NI,1,浙商期货,4201,1678
2015-03-30,NI,2,银河期货,1719,1350
2015-03-30,NI,3,大连良运,1500,1500
2015-03-30,NI,4,中国国际,1111,116
2015-03-30,NI,5,中信期货,1035,648
2015-03-30,NI,6,鲁证期货,528,494
2015-03-30,NI,7,中粮期货,518,354
2015-03-30,NI,8,国泰君安,429,159
2015-03-30,NI,9,五矿期货,426,389
2015-03-30,NI,10,华泰长城,402,196
2015-03-30,NI,11,海通期货,375,301
2015-03-30,NI,12,迈科期货,375,271
2015-03-30,NI,13,永安期货,365,-43
2015-03-30,NI,14,方正中期,327,131
2015-03-30,NI,15,广发期货,218,32
2015-03-30,NI,16,金瑞期货,193,170
2015-03-30,NI,17,南华期货,188,138
2015-03-30,NI,18,一德期货,188,131
2015-03-30,NI,19,国海良时,172,166
2015-03-30,NI,20,国信期货,139,113
2015-03-31,NI,1,大连良运,3803,2303
2015-03-31,NI,2,浙商期货,3792,-409
2015-03-31,NI,3,银河期货,2247,528
2015-03-31,NI,4,中信期货,1725,690
2015-03-31,NI,5,中国国际,1223,112
2015-03-31,NI,6,国泰君安,1064,635
2015-03-31,NI,7,五矿期货,894,468
2015-03-31,NI,8,永安期货,649,284
2015-03-31,NI,9,迈科期货,639,264
2015-03-31,NI,10,中粮期货,626,108
2015-03-31,NI,11,华泰长城,517,115
2015-03-31,NI,12,方正中期,502,175
2015-03-31,NI,13,鲁证期货,476,-52
2015-03-31,NI,14,广发期货,455,237
2015-03-31,NI,15,南华期货,442,254
2015-03-31,NI,16,申万期货,302,188
2015-03-31,NI,17,金瑞期货,260,67
2015-03-31,NI,18,海通期货,225,-150
2015-03-31,NI,19,一德期货,218,30
2015-03-31,NI,20,宝城期货,212,136
2015-04-01,NI,1,浙商期货,4288,496
2015-04-01,NI,2,大连良运,3812,9
2015-04-01,NI,3,中国国际,2947,1724
2015-04-01,NI,4,银河期货,2219,-28
2015-04-01,NI,5,中信期货,1868,143
2015-04-01,NI,6,国海良时,1226,1037
2015-04-01,NI,7,国泰君安,1189,125
2015-04-01,NI,8,中粮期货,1130,504
2015-04-01,NI,9,五矿期货,1027,133
2015-04-01,NI,10,永安期货,874,225
2015-04-01,NI,11,华泰长城,712,195
2015-04-01,NI,12,迈科期货,657,18
2015-04-01,NI,13,方正中期,567,65
2015-04-01,NI,14,广发期货,551,96
2015-04-01,NI,15,南华期货,434,-8
