trading_date,commodity_id,rank,member_name,volume,volume_change
2015-03-30,NI,1,光大期货,4940,2447
2015-03-30,NI,2,东兴期货,1645,1272
2015-03-30,NI,3,华安期货,1452,580
2015-03-30,NI,4,晟鑫期货,822,498
2015-03-30,NI,5,上海中期,732,483
2015-03-30,NI,6,广发期货,726,232
2015-03-30,NI,7,金瑞期货,577,330
2015-03-30,NI,8,新湖期货,550,471
2015-03-30,NI,9,浙商期货,424,347
2015-03-30,NI,10,大地期货,420,220
2015-03-30,NI,11,国投期货,362,362
2015-03-30,NI,12,鲁证期货,326,321
2015-03-30,NI,13,海通期货,323,317
2015-03-30,NI,14,中信期货,291,126
2015-03-30,NI,15,东证期货,283,26
2015-03-30,NI,16,国泰君安,224,37
2015-03-30,NI,17,中国国际,147,143
2015-03-30,NI,18,建信期货,146,144
2015-03-30,NI,19,南华期货,131,115
2015-03-30,NI,20,东航期货,122,109
2015-03-31,NI,1,光大期货,6562,1622
2015-03-31,NI,2,东兴期货,2276,631
2015-03-31,NI,3,上海中期,2127,1395
2015-03-31,NI,4,华安期货,1753,301
2015-03-31,NI,5,广发期货,1718,992
2015-03-31,NI,6,中信期货,1439,1148
2015-03-31,NI,7,晟鑫期货,1404,582
2015-03-31,NI,8,中粮期货,1346,1231
2015-03-31,NI,9,大地期货,722,302
2015-03-31,NI,10,新湖期货,644,94
2015-03-31,NI,11,金瑞期货,515,-62
2015-03-31,NI,12,海通期货,472,149
2015-03-31,NI,13,浙商期货,451,27
2015-03-31,NI,14,中国国际,410,263
2015-03-31,NI,15,鲁证期货,357,31
2015-03-31,NI,16,永安期货,342,222
2015-03-31,NI,17,东证期货,297,14
2015-03-31,NI,18,安粮期货,286,187
2015-03-31,NI,19,国泰君安,237,13
2015-03-31,NI,20,天风期货,225,145
2015-04-01,NI,1,光大期货,7378,816
2015-04-01,NI,2,上海中期,2510,383
2015-04-01,NI,3,东兴期货,2341,65
2015-04-01,NI,4,中信期货,1947,508
2015-04-01,NI,5,中粮期货,1944,598
2015-04-01,NI,6,晟鑫期货,1846,442
2015-04-01,NI,7,广发期货,1804,86
2015-04-01,NI,8,华安期货,1769,16
2015-04-01,NI,9,金瑞期货,1534,1019
2015-04-01,NI,10,新湖期货,707,63
2015-04-01,NI,11,中国国际,677,267
2015-04-01,NI,12,大地期货,618,-104
2015-04-01,NI,13,鲁证期货,562,205
2015-04-01,NI,14,浙商期货,539,88
2015-04-01,NI,15,南华期货,513,343
2015-04-01,NI,16,国泰君安,486,249
2015-04-01,NI,17,永安期货,466,124
2015-04-01,NI,18,宏源期货,451,260
2015-04-01,NI,19,中投期货,400,380
2015-04-01,NI,20,天鸿期货,349,189
2015-04-02,NI,1,光大期货,7411,33
2015-04-02,NI,2,上海中期,2931,421
2015-04-02,NI,3,广发期货,2654,850
2015-04-02,NI,4,东兴期货,2470,129
2015-04-02,NI,5,华安期货,2113,344
2015-04-02,NI,6,金瑞期货,2094,560
2015-04-02,NI,7,中信期货,1952,5
2015-04-02,NI,8,中粮期货,1915,-29
2015-04-02,NI,9,晟鑫期货,1857,11
2015-04-02,NI,10,大地期货,1387,769
2015-04-02,NI,11,中国国际,1151,474
2015-04-02,NI,12,新湖期货,825,118
2015-04-02,NI,13,浙商期货,809,270
2015-04-02,NI,14,鲁证期货,749,187
2015-04-02,NI,15,南华期货,572,59
2015-04-02,NI,16,迈科期货,544,304
2015-04-02,NI,17,中信建投,476,136
2015-04-02,NI,18,永安期货,476,10
2015-04-02,NI,19,海通期货,466,141
2015-04-02,NI,20,天鸿期货,440,91
2015-04-03,NI,1,光大期货,7583,172
2015-04-03,NI,2,广发期货,4074,1420
2015-04-03,NI,3,上海中期,3442,511
2015-04-03,NI,4,中粮期货,2303,388
2015-04-03,NI,5,中信期货,2284,332
2015-04-03,NI,6,华安期货,2116,3
2015-04-03,NI,7,金瑞期货,2092,-2
2015-04-03,NI,8,晟鑫期货,1914,57
2015-04-03,NI,9,大地期货,1374,-13
2015-04-03,NI,10,中国国际,1096,-55
2015-04-03,NI,11,东兴期货,909,-1561
2015-04-03,NI,12,新湖期货,829,4
2015-04-03,NI,13,鲁证期货,731,-18
2015-04-03,NI,14,迈科期货,644,100
2015-04-03,NI,15,浙商期货,622,-187
2015-04-03,NI,16,南华期货,588,16
2015-04-03,NI,17,五矿期货,503,173
2015-04-03,NI,18,中信建投,448,-28
2015-04-03,NI,19,宏源期货,408,-13
2015-04-03,NI,20,天鸿期货,399,-41
2015-04-07,NI,1,光大期货,7707,124
2015-04-07,NI,2,上海中期,3443,1
2015-04-07,NI,3,广发期货,2982,-1092
2015-04-07,NI,4,华安期货,2344,228
2015-04-07,NI,5,中粮期货,2343,40
2015-04-07,NI,6,中信期货,2274,-10
2015-04-07,NI,7,晟鑫期货,2015,101
2015-04-07,NI,8,金瑞期货,1992,-100
2015-04-07,NI,9,大地期货,1390,16
2015-04-07,NI,10,东兴期货,979,70
2015-04-07,NI,11,中国国际,974,-122
2015-04-07,NI,12,新湖期货,877,48
2015-04-07,NI,13,鲁证期货,725,-6
2015-04-07,NI,14,迈科期货,703,59
2015-04-07,NI,15,浙商期货,680,58
2015-04-07,NI,16,中信建投,508,60
2015-04-07,NI,17,五矿期货,498,-5
2015-04-07,NI,18,宏源期货,478,70
2015-04-07,NI,19,天鸿期货,443,44
2015-04-07,NI,20,信达期货,430,170
2015-04-08,NI,1,光大期货,8346,639
2015-04-08,NI,2,中粮期货,3714,1371
2015-04-08,NI,3,上海中期,3506,63
2015-04-08,NI,4,华安期货,3436,1092
2015-04-08,NI,5,中信期货,3015,741
2015-04-08,NI,6,广发期货,2603,-379
2015-04-08,NI,7,金瑞期货,2228,236
2015-04-08,NI,8,晟鑫期货,2183,168
2015-04-08,NI,9,中国国际,1832,858
2015-04-08,NI,10,大地期货,1405,15
2015-04-08,NI,11,东兴期货,1099,120
2015-04-08,NI,12,新湖期货,887,10
2015-04-08,NI,13,鲁证期货,726,1
2015-04-08,NI,14,浙商期货,699,19
2015-04-08,NI,15,南华期货,666,246
2015-04-08,NI,16,天鸿期货,605,162
2015-04-08,NI,17,宏源期货,598,120
2015-04-08,NI,18,中信建投,526,18
2015-04-08,NI,19,安粮期货,524,195
2015-04-08,NI,20,五矿期货,510,12
2015-04-09,NI,1,光大期货,8887,541
2015-04-09,NI,2,上海中期,3739,233
2015-04-09,NI,3,中粮期货,3635,-79
2015-04-09,NI,4,中信期货,3370,355
2015-04-09,NI,5,华安期货,3242,-194
2015-04-09,NI,6,广发期货,2641,38
2015-04-09,NI,7,晟鑫期货,2527,344
2015-04-09,NI,8,金瑞期货,2415,187
2015-04-09,NI,9,中国国际,1844,12
2015-04-09,NI,10,大地期货,1395,-10
2015-04-09,NI,11,东兴期货,1099,0
2015-04-09,NI,12,新湖期货,876,-11
2015-04-09,NI,13,宏源期货,792,194
2015-04-09,NI,14,鲁证期货,761,35
2015-04-09,NI,15,浙商期货,732,33
