trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,OI,1,万达期货,8211,-123
2013-11-05,OI,2,广发期货,7658,-365
2013-11-05,OI,3,永安期货,6629,696
2013-11-05,OI,4,上海中期,5227,40
2013-11-05,OI,5,美尔雅,4898,20
2013-11-05,OI,6,海通期货,4505,637
2013-11-05,OI,7,长安期货,4063,34
2013-11-05,OI,8,浙商期货,3920,576
2013-11-05,OI,9,中国国际,3901,-164
2013-11-05,OI,10,鲁证期货,3625,110
2013-11-05,OI,11,申银万国,3601,493
2013-11-05,OI,12,格林期货,3469,228
2013-11-05,OI,13,广永期货,3376,-276
2013-11-05,OI,14,银河期货,3360,20
2013-11-05,OI,15,成都倍特,3269,324
2013-11-05,OI,16,徽商期货,2943,552
2013-11-05,OI,17,光大期货,2908,408
2013-11-05,OI,18,华泰长城,2825,206
2013-11-05,OI,19,西部期货,2716,-20
2013-11-05,OI,20,南华期货,2711,51
2013-11-06,OI,1,万达期货,8318,107
2013-11-06,OI,2,广发期货,7129,-529
2013-11-06,OI,3,永安期货,6320,-309
2013-11-06,OI,4,上海中期,5307,80
2013-11-06,OI,5,美尔雅,4842,-56
2013-11-06,OI,6,海通期货,4638,133
2013-11-06,OI,7,长安期货,4105,42
2013-11-06,OI,8,鲁证期货,3914,289
2013-11-06,OI,9,浙商期货,3714,-206
2013-11-06,OI,10,中国国际,3658,-243
2013-11-06,OI,11,成都倍特,3563,294
2013-11-06,OI,12,申银万国,3512,-89
2013-11-06,OI,13,银河期货,3479,119
2013-11-06,OI,14,广永期货,3456,80
2013-11-06,OI,15,格林期货,3308,-161
2013-11-06,OI,16,光大期货,3292,384
2013-11-06,OI,17,华泰长城,2961,136
2013-11-06,OI,18,长江期货,2809,164
2013-11-06,OI,19,国联期货,2764,112
2013-11-06,OI,20,国金期货,2730,92
2013-11-07,OI,1,万达期货,8838,520
2013-11-07,OI,2,广发期货,6416,-713
2013-11-07,OI,3,永安期货,6414,94
2013-11-07,OI,4,上海中期,5399,92
2013-11-07,OI,5,美尔雅,5162,320
2013-11-07,OI,6,海通期货,4632,-6
2013-11-07,OI,7,中国国际,4428,770
2013-11-07,OI,8,鲁证期货,4390,476
2013-11-07,OI,9,长安期货,4107,2
2013-11-07,OI,10,广永期货,3901,445
2013-11-07,OI,11,银河期货,3671,192
2013-11-07,OI,12,格林期货,3589,281
2013-11-07,OI,13,申银万国,3381,-131
2013-11-07,OI,14,成都倍特,3297,-266
2013-11-07,OI,15,华泰长城,3137,176
2013-11-07,OI,16,长江期货,3129,320
2013-11-07,OI,17,国联期货,2793,29
2013-11-07,OI,18,南华期货,2779,187
2013-11-07,OI,19,西部期货,2718,59
2013-11-07,OI,20,光大期货,2602,-690
2013-11-08,OI,1,万达期货,8780,-58
2013-11-08,OI,2,永安期货,6302,-112
2013-11-08,OI,3,广发期货,5427,-989
2013-11-08,OI,4,上海中期,5249,-150
2013-11-08,OI,5,海通期货,4364,-268
2013-11-08,OI,6,中国国际,4207,-221
2013-11-08,OI,7,美尔雅,4089,-1073
2013-11-08,OI,8,长安期货,4086,-21
2013-11-08,OI,9,鲁证期货,3653,-737
2013-11-08,OI,10,成都倍特,3488,191
2013-11-08,OI,11,格林期货,3142,-447
2013-11-08,OI,12,银河期货,3108,-563
2013-11-08,OI,13,申银万国,2970,-411
2013-11-08,OI,14,华泰长城,2918,-219
2013-11-08,OI,15,长江期货,2852,-277
2013-11-08,OI,16,浙商期货,2714,298
2013-11-08,OI,17,国联期货,2675,-118
2013-11-08,OI,18,南华期货,2675,-104
2013-11-08,OI,19,西部期货,2660,-58
2013-11-08,OI,20,中粮期货,2641,406
2013-11-11,OI,1,万达期货,9014,234
2013-11-11,OI,2,广发期货,5794,367
2013-11-11,OI,3,永安期货,5312,-990
2013-11-11,OI,4,上海中期,4841,-408
2013-11-11,OI,5,美尔雅,4571,482
2013-11-11,OI,6,海通期货,4329,-35
2013-11-11,OI,7,长安期货,4099,13
2013-11-11,OI,8,成都倍特,3704,216
2013-11-11,OI,9,鲁证期货,3623,-30
2013-11-11,OI,10,中国国际,3365,-842
2013-11-11,OI,11,银河期货,3241,133
2013-11-11,OI,12,格林期货,3169,27
2013-11-11,OI,13,长江期货,3012,160
2013-11-11,OI,14,申银万国,2991,21
2013-11-11,OI,15,国联期货,2974,299
2013-11-11,OI,16,华泰长城,2876,-42
2013-11-11,OI,17,南华期货,2689,14
2013-11-11,OI,18,西部期货,2677,17
2013-11-11,OI,19,浙商期货,2656,-58
2013-11-11,OI,20,宝城期货,2414,105
2013-11-12,OI,1,万达期货,8025,-989
2013-11-12,OI,2,广发期货,7950,2156
2013-11-12,OI,3,永安期货,7211,1899
2013-11-12,OI,4,上海中期,5381,540
2013-11-12,OI,5,美尔雅,4356,-215
2013-11-12,OI,6,中国国际,4047,682
2013-11-12,OI,7,海通期货,4045,-284
2013-11-12,OI,8,长安期货,3974,-125
2013-11-12,OI,9,银河期货,3610,369
2013-11-12,OI,10,南华期货,3571,882
2013-11-12,OI,11,鲁证期货,3545,-78
2013-11-12,OI,12,成都倍特,3377,-327
2013-11-12,OI,13,上海大陆,3310,2047
2013-11-12,OI,14,徽商期货,3120,745
2013-11-12,OI,15,华泰长城,3082,206
2013-11-12,OI,16,中证期货,3071,1190
2013-11-12,OI,17,浙商期货,2922,266
2013-11-12,OI,18,格林期货,2837,-332
2013-11-12,OI,19,申银万国,2762,-229
2013-11-12,OI,20,长江期货,2761,-251
2013-11-13,OI,1,万达期货,8029,4
2013-11-13,OI,2,广发期货,6593,-1357
2013-11-13,OI,3,上海中期,5699,318
2013-11-13,OI,4,中国国际,5214,1167
2013-11-13,OI,5,永安期货,4996,-2215
2013-11-13,OI,6,海通期货,4584,539
