trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,OI,1,中粮期货,22978,1533
2013-11-05,OI,2,万达期货,18466,111
2013-11-05,OI,3,国投期货,16450,410
2013-11-05,OI,4,永安期货,13205,3395
2013-11-05,OI,5,光大期货,12425,1651
2013-11-05,OI,6,弘业期货,8384,-77
2013-11-05,OI,7,首创期货,5297,0
2013-11-05,OI,8,中信新际,4947,-114
2013-11-05,OI,9,中证期货,4587,-402
2013-11-05,OI,10,中国国际,4478,480
2013-11-05,OI,11,浙商期货,4458,-14
2013-11-05,OI,12,东证期货,4401,176
2013-11-05,OI,13,格林期货,4120,-36
2013-11-05,OI,14,上海中期,3791,-43
2013-11-05,OI,15,海通期货,3591,1944
2013-11-05,OI,16,国都期货,3468,14
2013-11-05,OI,17,新湖期货,3302,-6
2013-11-05,OI,18,银河期货,2920,941
2013-11-05,OI,19,一德期货,2267,1310
2013-11-05,OI,20,大越期货,2131,1939
2013-11-06,OI,1,中粮期货,23062,84
2013-11-06,OI,2,万达期货,19878,1412
2013-11-06,OI,3,国投期货,16917,467
2013-11-06,OI,4,永安期货,12945,-260
2013-11-06,OI,5,光大期货,12400,-25
2013-11-06,OI,6,弘业期货,8353,-31
2013-11-06,OI,7,中信新际,4920,-27
2013-11-06,OI,8,东证期货,4869,468
2013-11-06,OI,9,中证期货,4851,264
2013-11-06,OI,10,中国国际,4536,58
2013-11-06,OI,11,浙商期货,4484,26
2013-11-06,OI,12,首创期货,4311,-986
2013-11-06,OI,13,格林期货,3869,-251
2013-11-06,OI,14,上海中期,3795,4
2013-11-06,OI,15,海通期货,3700,109
2013-11-06,OI,16,国都期货,3437,-31
2013-11-06,OI,17,新湖期货,3277,-25
2013-11-06,OI,18,银河期货,2919,-1
2013-11-06,OI,19,一德期货,2165,-102
2013-11-06,OI,20,南证期货,2128,-1
2013-11-07,OI,1,中粮期货,24481,1419
2013-11-07,OI,2,万达期货,19818,-60
2013-11-07,OI,3,国投期货,15433,-1484
2013-11-07,OI,4,光大期货,12738,338
2013-11-07,OI,5,永安期货,12450,-495
2013-11-07,OI,6,弘业期货,8343,-10
2013-11-07,OI,7,东证期货,5454,585
2013-11-07,OI,8,中信新际,4940,20
2013-11-07,OI,9,中证期货,4781,-70
2013-11-07,OI,10,中国国际,4618,82
2013-11-07,OI,11,首创期货,4214,-97
2013-11-07,OI,12,海通期货,3984,284
2013-11-07,OI,13,上海中期,3946,151
2013-11-07,OI,14,格林期货,3844,-25
2013-11-07,OI,15,国都期货,3400,-37
2013-11-07,OI,16,银河期货,3281,362
2013-11-07,OI,17,新湖期货,3251,-26
2013-11-07,OI,18,浙商期货,2633,-1851
2013-11-07,OI,19,南证期货,2125,-3
2013-11-07,OI,20,大越期货,2106,-17
2013-11-08,OI,1,中粮期货,24687,206
2013-11-08,OI,2,万达期货,20243,425
2013-11-08,OI,3,国投期货,17352,1919
2013-11-08,OI,4,光大期货,12228,-510
2013-11-08,OI,5,弘业期货,8470,127
2013-11-08,OI,6,永安期货,7779,-4671
2013-11-08,OI,7,东证期货,5620,166
2013-11-08,OI,8,中信新际,4940,0
2013-11-08,OI,9,中国国际,4583,-35
2013-11-08,OI,10,首创期货,4238,24
2013-11-08,OI,11,上海中期,4000,54
2013-11-08,OI,12,格林期货,3452,-392
2013-11-08,OI,13,国都期货,3422,22
2013-11-08,OI,14,海通期货,2982,-1002
2013-11-08,OI,15,银河期货,2866,-415
2013-11-08,OI,16,新湖期货,2780,-471
2013-11-08,OI,17,南证期货,2123,-2
2013-11-08,OI,18,大越期货,2116,10
2013-11-08,OI,19,一德期货,2020,-4
2013-11-08,OI,20,上海良茂,1529,-134
2013-11-11,OI,1,中粮期货,24847,160
2013-11-11,OI,2,万达期货,19461,-782
2013-11-11,OI,3,国投期货,15456,-1896
2013-11-11,OI,4,光大期货,11260,-968
2013-11-11,OI,5,弘业期货,8548,78
2013-11-11,OI,6,永安期货,7563,-216
2013-11-11,OI,7,东证期货,5436,-184
2013-11-11,OI,8,中信新际,4955,15
2013-11-11,OI,9,中国国际,4548,-35
2013-11-11,OI,10,上海中期,4018,18
2013-11-11,OI,11,首创期货,3822,-416
2013-11-11,OI,12,格林期货,3501,49
2013-11-11,OI,13,国都期货,3382,-40
2013-11-11,OI,14,银河期货,3065,199
2013-11-11,OI,15,海通期货,2971,-11
2013-11-11,OI,16,新湖期货,2912,132
2013-11-11,OI,17,南证期货,2119,-4
2013-11-11,OI,18,大越期货,2106,-10
2013-11-11,OI,19,一德期货,1997,-23
2013-11-11,OI,20,上海良茂,1497,-32
2013-11-12,OI,1,中粮期货,24169,-678
2013-11-12,OI,2,万达期货,20759,1298
2013-11-12,OI,3,国投期货,16368,912
2013-11-12,OI,4,光大期货,11301,41
2013-11-12,OI,5,弘业期货,10757,2209
2013-11-12,OI,6,永安期货,9832,2269
2013-11-12,OI,7,首创期货,5527,1705
2013-11-12,OI,8,东证期货,5413,-23
2013-11-12,OI,9,中信新际,4968,13
2013-11-12,OI,10,中国国际,4492,-56
2013-11-12,OI,11,上海中期,4418,400
2013-11-12,OI,12,格林期货,3934,433
2013-11-12,OI,13,国都期货,3773,391
2013-11-12,OI,14,新湖期货,3681,769
2013-11-12,OI,15,海通期货,3014,43
2013-11-12,OI,16,大越期货,2702,596
2013-11-12,OI,17,南证期货,2250,131
2013-11-12,OI,18,南华期货,2089,603
2013-11-12,OI,19,渤海期货,1852,761
2013-11-12,OI,20,上海良茂,1708,211
2013-11-13,OI,1,中粮期货,32252,8083
2013-11-13,OI,2,万达期货,22237,1478
2013-11-13,OI,3,国投期货,15089,-1279
2013-11-13,OI,4,弘业期货,10699,-58
2013-11-13,OI,5,光大期货,10165,-1136
2013-11-13,OI,6,永安期货,10027,195
2013-11-13,OI,7,东证期货,5496,83
2013-11-13,OI,8,首创期货,5019,-508
2013-11-13,OI,9,中信新际,4920,-48
2013-11-13,OI,10,上海中期,4228,-190
2013-11-13,OI,11,格林期货,3957,23
2013-11-13,OI,12,中国国际,3795,-697
2013-11-13,OI,13,国都期货,3725,-48
2013-11-13,OI,14,新湖期货,3617,-64
2013-11-13,OI,15,大越期货,2850,148
2013-11-13,OI,16,南证期货,2248,-2
2013-11-13,OI,17,南华期货,2097,8
2013-11-13,OI,18,海通期货,1935,-1079
2013-11-13,OI,19,银河期货,1804,158
2013-11-13,OI,20,上海良茂,1726,18
2013-11-14,OI,1,中粮期货,33609,1357
2013-11-14,OI,2,万达期货,22800,563
2013-11-14,OI,3,国投期货,19697,4608
2013-11-14,OI,4,光大期货,11028,863
2013-11-14,OI,5,弘业期货,10801,102
2013-11-14,OI,6,永安期货,10488,461
2013-11-14,OI,7,东证期货,6005,509
2013-11-14,OI,8,首创期货,5099,80
2013-11-14,OI,9,中信新际,4913,-7
2013-11-14,OI,10,上海中期,4368,140
2013-11-14,OI,11,格林期货,4022,65
2013-11-14,OI,12,海通期货,4010,2075
2013-11-14,OI,13,中国国际,3955,160
2013-11-14,OI,14,国都期货,3811,86
2013-11-14,OI,15,新湖期货,3748,131
2013-11-14,OI,16,大越期货,2895,45
2013-11-14,OI,17,南证期货,2621,373
2013-11-14,OI,18,南华期货,2178,81
2013-11-14,OI,19,创元期货,2109,903
