trading_date,commodity_id,rank,member_name,volume,volume_change
2014-07-29,PB,1,大地期货,1365,156
2014-07-29,PB,2,浙商期货,985,463
2014-07-29,PB,3,海通期货,748,-96
2014-07-29,PB,4,长江期货,692,393
2014-07-29,PB,5,申万期货,549,379
2014-07-29,PB,6,经易期货,494,166
2014-07-29,PB,7,光大期货,487,-43
2014-07-29,PB,8,华泰长城,485,322
2014-07-29,PB,9,华鑫期货,483,9
2014-07-29,PB,10,中信新际,416,340
2014-07-29,PB,11,格林大华,360,268
2014-07-29,PB,12,东证期货,342,205
2014-07-29,PB,13,上海大陆,338,4
2014-07-29,PB,14,方正中期,330,128
2014-07-29,PB,15,金石期货,330,43
2014-07-29,PB,16,新湖期货,329,256
2014-07-29,PB,17,中粮期货,327,-19
2014-07-29,PB,18,中信建投,291,27
2014-07-29,PB,19,锦泰期货,277,76
2014-07-29,PB,20,美尔雅,272,10
2014-07-30,PB,1,华鑫期货,1760,1277
2014-07-30,PB,2,大地期货,1696,331
2014-07-30,PB,3,东证期货,1040,698
2014-07-30,PB,4,锦泰期货,980,703
2014-07-30,PB,5,浙商期货,813,-172
2014-07-30,PB,6,海通期货,660,-88
2014-07-30,PB,7,长江期货,614,-78
2014-07-30,PB,8,国联期货,559,350
2014-07-30,PB,9,华泰长城,533,48
2014-07-30,PB,10,经易期货,502,8
2014-07-30,PB,11,中信新际,416,0
2014-07-30,PB,12,东方汇金,406,381
2014-07-30,PB,13,金石期货,392,62
2014-07-30,PB,14,东航期货,379,129
2014-07-30,PB,15,中国国际,351,122
2014-07-30,PB,16,上海大陆,331,-7
2014-07-30,PB,17,方正中期,322,-8
2014-07-30,PB,18,广发期货,321,208
2014-07-30,PB,19,信达期货,317,69
2014-07-30,PB,20,国海良时,298,161
2014-07-31,PB,1,大地期货,1777,81
2014-07-31,PB,2,东证期货,904,-136
2014-07-31,PB,3,浙商期货,897,84
2014-07-31,PB,4,金石期货,781,389
2014-07-31,PB,5,长江期货,760,146
2014-07-31,PB,6,东方汇金,718,312
2014-07-31,PB,7,方正中期,609,287
2014-07-31,PB,8,国联期货,534,-25
2014-07-31,PB,9,兴证期货,533,338
2014-07-31,PB,10,经易期货,462,-40
2014-07-31,PB,11,中信新际,426,10
2014-07-31,PB,12,中信期货,388,239
2014-07-31,PB,13,广发期货,365,44
2014-07-31,PB,14,东航期货,362,-17
2014-07-31,PB,15,上海大陆,332,1
2014-07-31,PB,16,中航期货,310,42
2014-07-31,PB,17,中信建投,308,19
2014-07-31,PB,18,银河期货,297,99
2014-07-31,PB,19,徽商期货,295,22
2014-07-31,PB,20,华泰长城,291,-242
2014-08-01,PB,1,大地期货,1684,-93
2014-08-01,PB,2,中信新际,1291,-30
2014-08-01,PB,3,广发期货,985,36
2014-08-01,PB,4,浙商期货,803,-94
2014-08-01,PB,5,东证期货,784,-120
2014-08-01,PB,6,金石期货,779,-2
2014-08-01,PB,7,东方汇金,722,4
2014-08-01,PB,8,方正中期,615,-64
2014-08-01,PB,9,上海大陆,580,33
2014-08-01,PB,10,兴证期货,568,35
2014-08-01,PB,11,银河期货,521,224
2014-08-01,PB,12,国泰君安,497,217
2014-08-01,PB,13,中信期货,431,-37
2014-08-01,PB,14,国海良时,372,150
2014-08-01,PB,15,经易期货,356,-106
2014-08-01,PB,16,长江期货,340,-420
2014-08-01,PB,17,大有期货,334,65
2014-08-01,PB,18,中信建投,315,7
2014-08-01,PB,19,华联期货,313,89
2014-08-01,PB,20,东航期货,271,-91
2014-08-04,PB,1,方正中期,1808,1193
2014-08-04,PB,2,大地期货,1685,1
2014-08-04,PB,3,中信新际,1351,60
2014-08-04,PB,4,东证期货,1007,223
2014-08-04,PB,5,浙商期货,853,50
2014-08-04,PB,6,金石期货,778,-1
2014-08-04,PB,7,银河期货,705,184
2014-08-04,PB,8,东方汇金,691,-31
2014-08-04,PB,9,广发期货,580,0
2014-08-04,PB,10,兴证期货,575,7
2014-08-04,PB,11,同信久恒,540,431
2014-08-04,PB,12,上海大陆,530,-50
2014-08-04,PB,13,中钢期货,510,500
2014-08-04,PB,14,经易期货,507,151
2014-08-04,PB,15,中信期货,505,74
2014-08-04,PB,16,鲁证期货,469,414
2014-08-04,PB,17,大有期货,432,98
2014-08-04,PB,18,国海良时,420,48
2014-08-04,PB,19,华联期货,331,18
2014-08-04,PB,20,金友期货,321,85
2014-08-05,PB,1,方正中期,2921,1113
2014-08-05,PB,2,中信新际,1351,0
2014-08-05,PB,3,大地期货,1337,-348
2014-08-05,PB,4,浙商期货,1111,258
2014-08-05,PB,5,广发期货,866,7
2014-08-05,PB,6,金石期货,780,2
2014-08-05,PB,7,东方汇金,738,47
2014-08-05,PB,8,银河期货,726,21
2014-08-05,PB,9,兴证期货,610,35
2014-08-05,PB,10,经易期货,532,25
2014-08-05,PB,11,中钢期货,510,0
2014-08-05,PB,12,上海大陆,490,-40
2014-08-05,PB,13,永安期货,474,216
2014-08-05,PB,14,国海良时,457,37
2014-08-05,PB,15,东证期货,440,-567
2014-08-05,PB,16,大有期货,409,-23
2014-08-05,PB,17,长江期货,364,59
2014-08-05,PB,18,华联期货,331,0
2014-08-05,PB,19,徽商期货,303,21
2014-08-05,PB,20,成都倍特,289,127
2014-08-06,PB,1,大地期货,1844,507
2014-08-06,PB,2,中信新际,1361,10
2014-08-06,PB,3,方正中期,1196,-1725
2014-08-06,PB,4,浙商期货,1024,-87
2014-08-06,PB,5,银河期货,811,85
2014-08-06,PB,6,东方汇金,799,61
2014-08-06,PB,7,金石期货,780,0
2014-08-06,PB,8,东证期货,772,332
