trading_date,commodity_id,rank,member_name,volume,volume_change
2014-07-29,PB,1,招商期货,1866,1745
2014-07-29,PB,2,方正中期,1750,131
2014-07-29,PB,3,中粮期货,1537,633
2014-07-29,PB,4,鲁证期货,1287,27
2014-07-29,PB,5,银河期货,1277,-4
2014-07-29,PB,6,中信新际,923,310
2014-07-29,PB,7,中国国际,634,242
2014-07-29,PB,8,大有期货,618,-4
2014-07-29,PB,9,宏源期货,566,16
2014-07-29,PB,10,永安期货,501,38
2014-07-29,PB,11,万达期货,478,235
2014-07-29,PB,12,兴证期货,429,-11
2014-07-29,PB,13,申万期货,362,206
2014-07-29,PB,14,中信期货,296,43
2014-07-29,PB,15,中钢期货,294,-4
2014-07-29,PB,16,华泰长城,289,140
2014-07-29,PB,17,上海中期,276,106
2014-07-29,PB,18,光大期货,260,239
2014-07-29,PB,19,中投期货,257,28
2014-07-29,PB,20,海通期货,211,41
2014-07-30,PB,1,中粮期货,1976,439
2014-07-30,PB,2,方正中期,1840,90
2014-07-30,PB,3,鲁证期货,1487,200
2014-07-30,PB,4,银河期货,1425,148
2014-07-30,PB,5,中信新际,1042,119
2014-07-30,PB,6,北京首创,965,817
2014-07-30,PB,7,万达期货,906,428
2014-07-30,PB,8,永安期货,868,367
2014-07-30,PB,9,中投期货,833,576
2014-07-30,PB,10,宏源期货,739,173
2014-07-30,PB,11,大有期货,630,12
2014-07-30,PB,12,招商期货,579,-1287
2014-07-30,PB,13,申万期货,554,192
2014-07-30,PB,14,上海中期,524,248
2014-07-30,PB,15,中国国际,491,-143
2014-07-30,PB,16,兴证期货,409,-20
2014-07-30,PB,17,西部期货,400,400
2014-07-30,PB,18,金瑞期货,362,227
2014-07-30,PB,19,海通期货,352,141
2014-07-30,PB,20,中信期货,314,18
2014-07-31,PB,1,中粮期货,1921,-55
2014-07-31,PB,2,方正中期,1791,-49
2014-07-31,PB,3,鲁证期货,1290,-197
2014-07-31,PB,4,银河期货,1278,-147
2014-07-31,PB,5,中信新际,986,-56
2014-07-31,PB,6,北京首创,911,-54
2014-07-31,PB,7,中投期货,860,27
2014-07-31,PB,8,万达期货,806,-100
2014-07-31,PB,9,宏源期货,737,-2
2014-07-31,PB,10,中信期货,668,354
2014-07-31,PB,11,永安期货,645,-223
2014-07-31,PB,12,广发期货,636,602
2014-07-31,PB,13,大有期货,614,-16
2014-07-31,PB,14,招商期货,577,-2
2014-07-31,PB,15,上海中期,559,35
2014-07-31,PB,16,申万期货,508,-46
2014-07-31,PB,17,兴证期货,413,4
2014-07-31,PB,18,中国国际,411,-80
2014-07-31,PB,19,海通期货,352,0
2014-07-31,PB,20,中钢期货,332,55
2014-08-01,PB,1,中粮期货,2074,-52
2014-08-01,PB,2,方正中期,1927,121
2014-08-01,PB,3,银河期货,1355,-3
2014-08-01,PB,4,中信新际,1285,-31
2014-08-01,PB,5,鲁证期货,1255,-180
2014-08-01,PB,6,北京首创,988,2
2014-08-01,PB,7,万达期货,917,111
2014-08-01,PB,8,五矿期货,860,0
2014-08-01,PB,9,中信期货,690,12
2014-08-01,PB,10,中投期货,687,-173
2014-08-01,PB,11,广发期货,672,-44
2014-08-01,PB,12,上海中期,645,-39
2014-08-01,PB,13,大有期货,620,6
2014-08-01,PB,14,永安期货,619,-26
2014-08-01,PB,15,招商期货,595,18
2014-08-01,PB,16,宏源期货,569,-168
2014-08-01,PB,17,申万期货,567,59
2014-08-01,PB,18,中国国际,519,108
2014-08-01,PB,19,海通期货,444,92
2014-08-01,PB,20,金瑞期货,340,0
2014-08-04,PB,1,中粮期货,2272,198
2014-08-04,PB,2,方正中期,1777,-150
2014-08-04,PB,3,鲁证期货,1765,510
2014-08-04,PB,4,银河期货,1717,362
2014-08-04,PB,5,中信新际,1475,190
2014-08-04,PB,6,中投期货,1105,418
2014-08-04,PB,7,北京首创,1097,109
2014-08-04,PB,8,万达期货,1049,132
2014-08-04,PB,9,五矿期货,1045,185
2014-08-04,PB,10,上海中期,884,239
2014-08-04,PB,11,永安期货,779,160
2014-08-04,PB,12,中信期货,756,66
2014-08-04,PB,13,金瑞期货,732,165
2014-08-04,PB,14,大有期货,696,76
2014-08-04,PB,15,宏源期货,627,58
2014-08-04,PB,16,申万期货,605,43
2014-08-04,PB,17,招商期货,595,0
2014-08-04,PB,18,海通期货,555,111
2014-08-04,PB,19,中国国际,466,-53
2014-08-04,PB,20,华泰长城,360,123
2014-08-05,PB,1,中粮期货,2607,335
2014-08-05,PB,2,方正中期,1753,-24
2014-08-05,PB,3,银河期货,1716,-1
2014-08-05,PB,4,中信新际,1381,-94
2014-08-05,PB,5,中投期货,1239,134
2014-08-05,PB,6,五矿期货,1088,43
2014-08-05,PB,7,万达期货,1048,-1
2014-08-05,PB,8,上海中期,1009,125
2014-08-05,PB,9,北京首创,985,-112
2014-08-05,PB,10,鲁证期货,869,-896
2014-08-05,PB,11,永安期货,747,-32
2014-08-05,PB,12,金瑞期货,732,0
2014-08-05,PB,13,中信期货,723,-33
2014-08-05,PB,14,大有期货,695,-1
2014-08-05,PB,15,招商期货,607,12
2014-08-05,PB,16,海通期货,580,25
2014-08-05,PB,17,宏源期货,500,-127
2014-08-05,PB,18,中国国际,477,11
2014-08-05,PB,19,华泰长城,308,-52
2014-08-05,PB,20,光大期货,280,0
2014-08-06,PB,1,中粮期货,2355,-252
2014-08-06,PB,2,方正中期,1886,133
2014-08-06,PB,3,中信新际,1382,1
2014-08-06,PB,4,银河期货,1331,-385
2014-08-06,PB,5,五矿期货,1116,28
2014-08-06,PB,6,中投期货,1086,-153
2014-08-06,PB,7,万达期货,928,-120
2014-08-06,PB,8,鲁证期货,863,-6
2014-08-06,PB,9,永安期货,846,99
2014-08-06,PB,10,上海中期,844,-135
2014-08-06,PB,11,大有期货,678,-17
2014-08-06,PB,12,北京首创,634,-351
2014-08-06,PB,13,招商期货,627,20
2014-08-06,PB,14,海通期货,619,39
2014-08-06,PB,15,中国国际,572,95
2014-08-06,PB,16,宏源期货,498,-2
2014-08-06,PB,17,申万期货,409,239
2014-08-06,PB,18,金瑞期货,340,0
2014-08-06,PB,19,中信期货,332,-391
2014-08-06,PB,20,光大期货,295,15
2014-08-07,PB,1,中粮期货,2218,-137
2014-08-07,PB,2,方正中期,1919,33
2014-08-07,PB,3,银河期货,1323,-8
2014-08-07,PB,4,中信新际,1265,-117
2014-08-07,PB,5,五矿期货,1115,-1
2014-08-07,PB,6,万达期货,952,24
2014-08-07,PB,7,中投期货,904,-182
2014-08-07,PB,8,鲁证期货,860,-3
2014-08-07,PB,9,大有期货,811,133
2014-08-07,PB,10,上海中期,772,-72
2014-08-07,PB,11,招商期货,628,1
2014-08-07,PB,12,北京首创,571,-63
2014-08-07,PB,13,海通期货,547,-72
2014-08-07,PB,14,永安期货,524,-322
2014-08-07,PB,15,宏源期货,466,-32
2014-08-07,PB,16,中国国际,461,-111
2014-08-07,PB,17,中信期货,352,20
2014-08-07,PB,18,金瑞期货,340,0
2014-08-07,PB,19,中钢期货,337,46
2014-08-07,PB,20,光大期货,290,-5
2014-08-08,PB,1,中粮期货,2249,31
2014-08-08,PB,2,方正中期,1887,-32
2014-08-08,PB,3,银河期货,1331,8
2014-08-08,PB,4,中信新际,1174,-91
2014-08-08,PB,5,五矿期货,1113,-2
2014-08-08,PB,6,万达期货,878,-74
2014-08-08,PB,7,大有期货,791,-20
2014-08-08,PB,8,上海中期,752,-20
2014-08-08,PB,9,招商期货,644,16
2014-08-08,PB,10,海通期货,636,89
2014-08-08,PB,11,中信期货,607,255
2014-08-08,PB,12,宏源期货,583,147
2014-08-08,PB,13,北京首创,577,6
2014-08-08,PB,14,鲁证期货,566,-294
2014-08-08,PB,15,金瑞期货,563,-23
2014-08-08,PB,16,中投期货,543,-361
2014-08-08,PB,17,永安期货,504,-20
2014-08-08,PB,18,中国国际,461,0
2014-08-08,PB,19,中钢期货,333,-4
2014-08-08,PB,20,光大期货,285,-5
2014-08-11,PB,1,中粮期货,2209,-40
2014-08-11,PB,2,方正中期,1777,-110
2014-08-11,PB,3,银河期货,1337,6
2014-08-11,PB,4,中信新际,1136,-38
2014-08-11,PB,5,五矿期货,1117,4
2014-08-11,PB,6,万达期货,885,7
2014-08-11,PB,7,大有期货,863,72
2014-08-11,PB,8,上海中期,822,70
2014-08-11,PB,9,海通期货,723,87
2014-08-11,PB,10,招商期货,671,27
2014-08-11,PB,11,宏源期货,624,41
2014-08-11,PB,12,鲁证期货,609,43
2014-08-11,PB,13,北京首创,599,22
2014-08-11,PB,14,中信期货,595,-12
2014-08-11,PB,15,金瑞期货,563,0
2014-08-11,PB,16,中投期货,502,-41
2014-08-11,PB,17,中国国际,465,4
2014-08-11,PB,18,永安期货,436,-68
2014-08-11,PB,19,光大期货,325,40
2014-08-11,PB,20,中钢期货,317,-16
2014-08-12,PB,1,中粮期货,2188,-21
2014-08-12,PB,2,方正中期,1844,67
2014-08-12,PB,3,五矿期货,1440,323
2014-08-12,PB,4,银河期货,1316,-21
2014-08-12,PB,5,中信新际,1136,0
2014-08-12,PB,6,万达期货,872,-13
2014-08-12,PB,7,上海中期,842,20
2014-08-12,PB,8,大有期货,798,-65
2014-08-12,PB,9,宏源期货,718,94
2014-08-12,PB,10,海通期货,703,-20
2014-08-12,PB,11,招商期货,671,0
2014-08-12,PB,12,中信期货,598,3
2014-08-12,PB,13,北京首创,554,-45
2014-08-12,PB,14,中国国际,473,8
2014-08-12,PB,15,鲁证期货,449,-160
2014-08-12,PB,16,永安期货,415,-21
2014-08-12,PB,17,金瑞期货,340,0
2014-08-12,PB,18,光大期货,320,-5
2014-08-12,PB,19,中投期货,319,-183
2014-08-12,PB,20,中钢期货,317,0
2014-08-13,PB,1,中粮期货,2180,-8
2014-08-13,PB,2,方正中期,1787,-57
2014-08-13,PB,3,五矿期货,1431,-9
2014-08-13,PB,4,银河期货,1325,9
2014-08-13,PB,5,中信新际,1131,-5
2014-08-13,PB,6,上海中期,966,124
2014-08-13,PB,7,宏源期货,845,127
2014-08-13,PB,8,万达期货,757,-115
2014-08-13,PB,9,金瑞期货,742,265
2014-08-13,PB,10,海通期货,707,4
2014-08-13,PB,11,招商期货,673,2
2014-08-13,PB,12,中信期货,589,1
2014-08-13,PB,13,大有期货,561,-237
2014-08-13,PB,14,北京首创,554,0
2014-08-13,PB,15,中国国际,462,-11
2014-08-13,PB,16,鲁证期货,450,1
2014-08-13,PB,17,永安期货,410,-5
2014-08-13,PB,18,光大期货,330,10
2014-08-13,PB,19,中投期货,320,1
2014-08-13,PB,20,迈科期货,300,300
2014-08-14,PB,1,中粮期货,2169,-11
2014-08-14,PB,2,方正中期,1800,13
2014-08-14,PB,3,五矿期货,1441,10
2014-08-14,PB,4,银河期货,1325,0
2014-08-14,PB,5,中信新际,1125,-6
2014-08-14,PB,6,上海中期,1058,92
2014-08-14,PB,7,万达期货,1039,282
2014-08-14,PB,8,金瑞期货,759,17
2014-08-14,PB,9,鲁证期货,696,246
2014-08-14,PB,10,海通期货,663,-44
2014-08-14,PB,11,宏源期货,625,-220
2014-08-14,PB,12,北京首创,582,28
2014-08-14,PB,13,中信期货,578,-11
2014-08-14,PB,14,大有期货,560,-1
2014-08-14,PB,15,招商期货,476,-197
2014-08-14,PB,16,中国国际,467,5
2014-08-14,PB,17,永安期货,400,-10
2014-08-14,PB,18,光大期货,335,5
2014-08-14,PB,19,中投期货,324,4
2014-08-14,PB,20,迈科期货,300,0
2014-08-15,PB,1,中粮期货,2169,0
2014-08-15,PB,2,方正中期,1744,-56
2014-08-15,PB,3,五矿期货,1446,5
2014-08-15,PB,4,银河期货,1374,49
2014-08-15,PB,5,中信新际,1158,33
2014-08-15,PB,6,万达期货,1141,102
2014-08-15,PB,7,上海中期,1138,80
2014-08-15,PB,8,金瑞期货,768,9
2014-08-15,PB,9,鲁证期货,716,20
2014-08-15,PB,10,海通期货,649,-14
2014-08-15,PB,11,大有期货,560,0
2014-08-15,PB,12,北京首创,546,-36
2014-08-15,PB,13,宏源期货,515,-110
2014-08-15,PB,14,中国国际,495,28
2014-08-15,PB,15,中信期货,486,-92
