trading_date,commodity_id,rank,member_name,volume,volume_change
2014-02-28,PP,1,永安期货,5048,5048
2014-02-28,PP,2,浙商期货,1614,1614
2014-02-28,PP,3,中国国际,1503,1503
2014-02-28,PP,4,南华期货,1385,1385
2014-02-28,PP,5,国贸期货,964,964
2014-02-28,PP,6,中航期货,848,848
2014-02-28,PP,7,中粮期货,844,844
2014-02-28,PP,8,成都倍特,602,602
2014-02-28,PP,9,鲁证期货,602,602
2014-02-28,PP,10,大越期货,535,535
2014-02-28,PP,11,银河期货,295,295
2014-02-28,PP,12,海航东银,266,266
2014-02-28,PP,13,新湖期货,254,254
2014-02-28,PP,14,新晟期货,246,246
2014-02-28,PP,15,国海良时,229,229
2014-02-28,PP,16,国投期货,186,186
2014-02-28,PP,17,弘业期货,174,174
2014-02-28,PP,18,中辉期货,169,169
2014-02-28,PP,19,英大期货,167,167
2014-02-28,PP,20,格林期货,151,151
2014-03-03,PP,1,永安期货,5057,9
2014-03-03,PP,2,浙商期货,1745,129
2014-03-03,PP,3,南华期货,1350,-35
2014-03-03,PP,4,鲁证期货,919,259
2014-03-03,PP,5,中航期货,893,45
2014-03-03,PP,6,成都倍特,750,148
2014-03-03,PP,7,新晟期货,694,400
2014-03-03,PP,8,国贸期货,553,-425
2014-03-03,PP,9,中粮期货,539,-300
2014-03-03,PP,10,大越期货,534,-1
2014-03-03,PP,11,中国国际,443,284
2014-03-03,PP,12,中信建投,330,312
2014-03-03,PP,13,新湖期货,305,51
2014-03-03,PP,14,中钢期货,302,301
2014-03-03,PP,15,海航东银,298,32
2014-03-03,PP,16,美尔雅期货,256,132
2014-03-03,PP,17,银河期货,252,16
2014-03-03,PP,18,弘业期货,183,9
2014-03-03,PP,19,格林期货,171,20
2014-03-03,PP,20,金友期货,162,101
2014-03-04,PP,1,永安期货,5159,102
2014-03-04,PP,2,银河期货,1496,1217
2014-03-04,PP,3,南华期货,1469,119
2014-03-04,PP,4,中钢期货,1455,1153
2014-03-04,PP,5,浙商期货,1404,-341
2014-03-04,PP,6,鲁证期货,1122,203
2014-03-04,PP,7,中航期货,894,1
2014-03-04,PP,8,中信建投,808,477
2014-03-04,PP,9,成都倍特,762,12
2014-03-04,PP,10,新晟期货,567,-5
2014-03-04,PP,11,中粮期货,558,19
2014-03-04,PP,12,中国国际,556,113
2014-03-04,PP,13,大越期货,551,17
2014-03-04,PP,14,华泰长城,344,202
2014-03-04,PP,15,新湖期货,305,0
2014-03-04,PP,16,华融期货,300,300
2014-03-04,PP,17,兴证期货,241,199
2014-03-04,PP,18,东航期货,231,110
2014-03-04,PP,19,长江期货,220,125
2014-03-04,PP,20,国贸期货,210,-169
2014-03-05,PP,1,永安期货,6462,1303
2014-03-05,PP,2,银河期货,2239,743
2014-03-05,PP,3,鲁证期货,1687,565
2014-03-05,PP,4,中钢期货,1484,29
2014-03-05,PP,5,浙商期货,1463,59
2014-03-05,PP,6,南华期货,1253,-216
2014-03-05,PP,7,兴证期货,944,703
2014-03-05,PP,8,中航期货,858,-36
2014-03-05,PP,9,中信建投,790,-18
2014-03-05,PP,10,成都倍特,760,-2
2014-03-05,PP,11,中国国际,592,21
2014-03-05,PP,12,新晟期货,551,-16
2014-03-05,PP,13,中粮期货,520,-38
2014-03-05,PP,14,大越期货,496,-55
2014-03-05,PP,15,新湖期货,308,3
2014-03-05,PP,16,光大期货,304,291
2014-03-05,PP,17,华融期货,300,0
2014-03-05,PP,18,国贸期货,215,5
2014-03-05,PP,19,华泰长城,209,83
2014-03-05,PP,20,财富期货,200,0
2014-03-06,PP,1,永安期货,6822,360
2014-03-06,PP,2,鲁证期货,3397,1710
2014-03-06,PP,3,银河期货,2283,44
2014-03-06,PP,4,浙商期货,1892,429
2014-03-06,PP,5,中钢期货,1486,2
2014-03-06,PP,6,南华期货,1326,73
2014-03-06,PP,7,中航期货,1253,395
2014-03-06,PP,8,成都倍特,1012,252
2014-03-06,PP,9,兴证期货,933,-1
2014-03-06,PP,10,中信建投,847,57
2014-03-06,PP,11,中国国际,809,217
2014-03-06,PP,12,新晟期货,619,68
2014-03-06,PP,13,中粮期货,523,3
2014-03-06,PP,14,弘业期货,510,267
2014-03-06,PP,15,东航期货,452,349
2014-03-06,PP,16,国贸期货,400,185
2014-03-06,PP,17,新湖期货,360,52
2014-03-06,PP,18,信达期货,345,198
2014-03-06,PP,19,长江期货,334,140
2014-03-06,PP,20,光大期货,304,0
2014-03-07,PP,1,永安期货,6871,49
2014-03-07,PP,2,鲁证期货,3271,-126
2014-03-07,PP,3,银河期货,2178,-105
2014-03-07,PP,4,浙商期货,1847,-45
2014-03-07,PP,5,华闻期货,1766,1756
2014-03-07,PP,6,中钢期货,1485,-1
2014-03-07,PP,7,华安期货,1257,1171
2014-03-07,PP,8,中航期货,1251,-2
2014-03-07,PP,9,南华期货,1189,-137
2014-03-07,PP,10,成都倍特,1012,0
2014-03-07,PP,11,兴证期货,933,0
2014-03-07,PP,12,中证期货,872,699
2014-03-07,PP,13,中信建投,841,-6
2014-03-07,PP,14,大连良运,751,750
2014-03-07,PP,15,中国国际,723,-4
2014-03-07,PP,16,弘业期货,474,-36
2014-03-07,PP,17,新晟期货,450,-169
2014-03-07,PP,18,东航期货,443,-9
2014-03-07,PP,19,信达期货,393,48
2014-03-07,PP,20,国贸期货,383,-17
2014-03-10,PP,1,永安期货,8139,1268
2014-03-10,PP,2,鲁证期货,4417,1146
2014-03-10,PP,3,中证期货,2836,1964
2014-03-10,PP,4,浙商期货,2022,175
2014-03-10,PP,5,华闻期货,1860,94
2014-03-10,PP,6,中航期货,1573,322
2014-03-10,PP,7,中钢期货,1483,-2
2014-03-10,PP,8,南华期货,1324,134
2014-03-10,PP,9,华安期货,1256,-1
2014-03-10,PP,10,成都倍特,1137,125
2014-03-10,PP,11,冠通期货,986,984
2014-03-10,PP,12,兴证期货,933,0
2014-03-10,PP,13,中国国际,916,191
2014-03-10,PP,14,中信建投,839,-2
2014-03-10,PP,15,新晟期货,772,322
2014-03-10,PP,16,大连良运,751,0
2014-03-10,PP,17,东证期货,572,542
2014-03-10,PP,18,东航期货,485,43
2014-03-10,PP,19,国贸期货,383,0
2014-03-10,PP,20,光大期货,309,5
