trading_date,commodity_id,rank,member_name,volume,volume_change
2014-02-28,PP,1,永安期货,1677,1677
2014-02-28,PP,2,华鑫期货,1474,1474
2014-02-28,PP,3,浙商期货,910,910
2014-02-28,PP,4,中证期货,887,887
2014-02-28,PP,5,东证期货,820,820
2014-02-28,PP,6,银河期货,681,681
2014-02-28,PP,7,鲁证期货,679,679
2014-02-28,PP,8,华安期货,676,676
2014-02-28,PP,9,海通期货,673,673
2014-02-28,PP,10,五矿期货,658,658
2014-02-28,PP,11,北京首创,525,525
2014-02-28,PP,12,招商期货,520,520
2014-02-28,PP,13,中投期货,473,473
2014-02-28,PP,14,中钢期货,400,400
2014-02-28,PP,15,国海良时,366,366
2014-02-28,PP,16,新湖期货,360,360
2014-02-28,PP,17,英大期货,352,352
2014-02-28,PP,18,浙江中大,338,338
2014-02-28,PP,19,东航期货,296,296
2014-02-28,PP,20,光大期货,254,254
2014-03-03,PP,1,华鑫期货,1479,5
2014-03-03,PP,2,永安期货,1440,-237
2014-03-03,PP,3,大连良运,1289,1077
2014-03-03,PP,4,鲁证期货,847,325
2014-03-03,PP,5,海通期货,791,118
2014-03-03,PP,6,安信期货,648,355
2014-03-03,PP,7,银河期货,648,-33
2014-03-03,PP,8,中钢期货,600,200
2014-03-03,PP,9,南华期货,594,354
2014-03-03,PP,10,中投期货,563,90
2014-03-03,PP,11,徽商期货,558,303
2014-03-03,PP,12,五矿期货,544,-114
2014-03-03,PP,13,北京首创,531,6
2014-03-03,PP,14,华泰长城,515,296
2014-03-03,PP,15,迈科期货,498,398
2014-03-03,PP,16,浙江中大,328,-10
2014-03-03,PP,17,申银万国,323,155
2014-03-03,PP,18,中证期货,294,-644
2014-03-03,PP,19,招商期货,288,-232
2014-03-03,PP,20,新湖期货,283,50
2014-03-04,PP,1,浙商期货,2463,2223
2014-03-04,PP,2,永安期货,1689,249
2014-03-04,PP,3,大连良运,1331,42
2014-03-04,PP,4,华鑫期货,1293,-186
2014-03-04,PP,5,鲁证期货,1132,165
2014-03-04,PP,6,海通期货,818,27
2014-03-04,PP,7,银河期货,754,106
2014-03-04,PP,8,华泰长城,711,196
2014-03-04,PP,9,华融期货,664,662
2014-03-04,PP,10,中投期货,638,95
2014-03-04,PP,11,申银万国,611,290
2014-03-04,PP,12,中钢期货,600,0
2014-03-04,PP,13,北京首创,542,11
2014-03-04,PP,14,盛达期货,532,515
2014-03-04,PP,15,东航期货,421,251
2014-03-04,PP,16,南华期货,401,143
2014-03-04,PP,17,安信期货,339,-308
2014-03-04,PP,18,天风期货,334,301
2014-03-04,PP,19,中证期货,334,221
2014-03-04,PP,20,弘业期货,331,175
2014-03-05,PP,1,浙商期货,2212,-109
2014-03-05,PP,2,鲁证期货,1517,385
2014-03-05,PP,3,华鑫期货,1460,167
2014-03-05,PP,4,永安期货,1424,-265
