trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,P,1,永安期货,38415,4444
2013-11-05,P,2,中粮期货,23537,1673
2013-11-05,P,3,中国国际,20083,-542
2013-11-05,P,4,成都倍特,17963,304
2013-11-05,P,5,中信新际,17807,-49
2013-11-05,P,6,光大期货,16370,260
2013-11-05,P,7,中证期货,13847,647
2013-11-05,P,8,徽商期货,11522,-61
2013-11-05,P,9,国投期货,11484,-1789
2013-11-05,P,10,一德期货,10417,-3401
2013-11-05,P,11,安信期货,8985,-1
2013-11-05,P,12,格林期货,8984,-502
2013-11-05,P,13,银河期货,8392,367
2013-11-05,P,14,宏源期货,7867,-10
2013-11-05,P,15,瑞达期货,7640,69
2013-11-05,P,16,摩根大通,7297,2400
2013-11-05,P,17,中银国际,7142,-104
2013-11-05,P,18,鲁证期货,6826,-359
2013-11-05,P,19,广发期货,6817,1379
2013-11-05,P,20,上海中期,6432,-182
2013-11-06,P,1,永安期货,36469,-1946
2013-11-06,P,2,中粮期货,25051,1514
2013-11-06,P,3,成都倍特,18316,353
2013-11-06,P,4,中信新际,18036,229
2013-11-06,P,5,中国国际,13243,-1845
2013-11-06,P,6,中证期货,12399,-1448
2013-11-06,P,7,国投期货,12028,544
2013-11-06,P,8,徽商期货,11343,-179
2013-11-06,P,9,光大期货,10537,-3060
2013-11-06,P,10,南华期货,10513,2039
2013-11-06,P,11,一德期货,10377,-40
2013-11-06,P,12,格林期货,8969,-15
2013-11-06,P,13,银河期货,8628,236
2013-11-06,P,14,宏源期货,7876,9
2013-11-06,P,15,瑞达期货,7519,-121
2013-11-06,P,16,万达期货,7334,1588
2013-11-06,P,17,摩根大通,7297,0
2013-11-06,P,18,上海中期,7277,845
2013-11-06,P,19,中银国际,7144,2
2013-11-06,P,20,广发期货,6947,130
2013-11-07,P,1,永安期货,37800,1331
2013-11-07,P,2,中粮期货,24237,-814
2013-11-07,P,3,中信新际,18105,69
2013-11-07,P,4,成都倍特,17971,-345
2013-11-07,P,5,光大期货,12897,-612
2013-11-07,P,6,中证期货,12281,-117
2013-11-07,P,7,徽商期货,11396,53
2013-11-07,P,8,南华期货,10807,294
2013-11-07,P,9,一德期货,10391,14
2013-11-07,P,10,国投期货,10257,-1771
2013-11-07,P,11,上海中期,9233,1956
2013-11-07,P,12,万达期货,9169,16
2013-11-07,P,13,格林期货,8974,6
2013-11-07,P,14,中国国际,8812,-4431
2013-11-07,P,15,银河期货,8771,143
2013-11-07,P,16,宏源期货,7920,44
2013-11-07,P,17,广发期货,7750,803
2013-11-07,P,18,摩根大通,7197,-100
2013-11-07,P,19,瑞达期货,7193,58
2013-11-07,P,20,中银国际,7107,-37
2013-11-08,P,1,永安期货,40745,2945
2013-11-08,P,2,中粮期货,24418,181
2013-11-08,P,3,中信新际,18060,-45
2013-11-08,P,4,光大期货,14160,1263
2013-11-08,P,5,成都倍特,12781,1
2013-11-08,P,6,国投期货,11686,1429
2013-11-08,P,7,中国国际,11675,-337
2013-11-08,P,8,徽商期货,11426,30
2013-11-08,P,9,中证期货,11390,-891
2013-11-08,P,10,一德期货,10270,-120
2013-11-08,P,11,银河期货,9413,642
2013-11-08,P,12,格林期货,9011,37
2013-11-08,P,13,上海中期,8912,-321
2013-11-08,P,14,广发期货,8608,891
2013-11-08,P,15,国泰君安,7948,3295
2013-11-08,P,16,宏源期货,7857,-63
2013-11-08,P,17,浙江新世纪,7472,3764
2013-11-08,P,18,摩根大通,7397,200
2013-11-08,P,19,瑞达期货,7114,-79
2013-11-08,P,20,中银国际,7106,-1
2013-11-11,P,1,永安期货,24852,-15893
2013-11-11,P,2,中粮期货,21110,-3308
2013-11-11,P,3,中信新际,18082,22
2013-11-11,P,4,成都倍特,17082,1164
2013-11-11,P,5,光大期货,12607,-1553
2013-11-11,P,6,中证期货,11957,567
2013-11-11,P,7,徽商期货,11658,232
2013-11-11,P,8,国投期货,11583,-103
2013-11-11,P,9,中国国际,11576,-392
2013-11-11,P,10,安信期货,9582,289
2013-11-11,P,11,银河期货,9331,-82
2013-11-11,P,12,一德期货,9248,-1022
2013-11-11,P,13,上海中期,8464,-448
2013-11-11,P,14,国泰君安,8122,174
2013-11-11,P,15,格林期货,7936,-1075
2013-11-11,P,16,宏源期货,7862,5
2013-11-11,P,17,万达期货,7434,451
2013-11-11,P,18,摩根大通,7397,0
2013-11-11,P,19,瑞达期货,7170,56
2013-11-11,P,20,中银国际,7140,34
2013-11-12,P,1,永安期货,25952,1100
2013-11-12,P,2,中粮期货,25127,4017
2013-11-12,P,3,中信新际,18092,10
2013-11-12,P,4,成都倍特,17397,315
2013-11-12,P,5,徽商期货,11752,94
2013-11-12,P,6,中国国际,11602,26
2013-11-12,P,7,国投期货,11328,-255
2013-11-12,P,8,一德期货,9250,2
2013-11-12,P,9,浙商期货,9036,806
2013-11-12,P,10,光大期货,8677,-660
2013-11-12,P,11,上海中期,8530,66
2013-11-12,P,12,银河期货,8136,-1195
2013-11-12,P,13,广发期货,7947,2766
2013-11-12,P,14,宏源期货,7851,-11
2013-11-12,P,15,摩根大通,7397,0
2013-11-12,P,16,瑞达期货,7179,9
2013-11-12,P,17,上海大陆,7150,3055
2013-11-12,P,18,中银国际,7104,-36
