trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,P,1,东证期货,37517,4379
2013-11-05,P,2,永安期货,28508,-9532
2013-11-05,P,3,国投期货,24937,-4319
2013-11-05,P,4,中粮期货,22756,-231
2013-11-05,P,5,上海大陆,20116,-10
2013-11-05,P,6,中国国际,18723,5615
2013-11-05,P,7,中证期货,16762,2616
2013-11-05,P,8,上海中期,16109,-479
2013-11-05,P,9,银河期货,13792,-369
2013-11-05,P,10,广发期货,12500,341
2013-11-05,P,11,光大期货,12394,1076
2013-11-05,P,12,格林期货,11467,160
2013-11-05,P,13,五矿期货,11294,60
2013-11-05,P,14,南华期货,10710,-1190
2013-11-05,P,15,海通期货,8876,-843
2013-11-05,P,16,国泰君安,8694,102
2013-11-05,P,17,北京首创,7078,-160
2013-11-05,P,18,华泰长城,6466,610
2013-11-05,P,19,万达期货,5846,1026
2013-11-05,P,20,申银万国,5361,79
2013-11-06,P,1,东证期货,37500,-17
2013-11-06,P,2,国投期货,30629,5692
2013-11-06,P,3,永安期货,25277,-3231
2013-11-06,P,4,中粮期货,23025,269
2013-11-06,P,5,上海大陆,20192,76
2013-11-06,P,6,中国国际,20006,1283
2013-11-06,P,7,上海中期,18987,2878
2013-11-06,P,8,银河期货,13894,102
2013-11-06,P,9,广发期货,12652,152
2013-11-06,P,10,光大期货,12626,232
2013-11-06,P,11,中证期货,12320,-4442
2013-11-06,P,12,五矿期货,11358,64
2013-11-06,P,13,格林期货,11035,-432
2013-11-06,P,14,南华期货,10572,-138
2013-11-06,P,15,万达期货,9110,-140
2013-11-06,P,16,国泰君安,8678,-16
2013-11-06,P,17,华泰长城,5734,-731
2013-11-06,P,18,海通期货,5685,-207
2013-11-06,P,19,北京首创,5257,-1821
2013-11-06,P,20,申银万国,5151,-208
2013-11-07,P,1,东证期货,41072,3576
2013-11-07,P,2,国投期货,28867,-1762
2013-11-07,P,3,永安期货,27075,1798
2013-11-07,P,4,中粮期货,22771,-254
2013-11-07,P,5,上海中期,20176,1189
2013-11-07,P,6,上海大陆,20120,-72
2013-11-07,P,7,中国国际,16526,-3480
2013-11-07,P,8,广发期货,13969,1317
2013-11-07,P,9,银河期货,13790,-104
2013-11-07,P,10,格林期货,12993,1960
2013-11-07,P,11,光大期货,12803,177
2013-11-07,P,12,五矿期货,11419,61
2013-11-07,P,13,中证期货,11260,-1060
2013-11-07,P,14,南华期货,10854,605
2013-11-07,P,15,国泰君安,9166,488
2013-11-07,P,16,北京首创,8272,1243
2013-11-07,P,17,万达期货,5783,-358
2013-11-07,P,18,海通期货,5753,68
2013-11-07,P,19,申银万国,5213,62
2013-11-07,P,20,北京中期,4383,-564
2013-11-08,P,1,东证期货,41486,414
