trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,RB,1,永安期货,76606,7047
2013-11-05,RB,2,中证期货,63546,2534
2013-11-05,RB,3,银河期货,53715,-278
2013-11-05,RB,4,光大期货,51545,3275
2013-11-05,RB,5,海通期货,48268,1337
2013-11-05,RB,6,鲁证期货,32834,780
2013-11-05,RB,7,国泰君安,28460,1225
2013-11-05,RB,8,华泰长城,27227,-1417
2013-11-05,RB,9,申万期货,26503,-2924
2013-11-05,RB,10,南华期货,24949,594
2013-11-05,RB,11,国贸期货,24240,-688
2013-11-05,RB,12,东吴期货,21405,1860
2013-11-05,RB,13,中国国际,20473,-3302
2013-11-05,RB,14,广发期货,20109,795
2013-11-05,RB,15,浙商期货,19897,-161
2013-11-05,RB,16,格林期货,19248,337
2013-11-05,RB,17,国联期货,18023,1627
2013-11-05,RB,18,浙新世纪,13069,-1
2013-11-05,RB,19,成都倍特,11159,364
2013-11-05,RB,20,中辉期货,9842,2645
2013-11-06,RB,1,永安期货,74378,-2228
2013-11-06,RB,2,中证期货,65663,2117
2013-11-06,RB,3,银河期货,53651,-64
2013-11-06,RB,4,海通期货,47606,-662
2013-11-06,RB,5,鲁证期货,37051,4217
2013-11-06,RB,6,华泰长城,33221,5994
2013-11-06,RB,7,国泰君安,28524,64
2013-11-06,RB,8,国联期货,24698,6675
2013-11-06,RB,9,光大期货,23929,-27616
2013-11-06,RB,10,国贸期货,23871,-369
2013-11-06,RB,11,南华期货,23821,-1128
2013-11-06,RB,12,中国国际,21965,1492
2013-11-06,RB,13,格林期货,20737,1489
2013-11-06,RB,14,浙商期货,20236,339
2013-11-06,RB,15,浙江中大,18683,10365
2013-11-06,RB,16,东吴期货,18410,-2995
2013-11-06,RB,17,申万期货,16086,-10417
2013-11-06,RB,18,浙新世纪,12511,-558
2013-11-06,RB,19,金谷期货,11394,4227
2013-11-06,RB,20,成都倍特,10821,-338
2013-11-07,RB,1,永安期货,71826,-2552
2013-11-07,RB,2,海通期货,61593,13987
2013-11-07,RB,3,中证期货,61070,-4593
2013-11-07,RB,4,银河期货,40673,-12978
2013-11-07,RB,5,光大期货,28766,4837
2013-11-07,RB,6,鲁证期货,26772,2012
2013-11-07,RB,7,国泰君安,26650,-1874
2013-11-07,RB,8,华泰长城,26072,-7149
2013-11-07,RB,9,中国国际,25781,3816
2013-11-07,RB,10,南华期货,23542,-279
2013-11-07,RB,11,国贸期货,23293,-578
2013-11-07,RB,12,东吴期货,22078,-822
2013-11-07,RB,13,格林期货,20020,-717
2013-11-07,RB,14,国联期货,19049,-5649
2013-11-07,RB,15,广发期货,18367,-1109
2013-11-07,RB,16,浙新世纪,13238,727
2013-11-07,RB,17,申万期货,11515,-4571
2013-11-07,RB,18,成都倍特,11356,535
2013-11-07,RB,19,中辉期货,10809,2028
2013-11-07,RB,20,新晟期货,10128,1121
2013-11-08,RB,1,永安期货,69789,-2037
2013-11-08,RB,2,海通期货,57458,-4135
2013-11-08,RB,3,中证期货,55303,-5767
2013-11-08,RB,4,银河期货,43091,2418
2013-11-08,RB,5,鲁证期货,28479,1707
2013-11-08,RB,6,华泰长城,25836,-236
2013-11-08,RB,7,国泰君安,25379,-1271
2013-11-08,RB,8,国联期货,25212,6163
2013-11-08,RB,9,南华期货,24352,810
2013-11-08,RB,10,中国国际,24283,-1498
2013-11-08,RB,11,东吴期货,23499,1421
2013-11-08,RB,12,浙江中大,22250,13349
2013-11-08,RB,13,国贸期货,21968,-1325
2013-11-08,RB,14,光大期货,21827,-6939
2013-11-08,RB,15,广发期货,19766,1399
2013-11-08,RB,16,格林期货,19641,-379
2013-11-08,RB,17,申万期货,15106,3591
2013-11-08,RB,18,浙新世纪,13665,427
2013-11-08,RB,19,成都倍特,11771,415
2013-11-08,RB,20,新晟期货,9781,-347
2013-11-11,RB,1,永安期货,69274,-515
2013-11-11,RB,2,海通期货,57635,177
2013-11-11,RB,3,中证期货,49343,-5960
2013-11-11,RB,4,银河期货,35885,-7206
2013-11-11,RB,5,鲁证期货,29080,601
2013-11-11,RB,6,国泰君安,26686,1307
2013-11-11,RB,7,中国国际,24282,-1
2013-11-11,RB,8,东吴期货,22690,-809
