trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,RB,1,银河期货,65944,-5288
2013-11-05,RB,2,浙商期货,62420,8700
2013-11-05,RB,3,中证期货,61505,-2524
2013-11-05,RB,4,永安期货,46208,12714
2013-11-05,RB,5,江西瑞奇,39317,4519
2013-11-05,RB,6,光大期货,38519,244
2013-11-05,RB,7,东证期货,34129,-1666
2013-11-05,RB,8,中银国际,28391,-195
2013-11-05,RB,9,海通期货,27204,-2720
2013-11-05,RB,10,道通期货,26984,-191
2013-11-05,RB,11,中粮期货,26732,1169
2013-11-05,RB,12,上海中期,23157,-1489
2013-11-05,RB,13,大越期货,22603,3338
2013-11-05,RB,14,华泰长城,22533,209
2013-11-05,RB,15,安信期货,17694,-2740
2013-11-05,RB,16,南华期货,17613,1368
2013-11-05,RB,17,东兴期货,16339,2338
2013-11-05,RB,18,万达期货,16073,400
2013-11-05,RB,19,申万期货,15543,2664
2013-11-05,RB,20,中钢期货,13427,-1834
2013-11-06,RB,1,银河期货,65779,-165
2013-11-06,RB,2,中证期货,61421,-84
2013-11-06,RB,3,浙商期货,60583,-1837
2013-11-06,RB,4,光大期货,50015,11496
2013-11-06,RB,5,永安期货,45681,-527
2013-11-06,RB,6,江西瑞奇,42513,3196
2013-11-06,RB,7,东证期货,33664,-465
2013-11-06,RB,8,中银国际,29491,1100
2013-11-06,RB,9,海通期货,28150,946
2013-11-06,RB,10,中粮期货,26301,-431
2013-11-06,RB,11,上海中期,23893,736
2013-11-06,RB,12,大越期货,22821,218
2013-11-06,RB,13,安信期货,22516,4822
2013-11-06,RB,14,道通期货,17486,-3800
2013-11-06,RB,15,南华期货,17412,-201
2013-11-06,RB,16,国投期货,16417,3050
2013-11-06,RB,17,申万期货,15733,190
2013-11-06,RB,18,东兴期货,13389,-2950
2013-11-06,RB,19,华泰长城,13093,-3237
2013-11-06,RB,20,万达期货,12889,-3184
2013-11-07,RB,1,银河期货,70798,5019
2013-11-07,RB,2,中证期货,60298,-1123
2013-11-07,RB,3,浙商期货,58616,-1967
2013-11-07,RB,4,东证期货,33572,-92
2013-11-07,RB,5,永安期货,30365,-15316
2013-11-07,RB,6,中银国际,29383,-108
2013-11-07,RB,7,海通期货,28475,325
2013-11-07,RB,8,安信期货,26338,525
2013-11-07,RB,9,大越期货,22704,-117
2013-11-07,RB,10,鲁证期货,21774,-1095
2013-11-07,RB,11,光大期货,21177,-28838
2013-11-07,RB,12,道通期货,20561,3075
2013-11-07,RB,13,南华期货,18440,1028
2013-11-07,RB,14,上海中期,18202,-5691
2013-11-07,RB,15,万达期货,16448,3559
2013-11-07,RB,16,国投期货,16436,19
2013-11-07,RB,17,华泰长城,15100,2007
2013-11-07,RB,18,申万期货,14069,-1664
2013-11-07,RB,19,华安期货,13497,2181
2013-11-07,RB,20,中钢期货,12650,2355
2013-11-08,RB,1,银河期货,69522,-1276
2013-11-08,RB,2,中证期货,60581,283
2013-11-08,RB,3,浙商期货,57192,-1424
2013-11-08,RB,4,永安期货,41426,11061
2013-11-08,RB,5,东证期货,34800,1228
2013-11-08,RB,6,中银国际,31249,1866
2013-11-08,RB,7,海通期货,30513,2038
2013-11-08,RB,8,安信期货,27288,950
2013-11-08,RB,9,光大期货,26836,5659
2013-11-08,RB,10,鲁证期货,24782,3008
2013-11-08,RB,11,道通期货,23302,-421
2013-11-08,RB,12,大越期货,22627,-77
2013-11-08,RB,13,申万期货,21858,7789
2013-11-08,RB,14,华泰长城,18208,3108
2013-11-08,RB,15,国贸期货,17806,9245
2013-11-08,RB,16,南华期货,15898,-2542
2013-11-08,RB,17,万达期货,15263,-1185
2013-11-08,RB,18,上海中期,14582,-3620
2013-11-08,RB,19,华安期货,13629,132
2013-11-08,RB,20,中钢期货,12436,-214
2013-11-11,RB,1,银河期货,66275,-3247
2013-11-11,RB,2,中证期货,60379,-202
2013-11-11,RB,3,浙商期货,54504,-2688
2013-11-11,RB,4,永安期货,42867,1441
2013-11-11,RB,5,海通期货,30968,455
2013-11-11,RB,6,安信期货,28363,1075
2013-11-11,RB,7,中银国际,25959,-5290
2013-11-11,RB,8,鲁证期货,25658,876
2013-11-11,RB,9,光大期货,24836,-2000
2013-11-11,RB,10,华泰长城,24081,5873
2013-11-11,RB,11,道通期货,22927,-375
2013-11-11,RB,12,大越期货,22590,-37
2013-11-11,RB,13,申万期货,21204,-654
2013-11-11,RB,14,东证期货,19099,-15701
2013-11-11,RB,15,一德期货,17169,1174
2013-11-11,RB,16,万达期货,16580,1317
2013-11-11,RB,17,南华期货,16576,678
2013-11-11,RB,18,华安期货,13998,369
2013-11-11,RB,19,东兴期货,12286,92
2013-11-11,RB,20,中钢期货,11858,-578
2013-11-12,RB,1,银河期货,67071,796
2013-11-12,RB,2,中证期货,60131,-248
2013-11-12,RB,3,浙商期货,54737,233
2013-11-12,RB,4,光大期货,43629,18793
2013-11-12,RB,5,永安期货,43526,659
2013-11-12,RB,6,海通期货,29570,-1398
2013-11-12,RB,7,安信期货,28299,-64
2013-11-12,RB,8,中银国际,25978,19
