trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,RM,1,永安期货,45082,-10184
2013-11-05,RM,2,国泰君安,41222,-5282
2013-11-05,RM,3,中证期货,38595,-2728
2013-11-05,RM,4,海通期货,33124,-3988
2013-11-05,RM,5,长江期货,23635,-300
2013-11-05,RM,6,万达期货,23064,-893
2013-11-05,RM,7,国贸期货,21212,144
2013-11-05,RM,8,银河期货,19469,2160
2013-11-05,RM,9,中粮期货,19284,-361
2013-11-05,RM,10,徽商期货,17938,778
2013-11-05,RM,11,华泰长城,17417,-3066
2013-11-05,RM,12,申银万国,15241,-1190
2013-11-05,RM,13,南华期货,14118,-1167
2013-11-05,RM,14,成都倍特,13617,-3183
2013-11-05,RM,15,华闻期货,13306,3
2013-11-05,RM,16,宏源期货,13196,5493
2013-11-05,RM,17,中钢期货,12880,2313
2013-11-05,RM,18,中国国际,11762,-2209
2013-11-05,RM,19,大地期货,11727,142
2013-11-05,RM,20,中银国际,11320,-3148
2013-11-06,RM,1,永安期货,54377,9295
2013-11-06,RM,2,国泰君安,43038,1816
2013-11-06,RM,3,海通期货,42637,9513
2013-11-06,RM,4,中证期货,42525,3930
2013-11-06,RM,5,长江期货,28536,4901
2013-11-06,RM,6,万达期货,26795,3731
2013-11-06,RM,7,中粮期货,21871,2587
2013-11-06,RM,8,国贸期货,21449,237
2013-11-06,RM,9,银河期货,21128,1659
2013-11-06,RM,10,华泰长城,19962,2545
2013-11-06,RM,11,中钢期货,18006,5126
2013-11-06,RM,12,徽商期货,17021,-917
2013-11-06,RM,13,宏源期货,15820,2624
2013-11-06,RM,14,申银万国,15559,318
2013-11-06,RM,15,瑞达期货,15515,5287
2013-11-06,RM,16,中银国际,14354,3034
2013-11-06,RM,17,南华期货,13497,-621
2013-11-06,RM,18,华闻期货,13255,-51
2013-11-06,RM,19,成都倍特,12101,-1516
2013-11-06,RM,20,国海良时,12045,3604
2013-11-07,RM,1,中证期货,40451,-2074
2013-11-07,RM,2,国泰君安,29987,-13051
2013-11-07,RM,3,永安期货,28304,-26073
2013-11-07,RM,4,华泰长城,27202,7240
2013-11-07,RM,5,长江期货,26484,-2052
2013-11-07,RM,6,万达期货,26465,-330
2013-11-07,RM,7,海通期货,23489,-19148
2013-11-07,RM,8,徽商期货,19549,2528
2013-11-07,RM,9,国贸期货,19539,-1910
2013-11-07,RM,10,一德期货,18816,9164
2013-11-07,RM,11,中钢期货,17953,-53
2013-11-07,RM,12,中粮期货,17135,-4736
2013-11-07,RM,13,宏源期货,16897,1077
2013-11-07,RM,14,瑞达期货,16107,592
2013-11-07,RM,15,申银万国,15665,106
2013-11-07,RM,16,华闻期货,13260,5
2013-11-07,RM,17,银河期货,12590,-8538
2013-11-07,RM,18,鲁证期货,12069,544
2013-11-07,RM,19,南华期货,12057,-1440
2013-11-07,RM,20,成都倍特,11986,-115
2013-11-08,RM,1,中证期货,35033,-5418
2013-11-08,RM,2,长江期货,28498,2014
2013-11-08,RM,3,国泰君安,24400,-5587
2013-11-08,RM,4,华泰长城,23543,-3659
2013-11-08,RM,5,万达期货,23145,-3320
2013-11-08,RM,6,海通期货,21634,-1855
2013-11-08,RM,7,永安期货,21107,-7197
2013-11-08,RM,8,徽商期货,17913,-1636
2013-11-08,RM,9,中钢期货,17730,-223
2013-11-08,RM,10,宏源期货,16229,-668
2013-11-08,RM,11,浙商期货,16018,6843
2013-11-08,RM,12,申银万国,15817,152
2013-11-08,RM,13,格林期货,15070,6957
2013-11-08,RM,14,瑞达期货,14999,-1108
2013-11-08,RM,15,成都倍特,12259,273
2013-11-08,RM,16,鲁证期货,11642,-427
2013-11-08,RM,17,南华期货,11447,-610
2013-11-08,RM,18,银河期货,11332,-1258
2013-11-08,RM,19,国贸期货,10989,-8550
2013-11-08,RM,20,一德期货,10925,-7891
2013-11-11,RM,1,中证期货,32678,-2355
2013-11-11,RM,2,长江期货,28160,-338
2013-11-11,RM,3,万达期货,27239,4094
2013-11-11,RM,4,华泰长城,26369,2826
2013-11-11,RM,5,国泰君安,24686,286
2013-11-11,RM,6,永安期货,21016,-91
2013-11-11,RM,7,海通期货,20883,-751
2013-11-11,RM,8,申银万国,17323,1506
2013-11-11,RM,9,宏源期货,16231,2
2013-11-11,RM,10,浙商期货,14217,-1801
2013-11-11,RM,11,光大期货,14087,3943
2013-11-11,RM,12,中钢期货,13920,-3810
2013-11-11,RM,13,徽商期货,13370,-4543
2013-11-11,RM,14,格林期货,13205,-1865
2013-11-11,RM,15,瑞达期货,13072,-1927
2013-11-11,RM,16,鲁证期货,11511,-131
2013-11-11,RM,17,成都倍特,11444,-815
2013-11-11,RM,18,弘业期货,11066,2553
2013-11-11,RM,19,一德期货,11053,128
2013-11-11,RM,20,南华期货,11004,-443
2013-11-12,RM,1,万达期货,28540,1301
2013-11-12,RM,2,中证期货,27269,-5409
2013-11-12,RM,3,长江期货,26242,-1918
2013-11-12,RM,4,国泰君安,24761,75
2013-11-12,RM,5,华泰长城,22754,-3615
2013-11-12,RM,6,海通期货,20247,-636
2013-11-12,RM,7,永安期货,19972,-1044
2013-11-12,RM,8,光大期货,16928,2841
2013-11-12,RM,9,申银万国,16828,-495
2013-11-12,RM,10,宏源期货,15550,-681
2013-11-12,RM,11,浙商期货,14141,-76
2013-11-12,RM,12,格林期货,12986,-219
2013-11-12,RM,13,瑞达期货,12244,-828
2013-11-12,RM,14,成都倍特,11451,7
2013-11-12,RM,15,大地期货,11444,465
2013-11-12,RM,16,弘业期货,11118,52
2013-11-12,RM,17,南华期货,10885,-119
2013-11-12,RM,18,一德期货,10682,-371
2013-11-12,RM,19,鲁证期货,10529,-982
2013-11-12,RM,20,中钢期货,10335,-3585
2013-11-13,RM,1,中证期货,29151,1882
2013-11-13,RM,2,万达期货,28805,265
2013-11-13,RM,3,华泰长城,27572,4818
2013-11-13,RM,4,海通期货,26611,6364
2013-11-13,RM,5,国泰君安,25039,278
2013-11-13,RM,6,永安期货,19251,-721
2013-11-13,RM,7,申银万国,17064,236
2013-11-13,RM,8,长江期货,15941,-10301
2013-11-13,RM,9,宏源期货,15886,336
2013-11-13,RM,10,浙商期货,14181,40
2013-11-13,RM,11,瑞达期货,13344,1100
2013-11-13,RM,12,大地期货,13058,1614
2013-11-13,RM,13,成都倍特,11454,3
2013-11-13,RM,14,一德期货,11183,501
2013-11-13,RM,15,弘业期货,10957,-161
2013-11-13,RM,16,鲁证期货,10728,199
2013-11-13,RM,17,南华期货,10397,-488
2013-11-13,RM,18,光大期货,10371,-6557
2013-11-13,RM,19,中粮期货,10332,549
2013-11-13,RM,20,中钢期货,10328,-7
2013-11-14,RM,1,中证期货,38105,8954
2013-11-14,RM,2,海通期货,29115,2504
2013-11-14,RM,3,万达期货,28671,-134
2013-11-14,RM,4,国泰君安,25352,313
2013-11-14,RM,5,永安期货,19821,570
2013-11-14,RM,6,申银万国,18243,1179
2013-11-14,RM,7,长江期货,17638,1697
2013-11-14,RM,8,宏源期货,16464,578
2013-11-14,RM,9,华泰长城,15522,-12050
2013-11-14,RM,10,浙商期货,14939,758
2013-11-14,RM,11,首创期货,13658,5787
2013-11-14,RM,12,大地期货,13258,200
2013-11-14,RM,13,瑞达期货,12754,-590
2013-11-14,RM,14,成都倍特,11593,139
2013-11-14,RM,15,鲁证期货,11550,822
2013-11-14,RM,16,徽商期货,11319,3376
2013-11-14,RM,17,光大期货,11303,932
2013-11-14,RM,18,南华期货,11088,691
2013-11-14,RM,19,弘业期货,10854,-103
2013-11-14,RM,20,中粮期货,10830,498
2013-11-15,RM,1,中证期货,38380,275
2013-11-15,RM,2,海通期货,28246,-869
2013-11-15,RM,3,申银万国,21480,3237
2013-11-15,RM,4,国泰君安,21201,-4151
2013-11-15,RM,5,永安期货,19525,-296
2013-11-15,RM,6,万达期货,18101,-10570
2013-11-15,RM,7,长江期货,16332,-1306
2013-11-15,RM,8,宏源期货,16219,-245
2013-11-15,RM,9,华泰长城,14238,-1284
2013-11-15,RM,10,首创期货,13699,41
2013-11-15,RM,11,大地期货,13252,-6
2013-11-15,RM,12,浙商期货,12817,-2122
2013-11-15,RM,13,瑞达期货,12412,-342
2013-11-15,RM,14,徽商期货,11975,656
2013-11-15,RM,15,鲁证期货,11881,331
2013-11-15,RM,16,成都倍特,11049,-544
2013-11-15,RM,17,中粮期货,10988,158
2013-11-15,RM,18,弘业期货,10679,-175
2013-11-15,RM,19,光大期货,10446,-857
2013-11-15,RM,20,中钢期货,10356,18
2013-11-18,RM,1,中证期货,40323,1943
2013-11-18,RM,2,海通期货,34060,5814
2013-11-18,RM,3,永安期货,25151,5626
2013-11-18,RM,4,申银万国,23103,1623
2013-11-18,RM,5,国泰君安,22359,1158
2013-11-18,RM,6,中粮期货,15239,4251
2013-11-18,RM,7,宏源期货,15089,-1130
2013-11-18,RM,8,万达期货,14935,-3166
2013-11-18,RM,9,格林期货,14814,4823
2013-11-18,RM,10,华泰长城,14668,430
2013-11-18,RM,11,浙商期货,14379,1562
2013-11-18,RM,12,徽商期货,13896,1921
2013-11-18,RM,13,首创期货,13788,89
2013-11-18,RM,14,大地期货,13726,474
2013-11-18,RM,15,鲁证期货,12471,590
2013-11-18,RM,16,瑞达期货,12208,-204
2013-11-18,RM,17,光大期货,11150,704
2013-11-18,RM,18,国海良时,10808,797
2013-11-18,RM,19,美尔雅,10629,2004
2013-11-18,RM,20,一德期货,10536,556
2013-11-19,RM,1,中证期货,37903,-2420
2013-11-19,RM,2,海通期货,33591,-469
2013-11-19,RM,3,永安期货,21297,-3854
2013-11-19,RM,4,申银万国,17975,-5128
2013-11-19,RM,5,国泰君安,17729,-4630
2013-11-19,RM,6,万达期货,16364,1429
2013-11-19,RM,7,华泰长城,15933,1265
2013-11-19,RM,8,中粮期货,15013,-226
2013-11-19,RM,9,格林期货,14353,-461
