trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,RM,1,永安期货,44306,3295
2013-11-05,RM,2,万达期货,43892,600
2013-11-05,RM,3,中粮期货,43501,73
2013-11-05,RM,4,光大期货,29730,-7971
2013-11-05,RM,5,首创期货,28734,2003
2013-11-05,RM,6,国投期货,28132,-5306
2013-11-05,RM,7,格林期货,22500,-3071
2013-11-05,RM,8,国泰君安,22156,1019
2013-11-05,RM,9,海通期货,20121,-25
2013-11-05,RM,10,南华期货,18750,703
2013-11-05,RM,11,华泰长城,17865,1591
2013-11-05,RM,12,银河期货,17736,-2140
2013-11-05,RM,13,中国国际,16415,-4833
2013-11-05,RM,14,浙商期货,16260,-23
2013-11-05,RM,15,徽商期货,16244,895
2013-11-05,RM,16,华闻期货,13130,5
2013-11-05,RM,17,弘业期货,12692,-869
2013-11-05,RM,18,中信新际,12659,5
2013-11-05,RM,19,中证期货,12328,1430
2013-11-05,RM,20,宏源期货,12030,3984
2013-11-06,RM,1,永安期货,51571,7265
2013-11-06,RM,2,万达期货,47736,3844
2013-11-06,RM,3,中粮期货,46068,2567
2013-11-06,RM,4,国投期货,35985,7853
2013-11-06,RM,5,首创期货,30941,2207
2013-11-06,RM,6,光大期货,30049,319
2013-11-06,RM,7,海通期货,29026,8905
2013-11-06,RM,8,格林期货,22615,115
2013-11-06,RM,9,国泰君安,22500,344
2013-11-06,RM,10,南华期货,20826,2076
2013-11-06,RM,11,银河期货,18800,1064
2013-11-06,RM,12,华泰长城,17897,32
2013-11-06,RM,13,中国国际,17687,1272
2013-11-06,RM,14,浙商期货,17477,1217
2013-11-06,RM,15,徽商期货,15953,-291
2013-11-06,RM,16,弘业期货,15450,2758
2013-11-06,RM,17,宏源期货,14481,2451
2013-11-06,RM,18,中证期货,13991,1663
2013-11-06,RM,19,华闻期货,13150,20
2013-11-06,RM,20,中信新际,12665,6
2013-11-07,RM,1,万达期货,46555,-1181
2013-11-07,RM,2,永安期货,40666,-10905
2013-11-07,RM,3,中粮期货,39306,-6762
2013-11-07,RM,4,光大期货,33108,3059
2013-11-07,RM,5,国投期货,32534,-3451
2013-11-07,RM,6,华泰长城,24888,6991
2013-11-07,RM,7,海通期货,22769,-6257
2013-11-07,RM,8,首创期货,22369,-8572
2013-11-07,RM,9,一德期货,22272,11972
2013-11-07,RM,10,格林期货,19263,-3352
2013-11-07,RM,11,浙商期货,17988,511
2013-11-07,RM,12,南华期货,17097,-3729
2013-11-07,RM,13,宏源期货,15962,1481
2013-11-07,RM,14,中证期货,15696,1705
2013-11-07,RM,15,徽商期货,14842,-1111
2013-11-07,RM,16,弘业期货,14363,-1087
2013-11-07,RM,17,中国国际,13532,-4155
2013-11-07,RM,18,国泰君安,13164,-9336
2013-11-07,RM,19,华闻期货,13120,-30
2013-11-07,RM,20,中信新际,12643,-22
2013-11-08,RM,1,万达期货,39475,-7080
2013-11-08,RM,2,永安期货,38623,-2043
2013-11-08,RM,3,中粮期货,35840,-3466
2013-11-08,RM,4,光大期货,31447,-1661
