trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,RS,1,民生期货,9,0
2013-11-05,RS,2,美尔雅,4,0
2013-11-05,RS,3,国泰君安,1,0
2013-11-05,RS,4,华安期货,1,0
2013-11-05,RS,5,徽商期货,0,0
2013-11-05,RS,6,国都期货,0,0
2013-11-05,RS,7,中信建投,0,0
2013-11-05,RS,8,广发期货,0,0
2013-11-05,RS,9,方正期货,0,0
2013-11-05,RS,10,宏源期货,0,0
2013-11-06,RS,1,民生期货,9,0
2013-11-06,RS,2,美尔雅,4,0
2013-11-06,RS,3,国泰君安,1,0
2013-11-06,RS,4,华安期货,1,0
2013-11-06,RS,5,徽商期货,0,0
2013-11-06,RS,6,国都期货,0,0
2013-11-06,RS,7,中国国际,0,0
2013-11-06,RS,8,中信建投,0,0
2013-11-06,RS,9,广发期货,0,0
2013-11-06,RS,10,方正期货,0,0
2013-11-06,RS,11,宏源期货,0,0
2013-11-07,RS,1,民生期货,6,-3
2013-11-07,RS,2,美尔雅,2,-2
2013-11-07,RS,3,国泰君安,1,0
2013-11-07,RS,4,华安期货,1,0
2013-11-07,RS,5,徽商期货,0,0
2013-11-07,RS,6,国都期货,0,0
2013-11-07,RS,7,中信建投,0,0
2013-11-07,RS,8,广发期货,0,0
2013-11-07,RS,9,方正期货,0,0
2013-11-07,RS,10,宏源期货,0,0
2013-11-08,RS,1,民生期货,6,0
2013-11-08,RS,2,美尔雅,2,0
2013-11-08,RS,3,国泰君安,1,0
2013-11-08,RS,4,华安期货,1,0
2013-11-08,RS,5,国都期货,0,0
2013-11-08,RS,6,中信建投,0,0
2013-11-08,RS,7,广发期货,0,0
2013-11-08,RS,8,方正期货,0,0
2013-11-08,RS,9,宏源期货,0,0
2013-11-11,RS,1,民生期货,6,0
2013-11-11,RS,2,美尔雅,2,0
2013-11-11,RS,3,国泰君安,1,0
2013-11-11,RS,4,华安期货,1,0
2013-11-11,RS,5,国都期货,0,0
2013-11-11,RS,6,中信建投,0,0
2013-11-11,RS,7,广发期货,0,0
2013-11-11,RS,8,方正期货,0,0
2013-11-11,RS,9,宏源期货,0,0
2013-11-12,RS,1,民生期货,6,0
2013-11-12,RS,2,美尔雅,2,0
2013-11-12,RS,3,国泰君安,1,0
2013-11-12,RS,4,华安期货,1,0
2013-11-12,RS,5,国都期货,0,0
2013-11-12,RS,6,中信建投,0,0
2013-11-12,RS,7,广发期货,0,0
2013-11-12,RS,8,方正期货,0,0
2013-11-12,RS,9,宏源期货,0,0
2013-11-13,RS,1,民生期货,10,4
2013-11-13,RS,2,集成期货,1,1
2013-11-13,RS,3,鲁证期货,1,1
2013-11-13,RS,4,国泰君安,1,0
2013-11-13,RS,5,华安期货,1,0
2013-11-13,RS,6,江苏东华,0,0
2013-11-13,RS,7,徽商期货,0,0
2013-11-13,RS,8,中证期货,0,0
2013-11-13,RS,9,美尔雅,0,-2
2013-11-13,RS,10,国都期货,0,0
2013-11-13,RS,11,中信建投,0,0
2013-11-13,RS,12,广发期货,0,0
2013-11-13,RS,13,方正期货,0,0
2013-11-13,RS,14,宏源期货,0,0
2013-11-13,RS,15,先融期货,0,0
2013-11-14,RS,1,民生期货,10,0
2013-11-14,RS,2,集成期货,1,0
2013-11-14,RS,3,鲁证期货,1,0
2013-11-14,RS,4,国泰君安,1,0
2013-11-14,RS,5,华安期货,1,0
2013-11-14,RS,6,徽商期货,0,0
2013-11-14,RS,7,美尔雅,0,0
2013-11-14,RS,8,中信建投,0,0
2013-11-14,RS,9,方正期货,0,0
2013-11-14,RS,10,宏源期货,0,0
2013-11-15,RS,1,民生期货,10,0
2013-11-15,RS,2,集成期货,1,0
2013-11-15,RS,3,国泰君安,1,0
2013-11-15,RS,4,华安期货,1,0
2013-11-15,RS,5,徽商期货,0,0
