trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,RU,1,永安期货,5709,167
2013-11-05,RU,2,中证期货,5435,193
2013-11-05,RU,3,银河期货,5303,-130
2013-11-05,RU,4,国泰君安,5071,587
2013-11-05,RU,5,海通期货,3896,172
2013-11-05,RU,6,中国国际,3715,126
2013-11-05,RU,7,南华期货,3525,304
2013-11-05,RU,8,新湖期货,3155,-382
2013-11-05,RU,9,北京中期,2408,184
2013-11-05,RU,10,申万期货,2338,-383
2013-11-05,RU,11,安信期货,2326,63
2013-11-05,RU,12,华泰长城,2253,-153
2013-11-05,RU,13,瑞达期货,1878,18
2013-11-05,RU,14,方正期货,1865,103
2013-11-05,RU,15,浙江中大,1665,98
2013-11-05,RU,16,光大期货,1562,188
2013-11-05,RU,17,上海中期,1499,378
2013-11-05,RU,18,广发期货,1457,106
2013-11-05,RU,19,中粮期货,1398,-128
2013-11-05,RU,20,大地期货,1247,358
2013-11-06,RU,1,中证期货,5634,199
2013-11-06,RU,2,银河期货,5153,-150
2013-11-06,RU,3,永安期货,4878,-831
2013-11-06,RU,4,国泰君安,4238,-833
2013-11-06,RU,5,海通期货,4129,233
2013-11-06,RU,6,瑞达期货,3995,2117
2013-11-06,RU,7,南华期货,3734,209
2013-11-06,RU,8,中国国际,3700,-15
2013-11-06,RU,9,新湖期货,3206,51
2013-11-06,RU,10,安信期货,2724,398
2013-11-06,RU,11,华泰长城,2443,190
2013-11-06,RU,12,申万期货,2371,33
2013-11-06,RU,13,鲁证期货,2288,640
2013-11-06,RU,14,北京中期,2084,-324
2013-11-06,RU,15,方正期货,1848,-17
2013-11-06,RU,16,上海中期,1745,246
2013-11-06,RU,17,浙江中大,1745,80
2013-11-06,RU,18,广发期货,1539,82
2013-11-06,RU,19,光大期货,1538,-24
2013-11-06,RU,20,中粮期货,1435,37
2013-11-07,RU,1,海通期货,5708,1579
2013-11-07,RU,2,中证期货,5686,52
2013-11-07,RU,3,永安期货,5299,421
2013-11-07,RU,4,银河期货,5235,82
2013-11-07,RU,5,南华期货,4324,590
2013-11-07,RU,6,国泰君安,4056,-182
2013-11-07,RU,7,华泰长城,3535,1092
2013-11-07,RU,8,中国国际,3443,-257
2013-11-07,RU,9,中粮期货,2761,168
2013-11-07,RU,10,光大期货,2373,282
2013-11-07,RU,11,安信期货,2304,-420
2013-11-07,RU,12,申万期货,2265,-106
2013-11-07,RU,13,北京中期,2254,170
2013-11-07,RU,14,广发期货,2087,548
2013-11-07,RU,15,方正期货,1877,29
2013-11-07,RU,16,新湖期货,1859,-17
2013-11-07,RU,17,浙江中大,1720,-25
2013-11-07,RU,18,上海中期,1321,-424
2013-11-07,RU,19,格林期货,1254,28
