trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,RU,1,永安期货,6703,1080
2013-11-05,RU,2,中国国际,5938,-538
2013-11-05,RU,3,华泰长城,5645,-273
2013-11-05,RU,4,海通期货,4827,1221
2013-11-05,RU,5,中证期货,3986,369
2013-11-05,RU,6,光大期货,3786,-147
2013-11-05,RU,7,大地期货,3656,15
2013-11-05,RU,8,银河期货,3370,-102
2013-11-05,RU,9,中钢期货,3151,51
2013-11-05,RU,10,浙商期货,3055,421
2013-11-05,RU,11,大连良运,2909,188
2013-11-05,RU,12,国贸期货,2904,189
2013-11-05,RU,13,东证期货,2877,-144
2013-11-05,RU,14,渤海期货,2750,63
2013-11-05,RU,15,申万期货,2367,190
2013-11-05,RU,16,南华期货,2252,1013
2013-11-05,RU,17,格林期货,2053,144
2013-11-05,RU,18,金鹏期货,2006,-9
2013-11-05,RU,19,北方期货,1856,198
2013-11-05,RU,20,中信新际,1612,-1
2013-11-06,RU,1,永安期货,6656,-47
2013-11-06,RU,2,中国国际,6067,129
2013-11-06,RU,3,华泰长城,5699,54
2013-11-06,RU,4,海通期货,5071,244
2013-11-06,RU,5,大地期货,4140,484
2013-11-06,RU,6,中证期货,3939,-47
2013-11-06,RU,7,银河期货,3608,238
2013-11-06,RU,8,大连良运,3348,439
2013-11-06,RU,9,中钢期货,3101,-50
2013-11-06,RU,10,东证期货,3092,215
2013-11-06,RU,11,浙商期货,3028,-27
2013-11-06,RU,12,渤海期货,2756,6
2013-11-06,RU,13,光大期货,2494,4
2013-11-06,RU,14,国贸期货,2313,-591
2013-11-06,RU,15,申万期货,2310,-57
2013-11-06,RU,16,南华期货,2254,2
2013-11-06,RU,17,格林期货,2116,63
2013-11-06,RU,18,金鹏期货,2012,6
2013-11-06,RU,19,北方期货,1659,-197
2013-11-06,RU,20,中信新际,1651,39
2013-11-07,RU,1,永安期货,6068,-588
2013-11-07,RU,2,华泰长城,6054,355
2013-11-07,RU,3,中国国际,5952,-115
2013-11-07,RU,4,银河期货,4117,509
2013-11-07,RU,5,大地期货,4117,-23
2013-11-07,RU,6,光大期货,4060,565
2013-11-07,RU,7,海通期货,3832,-1239
2013-11-07,RU,8,浙商期货,3464,436
2013-11-07,RU,9,中证期货,3444,-495
2013-11-07,RU,10,国贸期货,3221,87
2013-11-07,RU,11,大连良运,3178,-170
2013-11-07,RU,12,东证期货,3056,-36
2013-11-07,RU,13,渤海期货,2762,6
2013-11-07,RU,14,申万期货,2419,109
2013-11-07,RU,15,瑞达期货,2372,1275
2013-11-07,RU,16,安信期货,2308,269
2013-11-07,RU,17,中钢期货,2148,-953
2013-11-07,RU,18,南华期货,2076,-178
2013-11-07,RU,19,金鹏期货,2006,-6
2013-11-07,RU,20,格林期货,1965,-151
2013-11-08,RU,1,永安期货,6758,690
2013-11-08,RU,2,华泰长城,5725,-329
2013-11-08,RU,3,中国国际,5477,-475
2013-11-08,RU,4,光大期货,4126,66
2013-11-08,RU,5,大地期货,3651,-466
2013-11-08,RU,6,浙商期货,3543,79
2013-11-08,RU,7,中证期货,3467,23
2013-11-08,RU,8,海通期货,3423,-409
2013-11-08,RU,9,东证期货,3325,269
2013-11-08,RU,10,银河期货,3245,-872
2013-11-08,RU,11,大连良运,3166,-12
2013-11-08,RU,12,国贸期货,3000,-221
2013-11-08,RU,13,渤海期货,2750,-12
2013-11-08,RU,14,中钢期货,2313,165
2013-11-08,RU,15,申万期货,2260,-159
2013-11-08,RU,16,南华期货,2231,155
2013-11-08,RU,17,金鹏期货,2006,0
2013-11-08,RU,18,格林期货,1932,-33
2013-11-08,RU,19,中信新际,1675,21
2013-11-08,RU,20,北方期货,1630,-1
2013-11-11,RU,1,永安期货,7479,721
2013-11-11,RU,2,中国国际,5934,457
2013-11-11,RU,3,华泰长城,5452,-273
2013-11-11,RU,4,海通期货,4650,1227
2013-11-11,RU,5,浙商期货,4083,540
2013-11-11,RU,6,光大期货,4008,-118
2013-11-11,RU,7,中证期货,3975,508
2013-11-11,RU,8,大地期货,3523,-128
2013-11-11,RU,9,银河期货,3302,57
2013-11-11,RU,10,东证期货,3162,-163
2013-11-11,RU,11,大连良运,2790,-376
2013-11-11,RU,12,瑞达期货,2774,1896
2013-11-11,RU,13,渤海期货,2753,3
2013-11-11,RU,14,中钢期货,2477,164
2013-11-11,RU,15,安信期货,2437,340
2013-11-11,RU,16,宝城期货,2302,282
2013-11-11,RU,17,南华期货,2284,53
2013-11-11,RU,18,金鹏期货,2002,-4
2013-11-11,RU,19,格林期货,1969,37
2013-11-11,RU,20,国贸期货,1966,217
2013-11-12,RU,1,永安期货,8342,863
2013-11-12,RU,2,中国国际,5703,-231
2013-11-12,RU,3,华泰长城,5271,-181
2013-11-12,RU,4,海通期货,5066,416
2013-11-12,RU,5,中证期货,4868,893
2013-11-12,RU,6,光大期货,4354,346
2013-11-12,RU,7,银河期货,3918,616
2013-11-12,RU,8,大地期货,3535,12
2013-11-12,RU,9,大连良运,3352,562
2013-11-12,RU,10,东证期货,3135,-27
2013-11-12,RU,11,浙商期货,3048,-115
2013-11-12,RU,12,渤海期货,2729,-24
