trading_date,commodity_id,rank,member_name,volume,volume_change
2014-08-08,SF,1,华泰长城,5010,5010
2014-08-08,SF,2,光大期货,4010,4010
2014-08-08,SF,3,新湖期货,2013,2013
2014-08-08,SF,4,银河期货,552,552
2014-08-08,SF,5,中原期货,537,537
2014-08-08,SF,6,中粮期货,506,506
2014-08-08,SF,7,鲁证期货,329,329
2014-08-08,SF,8,申银万国,294,294
2014-08-08,SF,9,招金期货,252,252
2014-08-08,SF,10,万达期货,238,238
2014-08-08,SF,11,永安期货,226,226
2014-08-08,SF,12,成都倍特,154,154
2014-08-08,SF,13,金瑞期货,148,148
2014-08-08,SF,14,海通期货,105,105
2014-08-08,SF,15,经易期货,83,83
2014-08-08,SF,16,中信期货,79,79
2014-08-08,SF,17,宝城期货,76,76
2014-08-08,SF,18,天风期货,64,64
2014-08-08,SF,19,浙商期货,63,63
2014-08-08,SF,20,国海良时,59,59
2014-08-11,SF,1,华泰长城,4941,-69
2014-08-11,SF,2,光大期货,4031,21
2014-08-11,SF,3,新湖期货,2038,25
2014-08-11,SF,4,中粮期货,1003,497
2014-08-11,SF,5,万达期货,449,211
2014-08-11,SF,6,申银万国,440,146
2014-08-11,SF,7,永安期货,429,203
2014-08-11,SF,8,中原期货,409,-128
2014-08-11,SF,9,中信期货,383,304
2014-08-11,SF,10,国海良时,214,155
2014-08-11,SF,11,长江期货,198,192
2014-08-11,SF,12,成都倍特,195,41
2014-08-11,SF,13,美尔雅,179,178
2014-08-11,SF,14,宝城期货,119,43
2014-08-11,SF,15,银河期货,116,-436
2014-08-11,SF,16,海通期货,113,8
2014-08-11,SF,17,浙商期货,106,43
2014-08-11,SF,18,中国国际,87,72
2014-08-11,SF,19,经易期货,86,3
2014-08-11,SF,20,民生期货,81,76
2014-08-12,SF,1,光大期货,4094,63
2014-08-12,SF,2,新湖期货,2080,42
2014-08-12,SF,3,一德期货,1883,1869
2014-08-12,SF,4,永安期货,1821,1392
2014-08-12,SF,5,广发期货,1526,1508
2014-08-12,SF,6,中信期货,1520,1137
2014-08-12,SF,7,上海大陆,1495,1470
2014-08-12,SF,8,华泰长城,1428,-3513
2014-08-12,SF,9,海通期货,721,608
2014-08-12,SF,10,中粮期货,512,-491
2014-08-12,SF,11,成都倍特,362,167
2014-08-12,SF,12,南华期货,352,344
2014-08-12,SF,13,方正中期,349,300
2014-08-12,SF,14,恒泰期货,284,269
2014-08-12,SF,15,长江期货,280,82
2014-08-12,SF,16,华安期货,251,250
2014-08-12,SF,17,东航期货,224,178
2014-08-12,SF,18,中投天琪,224,199
2014-08-12,SF,19,鲁证期货,208,191
2014-08-12,SF,20,申银万国,201,-239
2014-08-13,SF,1,光大期货,4069,-25
2014-08-13,SF,2,永安期货,2253,432
2014-08-13,SF,3,广发期货,2084,558
2014-08-13,SF,4,新湖期货,2043,-37
2014-08-13,SF,5,上海大陆,1991,496
2014-08-13,SF,6,一德期货,1880,-3
2014-08-13,SF,7,中信期货,1489,-31
2014-08-13,SF,8,华泰长城,1488,60
2014-08-13,SF,9,深圳金汇,590,590
2014-08-13,SF,10,中粮期货,510,-2
2014-08-13,SF,11,成都倍特,358,-4
2014-08-13,SF,12,长江期货,293,13
2014-08-13,SF,13,徽商期货,237,49
2014-08-13,SF,14,方正中期,237,-112
2014-08-13,SF,15,银河期货,216,31
2014-08-13,SF,16,美尔雅,209,114
2014-08-13,SF,17,德盛期货,209,151
2014-08-13,SF,18,东航期货,151,-73
2014-08-13,SF,19,申银万国,140,-61
2014-08-13,SF,20,中投天琪,140,-84
2014-08-14,SF,1,光大期货,4123,54
2014-08-14,SF,2,华泰长城,2140,652
2014-08-14,SF,3,新湖期货,2084,41
2014-08-14,SF,4,中信期货,987,-502
2014-08-14,SF,5,永安期货,818,-1435
2014-08-14,SF,6,申银万国,580,440
2014-08-14,SF,7,中粮期货,500,-10
2014-08-14,SF,8,长江期货,487,194
2014-08-14,SF,9,中原期货,348,340
2014-08-14,SF,10,一德期货,347,-1533
2014-08-14,SF,11,中投天琪,332,192
2014-08-14,SF,12,五矿期货,324,201
2014-08-14,SF,13,海通期货,301,212
2014-08-14,SF,14,兴证期货,296,178
2014-08-14,SF,15,鲁证期货,192,164
2014-08-14,SF,16,国泰君安,181,75
2014-08-14,SF,17,徽商期货,171,-66
2014-08-14,SF,18,浙商期货,164,138
2014-08-14,SF,19,建信期货,159,139
2014-08-14,SF,20,上海中期,154,139
2014-08-15,SF,1,光大期货,4372,249
2014-08-15,SF,2,华泰长城,3275,1135
2014-08-15,SF,3,新湖期货,2103,19
2014-08-15,SF,4,申银万国,874,294
2014-08-15,SF,5,中粮期货,796,296
2014-08-15,SF,6,中信期货,548,-439
2014-08-15,SF,7,中原期货,377,29
2014-08-15,SF,8,一德期货,349,2
2014-08-15,SF,9,长江期货,317,-170
2014-08-15,SF,10,中投天琪,306,-26
2014-08-15,SF,11,建信期货,182,23
2014-08-15,SF,12,鲁证期货,153,-39
2014-08-15,SF,13,五矿期货,147,-177
2014-08-15,SF,14,大地期货,138,81
2014-08-15,SF,15,海通期货,130,-171
2014-08-15,SF,16,上海中期,130,-24
2014-08-15,SF,17,方正中期,126,19
2014-08-15,SF,18,海航东银,125,0
2014-08-15,SF,19,招金期货,124,-1
2014-08-15,SF,20,浙商期货,123,-41
2014-08-18,SF,1,华泰长城,3667,392
2014-08-18,SF,2,光大期货,3574,-798
2014-08-18,SF,3,新湖期货,2056,-47
2014-08-18,SF,4,中粮期货,1179,383
2014-08-18,SF,5,万达期货,985,876
2014-08-18,SF,6,申银万国,882,8
2014-08-18,SF,7,中信期货,643,95
2014-08-18,SF,8,一德期货,346,-3
2014-08-18,SF,9,中投天琪,202,-104
2014-08-18,SF,10,建信期货,199,17
2014-08-18,SF,11,五矿期货,186,39
2014-08-18,SF,12,鲁证期货,161,8
2014-08-18,SF,13,大地期货,150,12
2014-08-18,SF,14,兴证期货,130,15
2014-08-18,SF,15,招金期货,127,3
2014-08-18,SF,16,海航东银,125,0
2014-08-18,SF,17,方正中期,125,-1
