trading_date,commodity_id,rank,member_name,volume,volume_change
2014-08-08,SF,1,光大期货,4171,4171
2014-08-08,SF,2,新湖期货,2080,2080
2014-08-08,SF,3,金瑞期货,1312,1312
2014-08-08,SF,4,华泰长城,1022,1022
2014-08-08,SF,5,中投天琪,834,834
2014-08-08,SF,6,五矿期货,643,643
2014-08-08,SF,7,招金期货,452,452
2014-08-08,SF,8,徽商期货,379,379
2014-08-08,SF,9,海通期货,310,310
2014-08-08,SF,10,国泰君安,289,289
2014-08-08,SF,11,东证期货,261,261
2014-08-08,SF,12,东航期货,234,234
2014-08-08,SF,13,同信久恒,203,203
2014-08-08,SF,14,先融期货,199,199
2014-08-08,SF,15,国信期货,190,190
2014-08-08,SF,16,瑞达期货,190,190
2014-08-08,SF,17,兴证期货,171,171
2014-08-08,SF,18,南证期货,151,151
2014-08-08,SF,19,中原期货,142,142
2014-08-08,SF,20,申银万国,140,140
2014-08-11,SF,1,光大期货,4987,816
2014-08-11,SF,2,新湖期货,2316,236
2014-08-11,SF,3,中粮期货,1141,1130
2014-08-11,SF,4,国泰君安,691,402
2014-08-11,SF,5,宁波杉立,539,539
2014-08-11,SF,6,申银万国,491,351
2014-08-11,SF,7,中信期货,463,431
2014-08-11,SF,8,上海东亚,400,400
2014-08-11,SF,9,海通期货,398,88
2014-08-11,SF,10,万达期货,349,301
2014-08-11,SF,11,东证期货,337,76
2014-08-11,SF,12,东航期货,296,62
2014-08-11,SF,13,东吴期货,256,234
2014-08-11,SF,14,浙商期货,240,138
2014-08-11,SF,15,瑞达期货,240,50
2014-08-11,SF,16,方正中期,209,74
2014-08-11,SF,17,国信期货,206,16
2014-08-11,SF,18,上海中期,167,70
2014-08-11,SF,19,同信久恒,149,-54
2014-08-11,SF,20,弘业期货,148,118
2014-08-12,SF,1,光大期货,5232,245
2014-08-12,SF,2,新湖期货,2230,-86
2014-08-12,SF,3,上海东亚,1300,900
2014-08-12,SF,4,国泰君安,1236,545
2014-08-12,SF,5,中粮期货,1166,25
2014-08-12,SF,6,永安期货,1029,977
2014-08-12,SF,7,宁波杉立,891,352
2014-08-12,SF,8,万达期货,654,305
2014-08-12,SF,9,中信期货,608,145
2014-08-12,SF,10,申银万国,533,42
2014-08-12,SF,11,东航期货,501,205
2014-08-12,SF,12,东证期货,462,125
2014-08-12,SF,13,瑞达期货,328,88
2014-08-12,SF,14,海通期货,316,-82
2014-08-12,SF,15,徽商期货,266,180
2014-08-12,SF,16,上海中财,256,115
2014-08-12,SF,17,国信期货,252,46
2014-08-12,SF,18,方正中期,246,37
2014-08-12,SF,19,弘业期货,240,92
2014-08-12,SF,20,中信建投,234,181
2014-08-13,SF,1,光大期货,4999,-233
2014-08-13,SF,2,新湖期货,2153,-77
2014-08-13,SF,3,永安期货,1937,908
2014-08-13,SF,4,上海东亚,1600,300
2014-08-13,SF,5,中粮期货,1157,-9
2014-08-13,SF,6,国泰君安,1118,-118
2014-08-13,SF,7,宁波杉立,995,104
2014-08-13,SF,8,万达期货,629,-25
2014-08-13,SF,9,中信期货,551,-57
2014-08-13,SF,10,东证期货,511,49
2014-08-13,SF,11,东航期货,494,-7
2014-08-13,SF,12,弘业期货,429,189
2014-08-13,SF,13,瑞达期货,322,-6
2014-08-13,SF,14,华泰长城,290,97
2014-08-13,SF,15,方正中期,289,43
2014-08-13,SF,16,徽商期货,248,-18
2014-08-13,SF,17,银河期货,241,43
2014-08-13,SF,18,鲁证期货,239,12
2014-08-13,SF,19,中信建投,232,-2
2014-08-13,SF,20,宝城期货,226,-4
2014-08-14,SF,1,光大期货,4416,-583
2014-08-14,SF,2,新湖期货,2255,102
2014-08-14,SF,3,永安期货,1724,-213
2014-08-14,SF,4,宁波杉立,894,-101
2014-08-14,SF,5,国泰君安,833,-285
2014-08-14,SF,6,浙商期货,611,434
2014-08-14,SF,7,中信期货,509,-42
2014-08-14,SF,8,东航期货,450,-44
2014-08-14,SF,9,徽商期货,443,195
2014-08-14,SF,10,中粮期货,442,-715
2014-08-14,SF,11,瑞达期货,288,-34
2014-08-14,SF,12,中国国际,286,102
2014-08-14,SF,13,万达期货,282,-347
2014-08-14,SF,14,鲁证期货,245,6
2014-08-14,SF,15,海通期货,211,6
2014-08-14,SF,16,华安期货,207,171
2014-08-14,SF,17,大越期货,186,151
2014-08-14,SF,18,兴证期货,161,55
2014-08-14,SF,19,南华期货,147,43
2014-08-14,SF,20,上海中期,140,-2
2014-08-15,SF,1,光大期货,4279,-137
2014-08-15,SF,2,新湖期货,2200,-55
2014-08-15,SF,3,永安期货,2021,297
2014-08-15,SF,4,国泰君安,1204,371
2014-08-15,SF,5,中辉期货,534,396
2014-08-15,SF,6,中信期货,483,-26
2014-08-15,SF,7,浙商期货,430,-181
2014-08-15,SF,8,徽商期货,358,-85
2014-08-15,SF,9,中国国际,311,25
2014-08-15,SF,10,海通期货,287,76
2014-08-15,SF,11,东航期货,274,-176
2014-08-15,SF,12,华泰长城,225,111
2014-08-15,SF,13,瑞达期货,220,-68
2014-08-15,SF,14,申银万国,212,96
2014-08-15,SF,15,兴证期货,184,23
2014-08-15,SF,16,东兴期货,160,97
2014-08-15,SF,17,大越期货,156,-30
2014-08-15,SF,18,天风期货,155,79
2014-08-15,SF,19,华西期货,149,20
2014-08-15,SF,20,安信期货,123,-3
2014-08-18,SF,1,光大期货,4325,46
2014-08-18,SF,2,新湖期货,2099,-101
2014-08-18,SF,3,中信期货,1777,1294
2014-08-18,SF,4,永安期货,1452,-569
2014-08-18,SF,5,国泰君安,889,-315
2014-08-18,SF,6,中辉期货,537,3
2014-08-18,SF,7,徽商期货,336,-22
2014-08-18,SF,8,中国国际,329,18
2014-08-18,SF,9,东航期货,265,-9
2014-08-18,SF,10,华安期货,239,215
2014-08-18,SF,11,华泰长城,222,-3
2014-08-18,SF,12,新纪元期货,221,160
2014-08-18,SF,13,海通期货,215,-72
2014-08-18,SF,14,浙商期货,193,-237
2014-08-18,SF,15,中投天琪,178,95
2014-08-18,SF,16,兴证期货,169,-15
2014-08-18,SF,17,大越期货,154,-2
2014-08-18,SF,18,迈科期货,149,54
2014-08-18,SF,19,东兴期货,133,-27
2014-08-18,SF,20,成都倍特,128,7
2014-08-19,SF,1,光大期货,4371,46
2014-08-19,SF,2,中信期货,2346,569
2014-08-19,SF,3,新湖期货,2064,-35
2014-08-19,SF,4,永安期货,1544,92
2014-08-19,SF,5,国泰君安,443,-446
2014-08-19,SF,6,东吴期货,340,298
2014-08-19,SF,7,中国国际,318,-11
2014-08-19,SF,8,东航期货,283,18
2014-08-19,SF,9,徽商期货,280,-56
2014-08-19,SF,10,华泰长城,240,18
2014-08-19,SF,11,浙商期货,160,-33
2014-08-19,SF,12,兴证期货,159,-10
2014-08-19,SF,13,东兴期货,146,13
2014-08-19,SF,14,海通期货,140,-75
2014-08-19,SF,15,安信期货,127,5
2014-08-19,SF,16,中投天琪,122,-56
2014-08-19,SF,17,中辉期货,109,-428
2014-08-19,SF,18,弘业期货,101,30
2014-08-19,SF,19,英大期货,101,87
2014-08-19,SF,20,申银万国,98,-11
2014-08-20,SF,1,光大期货,4285,-86
2014-08-20,SF,2,新湖期货,2156,92
2014-08-20,SF,3,中信期货,1766,-580
2014-08-20,SF,4,永安期货,1032,-512
2014-08-20,SF,5,国泰君安,651,208
2014-08-20,SF,6,迈科期货,498,404
2014-08-20,SF,7,徽商期货,413,133
2014-08-20,SF,8,东航期货,376,93
2014-08-20,SF,9,中国国际,344,26
2014-08-20,SF,10,长江期货,289,193
2014-08-20,SF,11,浙商期货,217,57
2014-08-20,SF,12,华泰长城,181,-59
2014-08-20,SF,13,海通期货,178,38
2014-08-20,SF,14,方正中期,173,82
2014-08-20,SF,15,鲁证期货,146,102
2014-08-20,SF,16,江西瑞奇,145,141
2014-08-20,SF,17,安信期货,140,13
2014-08-20,SF,18,中辉期货,140,31
2014-08-20,SF,19,安粮期货,136,63
2014-08-20,SF,20,万达期货,133,55
2014-08-21,SF,1,光大期货,4340,55
2014-08-21,SF,2,新湖期货,2148,-8
2014-08-21,SF,3,中信期货,2016,250
2014-08-21,SF,4,永安期货,1081,49
2014-08-21,SF,5,国泰君安,610,-41
2014-08-21,SF,6,华泰长城,551,370
2014-08-21,SF,7,迈科期货,490,-8
2014-08-21,SF,8,中国国际,294,-50
2014-08-21,SF,9,徽商期货,291,-122
2014-08-21,SF,10,东航期货,274,-102
2014-08-21,SF,11,浙商期货,247,30
2014-08-21,SF,12,江西瑞奇,150,5
2014-08-21,SF,13,申银万国,147,25
2014-08-21,SF,14,安信期货,142,2
2014-08-21,SF,15,万达期货,134,1
2014-08-21,SF,16,长江期货,127,-162
2014-08-21,SF,17,中辉期货,127,-13
2014-08-21,SF,18,东吴期货,125,107
2014-08-21,SF,19,方正中期,124,-49
2014-08-21,SF,20,鲁证期货,121,-25
2014-08-22,SF,1,光大期货,4073,-267
2014-08-22,SF,2,新湖期货,2020,-128
2014-08-22,SF,3,中信期货,1554,-462
2014-08-22,SF,4,华泰长城,593,42
2014-08-22,SF,5,永安期货,579,-502
2014-08-22,SF,6,中辉期货,544,417
2014-08-22,SF,7,国泰君安,514,-96
2014-08-22,SF,8,海通期货,480,359
2014-08-22,SF,9,新纪元期货,449,372
2014-08-22,SF,10,迈科期货,446,-44
2014-08-22,SF,11,中国国际,412,118
2014-08-22,SF,12,银河期货,304,242
2014-08-22,SF,13,徽商期货,302,11
2014-08-22,SF,14,瑞达期货,302,201
2014-08-22,SF,15,东航期货,278,4
2014-08-22,SF,16,浙商期货,208,-39
2014-08-22,SF,17,华西期货,195,83
2014-08-22,SF,18,国信期货,191,112
2014-08-22,SF,19,江西瑞奇,158,8
2014-08-22,SF,20,东吴期货,144,19
2014-08-25,SF,1,光大期货,3256,-817
2014-08-25,SF,2,中信期货,2565,1011
2014-08-25,SF,3,永安期货,813,234
2014-08-25,SF,4,华泰长城,753,160
2014-08-25,SF,5,中粮期货,562,425
2014-08-25,SF,6,中辉期货,508,-36
2014-08-25,SF,7,新纪元期货,487,38
2014-08-25,SF,8,国泰君安,446,-68
2014-08-25,SF,9,迈科期货,430,-16
2014-08-25,SF,10,中国国际,410,-2
2014-08-25,SF,11,徽商期货,256,-46
2014-08-25,SF,12,东航期货,254,-24
2014-08-25,SF,13,长江期货,230,169
2014-08-25,SF,14,国信期货,194,3
2014-08-25,SF,15,江西瑞奇,153,-5
2014-08-25,SF,16,申银万国,149,31
2014-08-25,SF,17,海通期货,148,-332
2014-08-25,SF,18,安信期货,125,-11
2014-08-25,SF,19,瑞达期货,124,-178
2014-08-25,SF,20,方正中期,122,15
2014-08-26,SF,1,中信期货,2355,-210
2014-08-26,SF,2,光大期货,2041,-1215
2014-08-26,SF,3,华泰长城,765,12
2014-08-26,SF,4,永安期货,537,-276
2014-08-26,SF,5,中粮期货,480,-82
2014-08-26,SF,6,迈科期货,430,0
2014-08-26,SF,7,国泰君安,413,-33
2014-08-26,SF,8,中国国际,368,-42
2014-08-26,SF,9,中辉期货,353,-155
2014-08-26,SF,10,新纪元期货,307,-180
2014-08-26,SF,11,徽商期货,275,19
2014-08-26,SF,12,长江期货,234,4
2014-08-26,SF,13,东航期货,226,-28
2014-08-26,SF,14,瑞达期货,207,83
2014-08-26,SF,15,江西瑞奇,169,16
2014-08-26,SF,16,国信期货,151,-43
2014-08-26,SF,17,申银万国,149,0
2014-08-26,SF,18,万达期货,137,42
2014-08-26,SF,19,安信期货,127,2
2014-08-26,SF,20,方正中期,121,-1
2014-08-27,SF,1,中信期货,2358,3
2014-08-27,SF,2,光大期货,911,-1130
2014-08-27,SF,3,华泰长城,803,38
2014-08-27,SF,4,中粮期货,694,214
2014-08-27,SF,5,万达期货,672,535
2014-08-27,SF,6,国泰君安,437,24
2014-08-27,SF,7,徽商期货,427,152
