trading_date,commodity_id,rank,member_name,volume,volume_change
2014-08-08,SM,1,光大期货,4069,4069
2014-08-08,SM,2,新湖期货,3568,3568
2014-08-08,SM,3,浙商期货,525,525
2014-08-08,SM,4,华泰长城,454,454
2014-08-08,SM,5,国联期货,378,378
2014-08-08,SM,6,海通期货,353,353
2014-08-08,SM,7,银河期货,233,233
2014-08-08,SM,8,东航期货,230,230
2014-08-08,SM,9,迈科期货,182,182
2014-08-08,SM,10,瑞达期货,172,172
2014-08-08,SM,11,中信建投,164,164
2014-08-08,SM,12,金瑞期货,159,159
2014-08-08,SM,13,中信期货,157,157
2014-08-08,SM,14,东证期货,153,153
2014-08-08,SM,15,方正中期,148,148
2014-08-08,SM,16,徽商期货,140,140
2014-08-08,SM,17,国贸期货,138,138
2014-08-08,SM,18,国都期货,124,124
2014-08-08,SM,19,上海中财,119,119
2014-08-08,SM,20,东吴期货,118,118
2014-08-11,SM,1,新湖期货,3314,-254
2014-08-11,SM,2,光大期货,3145,-924
2014-08-11,SM,3,浙商期货,898,373
2014-08-11,SM,4,宝城期货,456,444
2014-08-11,SM,5,国联期货,367,-11
2014-08-11,SM,6,银河期货,318,85
2014-08-11,SM,7,中信期货,292,135
2014-08-11,SM,8,国投期货,260,251
2014-08-11,SM,9,东航期货,250,20
2014-08-11,SM,10,国泰君安,205,104
2014-08-11,SM,11,南华期货,200,190
2014-08-11,SM,12,金信期货,200,200
2014-08-11,SM,13,方正中期,179,31
2014-08-11,SM,14,瑞达期货,175,3
2014-08-11,SM,15,东证期货,171,18
2014-08-11,SM,16,弘业期货,164,114
2014-08-11,SM,17,迈科期货,160,-22
2014-08-11,SM,18,国贸期货,158,20
2014-08-11,SM,19,中投天琪,157,147
2014-08-11,SM,20,东海期货,137,33
2014-08-12,SM,1,新湖期货,3374,60
2014-08-12,SM,2,光大期货,3141,-4
2014-08-12,SM,3,中辉期货,879,864
2014-08-12,SM,4,浙商期货,849,-49
2014-08-12,SM,5,海通期货,510,474
2014-08-12,SM,6,华泰长城,418,317
2014-08-12,SM,7,长江期货,383,332
2014-08-12,SM,8,银河期货,367,49
2014-08-12,SM,9,申银万国,361,246
2014-08-12,SM,10,中信期货,349,57
2014-08-12,SM,11,东海期货,307,170
2014-08-12,SM,12,瑞达期货,258,83
2014-08-12,SM,13,徽商期货,250,115
2014-08-12,SM,14,国泰君安,235,30
2014-08-12,SM,15,五矿期货,224,223
2014-08-12,SM,16,金信期货,214,14
2014-08-12,SM,17,中投天琪,208,51
2014-08-12,SM,18,新纪元期货,205,164
2014-08-12,SM,19,中原期货,188,175
2014-08-12,SM,20,迈科期货,180,20
2014-08-13,SM,1,新湖期货,3276,-98
2014-08-13,SM,2,光大期货,3100,-41
2014-08-13,SM,3,徽商期货,1554,1304
2014-08-13,SM,4,浙商期货,501,-348
2014-08-13,SM,5,海通期货,486,-24
2014-08-13,SM,6,中信期货,342,-7
2014-08-13,SM,7,银河期货,336,-31
2014-08-13,SM,8,瑞达期货,285,27
2014-08-13,SM,9,申银万国,261,-100
2014-08-13,SM,10,国泰君安,229,-6
2014-08-13,SM,11,五矿期货,226,2
2014-08-13,SM,12,华泰长城,192,-226
2014-08-13,SM,13,东航期货,177,3
2014-08-13,SM,14,美尔雅,173,54
2014-08-13,SM,15,鲁证期货,168,0
2014-08-13,SM,16,东海期货,161,-146
2014-08-13,SM,17,国投期货,160,0
2014-08-13,SM,18,迈科期货,160,-20
2014-08-13,SM,19,中投天琪,157,-51
2014-08-13,SM,20,国联期货,157,-8
2014-08-14,SM,1,新湖期货,3268,-8
2014-08-14,SM,2,光大期货,3026,-74
2014-08-14,SM,3,徽商期货,1335,-219
2014-08-14,SM,4,道通期货,1042,1042
2014-08-14,SM,5,江苏东华,784,659
2014-08-14,SM,6,海通期货,525,39
2014-08-14,SM,7,中信期货,408,66
