trading_date,commodity_id,rank,member_name,volume,volume_change
2016-03-03,SN,1,金瑞期货,697,327
2016-03-03,SN,2,广发期货,695,6
2016-03-03,SN,3,中信期货,579,13
2016-03-03,SN,4,国泰君安,566,4
2016-03-03,SN,5,申万期货,521,472
2016-03-03,SN,6,东航期货,502,136
2016-03-03,SN,7,永安期货,356,156
2016-03-03,SN,8,迈科期货,293,287
2016-03-03,SN,9,中大期货,269,251
2016-03-03,SN,10,国投期货,265,209
2016-03-03,SN,11,东兴期货,250,250
2016-03-03,SN,12,宏源期货,230,38
2016-03-03,SN,13,方正中期,227,120
2016-03-03,SN,14,南华期货,224,39
2016-03-03,SN,15,大越期货,212,69
2016-03-03,SN,16,华泰期货,204,74
2016-03-03,SN,17,中国国际,182,46
2016-03-03,SN,18,瑞达期货,158,-26
2016-03-03,SN,19,银河期货,156,18
2016-03-03,SN,20,中信建投,140,46
2016-03-04,SN,1,广发期货,585,-110
2016-03-04,SN,2,中信期货,554,-25
2016-03-04,SN,3,东航期货,508,6
2016-03-04,SN,4,国泰君安,478,-88
2016-03-04,SN,5,国投期货,414,149
2016-03-04,SN,6,永安期货,369,13
2016-03-04,SN,7,金瑞期货,303,-394
2016-03-04,SN,8,迈科期货,292,-1
2016-03-04,SN,9,申万期货,277,-244
2016-03-04,SN,10,东兴期货,252,2
2016-03-04,SN,11,华泰期货,210,6
2016-03-04,SN,12,银河期货,183,27
2016-03-04,SN,13,南华期货,177,-47
2016-03-04,SN,14,大越期货,173,-39
2016-03-04,SN,15,瑞达期货,169,11
2016-03-04,SN,16,方正中期,169,-58
2016-03-04,SN,17,兴证期货,168,37
2016-03-04,SN,18,国联期货,149,97
2016-03-04,SN,19,中信建投,148,8
2016-03-04,SN,20,中国国际,133,-49
2016-03-07,SN,1,中信期货,652,98
2016-03-07,SN,2,广发期货,587,2
2016-03-07,SN,3,东航期货,524,16
2016-03-07,SN,4,国投期货,496,82
2016-03-07,SN,5,金瑞期货,473,170
2016-03-07,SN,6,永安期货,390,21
2016-03-07,SN,7,国泰君安,303,-175
2016-03-07,SN,8,东兴期货,273,21
2016-03-07,SN,9,方正中期,223,54
2016-03-07,SN,10,华泰期货,202,-8
2016-03-07,SN,11,银河期货,199,16
2016-03-07,SN,12,兴证期货,183,15
2016-03-07,SN,13,南华期货,172,-5
2016-03-07,SN,14,中信建投,169,21
2016-03-07,SN,15,瑞达期货,164,-5
2016-03-07,SN,16,徽商期货,163,69
2016-03-07,SN,17,中国国际,156,23
2016-03-07,SN,18,海通期货,139,15
2016-03-07,SN,19,大越期货,134,-39
2016-03-07,SN,20,弘业期货,131,60
2016-03-08,SN,1,金瑞期货,709,236
2016-03-08,SN,2,中信期货,666,14
2016-03-08,SN,3,广发期货,635,48
2016-03-08,SN,4,国投期货,550,54
2016-03-08,SN,5,东航期货,425,-99
2016-03-08,SN,6,永安期货,400,10
2016-03-08,SN,7,东兴期货,272,-1
2016-03-08,SN,8,海通期货,260,121
2016-03-08,SN,9,方正中期,255,32
2016-03-08,SN,10,国泰君安,239,-64
2016-03-08,SN,11,弘业期货,218,87
2016-03-08,SN,12,南华期货,210,38
2016-03-08,SN,13,徽商期货,189,26
2016-03-08,SN,14,华泰期货,184,-18
2016-03-08,SN,15,瑞达期货,180,16
2016-03-08,SN,16,中信建投,150,-19
2016-03-08,SN,17,兴证期货,150,-33
2016-03-08,SN,18,中国国际,147,-9
2016-03-08,SN,19,鲁证期货,135,10
2016-03-08,SN,20,江海汇鑫,129,5
2016-03-09,SN,1,金瑞期货,981,272
2016-03-09,SN,2,中信期货,662,-4
2016-03-09,SN,3,广发期货,624,-11
2016-03-09,SN,4,国投期货,612,62
2016-03-09,SN,5,东航期货,363,-62
2016-03-09,SN,6,东兴期货,270,-2
2016-03-09,SN,7,美尔雅,229,202
2016-03-09,SN,8,弘业期货,222,4
2016-03-09,SN,9,徽商期货,206,17
2016-03-09,SN,10,瑞达期货,194,14
2016-03-09,SN,11,国泰君安,188,-51
2016-03-09,SN,12,华泰期货,179,-5
2016-03-09,SN,13,中国国际,157,10
2016-03-09,SN,14,方正中期,153,-102
2016-03-09,SN,15,南华期货,136,-74
2016-03-09,SN,16,兴证期货,129,-21
2016-03-09,SN,17,申万期货,105,24
2016-03-09,SN,18,福能期货,104,-8
2016-03-09,SN,19,新晟期货,103,90
2016-03-09,SN,20,大越期货,101,-13
2016-03-10,SN,1,金瑞期货,1023,42
2016-03-10,SN,2,广发期货,652,28
2016-03-10,SN,3,中信期货,603,-59
2016-03-10,SN,4,国泰君安,473,285
2016-03-10,SN,5,东航期货,373,10
2016-03-10,SN,6,中国国际,308,151
2016-03-10,SN,7,弘业期货,249,27
2016-03-10,SN,8,浙商期货,215,201
2016-03-10,SN,9,瑞达期货,197,3
2016-03-10,SN,10,方正中期,174,21
2016-03-10,SN,11,迈科期货,155,149
2016-03-10,SN,12,南华期货,136,0
2016-03-10,SN,13,倍特期货,124,90
2016-03-10,SN,14,国投期货,124,-488
2016-03-10,SN,15,徽商期货,122,-84
2016-03-10,SN,16,福能期货,119,15
2016-03-10,SN,17,上海中期,116,60
2016-03-10,SN,18,中大期货,114,63
2016-03-10,SN,19,永安期货,109,20
2016-03-10,SN,20,兴证期货,105,-24
2016-03-11,SN,1,金瑞期货,687,-336
2016-03-11,SN,2,广发期货,646,-6
2016-03-11,SN,3,中信期货,582,-21
2016-03-11,SN,4,国泰君安,473,0
2016-03-11,SN,5,东航期货,454,81
2016-03-11,SN,6,浙商期货,276,61
2016-03-11,SN,7,弘业期货,248,-1
2016-03-11,SN,8,瑞达期货,218,21
2016-03-11,SN,9,永安期货,205,96
2016-03-11,SN,10,徽商期货,204,82
2016-03-11,SN,11,中国国际,173,-135
2016-03-11,SN,12,迈科期货,155,0
2016-03-11,SN,13,方正中期,147,-27
2016-03-11,SN,14,国联期货,133,39
2016-03-11,SN,15,宏源期货,129,31
2016-03-11,SN,16,五矿经易,119,87
2016-03-11,SN,17,上海中期,118,2
2016-03-11,SN,18,福能期货,116,-3
2016-03-11,SN,19,国投期货,116,-8
2016-03-11,SN,20,华泰期货,112,50
